Date Time, Monitor ID, Location ID, PM10_ppm, PM2.5_ppm,PM10_ppb,PM2.5_ppb
09-07-2021 11:36,1,1,0.009,0.005,9,5
09-07-2021 11:37,1,1,0.007,0.004,7,4
09-07-2021 11:38,1,1,0.008,0.005,8,5
09-07-2021 11:39,1,1,0.008,0.004,8,4
09-07-2021 11:40,1,1,0.008,0.004,8,4
09-07-2021 11:41,1,1,0.008,0.005,8,5
09-07-2021 11:42,1,1,0.008,0.004,8,4
09-07-2021 11:43,1,1,0.007,0.005,7,5
09-07-2021 11:44,1,1,0.007,0.004,7,4
09-07-2021 11:45,1,1,0.006,0.004,6,4
09-07-2021 11:46,1,1,0.008,0.004,8,4
09-07-2021 11:47,1,1,0.009,0.004,9,4
09-07-2021 11:48,1,1,0.008,0.005,8,5
09-07-2021 11:49,1,1,0.008,0.004,8,4
09-07-2021 11:50,1,1,0.009,0.005,9,5
09-07-2021 11:51,1,1,0.009,0.006,9,6
09-07-2021 11:52,1,1,0.007,0.004,7,4
09-07-2021 11:53,1,1,0.006,0.005,6,5
09-07-2021 11:54,1,1,0.007,0.005,7,5
09-07-2021 11:55,1,1,0.007,0.004,7,4
09-07-2021 11:56,1,1,0.005,0.004,5,4
09-07-2021 11:57,1,1,0.009,0.005,9,5
09-07-2021 11:58,1,1,0.006,0.004,6,4
09-07-2021 11:59,1,1,0.008,0.005,8,5
09-07-2021 12:00,1,1,0.009,0.005,9,5
09-07-2021 12:01,1,1,0.01,0.005,10,5
09-07-2021 12:02,1,1,0.012,0.006,12,6
09-07-2021 12:03,1,1,0.007,0.005,7,5
09-07-2021 12:04,1,1,0.01,0.005,10,5
09-07-2021 12:05,1,1,0.007,0.005,7,5
09-07-2021 12:06,1,1,0.009,0.005,9,5
09-07-2021 12:07,1,1,0.007,0.004,7,4
09-07-2021 12:08,1,1,0.007,0.005,7,5
09-07-2021 12:09,1,1,0.008,0.004,8,4
09-07-2021 12:10,1,1,0.007,0.004,7,4
09-07-2021 12:11,1,1,0.007,0.005,7,5
09-07-2021 12:12,1,1,0.007,0.005,7,5
09-07-2021 12:13,1,1,0.01,0.005,10,5
09-07-2021 12:14,1,1,0.006,0.004,6,4
09-07-2021 12:15,1,1,0.01,0.005,10,5
09-07-2021 12:16,1,1,0.009,0.005,9,5
09-07-2021 12:17,1,1,0.005,0.004,5,4
09-07-2021 12:18,1,1,0.011,0.004,11,4
09-07-2021 12:19,1,1,0.009,0.005,9,5
09-07-2021 12:20,1,1,0.009,0.005,9,5
09-07-2021 12:21,1,1,0.012,0.006,12,6
09-07-2021 12:22,1,1,0.008,0.005,8,5
09-07-2021 12:23,1,1,0.01,0.006,10,6
09-07-2021 12:24,1,1,0.009,0.005,9,5
09-07-2021 12:25,1,1,0.008,0.005,8,5
09-07-2021 12:26,1,1,0.007,0.005,7,5
09-07-2021 12:27,1,1,0.007,0.005,7,5
09-07-2021 12:28,1,1,0.007,0.005,7,5
09-07-2021 12:29,1,1,0.01,0.006,10,6
09-07-2021 12:30,1,1,0.008,0.006,8,6
09-07-2021 12:31,1,1,0.014,0.006,14,6
09-07-2021 12:32,1,1,0.009,0.005,9,5
09-07-2021 12:33,1,1,0.012,0.006,12,6
09-07-2021 12:34,1,1,0.013,0.006,13,6
09-07-2021 12:35,1,1,0.007,0.005,7,5
09-07-2021 12:36,1,1,0.008,0.005,8,5
09-07-2021 12:37,1,1,0.009,0.005,9,5
09-07-2021 12:38,1,1,0.01,0.006,10,6
09-07-2021 12:39,1,1,0.012,0.006,12,6
09-07-2021 12:40,1,1,0.009,0.005,9,5
09-07-2021 12:41,1,1,0.008,0.006,8,6
09-07-2021 12:42,1,1,0.009,0.006,9,6
