Date Time, Monitor ID, Location ID, CO(ppm), PM10(ppm), PM2.5(ppm)
25 Sep 2021 09:33,1,1, ,0.019,0.019
25 Sep 2021 09:34,1,1, ,0.019,0.019
25 Sep 2021 09:35,1,1, ,0.018,0.019
25 Sep 2021 09:36,1,1, ,0.018,0.018
25 Sep 2021 09:37,1,1, ,0.018,0.019
25 Sep 2021 09:38,1,1, ,0.018,0.019
25 Sep 2021 09:39,1,1, ,0.019,0.019
25 Sep 2021 09:40,1,1, ,0.018,0.019
25 Sep 2021 09:41,1,1, ,0.018,0.019
25 Sep 2021 09:42,1,1, ,0.018,0.019
25 Sep 2021 09:43,1,1, ,0.018,0.019
25 Sep 2021 09:44,1,1, ,0.018,0.019
25 Sep 2021 09:45,1,1, ,0.018,0.019
25 Sep 2021 09:46,1,1, ,0.017,0.017
25 Sep 2021 09:47,1,1, ,0.017,0.018
25 Sep 2021 09:48,1,1, ,0.018,0.018
25 Sep 2021 09:49,1,1, ,0.018,0.018
25 Sep 2021 09:50,1,1, ,0.018,0.019
25 Sep 2021 09:51,1,1, ,0.019,0.019
25 Sep 2021 09:52,1,1, ,0.018,0.018
25 Sep 2021 09:53,1,1, ,0.018,0.019
25 Sep 2021 09:54,1,1, ,0.018,0.019
25 Sep 2021 09:55,1,1, ,0.018,0.019
25 Sep 2021 09:56,1,1, ,0.018,0.018
25 Sep 2021 09:57,1,1, ,0.019,0.019
25 Sep 2021 09:58,1,1, ,0.018,0.019
25 Sep 2021 09:59,1,1, ,0.018,0.018
25 Sep 2021 10:00,1,1, ,0.018,0.018
25 Sep 2021 10:01,1,1, ,0.018,0.019
25 Sep 2021 10:02,1,1, ,0.018,0.019
25 Sep 2021 10:03,1,1, ,0.018,0.018
25 Sep 2021 10:04,1,1, ,0.017,0.018
25 Sep 2021 10:05,1,1, ,0.017,0.018
25 Sep 2021 10:06,1,1, ,0.017,0.017
25 Sep 2021 10:07,1,1, ,0.018,0.019
25 Sep 2021 10:08,1,1, ,0.017,0.018
25 Sep 2021 10:09,1,1, ,0.017,0.018
25 Sep 2021 10:10,1,1, ,0.019,0.019
25 Sep 2021 10:11,1,1, ,0.017,0.018
25 Sep 2021 10:12,1,1, ,0.018,0.019
25 Sep 2021 10:13,1,1, ,0.018,0.019
25 Sep 2021 10:14,1,1, ,0.018,0.018
25 Sep 2021 10:15,1,1, ,0.018,0.018
25 Sep 2021 10:16,1,1, ,0.017,0.018
25 Sep 2021 10:17,1,1, ,0.018,0.019
25 Sep 2021 10:18,1,1, ,0.018,0.018
25 Sep 2021 10:19,1,1, ,0.017,0.018
25 Sep 2021 10:20,1,1, ,0.018,0.018
25 Sep 2021 10:21,1,1, ,0.017,0.018
25 Sep 2021 10:22,1,1, ,0.018,0.018
25 Sep 2021 10:23,1,1, ,0.017,0.018
25 Sep 2021 10:24,1,1, ,0.017,0.017
25 Sep 2021 10:25,1,1, ,0.017,0.018
25 Sep 2021 10:26,1,1, ,0.017,0.017
25 Sep 2021 10:27,1,1, ,0.018,0.018
25 Sep 2021 10:28,1,1, ,0.018,0.018
25 Sep 2021 10:29,1,1, ,0.017,0.018
25 Sep 2021 10:30,1,1, ,0.018,0.018
25 Sep 2021 10:31,1,1, ,0.018,0.018
25 Sep 2021 10:32,1,1, ,0.027,0.027
25 Sep 2021 10:33,1,1, ,0.042,0.032
25 Sep 2021 10:34,1,1, ,0.078,0.078
25 Sep 2021 10:35,1,1, ,0.038,0.035
25 Sep 2021 10:36,1,1, ,0.061,0.048
25 Sep 2021 10:37,1,1, ,0.081,0.081
25 Sep 2021 10:38,1,1, ,0.062,0.062
25 Sep 2021 10:39,1,1, ,0.071,0.071
25 Sep 2021 10:40,1,1, ,0.118,0.120
25 Sep 2021 10:41,1,1, ,0.081,0.082
25 Sep 2021 10:42,1,1, ,0.080,0.081
25 Sep 2021 10:43,1,1, ,0.081,0.083
25 Sep 2021 10:44,1,1, ,0.090,0.090
25 Sep 2021 10:45,1,1, ,0.087,0.088
25 Sep 2021 10:46,1,1, ,0.109,0.111
25 Sep 2021 10:47,1,1, ,0.142,0.144
25 Sep 2021 10:48,1,1, ,0.117,0.119
25 Sep 2021 10:49,1,1, ,0.109,0.111
25 Sep 2021 10:50,1,1, ,0.119,0.121
25 Sep 2021 10:51,1,1, ,0.098,0.100
25 Sep 2021 10:52,1,1, ,0.124,0.127
25 Sep 2021 10:53,1,1, ,0.130,0.132
25 Sep 2021 10:54,1,1, ,0.164,0.167
25 Sep 2021 10:55,1,1, ,0.139,0.141
25 Sep 2021 10:56,1,1, ,0.114,0.116
25 Sep 2021 10:57,1,1, ,0.127,0.129
25 Sep 2021 10:58,1,1, ,0.158,0.161
25 Sep 2021 10:59,1,1, ,0.157,0.160
25 Sep 2021 11:00,1,1, ,0.148,0.151
25 Sep 2021 11:01,1,1, ,0.137,0.140
25 Sep 2021 11:02,1,1, ,0.146,0.149
25 Sep 2021 11:03,1,1, ,0.155,0.157
25 Sep 2021 11:04,1,1, ,0.169,0.173
25 Sep 2021 11:05,1,1, ,0.179,0.182
25 Sep 2021 11:06,1,1, ,0.162,0.165
25 Sep 2021 11:07,1,1, ,0.156,0.159
25 Sep 2021 11:08,1,1, ,0.161,0.165
25 Sep 2021 11:09,1,1, ,0.161,0.165
25 Sep 2021 11:10,1,1, ,0.158,0.161
25 Sep 2021 11:11,1,1, ,0.166,0.170
25 Sep 2021 11:12,1,1, ,0.169,0.173
25 Sep 2021 11:13,1,1, ,0.169,0.173
25 Sep 2021 11:14,1,1, ,0.171,0.174
25 Sep 2021 11:15,1,1, ,0.174,0.177
25 Sep 2021 11:16,1,1, ,0.187,0.191
