Date Time,Epoch date,Battery_percentage,CO_mega, CO_ppm,CO_ppb_aero,CO_mega_ppm
26-06-2021 19:42,1624716755,63,547,1.19,1190,0.547
26-06-2021 19:45,1624716915,62,548,1.06,1060,0.548
26-06-2021 19:52,1624717339,62,541,0.83,830,0.541
26-06-2021 20:11,1624718472,61,544,0.46,460,0.544
26-06-2021 20:18,1624718898,60,660,0.9,900,0.66
26-06-2021 20:23,1624719223,60,787,0.57,570,0.787
26-06-2021 20:28,1624719492,59,788,0,0,0.788
26-06-2021 20:34,1624719885,59,786,0.5,500,0.786
26-06-2021 20:40,1624720223,59,779,0.76,760,0.779
26-06-2021 20:45,1624720555,59,773,1.02,1020,0.773
26-06-2021 20:50,1624720841,58,769,0.65,650,0.769
26-06-2021 20:54,1624721083,58,765,0.2,200,0.765
26-06-2021 20:55,1624721130,58,764.5,0.1,100,0.7645
26-06-2021 20:56,1624721186,58,767,0.04,40,0.767
26-06-2021 21:00,1624721434,58,764,0,0,0.764
26-06-2021 21:07,1624721829,57,760,0,0,0.76
26-06-2021 21:11,1624722109,57,758,0,0,0.758
26-06-2021 21:17,1624722444,57,759,0,0,0.759
26-06-2021 21:24,1624722851,56,756,0,0,0.756
26-06-2021 21:30,1624723250,56,753,0,0,0.753
26-06-2021 21:37,1624723625,56,751,0,0,0.751
26-06-2021 21:43,1624724039,55,746,0,0,0.746
26-06-2021 21:48,1624724338,55,743,0,0,0.743
26-06-2021 21:55,1624724731,55,743,0,0,0.743
26-06-2021 22:01,1624725099,54,743,0,0,0.743
26-06-2021 22:07,1624725439,54,741,0,0,0.741
26-06-2021 22:09,1624725591,54,742,0,0,0.742
26-06-2021 22:14,1624725852,54,739,0,0,0.739
26-06-2021 22:28,1624726738,53,740,0,0,0.74
26-06-2021 22:35,1624727105,53,737,0,0,0.737
26-06-2021 22:40,1624727405,53,734,0,0,0.734
26-06-2021 22:47,1624727866,53,735,0,0,0.735
26-06-2021 22:54,1624728292,52,732,0,0,0.732
26-06-2021 23:01,1624728690,52,732,0,0,0.732
26-06-2021 23:04,1624728865,51,731,0,0,0.731
26-06-2021 23:08,1624729085,52,731,0,0,0.731
26-06-2021 23:14,1624729449,52,728,0,0,0.728
26-06-2021 23:19,1624729793,51,727,0,0,0.727
26-06-2021 23:31,1624730501,51,724,0,0,0.724
26-06-2021 23:43,1624731193,49,717,0,0,0.717
26-06-2021 23:51,1624731691,49,710,0,0,0.71
26-06-2021 23:59,1624732145,48,712,0,0,0.712
27-06-2021 00:05,1624732553,48,707,0,0,0.707
27-06-2021 00:12,1624732941,48,702,0,0,0.702
