Date Time,Epoch date,Battery_percentage,NO2_ppb_megasense, NO2(ppm),NO2_ppb,NO2_mega_ppm
22-06-2021 10:50,1624339221,30,6553,0.013,13,6.553
22-06-2021 10:51,1624339289,31.5,4540.5,0.017,17,4.5405
22-06-2021 10:53,1624339416,36,3498,0.018,18,3.498
22-06-2021 10:54,1624339480,39,3265.5,0.02,20,3.2655
22-06-2021 10:58,1624339729,48,2757,0.028,28,2.757
22-06-2021 11:02,1624339975,52,2657,0.013,13,2.657
22-06-2021 11:07,1624340253,54,2639,0.007,7,2.639
22-06-2021 11:13,1624340595,54,2607,0.016,16,2.607
22-06-2021 11:19,1624340945,58,2614,0.021,21,2.614
22-06-2021 11:28,1624341535,63,2642,0.016,16,2.642
22-06-2021 11:32,1624341766,65,2657,0.016,16,2.657
22-06-2021 11:40,1624342258,68,2725,0.016,16,2.725
22-06-2021 11:47,1624342626,68,2753,0.015,15,2.753
22-06-2021 11:53,1624343016,71,2775,0.016,16,2.775
22-06-2021 11:59,1624343355,73,2789,0.013,13,2.789
22-06-2021 12:07,1624343852,76,2828.5,0.017,17,2.8285
22-06-2021 12:08,1624343898,77,2825,0.011,11,2.825
22-06-2021 12:09,1624343997,77,2832,0.016,16,2.832
22-06-2021 12:13,1624344201,79,2839,0.012,12,2.839
22-06-2021 12:20,1624344614,82,2853,0.012,12,2.853
22-06-2021 12:26,1624344981,86,2889,0.015,15,2.889
22-06-2021 12:33,1624345388,89,2889,0.014,14,2.889
22-06-2021 12:39,1624345781,91,2900,0.013,13,2.9
22-06-2021 12:45,1624346114,94,2717,0.014,14,2.717
22-06-2021 12:55,1624346754,99,2660,0.009,9,2.66
22-06-2021 13:06,1624347377,100,2692,0.011,11,2.692
22-06-2021 13:11,1624347674,100,2757,0.012,12,2.757
22-06-2021 13:19,1624348156,100,2753,0.01,10,2.753
22-06-2021 13:27,1624348634,100,2742,0.012,12,2.742
22-06-2021 13:34,1624349090,100,2732,0.011,11,2.732
22-06-2021 13:45,1624349716,100,2710,0.01,10,2.71
22-06-2021 13:52,1624350125,100,2689,0.011,11,2.689
22-06-2021 13:58,1624350489,100,2671,0.01,10,2.671
22-06-2021 14:04,1624350892,100,2653,0.01,10,2.653
22-06-2021 14:10,1624351201,100,2635,0.007,7,2.635
22-06-2021 14:15,1624351501,100,2607,0.014,14,2.607
22-06-2021 14:50,1624353659,100,2414,0.012,12,2.414
22-06-2021 14:51,1624353690,100,2421,0.013,13,2.421
22-06-2021 14:52,1624353753,100,2428,0.012,12,2.428
22-06-2021 14:54,1624353851,100,2450,0.007,7,2.45
22-06-2021 14:57,1624354044,100,2435,0.004,4,2.435
22-06-2021 15:08,1624354700,100,2435,0.01,10,2.435
22-06-2021 15:18,1624355319,100,2407,0.009,9,2.407
22-06-2021 15:37,1624356445,100,2367,0.013,13,2.367
22-06-2021 15:58,1624357735,100,2417,0.01,10,2.417
22-06-2021 16:06,1624358190,99,2410,0.011,11,2.41
22-06-2021 16:13,1624358638,98,2439,0.011,11,2.439
22-06-2021 16:21,1624359080,97,2417,0.01,10,2.417
22-06-2021 16:25,1624359355,96,2353,0.011,11,2.353
22-06-2021 16:38,1624360102,95,2375,0.01,10,2.375
22-06-2021 16:41,1624360313,95,2364,0.01,10,2.364
22-06-2021 16:45,1624360547,94,2414,0.007,7,2.414
22-06-2021 16:49,1624360759,93,2435,0.008,8,2.435
22-06-2021 16:52,1624360929,93,2425,0.019,19,2.425
22-06-2021 16:55,1624361110,93,2403,0.015,15,2.403
22-06-2021 16:59,1624361375,93,2403,0.009,9,2.403
22-06-2021 17:06,1624361771,93,2407,0.026,26,2.407
22-06-2021 17:25,1624362959,92,2400,0.01,10,2.4
22-06-2021 17:37,1624363678,92,2407,0.01,10,2.407
22-06-2021 17:44,1624364045,91,2435,0.01,10,2.435
22-06-2021 17:50,1624364453,91,2439,0.01,10,2.439
22-06-2021 17:57,1624364845,91,2460,0.012,12,2.46
22-06-2021 18:05,1624365304,91,2471,0.011,11,2.471
22-06-2021 18:13,1624365832,91,2475,0.012,12,2.475
22-06-2021 18:24,1624366497,90,2500,0.01,10,2.5
22-06-2021 18:35,1624367117,90,2517,0.011,11,2.517
22-06-2021 18:39,1624367383,90,2500,0.01,10,2.5
22-06-2021 18:40,1624367450,90,2514,0.011,11,2.514
22-06-2021 18:52,1624368137,90,2521,0.01,10,2.521
22-06-2021 18:59,1624368565,89,2514,0.012,12,2.514
22-06-2021 19:06,1624368964,89,2528,0.011,11,2.528
22-06-2021 19:11,1624369293,89,2525,0.01,10,2.525
22-06-2021 19:20,1624369854,88,2517,0.011,11,2.517
22-06-2021 19:30,1624370459,88,2532,0.011,11,2.532
22-06-2021 19:42,1624371173,87,2550,0.011,11,2.55
22-06-2021 19:52,1624371730,86,2539,0.012,12,2.539
22-06-2021 19:57,1624372075,85,2535,0.01,10,2.535
22-06-2021 20:04,1624372498,85,2550,0.01,10,2.55
22-06-2021 20:11,1624372875,85,2567,0.01,10,2.567
22-06-2021 20:16,1624373211,84,2546,0.011,11,2.546
22-06-2021 20:23,1624373613,84,2542,0.009,9,2.542
22-06-2021 20:49,1624375178,82,2560,0.011,11,2.56
22-06-2021 20:55,1624375524,81,2553,0.01,10,2.553
22-06-2021 21:01,1624375919,81,2567,0.011,11,2.567
22-06-2021 21:08,1624376284,81,2553,0.011,11,2.553
22-06-2021 21:14,1624376647,81,2592,0.011,11,2.592
22-06-2021 21:19,1624376965,80,2564,0.01,10,2.564
22-06-2021 21:31,1624377667,79,2585,0.011,11,2.585
22-06-2021 21:37,1624378075,79,2578,0.011,11,2.578
22-06-2021 21:44,1624378490,79,2582,0.01,10,2.582
22-06-2021 21:51,1624378885,78,2589,0.011,11,2.589
22-06-2021 21:58,1624379298,78,2596,0.01,10,2.596
22-06-2021 22:05,1624379743,78,2571,0.012,12,2.571
22-06-2021 22:14,1624380240,77,2592,0.011,11,2.592
22-06-2021 22:22,1624380768,77,2592,0.009,9,2.592
22-06-2021 22:32,1624381361,76,2589,0.011,11,2.589
22-06-2021 22:39,1624381754,75,2603,0.011,11,2.603
22-06-2021 22:45,1624382143,75,2596,0.01,10,2.596
22-06-2021 22:52,1624382548,75,2610,0.009,9,2.61
22-06-2021 22:58,1624382880,74,2621,0.01,10,2.621
22-06-2021 23:03,1624383208,74,2610,0.01,10,2.61
22-06-2021 23:11,1624383703,73,2607,0.011,11,2.607
22-06-2021 23:18,1624384095,73,2610,0.011,11,2.61
22-06-2021 23:24,1624384497,73,2621,0.01,10,2.621
22-06-2021 23:31,1624384872,72,2596,0.009,9,2.596
22-06-2021 23:37,1624385249,72,2603,0.009,9,2.603
22-06-2021 23:44,1624385651,71,2610,0.01,10,2.61
22-06-2021 23:50,1624386040,71,2639,0.01,10,2.639
23-06-2021 00:09,1624387149,69,2628,0.011,11,2.628
23-06-2021 00:17,1624387635,68,2617,0.01,10,2.617
23-06-2021 00:24,1624388060,67,2614,0.01,10,2.614
23-06-2021 00:30,1624388453,67,2632,0.011,11,2.632
23-06-2021 00:35,1624388749,66,2625,0.01,10,2.625
23-06-2021 00:36,1624388782,66,2632,0.011,11,2.632
23-06-2021 00:37,1624388824,66,2626.5,0.011,11,2.6265
23-06-2021 00:38,1624388916,66,2639,0.012,12,2.639
23-06-2021 00:41,1624389074,66,2628,0.011,11,2.628
23-06-2021 00:47,1624389473,65,2635,0.012,12,2.635
23-06-2021 00:54,1624389868,65,2628,0.011,11,2.628
23-06-2021 01:03,1624390396,64,2625,0.011,11,2.625
23-06-2021 01:11,1624390905,64,2642,0.01,10,2.642
23-06-2021 01:23,1624391581,63,2610,0.012,12,2.61
23-06-2021 01:32,1624392140,62,2617,0.01,10,2.617
23-06-2021 01:41,1624392674,62,2625,0.012,12,2.625
23-06-2021 01:47,1624393069,61,2614,0.012,12,2.614
23-06-2021 01:54,1624393464,61,2617,0.012,12,2.617
23-06-2021 02:01,1624393894,60,2607,0.012,12,2.607
23-06-2021 02:07,1624394263,60,2603,0.011,11,2.603
23-06-2021 02:14,1624394641,59,2603,0.012,12,2.603
23-06-2021 02:20,1624395042,59,2600,0.011,11,2.6
23-06-2021 02:26,1624395400,59,2592,0.011,11,2.592
23-06-2021 02:38,1624396100,58,2589,0.01,10,2.589
23-06-2021 02:48,1624396711,57,2592,0.011,11,2.592
