,Date Time, Monitor ID, Location ID, SO2(ppm),data.temp_c,data.hum_prcnt,data.press_hpa,data.co_ppm,data.no2_ppb,data.co_mv,data.no2_mv,data.ozone_ppm,data.ozone_volt_mv,data.tvoc_ppb,data.batt_prcnt,data.location.lat,data.location.lon,data.location.acc,data.timestamp
24,2021-10-23 11:56:00,1,1,0.0,29.19,39.979,946.088,361.0,3700.0,1511.0,1535.0,35.0,-700.0,0.0,100.0,17.446,78.351,1.9,1634970359380.0
25,2021-10-23 11:57:00,1,1,0.0,29.48,42.498,946.146,364.0,3442.0,1519.0,1464.0,66.0,-1325.0,0.0,100.0,17.446,78.351,1.7,1634970390181.0
26,2021-10-23 11:58:00,1,1,0.0,30.04,42.302,946.14,362.5,3149.5,1522.0,1384.5,62.5,-1241.0,0.0,99.0,17.446,78.351,1.2,1634970436886.5
27,2021-10-23 11:59:00,1,1,0.0,30.795,38.276,946.11,359.5,2798.0,1510.5,1279.0,71.0,-1418.0,0.0,99.0,17.447,78.35,2.0,1634970499104.0
28,2021-10-23 12:00:00,1,1,0.0,32.1,33.202,945.153,400.0,2583.5,1624.5,1224.0,45.5,-908.5,0.0,99.0,17.45,78.347,1.75,1634970560202.5
29,2021-10-23 12:01:00,1,1,0.0,33.465,30.654,945.56,402.0,2417.5,1626.0,1178.5,28.5,-505.5,0.0,98.0,17.453,78.343,1.7,1634970622407.5
30,2021-10-23 12:02:00,1,1,0.0,34.21,30.097,945.576,400.0,2328.5,1624.0,1153.0,9.0,10.5,0.0,98.0,17.452,78.345,2.2,1634970684697.5
31,2021-10-23 12:03:00,1,1,0.0,34.31,27.251,944.992,376.5,2035.0,1558.5,1065.5,0.0,713.0,0.0,98.0,17.448,78.35,2.1,1634970746822.0
32,2021-10-23 12:04:00,1,1,0.0,34.21,27.852,945.922,383.0,2008.5,1575.0,1063.5,5.0,-97.0,0.0,98.0,17.445,78.352,1.4,1634970808896.0
33,2021-10-23 12:05:00,1,1,0.0,34.245,29.344,945.832,451.0,2151.5,1766.5,1107.5,24.0,-477.5,0.0,97.0,17.444,78.352,1.75,1634970870950.5
34,2021-10-23 12:06:00,1,1,0.0,34.32,28.049,945.388,432.0,2073.0,1712.5,1076.0,50.0,-1004.0,0.0,97.0,17.441,78.349,1.75,1634970932584.0
35,2021-10-23 12:07:00,1,1,0.3,34.31,27.675,943.969,434.5,2021.0,1722.5,1064.0,73.0,-1453.5,0.0,97.0,17.437,78.347,2.05,1634970994500.5
36,2021-10-23 12:08:00,1,1,0.4,34.315,27.282,945.256,391.0,1867.5,1597.0,1021.5,67.5,-1352.0,0.0,96.5,17.432,78.345,2.1,1634971056982.0
37,2021-10-23 12:09:00,1,1,0.1,34.355,27.432,947.202,379.5,1821.0,1563.5,1007.5,77.5,-1550.5,0.0,96.0,17.428,78.342,1.75,1634971119164.0
38,2021-10-23 12:10:00,1,1,0.2,34.455,29.346,948.832,426.0,2112.0,1692.5,1088.5,67.0,-1334.5,0.0,96.0,17.426,78.341,1.7,1634971181174.0
39,2021-10-23 12:11:00,1,1,0.0,34.72,30.48,948.793,436.0,2154.5,1718.5,1095.5,97.5,-1953.5,0.0,96.0,17.426,78.341,2.3,1634971242573.5
40,2021-10-23 12:12:00,1,1,0.0,35.355,28.271,948.794,512.0,2130.0,1933.5,1090.5,74.5,-1482.5,0.0,96.0,17.426,78.34,2.05,1634971304766.5
41,2021-10-23 12:13:00,1,1,0.1,35.87,25.829,948.406,429.0,1796.0,1702.0,1002.0,36.0,-722.0,0.0,96.0,17.427,78.337,1.6,1634971351310.0
42,2021-10-23 12:14:00,1,1,0.1,36.465,25.819,948.238,400.0,1858.5,1623.0,1022.0,89.0,-1776.0,0.0,96.0,17.426,78.337,2.15,1634971397790.5
43,2021-10-23 12:15:00,1,1,0.0,36.94,24.642,948.771,384.5,1715.5,1579.5,980.0,91.0,-1820.0,0.0,96.0,17.426,78.34,1.6,1634971460049.0
44,2021-10-23 12:16:00,1,1,0.0,37.885,26.066,948.843,428.0,2230.0,1698.0,1125.5,126.5,-2529.5,0.0,96.0,17.426,78.34,1.65,1634971522127.0
45,2021-10-23 12:17:00,1,1,0.0,39.335,23.172,948.84,492.5,2140.5,1879.0,1105.0,68.0,-1353.0,0.0,95.0,17.425,78.342,2.0,1634971584396.0
46,2021-10-23 12:18:00,1,1,0.0,39.185,20.887,948.677,391.0,1717.5,1596.0,985.0,3.5,191.5,0.0,95.0,17.423,78.347,2.4,1634971645771.0
47,2021-10-23 12:19:00,1,1,0.0,38.275,22.619,949.215,388.0,1705.0,1589.5,980.5,72.0,-1437.5,0.0,95.0,17.423,78.352,1.6,1634971707731.5
48,2021-10-23 12:20:00,1,1,0.0,37.915,22.446,949.607,379.0,1606.5,1563.5,951.0,60.5,-1207.0,0.0,95.0,17.421,78.355,1.5,1634971769644.5
49,2021-10-23 12:21:00,1,1,0.1,37.795,22.632,949.865,415.5,1801.5,1663.0,1008.0,87.0,-1728.5,0.0,95.0,17.419,78.355,1.3,1634971831361.0
