,Date Time, Monitor ID, Location ID, CO(ppm),Unnamed: 0,data.temp_c,data.hum_prcnt,data.press_hpa,data.eq_db,data.onesmin_db,data.onesmax_db,data.co_ppm,data.no2_ppb,data.co_mv,data.no2_mv,data.x_g,data.y_g,data.z_g,data.x_raw,data.y_raw,data.z_raw,data.lux_lx,data.uv_mwpm2,data.nc0p5_npcm3,data.nc1p0_npcm3,data.nc2p5_npcm3,data.nc4p0_npcm3,data.nc10p0_npcm3,data.mc1p0_ugpm3,data.mc2p5_ugpm3,data.mc4p0_ugpm3,data.mc10p0_ugpm3,data.typ_pm_um,data.ozone_ppm,data.ozone_volt_mv,data.tvoc_ppb,data.batt_prcnt,data.batt_volt,data.bme280_int,data.speco3_int,data.mic_int,data.mic4514_int,data.mic4514pre_int,data.sgpc3_int,data.sps30_int,data.sps30pre_int,data.lis3dh_int,data.si1133_int,data.batt_int,data.leds_on,data.code_version,data.gps_avg_snr,data.cell_strength_dbm,data.wifi_strength_dbm,data.wifi_strength_asl,data.location.lat,data.location.lon,data.location.acc,data.timestamp
11,2021-10-22 14:21:00,1,1,0.0,2793.0,29.57,42.99,944.114,48.099,44.954,61.724,361.0,7282.0,1516.0,2543.0,0.032,-0.016,0.0,512.0,65280.0,0.0,86.347,0.51,137.395,159.231,161.739,162.232,162.326,20.283,23.485,25.134,25.464,0.618,0.0,5340.0,0.0,100.0,4221.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,26.2,-59.0,-52.0,4.0,17.445,78.35,6.4,1634892646338.0
41,2021-10-22 14:51:00,1,1,2.09,2797.0,33.81,31.005,944.627,60.855,58.293,63.42,385.0,1578.0,1578.0,949.0,0.064,0.112,0.016,1024.0,1792.0,256.0,838.157,0.478,133.44,151.641,152.047,152.114,152.148,19.052,20.2,20.244,20.253,0.582,0.0,1874.0,0.0,97.0,4125.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,2147483647.0,-55.0,4.0,17.446,78.351,20.0,1634894447583.0
42,2021-10-22 14:52:00,1,1,3.24,2798.0,33.88,32.592,944.645,60.566,57.861,67.018,344.0,1635.0,1469.0,958.0,0.048,0.096,0.096,768.0,1536.0,1536.0,841.131,0.265,132.13,150.378,150.931,151.029,151.067,18.913,20.198,20.357,20.389,0.619,0.0,1010.0,0.0,97.0,4119.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,25.512,2147483647.0,-59.0,4.0,17.446,78.351,2.8,1634894478594.0
44,2021-10-22 14:54:00,1,1,1.88,2799.0,31.29,31.664,943.94,82.567,76.515,88.617,343.0,664.0,1464.0,689.0,-0.016,0.016,-0.032,65280.0,256.0,65024.0,2893.758,0.554,136.188,154.953,155.494,155.589,155.627,19.485,20.78,20.922,20.951,0.584,0.0,7064.0,0.0,97.0,4119.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,30.771,2147483647.0,-64.0,3.0,17.449,78.348,2.1,1634894630361.0
47,2021-10-22 14:57:00,1,1,0.0,2800.0,30.91,33.248,945.161,78.917,73.729,83.05,413.0,928.0,1657.0,761.0,-0.112,0.032,-0.032,63744.0,512.0,65024.0,1888.825,0.66,199.828,227.631,228.607,228.783,228.844,28.648,30.724,31.073,31.142,0.593,80.0,-1591.0,0.0,97.0,4120.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,34.953,2147483647.0,-60.0,4.0,17.442,78.359,2.6,1634894790158.0
48,2021-10-22 14:58:00,1,1,0.73,2801.0,30.92,32.989,945.94,76.979,70.531,81.548,414.0,925.0,1664.0,753.0,0.0,0.064,0.0,0.0,1024.0,0.0,2557.711,0.632,189.096,215.208,215.998,216.137,216.191,27.067,28.903,29.13,29.175,0.587,0.0,532.0,0.0,97.0,4114.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,32.9,2147483647.0,-65.0,3.0,17.441,78.361,1.6,1634894821555.0
50,2021-10-22 15:00:00,1,1,1.49,2802.5,31.87,31.468,946.28,67.813,65.72,70.558,373.5,1146.0,1547.0,821.0,-0.056,-0.032,-0.032,64640.0,65024.0,65024.0,1286.695,0.622,172.329,195.73,196.182,196.255,196.297,24.582,25.996,25.998,25.998,0.556,26.0,-524.5,0.0,96.0,4114.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.148,2147483647.0,-63.5,3.5,17.439,78.363,3.4,1634894966091.0
57,2021-10-22 15:07:00,1,1,2.99,2805.5,31.19,32.464,950.482,77.004,70.997,81.666,367.0,799.5,1526.5,728.0,0.128,-0.016,0.016,34816.0,32512.0,256.0,1298.954,0.257,178.561,202.848,203.344,203.425,203.469,25.479,26.972,26.995,26.999,0.579,0.0,1547.0,0.0,96.0,4111.5,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,29.955,2147483647.0,-60.0,3.5,17.418,78.39,2.0,1634895398611.5
58,2021-10-22 15:08:00,1,1,5.99,2807.5,31.065,33.073,949.874,77.895,72.652,84.719,441.0,1099.5,1738.5,810.5,-0.016,-0.024,-0.04,65280.0,32384.0,32128.0,659.303,0.214,196.024,222.96,223.69,223.817,223.87,28.03,29.847,30.014,30.048,0.563,0.0,1599.0,0.0,96.0,4114.5,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.946,1073741795.0,-60.0,4.0,17.415,78.394,3.05,1634895460522.5
59,2021-10-22 15:09:00,1,1,6.02,2809.5,31.165,32.889,949.876,75.821,73.15,78.813,413.0,1103.0,1658.5,809.5,0.112,0.016,0.08,34560.0,256.0,1280.0,557.738,0.241,271.369,309.698,311.411,311.728,311.822,39.028,42.221,42.991,43.145,0.575,0.0,615.5,0.0,96.0,4116.5,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,25.394,2147483647.0,-62.0,4.0,17.412,78.396,4.2,1634895522532.5
60,2021-10-22 15:10:00,1,1,3.92,2811.0,31.09,32.381,950.458,77.465,72.852,84.435,519.0,1246.0,1960.0,844.0,0.144,0.0,-0.032,2304.0,0.0,65024.0,584.639,0.742,219.293,251.363,253.487,253.893,253.99,31.774,35.07,36.26,36.498,0.621,0.0,1121.0,0.0,96.0,4108.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.167,2147483647.0,-56.0,4.0,17.41,78.399,4.6,1634895568844.0
66,2021-10-22 15:16:00,1,1,4.69,2813.0,32.04,30.524,952.343,75.937,70.941,79.657,398.0,957.0,1616.0,768.0,-0.08,0.064,-0.112,64256.0,1024.0,63744.0,3038.115,0.652,265.433,301.49,302.197,302.311,302.375,37.865,40.054,40.064,40.066,0.539,0.0,1736.0,0.0,96.0,4120.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,29.969,-75.0,-55.0,4.0,17.398,78.42,2.0,1634895956511.0
67,2021-10-22 15:17:00,1,1,1.75,2814.5,32.19,31.08,951.416,75.63,71.888,80.151,440.0,1507.0,1735.5,919.0,-0.032,0.016,-0.032,32256.0,256.0,32256.0,2155.958,0.804,1102.154,1251.793,1254.674,1255.136,1255.402,157.211,166.245,166.245,166.246,0.52,0.0,1177.5,0.0,96.0,4112.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,31.644,2147483647.0,-57.0,4.0,17.397,78.424,1.65,1634896002630.5
68,2021-10-22 15:18:00,1,1,3.61,2816.5,32.245,33.935,951.925,76.006,70.617,81.436,545.5,1544.0,2026.0,929.5,-0.024,0.032,-0.04,32384.0,33280.0,64896.0,2091.325,0.976,490.941,557.653,558.975,559.189,559.309,70.04,74.102,74.132,74.138,0.538,21.5,912.5,0.0,96.0,4106.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,31.431,1073741794.0,-59.0,4.0,17.396,78.429,1.5,1634896065031.5
69,2021-10-22 15:19:00,1,1,5.74,2818.0,32.38,34.051,952.583,75.26,69.594,80.03,484.0,1428.0,1855.0,897.0,0.032,-0.096,-0.096,512.0,64000.0,64000.0,1804.157,0.562,289.543,328.853,329.61,329.732,329.802,41.3,43.673,43.673,43.673,0.522,0.0,1502.0,0.0,96.0,4098.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.906,-57.0,-61.0,4.0,17.396,78.432,2.0,1634896111345.0
70,2021-10-22 15:20:00,1,1,2.57,2819.0,32.22,35.244,952.506,73.793,68.757,76.715,442.0,1317.0,1740.0,872.0,-0.048,-0.016,0.032,64768.0,65280.0,512.0,731.894,0.334,325.028,369.157,370.006,370.143,370.221,46.362,49.026,49.026,49.026,0.515,0.0,2800.0,0.0,96.0,4106.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,29.44,-83.0,-64.0,3.0,17.396,78.433,2.0,1634896142350.0
