,Date Time, Monitor ID, Location ID, SO2(ppm),data.temp_c,data.hum_prcnt,data.press_hpa,data.co_ppm,data.no2_ppb,data.co_mv,data.no2_mv,data.ozone_ppm,data.ozone_volt_mv,data.tvoc_ppb,data.batt_prcnt,data.location.lat,data.location.lon,data.location.acc,data.timestamp
24,2021-10-23 11:56:00,1,1,0.0,28.815,41.757,946.982,355.0,4133.5,1499.0,1659.0,63.0,-1261.5,0.0,100.0,17.446,78.351,1.4,1634970316553.0
25,2021-10-23 11:57:00,1,1,0.0,29.385,41.539,946.927,346.0,3233.5,1469.0,1405.0,60.5,-1213.0,0.0,100.0,17.446,78.351,1.0,1634970378662.5
27,2021-10-23 11:59:00,1,1,0.0,30.75,41.225,946.985,329.0,2521.0,1418.0,1209.0,28.0,-565.0,0.0,100.0,17.446,78.351,0.9,1634970498561.0
31,2021-10-23 12:03:00,1,1,0.0,32.48,29.272,945.55,336.0,1460.0,1451.0,909.0,0.0,4688.0,0.0,100.0,17.446,78.351,0.9,1634970738165.0
34,2021-10-23 12:06:00,1,1,0.0,33.49,27.965,946.76,410.0,1496.0,1650.0,921.0,0.0,737.0,0.0,99.0,17.446,78.351,0.9,1634970901077.0
38,2021-10-23 12:10:00,1,1,0.2,34.4,27.045,949.634,388.0,1307.0,1587.0,864.0,0.0,2886.0,0.0,99.0,17.446,78.351,0.9,1634971170735.0
42,2021-10-23 12:14:00,1,1,0.1,36.32,24.898,949.442,346.0,1064.0,1475.0,801.0,0.0,16825.0,0.0,98.0,17.446,78.351,0.9,1634971436478.0
46,2021-10-23 12:18:00,1,1,0.0,38.06,22.457,949.497,369.0,1210.0,1531.0,841.0,0.0,10160.0,0.0,98.0,17.446,78.351,0.9,1634971628866.0
50,2021-10-23 12:22:00,1,1,0.0,36.77,27.035,950.754,383.0,1560.0,1575.0,937.0,48.0,-956.0,0.0,97.0,17.446,78.351,0.9,1634971890063.0
54,2021-10-23 12:26:00,1,1,0.0,36.6,24.813,951.154,399.0,1314.0,1611.0,868.0,0.0,5231.0,0.0,97.0,17.446,78.351,0.9,1634972143009.0
59,2021-10-23 12:31:00,1,1,0.1,37.42,23.61,950.361,423.0,1325.0,1681.0,873.0,0.0,5172.0,0.0,97.0,17.446,78.351,0.9,1634972427289.0
62,2021-10-23 12:34:00,1,1,0.2,38.14,23.054,952.636,454.0,1550.0,1770.0,937.0,0.0,3289.0,0.0,97.0,17.446,78.351,0.9,1634972599258.0
66,2021-10-23 12:38:00,1,1,0.1,39.71,20.434,953.371,510.0,1732.0,1928.0,989.0,0.0,13751.0,0.0,96.0,17.446,78.351,0.9,1634972854399.0
71,2021-10-23 12:43:00,1,1,0.1,38.51,21.721,953.1,404.0,1560.0,1624.0,936.0,0.0,3201.0,0.0,96.0,17.446,78.351,0.9,1634973145396.0
75,2021-10-23 12:47:00,1,1,0.1,39.47,21.437,951.92,377.0,1385.0,1558.0,890.0,0.0,10019.0,0.0,96.0,17.446,78.351,0.9,1634973407245.0
78,2021-10-23 12:50:00,1,1,0.1,39.17,21.752,952.876,471.0,1646.0,1814.0,965.0,0.0,2453.0,0.0,96.0,17.446,78.351,0.9,1634973553185.0
82,2021-10-23 12:54:00,1,1,0.1,39.09,20.9,953.292,454.0,1550.0,1776.0,929.0,131.0,-2610.0,0.0,95.0,17.446,78.351,0.9,1634973796802.0
84,2021-10-23 12:56:00,1,1,0.1,39.23,20.388,953.27,452.0,1535.0,1772.0,927.0,0.0,6204.0,0.0,95.0,17.446,78.351,0.9,1634973950548.0
89,2021-10-23 13:01:00,1,1,0.2,40.17,20.911,953.664,569.0,1932.0,2099.0,1047.0,0.0,1210.0,0.0,95.0,17.446,78.351,0.9,1634974210524.0
93,2021-10-23 13:05:00,1,1,0.6,40.62,19.014,955.361,459.0,1678.0,1789.0,969.0,0.0,3416.0,0.0,95.0,17.446,78.351,0.9,1634974443887.0
97,2021-10-23 13:09:00,1,1,0.8,43.37,17.58,955.543,527.0,2135.0,1979.0,1105.0,0.0,2597.0,0.0,94.0,17.446,78.351,0.9,1634974690125.0
101,2021-10-23 13:13:00,1,1,0.6,44.34,19.23,955.533,835.0,4171.0,2834.0,1665.0,0.0,2055.0,0.0,94.0,17.446,78.351,0.9,1634974947609.0
106,2021-10-23 13:18:00,1,1,0.1,43.18,17.395,955.318,437.0,1875.0,1722.0,1022.0,0.0,5700.0,0.0,94.0,17.446,78.351,0.9,1634975231582.0
110,2021-10-23 13:22:00,1,1,0.1,40.37,19.296,956.19,503.0,1803.0,1914.0,1007.0,0.0,872.0,0.0,94.0,17.446,78.351,0.9,1634975492185.0
114,2021-10-23 13:26:00,1,1,0.0,40.13,19.4,955.884,498.0,1739.0,1891.0,987.0,0.0,3011.0,0.0,94.0,17.446,78.351,0.9,1634975742400.0
118,2021-10-23 13:30:00,1,1,0.1,37.69,22.086,953.719,482.0,1489.0,1843.0,912.0,0.0,220.0,0.0,94.0,17.446,78.351,0.9,1634975986103.0
122,2021-10-23 13:34:00,1,1,0.0,36.64,24.362,952.809,482.0,1500.0,1851.0,925.0,56.0,-1116.0,0.0,94.0,17.446,78.351,0.9,1634976195774.0
125,2021-10-23 13:37:00,1,1,0.0,35.65,26.542,952.299,441.0,1317.0,1738.0,870.0,61.0,-1211.0,0.0,94.0,17.446,78.351,0.9,1634976388815.0
129,2021-10-23 13:41:00,1,1,0.0,36.98,24.682,951.91,681.0,1917.0,2403.0,1034.0,300.0,-5988.0,0.0,94.0,17.446,78.351,0.9,1634976654690.0
133,2021-10-23 13:45:00,1,1,0.1,37.82,23.303,953.953,500.0,1439.0,1904.0,906.0,4.0,-88.0,0.0,94.0,17.446,78.351,0.9,1634976900024.0
137,2021-10-23 13:49:00,1,1,0.0,39.3,21.454,953.645,547.0,1610.0,2035.0,946.0,0.0,4955.0,0.0,94.0,17.446,78.351,0.9,1634977102677.0
141,2021-10-23 13:53:00,1,1,0.1,38.76,21.353,956.102,489.0,1667.0,1868.0,967.0,0.0,661.0,0.0,93.0,17.446,78.351,0.9,1634977322254.0
144,2021-10-23 13:56:00,1,1,0.0,39.98,20.788,956.397,527.0,1896.0,1983.0,1035.0,51.0,-1014.0,0.0,93.0,17.446,78.351,0.9,1634977519906.0
147,2021-10-23 13:59:00,1,1,0.1,40.34,19.371,956.531,617.0,1810.0,2228.0,1004.0,0.0,240.0,0.0,93.0,17.446,78.351,0.9,1634977738683.0
151,2021-10-23 14:03:00,1,1,0.0,41.03,19.196,956.618,695.0,2196.0,2451.0,1117.0,0.0,45.0,0.0,93.0,17.446,78.351,0.9,1634977952672.0
155,2021-10-23 14:07:00,1,1,0.3,41.3,18.52,956.431,496.0,1614.0,1882.0,953.0,53.0,-1064.0,0.0,93.0,17.446,78.351,0.9,1634978172370.0
158,2021-10-23 14:10:00,1,1,0.2,42.86,19.578,956.546,813.0,2585.0,2782.0,1223.0,45.0,-895.0,0.0,93.0,17.446,78.351,0.9,1634978345835.0
159,2021-10-23 14:11:00,1,1,0.2,43.66,18.32,956.616,794.0,2889.0,2722.0,1308.0,14.0,-282.0,0.0,93.0,17.446,78.351,0.9,1634978449281.0
163,2021-10-23 14:15:00,1,1,0.2,43.78,15.766,956.451,541.0,2003.0,2015.0,1069.0,0.0,6203.0,0.0,93.0,17.446,78.351,0.9,1634978676783.0
165,2021-10-23 14:17:00,1,1,0.5,42.08,17.621,956.51,656.0,2264.0,2337.0,1134.0,0.0,127.0,0.0,93.0,17.446,78.351,0.9,1634978813882.0
170,2021-10-23 14:22:00,1,1,0.3,42.81,19.334,956.167,786.0,2864.0,2701.0,1303.0,119.0,-2366.0,0.0,93.0,17.446,78.351,0.9,1634979068117.0
173,2021-10-23 14:25:00,1,1,0.3,43.54,18.993,956.002,813.0,3332.0,2780.0,1438.0,26.0,-520.0,0.0,93.0,17.446,78.351,0.9,1634979260613.0
