,Date Time, Monitor ID, Location ID, CO_ppm,Unnamed: 0,data.temp_c,data.hum_prcnt,data.press_hpa,data.eq_db,data.onesmin_db,data.onesmax_db,data.co_ppm,data.no2_ppb,data.co_mv,data.no2_mv,data.x_g,data.y_g,data.z_g,data.x_raw,data.y_raw,data.z_raw,data.lux_lx,data.uv_mwpm2,data.nc0p5_npcm3,data.nc1p0_npcm3,data.nc2p5_npcm3,data.nc4p0_npcm3,data.nc10p0_npcm3,data.mc1p0_ugpm3,data.mc2p5_ugpm3,data.mc4p0_ugpm3,data.mc10p0_ugpm3,data.typ_pm_um,data.ozone_ppm,data.ozone_volt_mv,data.tvoc_ppb,data.batt_prcnt,data.batt_volt,data.bme280_int,data.speco3_int,data.mic_int,data.mic4514_int,data.mic4514pre_int,data.sgpc3_int,data.sps30_int,data.sps30pre_int,data.lis3dh_int,data.si1133_int,data.batt_int,data.leds_on,data.code_version,data.gps_avg_snr,data.cell_strength_dbm,data.wifi_strength_dbm,data.wifi_strength_asl,data.location.lat,data.location.lon,data.location.acc,data.timestamp
49,2021-07-27 14:18:00,1,1,0.0,2959.5,37.48,38.549,939.701,68.916,65.355,72.334,574.0,2529.5,2102.5,1204.5,0.04,0.0,-0.008,640.0,0.0,32640.0,0.0,0.0,126.166,145.771,147.773,148.164,148.242,18.529,21.177,22.458,22.714,0.536,128.0,-2552.5,0.0,94.0,4076.5,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,26.7,-77.0,-28.5,4.0,17.49,78.408,1.55,1627375722272.5
50,2021-07-27 14:19:00,1,1,0.0,2961.5,37.805,38.441,939.638,66.783,62.261,74.906,573.5,2526.5,2103.5,1206.0,-0.008,0.0,-0.088,32640.0,32768.0,31360.0,0.0,0.0,96.923,110.823,111.577,111.719,111.756,13.984,15.262,15.645,15.722,0.541,119.0,-2377.0,0.0,93.5,4070.5,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,26.925,-81.5,-31.0,4.0,17.49,78.408,1.75,1627375783371.5
51,2021-07-27 14:20:00,1,1,0.0,2963.0,38.31,38.355,939.723,71.88,68.01,75.025,605.0,2582.0,2198.0,1228.0,0.032,0.0,-0.032,512.0,0.0,65024.0,0.0,0.0,299.934,323.124,323.867,323.986,324.055,40.581,42.912,42.912,42.912,0.446,31.0,-625.0,0.0,93.0,4076.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,16.878,-70.0,-31.0,4.0,17.489,78.409,3.3,1627375830169.0
52,2021-07-27 14:21:00,1,1,0.0,2964.5,38.795,34.649,939.984,78.353,73.852,84.587,613.0,2478.0,2215.0,1195.0,-0.12,0.024,0.008,63616.0,384.0,32896.0,0.0,0.0,277.754,315.466,316.192,316.308,316.375,39.619,41.895,41.895,41.895,0.454,82.0,-1635.0,0.0,93.0,4076.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,18.538,-96.0,-31.0,4.0,17.486,78.411,3.5,1627375876683.0
53,2021-07-27 14:22:00,1,1,0.0,2966.5,38.535,35.217,940.696,76.91,72.225,85.774,623.5,2560.5,2243.5,1217.5,0.008,0.0,-0.008,32896.0,32768.0,32640.0,0.0,0.0,226.327,257.056,257.647,257.742,257.797,32.283,34.138,34.138,34.138,0.488,125.5,-2502.5,0.0,93.0,4077.5,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,19.404,-74.0,-31.0,4.0,17.484,78.414,5.35,1627375939021.5
54,2021-07-27 14:23:00,1,1,4.98,2968.5,37.7,35.51,941.391,79.205,74.992,87.927,583.5,2638.5,2140.5,1237.0,0.008,-0.032,-0.056,128.0,65024.0,31872.0,0.0,0.0,94.867,107.751,108.002,108.042,108.065,13.533,14.313,14.315,14.315,0.523,98.0,-1960.0,0.0,93.0,4080.5,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,21.419,-86.5,-31.0,4.0,17.479,78.418,3.0,1627376001051.5
55,2021-07-27 14:24:00,1,1,11.06,2970.5,36.9,36.779,942.243,80.459,75.302,86.816,599.5,2489.0,2178.5,1196.0,0.008,-0.008,-0.008,32896.0,32640.0,32640.0,0.0,0.0,116.87,133.2,133.819,133.931,133.968,16.77,18.03,18.269,18.317,0.56,132.0,-2642.0,0.0,93.0,4081.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,18.225,-90.0,-31.0,4.0,17.476,78.423,4.0,1627376063163.5
56,2021-07-27 14:25:00,1,1,12.9,2972.5,36.465,37.451,942.366,74.309,72.165,77.111,637.5,2639.0,2288.5,1244.0,-0.032,0.0,-0.056,65024.0,32768.0,64640.0,0.0,0.0,263.002,300.727,302.778,303.164,303.266,37.949,41.42,42.464,42.673,0.538,131.0,-2615.5,0.0,93.0,4069.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,26.614,-95.5,-40.5,4.0,17.476,78.423,2.3,1627376124778.5
57,2021-07-27 14:26:00,1,1,18.84,2974.5,36.24,37.616,942.471,77.126,74.471,80.465,630.0,2647.5,2263.5,1241.0,-0.04,-0.008,-0.056,64896.0,32640.0,64640.0,0.0,0.0,125.99,143.096,143.425,143.478,143.508,17.971,19.004,19.004,19.004,0.512,111.0,-2206.5,0.0,93.0,4077.5,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,21.904,-96.0,-35.0,4.0,17.475,78.424,2.5,1627376187076.5
58,2021-07-27 14:27:00,1,1,19.35,2976.5,35.98,37.491,942.58,79.392,75.104,84.25,630.0,2464.0,2270.0,1188.0,-0.024,0.016,-0.064,32384.0,256.0,64512.0,0.0,0.0,99.762,113.307,113.567,113.609,113.633,14.23,15.048,15.048,15.048,0.515,127.0,-2532.5,0.0,93.0,4073.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,23.532,-96.0,-35.0,4.0,17.47,78.427,3.15,1627376249051.5
