,Date Time, Monitor ID, Location ID, CO_ppm,data.temp_c,data.hum_prcnt,data.press_hpa,data.eq_db,data.onesmin_db,data.onesmax_db,data.co_ppm,data.no2_ppb,data.co_mv,data.no2_mv,data.x_g,data.y_g,data.z_g,data.x_raw,data.y_raw,data.z_raw,data.lux_lx,data.uv_mwpm2,data.nc0p5_npcm3,data.nc1p0_npcm3,data.nc2p5_npcm3,data.nc4p0_npcm3,data.nc10p0_npcm3,data.mc1p0_ugpm3,data.mc2p5_ugpm3,data.mc4p0_ugpm3,data.mc10p0_ugpm3,data.typ_pm_um,data.ozone_ppm,data.ozone_volt_mv,data.tvoc_ppb,data.batt_prcnt,data.batt_volt,data.bme280_int,data.speco3_int,data.mic_int,data.mic4514_int,data.mic4514pre_int,data.sgpc3_int,data.sps30_int,data.sps30pre_int,data.lis3dh_int,data.si1133_int,data.batt_int,data.leds_on,data.code_version,data.gps_avg_snr,data.cell_strength_dbm,data.wifi_strength_dbm,data.wifi_strength_asl,data.location.lat,data.location.lon,data.location.acc,data.timestamp
16,2021-07-27 13:45:00,1,1,0.0,33.39,46.863,939.582,78.793,74.685,84.507,495.5,2928.5,1888.0,1321.0,0.08,-0.008,0.144,34048.0,32640.0,2304.0,3791.142,0.506,89.621,110.165,115.979,117.166,117.357,14.575,18.535,22.09,22.802,0.69,43.5,-870.0,0.0,97.5,4123.5,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,29.02,1073741792.0,-34.5,4.0,17.443,78.356,1100.0,1627373743489.5
18,2021-07-27 13:47:00,1,1,0.0,34.16,42.819,939.913,75.194,70.242,81.069,478.0,2792.0,1834.0,1281.0,0.0,0.064,0.064,0.0,1024.0,1024.0,4546.194,0.279,54.304,63.923,65.516,65.838,65.898,8.22,10.07,11.184,11.407,0.595,0.0,95.0,0.0,97.0,4123.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,26.531,,-36.0,4.0,17.443,78.356,1100.0,1627373837217.0
25,2021-07-27 13:54:00,1,1,0.0,35.79,37.652,938.847,77.189,73.023,80.76,464.0,2635.0,1801.0,1238.0,0.112,0.0,-0.416,1792.0,0.0,58880.0,7278.192,1.072,40.668,48.182,49.586,49.871,49.922,6.223,7.814,8.812,9.011,0.664,0.0,264.0,0.0,96.0,4104.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,34.9,2147483647.0,-30.0,4.0,17.443,78.356,1100.0,1627374257518.0
26,2021-07-27 13:55:00,1,1,0.0,35.865,38.501,940.07,76.147,70.778,80.774,547.0,2794.0,2031.0,1282.5,-0.008,0.048,-0.096,32640.0,768.0,31232.0,4679.492,0.752,55.407,65.974,68.112,68.546,68.622,8.55,10.935,12.468,12.774,0.66,0.0,1470.0,0.0,96.0,4107.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,33.122,2147483647.0,-13.0,4.0,17.443,78.356,1100.0,1627374337857.0
30,2021-07-27 13:59:00,1,1,0.0,29.3,60.484,937.859,56.246,48.258,63.355,442.0,3650.0,1737.0,1520.0,0.064,-0.016,-0.128,1024.0,65280.0,63488.0,40.168,0.226,29.68,34.53,35.122,35.241,35.265,4.405,5.145,5.539,5.618,0.651,56.0,-1123.0,0.0,98.0,4150.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,27.55,-59.0,-59.0,4.0,17.445,78.35,13.782,1627374577067.0
31,2021-07-27 14:00:00,1,1,0.0,29.53,59.76,937.953,61.892,51.004,73.029,444.0,3500.0,1747.0,1475.0,-0.016,0.0,-0.016,65280.0,0.0,65280.0,42.417,0.101,32.174,37.002,37.351,37.42,37.437,4.682,5.2,5.402,5.442,0.604,56.0,-1123.0,0.0,98.0,4154.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,23.35,2147483647.0,-51.0,4.0,17.445,78.35,12.878,1627374608261.0
33,2021-07-27 14:02:00,1,1,0.0,30.15,57.817,937.813,54.991,48.766,60.031,456.0,3267.0,1782.0,1409.0,0.0,-0.016,-0.032,0.0,65280.0,65024.0,43.136,0.172,29.54,33.94,34.238,34.297,34.312,4.292,4.746,4.914,4.947,0.598,20.0,-406.0,0.0,98.0,4142.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,24.233,,-53.0,4.0,17.445,78.35,13.274,1627374738649.0
38,2021-07-27 14:07:00,1,1,0.0,35.43,42.152,938.852,72.679,71.121,74.947,543.0,3016.0,2020.5,1343.5,0.0,0.0,0.0,32768.0,32768.0,32768.0,1607.706,0.491,89.702,102.096,102.341,102.383,102.411,12.823,13.56,13.56,13.56,0.498,12.0,-242.5,0.0,94.0,4089.5,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,31.703,2147483647.0,-28.5,4.0,17.443,78.356,1100.0,1627375042937.0
39,2021-07-27 14:08:00,1,1,0.0,35.82,41.681,938.793,72.122,70.606,73.906,535.5,3015.5,2002.5,1342.5,0.008,0.0,0.016,32896.0,32768.0,33024.0,1730.021,0.719,43.402,49.399,49.518,49.538,49.551,6.205,6.561,6.561,6.561,0.512,26.5,-531.5,0.0,94.0,4090.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,29.202,2147483647.0,-32.5,4.0,17.443,78.356,1100.0,1627375104939.0
40,2021-07-27 14:09:00,1,1,0.0,36.2,41.001,938.822,73.564,71.953,75.091,542.5,3048.0,2017.0,1350.5,-0.008,-0.008,0.008,32640.0,32640.0,32896.0,1333.624,0.426,52.362,59.596,59.74,59.764,59.78,7.485,7.915,7.915,7.916,0.515,33.5,-672.5,0.0,94.0,4089.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,27.758,2147483647.0,-46.5,4.0,17.443,78.356,1100.0,1627375166754.5
