,Date Time, Monitor ID, Location ID, NO2(ppm),data.temp_c,data.hum_prcnt,data.press_hpa,data.eq_db,data.onesmin_db,data.onesmax_db,data.co_ppm,data.no2_ppb,data.co_mv,data.no2_mv,data.x_g,data.y_g,data.z_g,data.x_raw,data.y_raw,data.z_raw,data.lux_lx,data.uv_mwpm2,data.nc0p5_npcm3,data.nc1p0_npcm3,data.nc2p5_npcm3,data.nc4p0_npcm3,data.nc10p0_npcm3,data.mc1p0_ugpm3,data.mc2p5_ugpm3,data.mc4p0_ugpm3,data.mc10p0_ugpm3,data.typ_pm_um,data.ozone_ppm,data.ozone_volt_mv,data.tvoc_ppb,data.batt_prcnt,data.batt_volt,data.bme280_int,data.speco3_int,data.mic_int,data.mic4514_int,data.mic4514pre_int,data.sgpc3_int,data.sps30_int,data.sps30pre_int,data.lis3dh_int,data.si1133_int,data.batt_int,data.leds_on,data.code_version,data.gps_avg_snr,data.cell_strength_dbm,data.wifi_strength_dbm,data.wifi_strength_asl,data.location.lat,data.location.lon,data.location.acc,data.timestamp
34,2021-08-19 11:55:00,1,1,0.019,32.925,47.579,940.476,75.562,70.496,80.376,498.0,2456.5,1894.5,1187.5,0.048,-0.04,0.0,768.0,32128.0,32768.0,242.758,0.347,43.464,50.583,51.463,51.639,51.675,6.454,7.55,8.137,8.254,0.601,0.0,1329.0,0.0,56.0,3631.5,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,31.459,1073741796.0,-47.0,4.0,17.463,78.335,1.7,1629354323045.0
35,2021-08-19 11:56:00,1,1,0.031,32.81,47.246,941.913,71.971,67.374,84.616,501.0,2425.0,1900.0,1182.0,-0.08,0.0,-0.08,64256.0,0.0,64256.0,268.791,0.008,47.965,55.287,55.893,56.013,56.041,7.007,7.862,8.227,8.3,0.591,0.0,511.0,0.0,55.0,3635.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,30.36,,-46.0,4.0,17.466,78.333,2.0,1629354377942.0
36,2021-08-19 11:57:00,1,1,0.027999999999999997,32.78,47.11,942.922,72.399,68.511,76.901,499.0,2385.0,1904.0,1166.0,-0.016,-0.016,-0.096,65280.0,65280.0,64000.0,237.499,0.357,43.963,50.16,50.364,50.402,50.418,6.311,6.754,6.819,6.832,0.554,0.0,185.0,0.0,55.0,3624.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,30.36,,-46.0,4.0,17.466,78.333,2.0,1629354464085.0
38,2021-08-19 11:59:00,1,1,0.046,32.69,48.007,942.665,76.461,71.229,84.48,522.0,2457.0,1958.0,1188.0,-0.176,0.0,0.032,62720.0,0.0,512.0,278.284,0.164,79.558,90.551,90.768,90.806,90.83,11.373,12.027,12.027,12.027,0.53,15.0,-309.0,0.0,55.0,3621.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,30.36,,-46.0,4.0,17.466,78.333,2.0,1629354573613.0
40,2021-08-19 12:01:00,1,1,0.031,32.67,46.832,942.762,74.993,69.613,84.638,497.0,2407.0,1892.0,1176.0,0.064,-0.048,-0.064,1024.0,64768.0,64512.0,194.133,0.418,57.206,65.11,65.267,65.293,65.311,8.178,8.648,8.648,8.648,0.53,53.0,-1060.0,0.0,55.0,3618.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,30.36,,-46.0,4.0,17.466,78.333,2.0,1629354690091.0
43,2021-08-19 12:04:00,1,1,0.05,32.565,47.795,941.921,78.699,70.897,85.587,514.0,2423.0,1943.5,1180.0,-0.048,-0.032,0.0,64768.0,32256.0,0.0,206.408,0.512,60.391,68.763,68.947,68.98,68.999,8.639,9.154,9.169,9.172,0.54,56.0,-1112.0,0.0,55.0,3613.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,30.484,2147483647.0,-43.0,4.0,17.465,78.334,2.15,1629354861832.5
44,2021-08-19 12:05:00,1,1,0.013999999999999999,32.425,47.738,940.709,76.26,72.16,85.083,522.0,2374.5,1966.5,1166.0,0.08,-0.072,-0.032,128.0,32640.0,65024.0,193.579,0.187,63.695,72.708,73.028,73.087,73.111,9.151,9.816,9.928,9.95,0.562,31.5,-631.0,0.0,55.0,3615.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,27.061,1073741797.0,-44.0,4.0,17.464,78.335,2.35,1629354928273.0
45,2021-08-19 12:06:00,1,1,0.034,32.235,48.128,942.132,72.165,67.747,79.034,494.0,2378.0,1878.5,1166.0,-0.04,0.008,0.008,32128.0,32896.0,32896.0,266.947,0.433,50.493,58.126,58.713,58.829,58.858,7.36,8.211,8.557,8.626,0.605,21.5,-421.0,0.0,55.0,3617.5,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,24.845,2147483647.0,-45.5,4.0,17.468,78.331,2.45,1629354990281.5
46,2021-08-19 12:07:00,1,1,0.031,32.26,48.288,941.978,77.548,71.386,82.989,522.0,2440.5,1964.5,1177.0,-0.064,-0.032,-0.008,31744.0,32256.0,32640.0,630.115,0.715,51.419,59.419,60.17,60.32,60.354,7.544,8.56,9.031,9.126,0.614,61.5,-1221.0,0.0,55.0,3615.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.992,2147483647.0,-35.0,4.0,17.468,78.335,1.95,1629355052586.0
47,2021-08-19 12:08:00,1,1,0.033,32.2,47.485,941.317,81.649,74.713,85.515,490.5,2333.5,1871.0,1152.5,-0.032,-0.016,-0.032,32256.0,32512.0,65024.0,577.5,0.414,54.195,63.101,64.217,64.442,64.487,8.054,9.439,10.186,10.335,0.622,8.5,-177.5,0.0,55.0,3612.5,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,25.602,-77.0,-41.0,4.0,17.466,78.34,2.1,1629355114209.5
