,Date Time, Monitor ID, Location ID, CO_ppm,data.temp_c,data.hum_prcnt,data.press_hpa,data.eq_db,data.onesmin_db,data.onesmax_db,data.co_ppm,data.no2_ppb,data.co_mv,data.no2_mv,data.x_g,data.y_g,data.z_g,data.x_raw,data.y_raw,data.z_raw,data.lux_lx,data.uv_mwpm2,data.nc0p5_npcm3,data.nc1p0_npcm3,data.nc2p5_npcm3,data.nc4p0_npcm3,data.nc10p0_npcm3,data.mc1p0_ugpm3,data.mc2p5_ugpm3,data.mc4p0_ugpm3,data.mc10p0_ugpm3,data.typ_pm_um,data.ozone_ppm,data.ozone_volt_mv,data.tvoc_ppb,data.batt_prcnt,data.batt_volt,data.bme280_int,data.speco3_int,data.mic_int,data.mic4514_int,data.mic4514pre_int,data.sgpc3_int,data.sps30_int,data.sps30pre_int,data.lis3dh_int,data.si1133_int,data.batt_int,data.leds_on,data.code_version,data.gps_avg_snr,data.cell_strength_dbm,data.wifi_strength_dbm,data.wifi_strength_asl,data.location.lat,data.location.lon,data.location.acc,data.timestamp
4,2021-06-26 19:42:00,1,1,1.19,31.56,33.685,938.261,52.168,50.082,53.45,547.0,2528.0,2036.0,1206.0,0.0,-0.016,-0.16,64768.0,0.0,62976.0,44.197,0.502,39.308,44.798,44.946,44.973,44.986,5.632,5.994,6.025,6.031,0.542,0.0,633.0,0.0,63.0,3706.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,,-56.0,4.0,17.445,78.35,14.542,1624716755911.0
7,2021-06-26 19:45:00,1,1,1.06,31.34,32.749,938.188,50.987,49.935,52.002,548.0,2482.0,2032.0,1195.0,-0.016,0.0,0.048,65280.0,0.0,768.0,44.322,0.434,38.268,43.555,43.66,43.678,43.69,5.471,5.785,5.785,5.785,0.521,0.0,424.0,0.0,62.0,3725.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,,-56.0,4.0,17.445,78.35,14.542,1624716915435.0
14,2021-06-26 19:52:00,1,1,0.83,30.96,32.153,937.925,52.858,48.236,56.88,541.0,2457.0,2017.0,1189.0,0.016,0.016,0.032,256.0,256.0,512.0,44.103,0.039,34.599,39.439,39.574,39.598,39.61,4.959,5.282,5.313,5.32,0.579,0.0,157.0,0.0,62.0,3704.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,,-56.0,4.0,17.445,78.35,14.542,1624717339137.0
33,2021-06-26 20:11:00,1,1,0.46,31.1,35.502,938.235,53.0,37.374,58.714,544.0,2539.0,2027.0,1210.0,-0.016,0.0,-0.048,65280.0,0.0,64768.0,44.197,0.47,34.436,39.194,39.289,39.305,39.316,4.923,5.206,5.206,5.207,0.548,38.0,-749.0,0.0,61.0,3686.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,,-56.0,4.0,17.445,78.35,14.542,1624718472597.0
40,2021-06-26 20:18:00,1,1,0.9,31.09,39.14,938.451,55.379,48.817,59.667,660.0,2682.0,2347.0,1247.0,-0.048,0.016,0.096,64768.0,256.0,1536.0,44.072,0.449,38.4,43.786,43.947,43.976,43.989,5.507,5.876,5.918,5.927,0.584,25.0,-490.0,0.0,60.0,3677.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,,-56.0,4.0,17.445,78.35,14.542,1624718898250.0
45,2021-06-26 20:23:00,1,1,0.57,30.86,35.931,938.46,55.652,48.065,61.402,787.0,3396.0,2704.0,1439.0,0.016,-0.032,-0.016,256.0,65024.0,65280.0,44.166,0.117,33.358,37.999,38.113,38.133,38.144,4.776,5.071,5.089,5.092,0.562,0.0,308.0,0.0,60.0,3673.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,,-56.0,4.0,17.445,78.35,14.542,1624719223330.0
50,2021-06-26 20:28:00,1,1,0.0,30.71,36.825,938.638,46.96,37.51,53.684,788.0,3392.0,2700.0,1446.0,-0.016,0.0,-0.112,65280.0,0.0,63744.0,43.822,0.449,37.963,43.211,43.316,43.334,43.346,5.428,5.741,5.742,5.742,0.552,22.0,-435.0,0.0,59.0,3673.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,,-56.0,4.0,17.445,78.35,14.542,1624719492016.0
56,2021-06-26 20:34:00,1,1,0.5,30.91,37.156,938.8,50.337,37.214,56.964,786.0,3407.0,2705.0,1451.0,-0.016,-0.016,-0.048,65280.0,65280.0,64768.0,44.322,0.257,32.035,36.485,36.589,36.607,36.618,4.585,4.863,4.876,4.878,0.571,27.0,-529.0,0.0,59.0,3664.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,,-56.0,4.0,17.445,78.35,14.542,1624719885323.0
62,2021-06-26 20:40:00,1,1,0.76,30.96,39.491,938.824,53.804,47.136,59.053,779.0,3317.0,2675.0,1427.0,-0.016,0.016,0.048,65280.0,256.0,768.0,44.353,0.173,34.726,39.589,39.729,39.755,39.767,4.978,5.307,5.342,5.348,0.57,21.0,-424.0,0.0,59.0,3662.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,,-56.0,4.0,17.445,78.35,14.542,1624720223157.0
67,2021-06-26 20:45:00,1,1,1.02,30.81,37.172,938.929,57.595,50.005,63.598,773.0,3221.0,2658.0,1393.0,0.0,0.0,-0.048,0.0,0.0,64768.0,44.166,0.569,32.401,36.878,36.966,36.981,36.991,4.632,4.898,4.898,4.898,0.547,0.0,265.0,0.0,59.0,3651.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,,-56.0,4.0,17.445,78.35,14.542,1624720555847.0
