,Date Time, Monitor ID, Location ID, NO2(ppm),NO2_ppb,data.temp_c,data.hum_prcnt,data.press_hpa,data.eq_db,data.onesmin_db,data.onesmax_db,data.co_ppm,data.no2_ppb,data.co_mv,data.no2_mv,data.x_g,data.y_g,data.z_g,data.x_raw,data.y_raw,data.z_raw,data.lux_lx,data.uv_mwpm2,data.nc0p5_npcm3,data.nc1p0_npcm3,data.nc2p5_npcm3,data.nc4p0_npcm3,data.nc10p0_npcm3,data.mc1p0_ugpm3,data.mc2p5_ugpm3,data.mc4p0_ugpm3,data.mc10p0_ugpm3,data.typ_pm_um,data.ozone_ppm,data.ozone_volt_mv,data.tvoc_ppb,data.batt_prcnt,data.batt_volt,data.bme280_int,data.speco3_int,data.mic_int,data.mic4514_int,data.mic4514pre_int,data.sgpc3_int,data.sps30_int,data.sps30pre_int,data.lis3dh_int,data.si1133_int,data.batt_int,data.leds_on,data.code_version,data.gps_avg_snr,data.cell_strength_dbm,data.wifi_strength_dbm,data.wifi_strength_asl,data.location.lat,data.location.lon,data.location.acc,data.timestamp
1,2021-06-22 10:50:00,1,1,0.013000000000000001,13,28.44,42.271,941.618,47.509,46.193,50.904,457.5,6553.0,1780.0,2334.0,0.024,-0.024,-0.032,384.0,65152.0,65024.0,59.015,0.241,48.982,57.478,58.791,59.056,59.106,7.376,9.017,10.033,10.234,0.671,100.0,-2000.0,0.0,30.0,3348.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,-55.0,-58.5,4.0,17.445,78.35,17.032,1624339220760.5
2,2021-06-22 10:51:00,1,1,0.017,17,31.23,36.754,941.599,47.598,46.377,48.42,435.0,4540.5,1719.5,1772.0,-0.04,-0.016,0.0,64896.0,65280.0,32768.0,60.665,0.405,49.876,60.195,62.67,63.175,63.259,7.871,10.553,12.358,12.719,0.73,105.5,-2106.5,0.0,31.5,3421.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,-61.0,-55.0,4.0,17.445,78.35,14.09,1624339289306.5
4,2021-06-22 10:53:00,1,1,0.018000000000000002,18,34.03,31.274,941.568,50.994,46.921,57.83,456.5,3498.0,1779.5,1481.5,-0.016,-0.008,-0.016,32512.0,32640.0,32512.0,57.31,0.199,48.077,57.842,60.104,60.565,60.642,7.548,10.013,11.656,11.985,0.721,103.5,-2058.5,0.0,36.0,3491.5,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,-56.0,-52.0,4.0,17.445,78.35,14.7,1624339416510.5
5,2021-06-22 10:54:00,1,1,0.02,20,34.575,30.188,941.524,49.526,46.652,54.948,458.5,3265.5,1788.5,1414.5,-0.008,-0.016,0.0,32640.0,65280.0,32768.0,56.406,0.432,48.996,59.267,61.79,62.304,62.39,7.761,10.485,12.329,12.697,0.741,73.5,-1466.0,0.0,39.0,3501.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,29.36,-55.0,-55.0,4.0,17.445,78.35,13.551,1624339480121.0
9,2021-06-22 10:58:00,1,1,0.027999999999999997,28,35.52,26.482,941.421,47.401,46.581,49.782,477.0,2757.0,1834.0,1277.0,-0.048,0.0,-0.048,64768.0,0.0,64768.0,60.122,0.371,46.944,57.214,59.924,60.477,60.568,7.529,10.423,12.416,12.814,0.736,0.0,956.0,0.0,48.0,3550.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624339729119.0
13,2021-06-22 11:02:00,1,1,0.013000000000000001,13,35.47,27.201,941.34,42.437,41.087,48.483,487.0,2657.0,1868.0,1238.0,0.016,0.0,0.064,256.0,0.0,1024.0,60.403,0.517,44.568,53.803,56.025,56.477,56.553,7.036,9.443,11.063,11.387,0.722,0.0,511.0,0.0,52.0,3571.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624339975363.0
18,2021-06-22 11:07:00,1,1,0.006999999999999999,7,36.02,29.01,941.277,43.915,42.88,44.829,496.0,2639.0,1890.0,1231.0,0.032,0.0,-0.048,512.0,0.0,64768.0,60.387,0.616,50.548,62.527,66.072,66.797,66.913,8.305,12.032,14.661,15.187,0.761,0.0,76.0,0.0,54.0,3583.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624340253219.0
24,2021-06-22 11:13:00,1,1,0.016,16,36.55,27.964,941.251,42.115,41.354,43.211,505.0,2607.0,1914.0,1225.0,-0.016,-0.016,-0.016,65280.0,65280.0,65280.0,60.028,0.016,46.823,57.12,59.859,60.418,60.51,7.521,10.443,12.458,12.861,0.72,0.0,488.0,0.0,54.0,3622.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624340595779.0
30,2021-06-22 11:19:00,1,1,0.021,21,36.94,28.479,941.202,46.497,45.574,47.878,512.0,2614.0,1938.0,1237.0,0.0,-0.032,-0.064,0.0,65024.0,64512.0,60.312,0.562,48.07,58.706,61.562,62.145,62.24,7.735,10.778,12.881,13.302,0.729,0.0,290.0,0.0,58.0,3652.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624340945330.0
39,2021-06-22 11:28:00,1,1,0.016,16,37.4,27.856,941.179,41.531,40.662,43.506,525.0,2642.0,1976.0,1238.0,-0.032,0.0,-0.064,65024.0,0.0,64512.0,53.435,0.349,44.084,53.688,56.204,56.718,56.802,7.061,9.752,11.601,11.971,0.733,0.0,133.0,0.0,63.0,3736.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-57.0,4.0,17.445,78.35,13.188,1624341535605.0
