Epoch date,GMT,Temperature,Humidity,Pressure_hpa,CO_mega_ppb,CO_mega_ppm,NO2_mega_ppb,NO2_mega_ppm,Ozone_ppm,Latitude,Longitude
1627372186,27-07-2021 07:49,27.38999939,64.29100037,936.5991211,401,0.401,4375,4.375,0,17.4454205,78.3498244
1627372217,27-07-2021 07:50,27.56999969,63.79000092,936.6412964,408,0.408,3807,3.807,0,17.4454283,78.3498108
1627372278,27-07-2021 07:51,28.30999947,63.7879982,936.6234741,419,0.419,3450,3.45,0,17.4454223,78.34982
1627372320,27-07-2021 07:52,28.55999947,61.96300125,936.565918,425,0.425,3157,3.157,0,17.4454246,78.34982
1627372350,27-07-2021 07:52,28.71999931,61.26499939,936.5449219,431,0.431,3017,3.017,0,17.445419,78.3498231
1627372382,27-07-2021 07:53,28.85000038,61.2820015,936.5557861,436,0.436,2900,2.9,7,17.4454238,78.3498219
1627372412,27-07-2021 07:53,28.96999931,60.77000046,936.4763794,441,0.441,2807,2.807,0,17.4454166,78.349818
1627372443,27-07-2021 07:54,29.10000038,60.51100159,936.5831299,444,0.444,2753,2.753,3,17.4454194,78.3498233
1627372474,27-07-2021 07:54,29.21999931,60.16699982,936.6005859,446,0.446,2703,2.703,0,17.4454243,78.3498217
1627372505,27-07-2021 07:55,29.32999992,59.70000076,936.4738159,449,0.449,2657,2.657,5,17.4454243,78.3498217
1627372536,27-07-2021 07:55,29.44000053,59.5340004,936.5250854,452,0.452,2625,2.625,0,17.4454243,78.3498217
1627375706,27-07-2021 08:48,37.40999985,38.42699814,939.6989136,571,0.571,2517,2.517,123,17.49018167,78.40808833
1627375737,27-07-2021 08:48,37.54999924,38.67200089,939.703186,577,0.577,2542,2.542,133,17.49018,78.40808667
1627375767,27-07-2021 08:49,37.68999863,38.38899994,939.6680908,571,0.571,2528,2.528,122,17.49018,78.40808667
1627375798,27-07-2021 08:49,37.91999817,38.49399948,939.6079712,576,0.576,2525,2.525,116,17.49018,78.40808667
1627375830,27-07-2021 08:50,38.31000137,38.35499954,939.7230225,605,0.605,2582,2.582,31,17.48860167,78.40934333
1627375861,27-07-2021 08:51,38.81000137,35.26800156,939.838623,606,0.606,2553,2.553,99,17.486965,78.41041833
1627375892,27-07-2021 08:51,38.77999878,34.02899933,940.1292114,620,0.62,2403,2.403,65,17.48544833,78.41137833
1627375923,27-07-2021 08:52,38.68999863,35.69200134,940.5654297,624,0.624,2582,2.582,189,17.48443,78.41274
1627375954,27-07-2021 08:52,38.38000107,34.74100113,940.8256836,623,0.623,2539,2.539,62,17.482895,78.41431333
1627375985,27-07-2021 08:53,37.93000031,35.17699814,941.1782837,563,0.563,2642,2.642,79,17.48048333,78.41726833
1627376016,27-07-2021 08:53,37.47000122,35.84400177,941.6038208,604,0.604,2635,2.635,117,17.478475,78.419645
1627376047,27-07-2021 08:54,37.06000137,36.73600006,942.0614014,653,0.653,2578,2.578,127,17.47682833,78.42195167
1627376078,27-07-2021 08:54,36.74000168,36.8219986,942.425415,546,0.546,2400,2.4,137,17.47599667,78.42317667
1627376109,27-07-2021 08:55,36.54000092,37.45700073,942.3566895,661,0.661,2703,2.703,128,17.47607667,78.42328833
1627376140,27-07-2021 08:55,36.38999939,37.44499969,942.3751831,614,0.614,2575,2.575,134,17.47602167,78.42307
1627376171,27-07-2021 08:56,36.29000092,37.58399963,942.3154297,602,0.602,2592,2.592,121,17.47550167,78.42366167
1627376202,27-07-2021 08:56,36.18999863,37.64899826,942.6264038,658,0.658,2703,2.703,101,17.47357,78.42509167
1627376233,27-07-2021 08:57,36.06999969,37.36999893,942.5612793,629,0.629,2471,2.471,72,17.47116,78.426595
1627376264,27-07-2021 08:57,35.88999939,37.61299896,942.5985718,631,0.631,2457,2.457,182,17.46978333,78.42786333
1627376295,27-07-2021 08:58,35.75,37.94499969,942.5635986,572,0.572,2435,2.435,155,17.46890667,78.42816
1627376326,27-07-2021 08:58,35.59999847,38.12900162,942.1749878,648,0.648,2482,2.482,75,17.46609167,78.42952667
1627376357,27-07-2021 08:59,35.49000168,38.30400085,942.0280762,612,0.612,2510,2.51,108,17.46347667,78.43073167
1627376388,27-07-2021 08:59,35.45000076,38.12900162,941.4346924,588,0.588,2382,2.382,141,17.46114167,78.43183333
1627376419,27-07-2021 09:00,35.45999908,38.98899841,941.6983032,618,0.618,2489,2.489,136,17.45914333,78.43274167
1627376450,27-07-2021 09:00,35.52000046,37.98799896,942.1931152,618,0.618,2614,2.614,97,17.45702333,78.43368833
1627376481,27-07-2021 09:01,35.54999924,37.91600037,941.7424927,682,0.682,2592,2.592,105,17.45501833,78.43465
1627376512,27-07-2021 09:01,35.52000046,37.91400146,941.0780029,627,0.627,2539,2.539,97,17.4524,78.43594
1627376543,27-07-2021 09:02,35.43000031,37.84500122,941.7814941,532,0.532,2275,2.275,103,17.44974667,78.437225
1627376574,27-07-2021 09:02,35.38000107,38.72399902,942.2260742,565,0.565,2325,2.325,124,17.44742833,78.43842167
1627376605,27-07-2021 09:03,35.31999969,39.00099945,941.8933105,620,0.62,2296,2.296,130,17.44506667,78.43986833
1627376636,27-07-2021 09:03,35.25,39.44800186,942.005127,579,0.579,2275,2.275,107,17.443145,78.441
1627376667,27-07-2021 09:04,35.18000031,39.06200027,942.2714844,616,0.616,2450,2.45,131,17.44226333,78.44293333
1627376698,27-07-2021 09:04,35.06000137,38.61100006,942.8917236,496,0.496,2139,2.139,80,17.44213333,78.44449167
1627376698,27-07-2021 09:04,35.06000137,38.61100006,942.8917236,496,0.496,2139,2.139,80,17.44213333,78.44449167
1627376729,27-07-2021 09:05,34.97000122,39.22800064,943.1489868,552,0.552,2242,2.242,125,17.44186833,78.445955
1627376760,27-07-2021 09:06,34.93000031,39.58000183,943.4829712,653,0.653,2471,2.471,113,17.44226333,78.44734333
1627376791,27-07-2021 09:06,34.95000076,39.72900009,943.1900024,605,0.605,2353,2.353,97,17.44269667,78.44856833
1627376822,27-07-2021 09:07,34.95000076,39.70500183,943.0684814,602,0.602,2375,2.375,105,17.444555,78.448835
1627376853,27-07-2021 09:07,34.97000122,39.59500122,943.3463745,582,0.582,2371,2.371,84,17.44657667,78.44901667
1627376884,27-07-2021 09:08,35.00999832,40.13800049,943.6309814,766,0.766,3042,3.042,103,17.44683,78.44940333
1627376915,27-07-2021 09:08,35.06000137,41.09799957,943.6102905,668,0.668,2789,2.789,118,17.44693667,78.44927667
1627376946,27-07-2021 09:09,35.08000183,40.75699997,943.710022,722,0.722,2846,2.846,97,17.44712167,78.44923333
1627376976,27-07-2021 09:09,35.13000107,40.92100143,943.531311,609,0.609,2600,2.6,90,17.4472,78.44925333
1627377008,27-07-2021 09:10,35.16999817,40.29999924,943.6721802,625,0.625,2610,2.61,85,17.447445,78.449385
1627377040,27-07-2021 09:10,35.24000168,40.74599838,943.718689,667,0.667,2803,2.803,97,17.44819833,78.44962
1627377071,27-07-2021 09:11,35.27000046,40.35699844,943.6459961,585,0.585,2514,2.514,82,17.44845833,78.44954167
1627377102,27-07-2021 09:11,35.31000137,40.23799896,943.6998901,754,0.754,3196,3.196,93,17.44861667,78.44963
1627377133,27-07-2021 09:12,35.38000107,40.75799942,943.7606812,851,0.851,3607,3.607,105,17.44864833,78.44972833
1627377164,27-07-2021 09:12,35.45999908,41.07300186,943.7008057,833,0.833,4075,4.075,95,17.448755,78.44973
1627377195,27-07-2021 09:13,35.54000092,40.47900009,943.72229,740,0.74,3435,3.435,91,17.44946833,78.44981333
1627377226,27-07-2021 09:13,35.63000107,41.01399994,943.7418213,715,0.715,3307,3.307,95,17.44920667,78.44992667
1627377256,27-07-2021 09:14,35.72000122,40.58100128,943.5858765,664,0.664,2853,2.853,82,17.44935167,78.44988833
1627377288,27-07-2021 09:14,35.84999847,41.47499847,943.6264038,784,0.784,3467,3.467,107,17.44962667,78.44997833
1627377319,27-07-2021 09:15,35.97000122,40.57799911,943.6203003,766,0.766,3450,3.45,82,17.44975833,78.44995667
1627377349,27-07-2021 09:15,36.06999969,40.89300156,943.5255737,779,0.779,3492,3.492,82,17.44984,78.450075
1627377380,27-07-2021 09:16,36.15999985,40.50899887,943.5698853,676,0.676,3089,3.089,72,17.45016333,78.45040167
1627377412,27-07-2021 09:16,36.18999863,39.89699936,943.5438843,719,0.719,3121,3.121,83,17.45016,78.45043667
1627377442,27-07-2021 09:17,36.13000107,38.89799881,943.5170898,594,0.594,2678,2.678,48,17.44967833,78.451115
1627377473,27-07-2021 09:17,36.11999893,38.07400131,943.9910889,592,0.592,2596,2.596,71,17.44799333,78.45195667
1627377504,27-07-2021 09:18,36.04999924,37.98300171,943.5170288,634,0.634,2450,2.45,13,17.44440333,78.45318833
1627377535,27-07-2021 09:18,36.09000015,37.77600098,943.4660034,569,0.569,2335,2.335,42,17.44168667,78.45557
1627377566,27-07-2021 09:19,36.11000061,36.91799927,943.8673096,502,0.502,2189,2.189,38,17.44226,78.458425
1627377628,27-07-2021 09:20,35.81000137,37.48300171,944.5720825,643,0.643,2517,2.517,64,17.44497167,78.46390667
1627377659,27-07-2021 09:20,35.65999985,38.14699936,944.6588135,680,0.68,2567,2.567,95,17.444975,78.46544333
1627377690,27-07-2021 09:21,35.56000137,38.22399902,944.630188,758,0.758,2685,2.685,100,17.44453167,78.46869667
1627377752,27-07-2021 09:22,35.47999954,38.0340004,943.8858032,615,0.615,2385,2.385,86,17.44448667,78.474005
1627377783,27-07-2021 09:23,35.43000031,37.5019989,944.8807983,622,0.622,2375,2.375,80,17.44372667,78.47735167
1627377814,27-07-2021 09:23,35.43000031,37.84500122,944.9633179,640,0.64,2360,2.36,113,17.443325,78.47962667
1627377845,27-07-2021 09:24,35.45999908,38.28900146,944.7860718,644,0.644,2464,2.464,105,17.44355667,78.48140667
1627377876,27-07-2021 09:24,35.47000122,37.49300003,944.2052002,571,0.571,2232,2.232,88,17.44344167,78.484665
1627377938,27-07-2021 09:25,35.47999954,38.60900116,944.2376709,601,0.601,2407,2.407,119,17.443445,78.48507333
1627377969,27-07-2021 09:26,35.43999863,39.28099823,944.2844849,606,0.606,2414,2.414,109,17.443445,78.48507333
1627378000,27-07-2021 09:26,35.43999863,40.02899933,944.2700806,633,0.633,2489,2.489,115,17.443445,78.48507333
1627378031,27-07-2021 09:27,35.45999908,39.89500046,944.2930908,656,0.656,2542,2.542,100,17.443445,78.48507333
1627378062,27-07-2021 09:27,35.49000168,40.11899948,944.2606812,682,0.682,2603,2.603,109,17.443445,78.48507333
1627378093,27-07-2021 09:28,35.54000092,39.97600174,944.2832031,757,0.757,2792,2.792,95,17.4433489,78.4869455
1627378124,27-07-2021 09:28,35.61000061,40.8769989,944.2653198,701,0.701,2728,2.728,107,17.44341667,78.48734833
