Date Time, Monitor ID, Location ID, CO(ppm), PM10(ppm), PM2.5(ppm), SO2(ppm),Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,timestamp,temp_c,hum_prcnt,press_hpa,ozone_ppm,ozone_volt_mv,co_ppm,co_mv,no2_ppb,no2_mv,tvoc_ppb,mc2p5_ugpm3,mc1p0_ugpm3,mc4p0_ugpm3,mc10p0_ugpm3,nc0p5_npcm3,nc1p0_npcm3,nc2p5_npcm3,nc4p0_npcm3,nc10p0_npcm3,typ_pm_um,x_g,y_g,z_g,x_raw,y_raw,z_raw,eq_db,onesmin_db,onesmax_db,lux_lx,uv_mwpm2,batt_volt,batt_prcnt,si1133_int,lis3dh_int,sgpc3_int,batt_int,speco3_int,sps30_int,sps30pre_int,mic4514_int,mic4514pre_int,mic_int,bme280_int,leds_on,code_version,receivedTimestamp,lat,lon,acc,co-ug,no2-ug,o3-ug,co-mg,bc-proxy,ldsa-proxy,newaqi,dosage-male-walking-low,dosage-male-walking-high,dosage-female-walking-low,dosage-female-walking-high,accbin
2021-10-14 11:12:00,1,1, ,0.070,0.051, ,9912.5,316209.0,316209.0,1634190142271.5,26.945,58.41,941.112,146.5,-2919.5,536.5,2003.0,6107.0,2211.0,0.0,47.796,44.9,48.052,48.104,313.348,357.128,358.318,358.533,358.639,0.579,-0.024,-0.008,0.008,65152.0,32640.0,32896.0,48.756,46.118,58.235,79.953,0.386,4143.5,99.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1634190153090.0,17.445,78.35,13.699,415.58,195.167,301.06,0.416,2.338,29.028,154.7,13.192,32.979,11.471,28.678,1.0
2021-10-14 11:13:00,1,1, ,0.062,0.048, ,9914.5,316216.5,316216.5,1634190204098.5,27.445,57.061,941.028,135.0,-2688.0,478.5,1843.5,5191.0,1952.0,0.0,46.51,43.751,46.708,46.748,305.482,348.065,349.158,349.354,349.455,0.573,-0.008,-0.016,-0.024,32640.0,65280.0,32384.0,50.618,45.113,64.591,191.174,0.256,4169.5,99.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1634190207390.5,17.445,78.35,13.58,367.6,165.843,280.89,0.368,2.17,27.776,154.1,12.837,32.092,11.162,27.906,1.0
2021-10-14 11:14:00,1,1, ,0.071,0.047, ,9916.5,316222.5,316222.5,1634190266108.0,28.11,55.299,941.04,138.0,-2750.0,452.5,1771.0,4694.5,1814.5,0.0,45.215,42.488,45.447,45.493,296.545,337.957,339.069,339.27,339.369,0.581,-0.024,-0.016,-0.04,32384.0,65280.0,32128.0,47.456,45.674,52.691,224.607,0.316,4217.0,99.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1634190269408.5,17.445,78.35,13.52,344.763,149.938,285.815,0.345,2.075,26.912,154.2,12.479,31.198,10.852,27.129,1.0
2021-10-14 11:15:00,1,1, ,0.405,0.095, ,9918.5,316228.5,316228.5,1634190328202.0,28.64,53.714,941.072,130.5,-2610.5,435.0,1722.0,4342.5,1718.5,0.0,43.824,41.442,43.824,43.825,289.894,329.948,330.742,330.878,330.967,0.525,-0.008,-0.016,-0.024,32640.0,32512.0,32384.0,49.196,45.953,60.694,225.576,0.07,4208.5,99.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1634190331489.0,17.445,78.35,12.678,328.966,138.659,272.579,0.329,1.999,26.267,153.8,12.095,30.239,10.518,26.294,1.0
2021-10-14 11:16:00,1,1, ,0.061,0.044, ,9920.5,316235.5,316235.5,1634190390421.0,29.025,52.813,941.028,111.0,-2217.5,424.0,1689.0,4106.5,1650.5,0.0,43.007,40.67,43.007,43.007,284.495,323.803,324.581,324.715,324.802,0.543,0.024,-0.008,0.04,384.0,32640.0,33408.0,47.705,45.744,55.335,225.957,0.195,4205.0,99.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1634190393713.5,17.445,78.35,12.631,319.105,131.099,238.571,0.319,1.948,25.924,152.8,11.87,29.675,10.322,25.804,1.0
2021-10-14 11:17:00,1,1, ,0.055,0.045, ,9922.5,316244.5,316244.5,1634190452236.0,29.335,51.794,941.057,91.5,-1827.5,416.5,1671.0,3894.0,1590.5,0.0,44.532,41.575,44.992,45.084,289.507,330.38,331.768,332.027,332.133,0.574,-0.032,0.008,-0.064,65024.0,128.0,64512.0,47.393,45.694,53.527,225.737,0.209,4201.0,99.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1634190455531.0,17.445,78.35,12.501,311.967,124.29,204.602,0.312,1.932,25.893,151.7,12.291,30.727,10.688,26.719,1.0
2021-10-14 11:18:00,1,1, ,0.053,0.044, ,9924.5,316254.5,316254.5,1634190514444.5,29.565,51.203,940.997,72.5,-1442.5,410.5,1653.5,3742.5,1547.5,0.0,43.552,41.185,43.553,43.553,288.099,327.905,328.694,328.829,328.918,0.523,-0.008,0.0,-0.08,32640.0,0.0,64256.0,47.353,45.99,50.181,225.38,0.291,4204.5,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1634190517763.5,17.445,78.35,12.825,306.482,119.436,171.53,0.306,1.89,25.694,139.2,12.02,30.051,10.453,26.131,1.0
2021-10-14 11:19:00,1,1, ,0.052,0.045, ,9926.5,316262.5,316262.5,1634190576356.0,29.77,50.626,940.976,59.0,-1174.0,407.0,1640.0,3580.0,1507.5,0.0,41.663,39.399,41.664,41.664,275.599,313.679,314.434,314.564,314.648,0.541,0.0,0.0,0.008,32768.0,0.0,32896.0,46.706,45.558,50.895,226.177,0.183,4212.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1634190579651.5,17.445,78.35,12.826,303.024,114.231,148.014,0.303,1.832,25.336,109.8,11.499,28.748,9.999,24.998,1.0
2021-10-14 11:20:00,1,1, ,0.064,0.045, ,9928.5,316270.0,316270.0,1634190638368.0,29.93,50.271,940.949,42.0,-837.5,405.5,1637.5,3501.0,1477.0,0.0,41.321,39.035,41.355,41.362,272.961,310.74,311.531,311.669,311.754,0.544,-0.008,0.008,0.016,32640.0,128.0,256.0,46.561,45.792,47.983,226.135,0.388,4211.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1634190641656.0,17.445,78.35,12.651,301.404,111.7,118.441,0.301,1.813,25.408,92.6,11.404,28.511,9.917,24.792,1.0
2021-10-14 11:21:00,1,1, ,0.055,0.047, ,9930.5,316279.5,316279.5,1634190700364.5,30.075,49.74,940.921,24.0,-480.0,402.0,1628.0,3397.5,1451.5,0.0,40.697,38.452,40.725,40.731,277.615,306.104,306.876,307.011,307.094,0.54,-0.008,0.0,-0.048,32640.0,32768.0,64768.0,52.063,46.363,62.912,226.989,0.542,4206.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1634190703649.0,17.445,78.35,12.675,298.019,108.383,87.144,0.298,1.784,25.595,90.7,11.232,28.081,9.767,24.418,1.0
