Date Time, Monitor ID, Location ID, CO(ppm), PM10(ppm), PM2.5(ppm), SO2(ppm),Unnamed: 0,timestamp,temp_c,hum_prcnt,press_hpa,ozone_ppm,ozone_volt_mv,co_ppm,co_mv,no2_ppb,no2_mv,tvoc_ppb,mc2p5_ugpm3,mc1p0_ugpm3,mc4p0_ugpm3,mc10p0_ugpm3,nc0p5_npcm3,nc1p0_npcm3,nc2p5_npcm3,nc4p0_npcm3,nc10p0_npcm3,typ_pm_um,x_g,y_g,z_g,x_raw,y_raw,z_raw,eq_db,onesmin_db,onesmax_db,lux_lx,uv_mwpm2,batt_volt,batt_prcnt,si1133_int,lis3dh_int,sgpc3_int,batt_int,speco3_int,sps30_int,sps30pre_int,mic4514_int,mic4514pre_int,mic_int,bme280_int,leds_on,code_version,receivedTimestamp,lat,lon,acc,co-ug,no2-ug,o3-ug,co-mg,bc-proxy,ldsa-proxy,newaqi,dosage-male-walking-low,dosage-male-walking-high,dosage-female-walking-low,dosage-female-walking-high,accbin
2021-10-14 11:13:00,1,1, ,0.062,0.048, ,10216.0,1634190220648.0,27.3,56.212,939.687,0.0,1191.0,337.0,1446.0,5714.0,2101.0,0.0,47.455,44.876,47.455,47.455,314.613,357.329,358.151,358.283,358.359,0.517,-0.032,-0.016,0.032,65024.0,65280.0,512.0,46.335,45.37,47.568,0.0,0.0,4200.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1634190231189.0,17.445,78.35,13.607,253.545,182.569,46.689,0.254,2.276,0.0,132.6,13.098,32.744,11.389,28.473,1.0
2021-10-14 11:14:00,1,1, ,0.071,0.047, ,10217.5,1634190266853.0,27.79,54.91,939.732,0.0,632.0,335.5,1441.5,4942.5,1886.0,0.0,45.466,42.943,45.511,45.52,300.927,341.872,342.717,342.855,342.929,0.518,0.008,-0.016,-0.032,32896.0,65280.0,65024.0,47.345,45.394,52.896,0.0,0.0,4199.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1634190267651.0,17.445,78.35,6.3,250.852,157.869,46.481,0.251,2.118,0.0,107.85,12.549,31.372,10.912,27.28,0.0
2021-10-14 11:15:00,1,1, ,0.405,0.095, ,10219.5,1634190329066.0,28.295,53.486,939.713,0.0,363.0,339.5,1450.5,4347.5,1717.0,0.0,45.065,42.564,45.111,45.12,298.267,338.851,339.69,339.826,339.9,0.525,0.032,-0.008,0.04,512.0,32640.0,33408.0,49.056,45.48,61.027,0.0,0.0,4195.5,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1634190329796.5,17.445,78.35,7.3,252.438,138.815,46.269,0.252,2.008,0.0,97.2,12.438,31.095,10.816,27.039,0.5
2021-10-14 11:16:00,1,1, ,0.061,0.044, ,10221.5,1634190390778.0,28.67,52.629,939.693,0.0,136.5,347.0,1474.5,3924.5,1599.5,0.0,43.956,41.505,44.01,44.02,290.82,330.409,331.239,331.375,331.447,0.534,-0.048,0.008,-0.032,64768.0,128.0,32256.0,47.013,45.344,52.272,0.0,0.0,4196.5,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1634190391504.5,17.446,78.35,6.0,257.437,125.272,46.107,0.257,1.912,0.0,93.95,12.132,30.33,10.549,26.374,0.0
2021-10-14 11:17:00,1,1, ,0.055,0.045, ,10223.5,1634190453339.0,28.985,51.738,939.671,1.5,16.0,353.0,1490.5,3610.0,1512.5,0.0,41.569,39.309,41.569,41.569,275.584,313.001,313.722,313.838,313.904,0.517,-0.024,0.0,-0.016,32384.0,32768.0,32512.0,47.027,45.191,53.407,0.0,0.0,4192.5,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1634190454073.0,17.446,78.35,5.25,261.229,115.2,48.579,0.261,1.818,13.738,91.55,11.473,28.682,9.976,24.941,0.0
2021-10-14 11:18:00,1,1, ,0.053,0.044, ,10225.5,1634190515308.5,29.225,51.121,939.64,6.5,-138.5,361.5,1515.5,3372.5,1441.5,0.0,42.215,39.872,42.256,42.264,279.412,317.428,318.212,318.34,318.409,0.524,-0.024,-0.016,-0.048,65152.0,32512.0,64768.0,46.978,45.448,50.078,0.0,0.0,4204.5,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1634190516055.5,17.445,78.35,7.4,267.325,107.594,57.154,0.267,1.777,26.653,92.2,11.651,29.128,10.132,25.329,1.0
2021-10-14 11:19:00,1,1, ,0.052,0.045, ,10227.5,1634190577108.5,29.42,50.569,939.632,8.5,-167.0,366.5,1529.0,3169.0,1386.0,0.0,41.059,38.828,41.059,41.059,272.207,309.165,309.876,309.99,310.056,0.52,0.016,0.016,0.032,256.0,256.0,33280.0,46.52,45.162,50.991,0.0,0.0,4194.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1634190577836.5,17.445,78.35,7.65,270.702,101.077,60.543,0.271,1.718,25.895,91.05,11.332,28.331,9.854,24.635,1.0
2021-10-14 11:20:00,1,1, ,0.064,0.045, ,10229.5,1634190639044.5,29.585,50.106,939.583,22.0,-435.0,370.5,1538.5,3014.0,1346.5,0.0,40.166,37.983,40.166,40.166,266.286,302.44,303.136,303.248,303.312,0.515,-0.016,0.016,0.04,65280.0,256.0,640.0,47.722,45.385,57.582,0.0,0.0,4205.5,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1634190639781.5,17.445,78.35,6.2,273.378,96.112,83.903,0.273,1.672,24.77,90.2,11.086,27.714,9.64,24.099,0.0
2021-10-14 11:21:00,1,1, ,0.055,0.047, ,10231.5,1634190701260.0,29.745,49.736,939.54,24.0,-486.0,375.0,1552.0,2869.0,1305.0,0.0,39.812,37.649,39.812,39.812,263.944,299.78,300.47,300.58,300.644,0.519,0.0,-0.008,0.0,32768.0,32640.0,32768.0,50.862,45.799,58.552,0.0,0.0,4199.5,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1634190701994.5,17.445,78.35,5.0,276.547,91.469,87.305,0.277,1.634,24.383,89.8,10.988,27.47,9.555,23.887,0.0
2021-10-14 11:22:00,1,1, ,0.061,0.045, ,10233.5,1634190763465.5,29.85,49.549,939.483,29.5,-587.5,377.0,1558.0,2778.0,1275.0,0.0,39.112,36.962,39.134,39.138,259.063,294.278,294.983,295.097,295.161,0.536,-0.008,0.0,-0.016,32640.0,0.0,32512.0,52.33,46.776,59.283,0.0,0.0,4184.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1634190764206.0,17.445,78.35,5.65,277.919,88.555,96.804,0.278,1.604,23.94,89.1,10.795,26.987,9.387,23.467,0.0
2021-10-14 11:23:00,1,1, ,0.074,0.048, ,10235.0,1634190809393.0,29.9,49.367,939.501,17.0,-341.0,381.0,1563.0,2703.0,1260.0,0.0,38.695,36.59,38.697,38.697,256.517,291.349,292.021,292.129,292.191,0.527,0.016,0.032,-0.064,256.0,512.0,64512.0,50.871,46.201,59.733,0.0,0.0,4188.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1634190810127.0,17.446,78.35,5.3,280.922,86.154,75.09,0.281,1.58,24.099,88.7,10.68,26.7,9.287,23.217,0.0
2021-10-14 12:09:00,1,1, ,0.125,0.051, ,10315.0,1634193569587.0,34.66,39.911,939.341,64.0,-1284.0,408.0,1645.0,2214.0,1117.0,0.0,35.218,33.304,35.218,35.218,233.483,265.184,265.794,265.892,265.949,0.532,0.0,-0.016,-0.192,0.0,65280.0,62464.0,58.356,51.755,69.461,0.0,0.0,4094.0,95.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1634193569862.0,17.446,78.351,2.9,291.157,70.424,154.567,0.291,1.498,21.645,118.0,9.72,24.3,8.452,21.131,0.0
2021-10-14 12:10:00,1,1, ,0.057,0.044, ,10316.5,1634193616047.5,34.595,37.446,939.604,70.0,-1403.5,400.5,1628.5,2090.5,1084.5,0.0,35.895,33.945,35.895,35.895,237.974,270.284,270.906,271.006,271.063,0.504,0.048,-0.016,-0.04,768.0,32512.0,32128.0,68.716,64.132,74.674,0.0,0.0,4093.0,95.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1634193616344.0,17.446,78.351,1.9,282.782,66.445,165.071,0.283,1.467,21.397,119.9,9.907,24.768,8.615,21.537,0.0
2021-10-14 12:11:00,1,1, ,0.056,0.041, ,10318.0,1634193693637.0,34.47,37.019,939.539,44.0,-885.0,406.0,1640.0,2064.0,1079.0,0.0,36.069,34.107,36.071,36.071,239.111,271.579,272.206,272.307,272.365,0.53,-0.032,-0.016,0.096,65024.0,65280.0,1536.0,64.824,63.754,68.095,0.0,0.0,4097.0,95.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1634193694962.0,17.446,78.351,2.1,286.827,65.592,120.019,0.287,1.458,21.588,87.9,9.955,24.888,8.657,21.642,0.0
2021-10-14 12:12:00,1,1, ,0.062,0.056, ,10319.5,1634193739851.0,34.475,36.903,939.546,43.0,-849.5,401.5,1630.0,2062.0,1076.0,0.0,36.584,34.596,36.584,36.584,242.542,275.473,276.107,276.208,276.267,0.518,0.016,0.016,-0.024,256.0,256.0,32384.0,64.958,63.426,69.581,0.0,0.0,4100.5,95.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1634193740276.0,17.446,78.351,1.55,283.109,65.526,118.284,0.283,1.464,21.675,92.1,10.097,25.243,8.78,21.951,0.0
