created_at,entry_id,field1,field2,field3,field4,field5,field6,field7
2021-11-01 01:00:00 +0530,449235,34.6,31.1,32.52,32.86,,,
2021-11-01 01:00:30 +0530,449245,35.4,31.8,32.64,32.83,,,
2021-11-01 01:01:00 +0530,449252,34.8,31.2,33.11,32.79,,,
2021-11-01 01:01:30 +0530,449259,35.4,31.8,32.63,32.77,,,
2021-11-01 01:02:00 +0530,449266,36.6,32.7,32.63,32.75,,,
2021-11-01 01:02:30 +0530,449273,35.8,32.1,32.63,32.77,,,
2021-11-01 01:03:00 +0530,449280,36.3,32.5,32.67,32.82,,,
2021-11-01 01:03:30 +0530,449281,35.2,31.6,32.68,32.85,,,
2021-11-01 01:04:00 +0530,449282,36.4,32.4,32.68,32.89,,,
2021-11-01 01:04:30 +0530,449283,34.5,30.7,32.64,32.94,,,
2021-11-01 01:05:00 +0530,449284,35.5,31.7,32.64,33.0,,,
2021-11-01 01:05:30 +0530,449285,37.3,31.8,32.66,33.05,,,
2021-11-01 01:06:00 +0530,449286,35.0,31.3,32.62,33.08,,,
2021-11-01 01:06:30 +0530,449287,34.2,30.6,32.58,33.14,,,
2021-11-01 01:07:00 +0530,449288,34.0,30.5,32.52,33.18,,,
2021-11-01 01:07:30 +0530,449289,35.2,31.6,32.52,33.23,,,
2021-11-01 01:08:00 +0530,449290,33.9,30.4,32.52,33.27,,,
2021-11-01 01:08:30 +0530,449291,35.0,31.3,32.52,33.31,,,
2021-11-01 01:09:00 +0530,449292,34.7,31.1,32.54,33.36,,,
2021-11-01 01:09:30 +0530,449293,35.0,31.3,32.5,33.41,,,
2021-11-01 01:10:00 +0530,449294,35.0,31.4,32.46,33.46,,,
2021-11-01 01:10:30 +0530,449295,34.8,31.1,32.38,33.49,,,
2021-11-01 01:11:00 +0530,449296,36.4,32.4,32.39,33.52,,,
2021-11-01 01:11:30 +0530,449297,35.3,31.5,32.39,33.57,,,
2021-11-01 01:12:00 +0530,449298,34.8,31.0,32.39,33.6,,,
