Date Time, Monitor ID, Location ID, CO(ppm), PM10(ppm), PM2.5(ppm),Unnamed: 0,timestamp,temp_c,hum_prcnt,press_hpa,ozone_ppm,ozone_volt_mv,co_ppm,co_mv,no2_ppb,no2_mv,tvoc_ppb,mc2p5_ugpm3,mc1p0_ugpm3,mc4p0_ugpm3,mc10p0_ugpm3,nc0p5_npcm3,nc1p0_npcm3,nc2p5_npcm3,nc4p0_npcm3,nc10p0_npcm3,typ_pm_um,x_g,y_g,z_g,x_raw,y_raw,z_raw,eq_db,onesmin_db,onesmax_db,lux_lx,uv_mwpm2,batt_volt,batt_prcnt,si1133_int,lis3dh_int,sgpc3_int,batt_int,speco3_int,sps30_int,sps30pre_int,mic4514_int,mic4514pre_int,mic_int,bme280_int,leds_on,code_version,receivedTimestamp,lat,lon,acc,co-ug,no2-ug,o3-ug,co-mg,bc-proxy,ldsa-proxy,newaqi,dosage-male-walking-low,dosage-male-walking-high,dosage-female-walking-low,dosage-female-walking-high,accbin
2021-11-01 12:09:00,1,1, ,0.087,0.067,11291.0,1635748767544.333,31.51,30.876,949.638,62.333,-1249.333,353.0,1493.333,1679.333,970.0,0.0,62.52,59.044,62.587,62.601,413.739,470.043,471.212,471.403,471.506,0.536,-0.021,0.091,0.005,65194.667,1450.667,21930.667,74.117,67.452,85.795,0.0,0.0,4075.333,93.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635748772482.667,17.448,78.395,1.833,239.765,53.203,153.424,0.24,1.514,22.56,126.267,17.255,43.139,15.005,37.512,0.0
2021-11-01 12:10:00,1,1, ,0.082,0.067,11293.5,1635748824428.0,31.23,31.125,949.68,74.0,-1470.5,406.0,1636.5,1766.0,992.5,0.0,82.77,78.222,82.812,82.821,548.263,622.785,624.273,624.514,624.648,0.515,-0.048,-0.064,0.016,64768.0,64512.0,33024.0,73.8,68.237,83.756,0.0,0.0,4081.0,93.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635748825437.0,17.452,78.395,2.15,282.571,55.978,173.802,0.283,1.683,23.98,147.95,22.844,57.111,19.865,49.662,0.0
2021-11-01 12:11:00,1,1, ,0.149,0.112,11295.5,1635748886021.5,30.98,30.627,948.812,67.5,-1337.5,368.5,1539.0,1689.0,973.5,0.0,59.179,55.861,59.268,59.285,391.364,444.67,445.808,445.995,446.093,0.557,-0.04,0.08,-0.072,32128.0,34048.0,64384.0,72.738,68.959,76.891,0.0,0.0,4070.5,93.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635748887663.0,17.452,78.389,2.45,252.176,53.508,162.655,0.252,1.481,22.296,128.1,16.334,40.834,14.203,35.508,0.0
2021-11-01 12:12:00,1,1, ,0.133,0.091,11297.5,1635748948639.5,30.725,31.418,948.15,86.0,-1719.0,379.5,1565.5,1671.0,972.5,0.0,65.34,61.745,65.378,65.386,432.765,491.595,492.776,492.967,493.073,0.523,-0.04,0.12,0.096,32128.0,1920.0,34304.0,75.691,69.127,83.738,0.0,0.0,4069.0,93.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635748949668.0,17.453,78.384,2.7,261.87,52.939,194.867,0.262,1.514,22.509,145.1,18.034,45.085,15.682,39.204,0.0
2021-11-01 12:13:00,1,1, ,0.107,0.082,11299.5,1635749010364.5,30.7,32.299,947.829,97.5,-1944.0,373.0,1546.5,1679.5,966.5,0.0,60.048,56.785,60.049,60.049,398.096,452.147,453.188,453.355,453.452,0.521,-0.064,0.0,0.048,64512.0,32768.0,768.0,74.056,68.722,77.771,0.0,0.0,4067.5,93.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635749011383.0,17.452,78.382,3.35,257.534,53.221,214.816,0.258,1.478,22.09,152.05,16.573,41.433,14.412,36.029,0.0
2021-11-01 12:14:00,1,1, ,0.096,0.071,11301.5,1635749072470.5,30.87,32.699,947.928,105.0,-2100.0,362.5,1518.0,1629.5,957.5,0.0,53.331,50.35,53.402,53.417,352.778,400.813,401.828,401.994,402.082,0.547,-0.064,-0.008,0.0,64512.0,32640.0,32768.0,72.813,67.958,76.582,0.0,0.0,4071.0,93.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635749073490.5,17.452,78.382,3.0,249.44,51.626,227.74,0.249,1.408,21.385,152.45,14.719,36.798,12.799,31.999,0.0
2021-11-01 12:15:00,1,1, ,0.103,0.071,11303.5,1635749135147.5,31.025,31.853,948.001,82.0,-1638.5,362.0,1515.5,1678.0,969.5,0.0,65.841,62.26,65.844,65.845,436.478,495.745,496.889,497.073,497.178,0.529,-0.136,-0.048,0.032,63360.0,32000.0,512.0,74.372,66.432,82.382,0.0,0.0,4070.0,93.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635749135416.5,17.455,78.383,1.75,248.145,53.169,187.769,0.248,1.527,22.595,136.3,18.172,45.43,15.802,39.505,0.0
2021-11-01 12:16:00,1,1, ,0.108,0.098,11305.5,1635749197054.5,31.125,32.316,948.372,96.0,-1911.0,372.0,1545.0,1764.0,995.0,0.0,76.964,72.707,77.029,77.041,509.536,578.841,580.256,580.486,580.612,0.549,0.008,0.0,-0.024,128.0,32768.0,32384.0,73.604,66.162,79.416,0.0,0.0,4067.5,93.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635749197434.0,17.455,78.383,1.25,256.557,55.927,212.006,0.257,1.645,23.495,151.95,21.242,53.105,18.471,46.179,0.0
2021-11-01 12:17:00,1,1, ,0.118,0.109,11307.5,1635749259457.5,31.33,31.284,948.429,75.0,-1504.5,359.5,1514.0,1639.0,964.0,0.0,66.545,62.876,66.59,66.599,440.67,500.588,501.799,501.995,502.103,0.538,0.128,-0.096,0.008,2048.0,64000.0,32896.0,69.384,63.424,78.179,0.0,0.0,4067.5,93.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635749259912.5,17.458,78.384,1.95,245.45,51.916,175.485,0.245,1.524,22.576,138.35,18.366,45.916,15.971,39.927,0.0
2021-11-01 12:18:00,1,1, ,0.100,0.071,11309.5,1635749320841.0,31.385,31.252,948.888,94.5,-1883.5,399.5,1622.5,1744.0,991.5,0.0,61.158,57.72,61.257,61.276,404.372,459.464,460.649,460.844,460.945,0.538,-0.024,-0.016,0.032,65152.0,32512.0,512.0,72.399,67.906,76.424,0.0,0.0,4066.5,92.5,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635749321166.0,17.463,78.385,1.7,277.42,55.276,209.301,0.277,1.527,22.406,151.85,16.88,42.199,14.678,36.695,0.0
