created_at,entry_id,field1,field2,field3,field4
2021-11-02 11:20:00 +0530,124812,59.0,31.8,48.69,33.04
2021-11-02 11:20:30 +0530,124813,63.0,32.3,48.86,33.03
2021-11-02 11:21:00 +0530,124814,68.2,32.7,49.11,33.0
2021-11-02 11:21:30 +0530,124811,65.1,32.3,48.89,33.25
2021-11-02 11:22:00 +0530,124815,54.9,31.8,48.08,33.66
2021-11-02 11:22:30 +0530,124816,50.1,31.8,48.28,33.02
2021-11-02 11:25:00 +0530,124818,,,,
2021-11-02 11:25:30 +0530,124819,43.5,27.2,46.8,34.07
2021-11-02 11:26:00 +0530,124820,52.7,26.6,45.41,34.23
2021-11-02 11:26:30 +0530,124821,51.0,25.7,44.16,34.53
2021-11-02 11:27:00 +0530,124817,60.5,26.3,44.16,34.51
2021-11-02 11:27:30 +0530,124822,54.1,24.9,43.97,34.65
2021-11-02 11:28:00 +0530,124823,51.1,25.4,43.74,34.76
2021-11-02 11:28:30 +0530,124824,56.9,25.4,44.38,34.38
2021-11-02 11:29:00 +0530,124825,48.7,24.6,44.4,34.22
2021-11-02 11:29:30 +0530,124826,107.9,27.6,45.53,33.9
2021-11-02 11:30:00 +0530,124827,48.0,25.0,44.82,34.4
2021-11-02 11:30:30 +0530,124828,45.2,24.8,44.38,34.6
2021-11-02 11:31:00 +0530,124829,37.4,24.4,44.14,34.78
2021-11-02 11:31:30 +0530,124830,40.9,25.9,44.3,34.94
2021-11-02 11:32:00 +0530,124831,67.7,25.9,43.93,34.97
2021-11-02 11:32:30 +0530,124832,47.3,26.9,43.86,34.99
2021-11-02 11:33:00 +0530,124833,42.9,26.2,43.93,35.03
2021-11-02 11:33:30 +0530,124834,47.2,27.1,43.65,35.08
2021-11-02 11:34:00 +0530,124835,44.6,26.8,43.88,35.1
2021-11-02 11:34:30 +0530,124836,45.3,26.2,44.03,35.06
2021-11-02 11:35:00 +0530,124837,67.6,26.9,44.03,35.07
2021-11-02 11:35:30 +0530,124838,53.7,26.1,44.06,35.09
2021-11-02 11:36:00 +0530,124839,60.5,26.1,43.81,35.12
2021-11-02 11:36:30 +0530,124840,41.8,25.7,43.33,35.15
2021-11-02 11:37:00 +0530,124841,58.7,25.1,43.67,35.18
2021-11-02 11:37:30 +0530,124842,50.3,25.9,43.45,34.97
2021-11-02 11:38:00 +0530,124843,43.4,25.7,43.77,34.8
2021-11-02 11:38:30 +0530,124844,51.9,26.2,43.9,34.86
2021-11-02 11:39:00 +0530,124845,41.3,27.1,43.56,34.79
2021-11-02 11:39:30 +0530,124846,44.6,26.0,43.7,34.91
2021-11-02 11:40:00 +0530,124847,55.4,26.0,43.72,34.99
2021-11-02 11:40:30 +0530,124848,59.9,25.2,43.75,35.08
2021-11-02 11:41:00 +0530,124849,42.0,24.7,43.74,35.16
2021-11-02 11:41:30 +0530,124850,43.5,24.1,43.88,35.22
2021-11-02 11:42:00 +0530,124851,39.4,24.3,43.56,35.31
2021-11-02 11:42:30 +0530,124852,41.0,25.1,42.91,35.41
2021-11-02 11:43:00 +0530,124853,68.9,25.6,42.73,35.48
2021-11-02 11:43:30 +0530,124854,42.5,25.9,42.76,35.6
2021-11-02 11:44:00 +0530,124855,40.4,25.2,42.47,35.78
2021-11-02 11:45:00 +0530,124857,44.7,26.2,42.21,36.01
2021-11-02 11:45:30 +0530,124858,45.7,27.6,41.61,35.88
2021-11-02 11:46:00 +0530,124856,64.4,28.6,41.64,35.98
2021-11-02 11:46:30 +0530,124859,55.6,29.3,42.39,35.88
2021-11-02 11:47:00 +0530,124860,112.9,31.0,42.42,35.85
2021-11-02 11:47:30 +0530,124861,81.2,30.3,41.96,35.72
2021-11-02 11:48:00 +0530,124862,85.6,30.4,42.39,35.56
2021-11-02 11:48:30 +0530,124863,75.3,30.1,42.46,35.37
2021-11-02 11:49:00 +0530,124864,54.5,25.6,43.36,35.07
2021-11-02 11:49:30 +0530,124865,76.9,24.4,43.34,34.95
2021-11-02 11:50:00 +0530,124866,84.4,21.7,44.75,34.25
2021-11-02 11:50:30 +0530,124867,45.3,19.9,44.91,33.99
