Date Time, Monitor ID, Location ID, CO(ppm), PM10(ppm), PM2.5(ppm), SO2(ppm),Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,timestamp,temp_c,hum_prcnt,press_hpa,ozone_ppm,ozone_volt_mv,co_ppm,co_mv,no2_ppb,no2_mv,tvoc_ppb,mc2p5_ugpm3,mc1p0_ugpm3,mc4p0_ugpm3,mc10p0_ugpm3,nc0p5_npcm3,nc1p0_npcm3,nc2p5_npcm3,nc4p0_npcm3,nc10p0_npcm3,typ_pm_um,x_g,y_g,z_g,x_raw,y_raw,z_raw,eq_db,onesmin_db,onesmax_db,lux_lx,uv_mwpm2,batt_volt,batt_prcnt,si1133_int,lis3dh_int,sgpc3_int,batt_int,speco3_int,sps30_int,sps30pre_int,mic4514_int,mic4514pre_int,mic_int,bme280_int,leds_on,code_version,receivedTimestamp,lat,lon,acc,co-ug,no2-ug,o3-ug,co-mg,bc-proxy,ldsa-proxy,newaqi,dosage-male-walking-low,dosage-male-walking-high,dosage-female-walking-low,dosage-female-walking-high,accbin
2021-11-03 14:37:00,1,1, , , ,0.0,10550.0,338121.0,338121.0,1635930459894.0,29.91,49.482,943.759,356.0,-7108.0,511.0,1930.0,6739.0,2393.0,0.0,15.258,14.429,15.258,15.258,100.933,114.879,115.155,115.202,115.233,0.55,0.016,0.0,0.0,256.0,0.0,0.0,61.351,50.185,76.689,3161.191,0.676,4160.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635930463386.0,17.445,78.35,3.216,385.116,215.307,663.417,0.385,1.778,23.24,165.9,4.211,10.528,3.662,9.155,0.0
2021-11-03 14:38:00,1,1, , , ,0.0,10551.0,338122.0,338122.0,1635930510161.0,30.15,48.92,943.737,174.0,-3471.0,416.0,1671.0,4800.0,1844.0,0.0,14.948,14.131,14.952,14.952,98.837,112.501,112.776,112.824,112.854,0.555,0.032,0.0,0.048,512.0,0.0,768.0,58.863,52.463,73.299,4294.666,0.593,4150.0,99.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635930510852.0,17.445,78.35,3.216,308.396,153.254,347.453,0.308,1.521,21.679,156.1,4.126,10.314,3.587,8.969,0.0
2021-11-03 14:39:00,1,1, , , ,0.0,10552.5,338124.0,338124.0,1635930556788.0,30.415,49.471,943.751,209.5,-4179.0,419.5,1678.5,4346.0,1718.0,0.0,14.714,13.882,14.742,14.748,97.027,110.485,110.787,110.84,110.871,0.541,-0.024,-0.008,-0.024,32384.0,32640.0,65152.0,58.34,51.255,68.922,3787.18,0.413,4149.5,99.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635930557211.5,17.445,78.35,3.216,311.613,138.733,408.921,0.312,1.453,20.958,158.05,4.061,10.153,3.531,8.828,0.0
2021-11-03 14:40:00,1,1, , , ,0.0,10554.5,338128.5,338128.5,1635930628841.0,30.76,49.82,943.783,187.0,-3728.5,415.0,1663.5,3921.0,1596.5,0.0,14.43,13.62,14.452,14.457,95.214,108.411,108.7,108.751,108.781,0.551,0.024,-0.056,0.008,33152.0,31872.0,32896.0,63.813,51.317,78.825,1805.784,0.433,4146.0,99.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635930629229.0,17.445,78.35,3.752,308.192,125.138,369.696,0.308,1.386,20.411,156.85,3.983,9.957,3.463,8.658,0.0
2021-11-03 14:41:00,1,1, , , ,0.0,10556.0,338133.0,338133.0,1635930710144.0,31.29,47.583,943.781,165.0,-3297.0,413.0,1658.0,3592.0,1500.0,0.0,14.166,13.379,14.181,14.184,93.544,106.497,106.773,106.821,106.85,0.541,0.016,-0.032,0.096,256.0,65024.0,1536.0,61.03,51.414,73.059,3549.734,0.601,4140.0,99.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635930710617.0,17.445,78.35,3.216,304.171,114.588,331.31,0.304,1.334,19.961,155.6,3.91,9.775,3.4,8.5,0.0
2021-11-03 14:44:00,1,1, , , ,0.0,10557.5,338140.0,338140.0,1635930882343.5,31.82,45.429,943.797,163.0,-3249.0,387.5,1587.5,3112.0,1372.0,0.0,13.192,12.476,13.192,13.192,87.269,99.327,99.565,99.606,99.633,0.529,0.08,-0.024,0.136,34048.0,65152.0,2176.0,64.917,55.518,73.477,6253.046,1.029,4127.0,98.5,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635930883654.0,17.446,78.351,3.752,281.414,99.207,327.633,0.281,1.232,18.997,155.55,3.641,9.103,3.166,7.915,0.0
2021-11-03 14:45:00,1,1, , , ,0.0,10559.5,338144.0,338144.0,1635930944351.5,31.925,44.926,944.08,112.0,-2233.5,394.5,1606.5,2987.0,1338.0,0.0,15.813,14.954,15.813,15.813,103.568,119.055,119.342,119.391,119.423,0.537,-0.056,-0.008,0.016,64640.0,32640.0,33024.0,66.109,60.845,75.255,4066.487,0.63,4125.0,98.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635930944777.5,17.446,78.351,3.216,286.481,95.202,239.083,0.286,1.282,19.672,152.8,4.364,10.911,3.795,9.488,0.0
2021-11-03 14:46:00,1,1, , , ,0.0,10561.0,338147.0,338147.0,1635930990961.0,32.37,43.923,944.055,106.0,-2112.0,386.0,1587.0,2935.0,1322.0,0.0,18.946,17.917,18.946,18.946,125.332,142.648,142.991,143.05,143.089,0.539,0.032,-0.016,-0.048,512.0,65280.0,64768.0,60.611,59.106,62.153,4161.931,0.91,4126.0,98.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635930991383.0,17.446,78.351,3.216,278.496,93.529,228.477,0.278,1.355,20.32,152.5,5.229,13.073,4.547,11.368,0.0
2021-11-03 14:47:00,1,1, , , ,0.1,10562.5,338150.0,338150.0,1635931037373.0,32.64,43.514,944.049,81.0,-1622.0,395.5,1606.5,2964.0,1327.5,0.0,16.906,15.986,16.907,16.907,111.823,127.276,127.583,127.636,127.67,0.54,0.016,0.024,0.0,256.0,33152.0,32768.0,64.14,59.185,72.668,5507.46,0.501,4123.5,98.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635931038049.0,17.446,78.351,3.216,285.58,94.454,184.968,0.286,1.318,20.081,145.1,4.666,11.665,4.057,10.144,0.0
2021-11-03 14:48:00,1,1, , , ,0.1,10564.5,338154.0,338154.0,1635931100365.5,32.16,44.097,943.269,38.0,-765.0,388.5,1593.5,2653.0,1245.5,0.0,23.773,22.481,23.773,23.773,157.257,178.985,179.415,179.489,179.537,0.497,-0.04,0.04,-0.128,64896.0,640.0,63488.0,74.87,70.438,80.297,5002.832,0.662,4125.5,98.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635931100716.0,17.449,78.348,9.112,280.762,84.506,110.561,0.281,1.387,21.503,99.35,6.561,16.403,5.705,14.264,0.5
