Date Time, Monitor ID, Location ID, CO(ppm), PM10(ppm), PM2.5(ppm), SO2(ppm),timestamp,temp_c,hum_prcnt,press_hpa,ozone_ppm,ozone_volt_mv,co_ppm,co_mv,no2_ppb,no2_mv,tvoc_ppb,mc2p5_ugpm3,mc1p0_ugpm3,mc4p0_ugpm3,mc10p0_ugpm3,nc0p5_npcm3,nc1p0_npcm3,nc2p5_npcm3,nc4p0_npcm3,nc10p0_npcm3,typ_pm_um,x_g,y_g,z_g,x_raw,y_raw,z_raw,eq_db,onesmin_db,onesmax_db,lux_lx,uv_mwpm2,batt_volt,batt_prcnt,si1133_int,lis3dh_int,sgpc3_int,batt_int,speco3_int,sps30_int,sps30pre_int,mic4514_int,mic4514pre_int,mic_int,bme280_int,leds_on,code_version,receivedTimestamp,lat,lon,acc,co-ug,no2-ug,o3-ug,co-mg,bc-proxy,ldsa-proxy,newaqi,dosage-male-walking-low,dosage-male-walking-high,dosage-female-walking-low,dosage-female-walking-high,accbin
2021-11-04 14:40:00,1,1, , , ,0.1,1636017056122,32.46,44.054,942.378,74,-1468,267,1252,2639,1242,0,14.914,14.104,14.914,14.914,98.877,112.302,112.56,112.602,112.626,0.503,-0.032,0.016,-0.064,65024,256,64512,54.996,47.923,65.423,0,0,4084,94,30,30,30,30,30,30,30,30,120,30,30,1,1,1636017060677,17.445,78.35,3.3,183.302,84.059,172.894,0.183,1.2,19.075,140.9,4.116,10.291,3.579,8.949,0
2021-11-04 14:41:00,1,1, , , ,0.1,1636017102705.5,32.745,42.407,942.355,69,-1379.5,273,1265.5,2226.5,1127.5,0,14.701,13.902,14.701,14.701,97.461,110.694,110.948,110.989,111.013,0.526,-0.016,0.008,-0.072,32512,128,64384,54.554,49.878,61.244,0,0,4089.5,94,30,30,30,30,30,30,30,30,120,30,30,1,1,1636017103613.5,17.445,78.35,2.75,186.373,70.843,164.117,0.186,1.11,18.249,129.9,4.057,10.143,3.528,8.82,0
2021-11-04 14:42:00,1,1, , , ,0.1,1636017148391,33.05,41.065,942.322,68,-1353,271,1264,2025,1072,0,22.384,20.392,23.048,23.181,141.028,161.459,162.694,162.928,162.987,0.59,0,0,-0.016,0,0,65280,51.872,49.125,58.8,0,0,4082,94,30,30,30,30,30,30,30,30,120,30,30,1,1,1636017149462,17.445,78.35,2.1,183.325,64.381,162.266,0.183,1.22,19.34,127.6,6.178,15.445,5.372,13.431,0
2021-11-04 14:43:00,1,1, , , ,0.1,1636017196506,33.33,40.858,942.305,74.5,-1487.5,283,1292.5,2092.5,1084.5,0,15.921,14.485,16.409,16.507,100.123,114.661,115.56,115.732,115.774,0.563,-0.024,0,-0.048,65152,0,32000,51.224,46.929,58.046,0,0,4079,94,30,30,30,30,30,30,30,30,120,30,30,1,1,1636017196817.5,17.445,78.35,1.35,192.604,66.54,173.415,0.193,1.116,18.201,141.6,4.394,10.985,3.821,9.552,0
2021-11-04 14:44:00,1,1, , , ,0,1636017258326,33.685,40.559,942.325,79.5,-1591,291,1321.5,2158.5,1103,0,15.321,14.173,15.59,15.644,98.577,112.481,113.091,113.203,113.237,0.558,-0.008,0.008,0.024,32640,32896,384,53.424,48.972,58.994,0,0,4082.5,94,30,30,30,30,30,30,30,30,120,30,30,1,1,1636017258685.5,17.445,78.35,1.3,198.556,68.651,181.927,0.199,1.124,18.179,148.9,4.228,10.571,3.677,9.192,0
2021-11-04 14:45:00,1,1, , , ,0,1636017320035,34.035,39.607,942.296,61.5,-1228,288,1308,2026,1067,0,15.079,14.184,15.143,15.156,99.25,112.85,113.194,113.252,113.279,0.528,-0.016,0.008,0.016,32512,128,256,53.101,49.819,58.682,0,0,4087.5,94,30,30,30,30,30,30,30,30,120,30,30,1,1,1636017320422.5,17.445,78.35,1.4,195.067,64.402,150.54,0.195,1.092,17.969,115.1,4.162,10.404,3.619,9.047,0
2021-11-04 14:46:00,1,1, , , ,0,1636017381947.5,34.21,39.316,942.266,83,-1655.5,294,1325.5,2071,1082,0,14.536,13.731,14.549,14.551,96.23,109.32,109.588,109.631,109.655,0.525,0.016,0.008,-0.024,256,128,32384,52.906,49.645,57.102,0,0,4081,94,30,30,30,30,30,30,30,30,120,30,30,1,1,1636017382424.5,17.445,78.35,1.95,199.507,65.839,187.775,0.2,1.093,17.779,151.25,4.012,10.03,3.489,8.722,0
2021-11-04 14:47:00,1,1, , , ,0.1,1636017443850.5,34.37,38.902,942.254,79.5,-1586,295.5,1325.5,2067.5,1084.5,0,15.197,14.364,15.203,15.205,100.685,114.367,114.638,114.682,114.706,0.53,-0.008,0.016,0.016,32640,256,256,52.814,49.506,57.997,0,0,4077.5,94,30,30,30,30,30,30,30,30,120,30,30,1,1,1636017444220.5,17.445,78.35,2.45,200.232,65.723,181.633,0.2,1.11,17.951,148.8,4.194,10.486,3.647,9.118,0
2021-11-04 14:48:00,1,1, , , ,0,1636017505800.5,34.53,38.481,942.258,77,-1544.5,292.5,1320,2040.5,1073.5,0,14.874,14.059,14.88,14.881,98.544,111.935,112.201,112.243,112.267,0.533,0.024,-0.024,-0.016,384,65152,32512,55.495,48.768,64.331,0,0,4084.5,93,30,30,30,30,30,30,30,30,120,30,30,1,1,1636017506512.5,17.445,78.35,2.2,197.347,64.856,177.226,0.197,1.098,17.833,142.25,4.105,10.263,3.57,8.924,0
2021-11-04 14:49:00,1,1, , , ,0,1636017567663,34.625,38.256,942.242,80,-1598.5,287,1306.5,1969,1051,0,15.124,14.255,15.165,15.173,99.817,113.448,113.762,113.815,113.84,0.537,-0.152,0.048,0.136,30336,33536,34944,55.07,49.327,61.674,0,0,4075,93,30,30,30,30,30,30,30,30,120,30,30,1,1,1636017568654,17.445,78.35,2.3,192.682,62.566,182.392,0.193,1.088,17.714,137.1,4.174,10.436,3.63,9.075,0
