created_at, Monitor ID, Location ID, CO(ppm), PM10(ppm), PM2.5(ppm), SO2(ppm),pm10,pm2.5,RH,Temperature,time,latitude,longitude,altitude
2021-11-04 15:13:00,1,1, , , ,0.1,8.15,4.6,27.97,29.815,2021-11-04 09:43:00,17.472602,78.36537477,507.492
2021-11-04 15:14:00,1,1, , , ,0.1,6.05,4.35,28.12,29.505,2021-11-04 09:44:00,17.4735711,78.37149493,507.969
2021-11-04 15:15:00,1,1, , , ,0.1,6.7,4.5,28.5,29.27,2021-11-04 09:45:00,17.47378488,78.37560217,496.792
2021-11-04 15:16:00,1,1, , , ,0.1,34.1,9.35,33.33,29.115,2021-11-04 09:46:00,17.47378096,78.37560886,494.478
2021-11-04 15:17:00,1,1, , , ,0.1,25.15,10.75,36.21,28.94,2021-11-04 09:47:00,17.47548915,78.37799443,478.773
2021-11-04 15:18:00,1,1, , , ,0.1,17.9,8.75,34.11,28.74,2021-11-04 09:48:00,17.47422902,78.3819392,477.156
2021-11-04 15:19:00,1,1, , , ,0.1,12.2,7.95,32.95,28.585,2021-11-04 09:49:00,17.47492524,78.38204113,486.641
2021-11-04 15:20:00,1,1, , , ,0.1,9.65,7.15,32.175,28.44,2021-11-04 09:50:00,17.47173188,78.38643946,485.772
2021-11-04 15:21:00,1,1, , , ,0.1,10.4,6.75,31.595,28.35,2021-11-04 09:51:00,17.47008833,78.39050669,476.30300000000005
2021-11-04 15:22:00,1,1, , , ,0.0,10.45,6.25,32.03,28.23,2021-11-04 09:52:00,17.47253958,78.39333672,465.478
2021-11-04 15:23:00,1,1, , , ,0.0,8.1,5.9,31.83,28.13,2021-11-04 09:53:00,17.47461704,78.39002787,487.3130000000001
2021-11-04 15:24:00,1,1, , , ,0.0,7.4,5.4,31.58,28.035,2021-11-04 09:54:00,17.47151174,78.38724763,489.465
2021-11-04 15:25:00,1,1, , , ,0.1,7.4,5.35,31.79,27.93,2021-11-04 09:55:00,17.46370223,78.38550963,484.35
2021-11-04 15:26:00,1,1, , , ,0.0,8.75,5.55,32.155,27.835,2021-11-04 09:56:00,17.458326500000002,78.38462221,489.124
2021-11-04 15:27:00,1,1, , , ,0.0,7.9,5.35,31.975,27.745,2021-11-04 09:57:00,17.45311887,78.38266507,510.768
2021-11-04 15:28:00,1,1, , , ,0.1,7.85,5.15,31.8,27.715,2021-11-04 09:58:00,17.44745857,78.37821989,513.514
2021-11-04 15:29:00,1,1, , , ,0.1,6.45,5.0,31.42,27.65,2021-11-04 09:59:00,17.43998368,78.37728101,511.095
2021-11-04 15:30:00,1,1, , , ,0.1,7.85,5.45,32.22,27.6,2021-11-04 10:00:00,17.43370351,78.37471325,496.184
2021-11-04 15:31:00,1,1, , , ,0.1,11.2,5.85,33.17,27.535,2021-11-04 10:01:00,17.43014008,78.37723274,497.849
2021-11-04 15:32:00,1,1, , , ,0.0,10.3,5.7,32.79,27.455,2021-11-04 10:02:00,17.43495074,78.37781505,485.706
2021-11-04 15:33:00,1,1, , , ,0.0,11.35,5.5,32.275,27.41,2021-11-04 10:03:00,17.43746687,78.38024751,491.0
2021-11-04 15:34:00,1,1, , , ,0.1,10.35,5.1,32.36,27.38,2021-11-04 10:04:00,17.43446412,78.38407131,495.796
2021-11-04 15:35:00,1,1, , , ,0.1,13.95,5.75,32.78,27.335,2021-11-04 10:05:00,17.43328562,78.38607988,498.336
2021-11-04 15:36:00,1,1, , , ,0.1,10.5,5.85,32.97,27.275,2021-11-04 10:06:00,17.43315076,78.38680618,494.127
2021-11-04 15:37:00,1,1, , , ,0.1,26.35,10.25,42.05,27.035,2021-11-04 10:07:00,17.43312819,78.38682042,493.03
2021-11-04 15:38:00,1,1, , , ,0.1,43.1,14.9,40.985,26.795,2021-11-04 10:08:00,17.43113308,78.38818053,476.007
2021-11-04 15:39:00,1,1, , , ,0.1,27.0,11.85,34.195,26.525,2021-11-04 10:09:00,17.43339651,78.38523018,498.165
2021-11-04 15:40:00,1,1, , , ,0.1,29.05,10.5,31.85,26.31,2021-11-04 10:10:00,17.43709378,78.38031338,500.661
2021-11-04 15:41:00,1,1, , , ,0.1,26.3,9.7,32.75,25.78,2021-11-04 10:11:00,17.43813355,78.37906346,518.411
2021-11-04 15:42:00,1,1, , , ,0.1,21.1,8.75,31.62,25.64,2021-11-04 10:12:00,17.44159815,78.37709249,511.971
2021-11-04 15:43:00,1,1, , , ,0.1,15.2,8.1,32.46,25.58,2021-11-04 10:13:00,17.44332728,78.37716172,506.541
