created_at, Monitor ID, Location ID, CO(ppm), PM10(ppm), PM2.5(ppm),pm10,pm2.5,RH,Temperature
2021-11-05 12:17:00,1,1, ,0.057,0.058,43.55,30.8,43.62,35.055
2021-11-05 12:18:00,1,1, ,0.048,0.046,45.85,30.45,43.45,35.175
2021-11-05 12:19:00,1,1, ,0.051,0.051,45.2,30.35,43.075,35.235
2021-11-05 12:20:00,1,1, ,0.052,0.052,40.95,30.5,42.48,35.27
2021-11-05 12:21:00,1,1, ,0.049,0.050,44.45,30.2,42.635,35.35
2021-11-05 12:22:00,1,1, ,0.050,0.049,39.8,30.85,42.13,35.245
2021-11-05 12:23:00,1,1, ,0.051,0.046,47.95,32.55,41.97,35.195
2021-11-05 12:24:00,1,1, ,0.054,0.048,55.15,35.15,42.325,35.1
2021-11-05 12:25:00,1,1, ,0.049,0.046,44.95,32.25,41.84,35.02
2021-11-05 12:26:00,1,1, ,0.048,0.048,49.25,32.5,42.37,34.98
2021-11-05 12:27:00,1,1, ,0.052,0.048,54.1,30.55,41.48,34.82
2021-11-05 12:28:00,1,1, ,0.054,0.047,52.5,29.4,42.485,34.54
2021-11-05 12:29:00,1,1, ,0.052,0.049,59.9,29.2,42.635,34.59
2021-11-05 12:30:00,1,1, ,0.061,0.049,49.5,29.2,42.63,34.68
2021-11-05 12:31:00,1,1, ,0.069,0.050,51.85,31.4,42.59,34.79
2021-11-05 12:32:00,1,1, ,0.053,0.050,50.35,29.5,42.68,34.755
2021-11-05 12:33:00,1,1, ,0.054,0.051,60.1,30.1,43.075,34.645
2021-11-05 12:34:00,1,1, ,0.076,0.051,45.15,29.3,43.23,34.63
2021-11-05 12:35:00,1,1, ,0.053,0.046,76.0,31.95,42.98,34.5
2021-11-05 12:36:00,1,1, ,0.050,0.045,80.6,32.3,43.21,34.38
2021-11-05 12:37:00,1,1, ,0.095,0.067,66.15,32.5,43.115,34.235
2021-11-05 12:38:00,1,1, ,0.086,0.066,56.05,31.75,43.3,34.15
2021-11-05 12:39:00,1,1, ,0.053,0.053,85.1,31.5,43.635,34.235
2021-11-05 12:40:00,1,1, ,0.056,0.051,48.6,28.1,43.73,34.17
2021-11-05 12:41:00,1,1, ,0.069,0.052,38.6,25.25,44.58,33.835
2021-11-05 12:42:00,1,1, ,0.096,0.077,114.0,39.1,45.03,33.945
2021-11-05 12:43:00,1,1, ,0.077,0.072,106.3,42.25,44.14,34.235
