Date Time, Monitor ID, Location ID, CO(ppm), PM10(ppm), PM2.5(ppm),Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,timestamp,temp_c,hum_prcnt,press_hpa,ozone_ppm,ozone_volt_mv,co_ppm,co_mv,no2_ppb,no2_mv,tvoc_ppb,mc2p5_ugpm3,mc1p0_ugpm3,mc4p0_ugpm3,mc10p0_ugpm3,nc0p5_npcm3,nc1p0_npcm3,nc2p5_npcm3,nc4p0_npcm3,nc10p0_npcm3,typ_pm_um,x_g,y_g,z_g,x_raw,y_raw,z_raw,eq_db,onesmin_db,onesmax_db,lux_lx,uv_mwpm2,batt_volt,batt_prcnt,si1133_int,lis3dh_int,sgpc3_int,batt_int,speco3_int,sps30_int,sps30pre_int,mic4514_int,mic4514pre_int,mic_int,bme280_int,leds_on,code_version,receivedTimestamp,lat,lon,acc,co-ug,no2-ug,o3-ug,co-mg,bc-proxy,ldsa-proxy,newaqi,dosage-male-walking-low,dosage-male-walking-high,dosage-female-walking-low,dosage-female-walking-high,accbin
2021-11-05 12:17:00,1,1, ,0.057,0.058,11311.5,340195.5,340195.5,1636094849301.5,32.03,45.129,945.79,162.5,-3241.5,388.0,1585.5,3060.0,1360.0,0.0,32.716,30.194,33.352,33.48,209.386,239.525,240.923,241.191,241.279,0.577,0.0,-0.024,0.016,32768.0,32640.0,33024.0,53.401,48.741,64.131,16527.878,1.456,4144.5,99.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1636094851134.5,17.445,78.35,3.79,281.426,97.541,326.67,0.281,1.631,22.539,155.5,9.03,22.574,7.852,19.629,0.0
2021-11-05 12:18:00,1,1, ,0.048,0.046,11313.5,340199.0,340199.0,1636094911918.5,33.175,42.4,945.696,158.5,-3163.0,371.5,1542.5,2548.0,1217.0,0.0,31.009,29.12,31.183,31.218,203.201,231.608,232.39,232.532,232.601,0.584,-0.024,-0.008,0.016,65152.0,32640.0,256.0,58.311,49.075,72.24,11395.771,1.101,4136.5,99.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1636094912516.0,17.445,78.35,3.79,265.035,81.132,319.236,0.265,1.502,21.326,155.25,8.558,21.396,7.442,18.605,0.0
2021-11-05 12:19:00,1,1, ,0.051,0.051,11315.5,340203.0,340203.0,1636094973815.0,33.75,40.711,945.66,167.5,-3341.5,375.0,1555.5,2483.5,1198.5,0.0,31.211,29.157,31.518,31.579,203.075,231.716,232.67,232.847,232.921,0.599,0.024,-0.008,0.0,384.0,32640.0,32768.0,51.741,47.505,56.72,17702.195,1.639,4138.0,99.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1636094974393.0,17.445,78.35,3.79,265.93,79.052,334.616,0.266,1.5,21.185,155.75,8.614,21.536,7.491,18.727,0.0
2021-11-05 12:20:00,1,1, ,0.052,0.052,11317.5,340207.0,340207.0,1636095035978.0,34.11,40.257,945.62,186.0,-3704.5,398.0,1615.5,2598.0,1225.0,0.0,30.746,28.599,31.154,31.236,198.882,227.135,228.208,228.41,228.487,0.593,-0.016,0.016,0.0,32512.0,33024.0,0.0,55.306,49.682,62.882,12083.104,1.017,4136.0,98.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1636095036648.0,17.445,78.35,3.79,283.739,82.713,366.558,0.284,1.531,21.293,156.75,8.486,21.215,7.379,18.448,0.0
2021-11-05 12:21:00,1,1, ,0.049,0.050,11319.5,340211.0,340211.0,1636095097927.0,34.395,38.633,945.732,76.5,191.5,360.5,1507.5,2237.0,1131.5,0.0,32.963,30.978,33.129,33.162,216.224,246.413,247.22,247.366,247.438,0.558,-0.016,-0.048,0.008,32512.0,32000.0,32896.0,71.582,54.929,83.685,3485.3,0.853,4126.5,98.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1636095098480.5,17.445,78.351,9.965,252.002,71.145,176.421,0.252,1.468,10.409,119.8,9.098,22.744,7.911,19.778,0.5
2021-11-05 12:22:00,1,1, ,0.050,0.049,11321.0,340215.0,340215.0,1636095175046.0,33.7,39.437,946.006,0.0,1497.0,363.0,1521.0,2135.0,1098.0,0.0,35.01,32.776,35.293,35.35,228.463,260.567,261.559,261.742,261.823,0.569,0.0,0.0,-0.016,0.0,0.0,65280.0,61.512,59.759,63.764,1696.947,0.125,4138.0,98.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1636095176359.0,17.446,78.351,11.991,255.105,67.886,43.974,0.255,1.451,0.0,85.0,9.663,24.157,8.402,21.006,1.0
2021-11-05 12:23:00,1,1, ,0.051,0.046,11322.5,340218.0,340218.0,1636095221732.0,33.295,40.354,946.012,0.0,895.5,373.0,1542.0,2246.0,1134.0,0.0,39.981,37.43,40.305,40.37,260.898,297.56,298.694,298.903,298.995,0.578,0.016,-0.016,-0.032,33024.0,32512.0,32256.0,59.831,58.629,61.646,1437.844,0.125,4115.5,97.5,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1636095222321.5,17.446,78.351,11.991,264.19,71.447,44.149,0.264,1.539,0.0,90.0,11.035,27.587,9.595,23.989,1.0
2021-11-05 12:24:00,1,1, ,0.054,0.048,11324.5,340222.0,340222.0,1636095284080.5,33.155,40.81,945.94,0.0,80.5,383.5,1574.5,2442.0,1182.0,0.0,33.366,31.052,33.794,33.88,215.989,246.644,247.79,248.006,248.089,0.601,-0.032,-0.048,0.008,65024.0,64768.0,32896.0,60.819,55.407,68.006,1373.647,0.247,4120.5,97.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1636095284682.5,17.446,78.351,11.991,273.104,77.723,44.207,0.273,1.507,0.0,83.35,9.209,23.023,8.008,20.02,1.0
2021-11-05 12:25:00,1,1, ,0.049,0.046,11326.0,340225.0,340225.0,1636095330109.0,33.27,40.516,945.972,13.0,-264.0,378.0,1557.0,2310.0,1148.0,0.0,32.891,31.03,32.955,32.968,216.876,246.961,247.637,247.756,247.825,0.56,0.0,0.0,0.016,0.0,0.0,256.0,60.482,56.777,63.706,1370.73,0.148,4133.0,97.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1636095330646.0,17.446,78.351,11.991,268.362,73.496,66.719,0.268,1.466,22.602,82.9,9.078,22.695,7.894,19.735,1.0
2021-11-05 12:26:00,1,1, ,0.048,0.048,11327.5,340227.5,340227.5,1636095376810.5,33.33,39.818,945.936,42.0,-842.5,378.0,1559.0,2280.0,1139.0,0.0,32.227,30.113,32.538,32.6,209.752,239.323,240.3,240.481,240.558,0.591,-0.032,-0.032,-0.056,32256.0,65024.0,64640.0,65.442,57.563,77.103,5683.135,0.902,4117.0,97.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1636095377337.5,17.446,78.351,11.991,267.655,72.529,117.036,0.268,1.449,21.767,97.35,8.895,22.237,7.735,19.336,1.0
