Date Time, Monitor ID, Location ID, CO(ppm), PM10(ppm), PM2.5(ppm),Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,timestamp,temp_c,hum_prcnt,press_hpa,ozone_ppm,ozone_volt_mv,co_ppm,co_mv,no2_ppb,no2_mv,tvoc_ppb,mc2p5_ugpm3,mc1p0_ugpm3,mc4p0_ugpm3,mc10p0_ugpm3,nc0p5_npcm3,nc1p0_npcm3,nc2p5_npcm3,nc4p0_npcm3,nc10p0_npcm3,typ_pm_um,x_g,y_g,z_g,x_raw,y_raw,z_raw,eq_db,onesmin_db,onesmax_db,lux_lx,uv_mwpm2,batt_volt,batt_prcnt,si1133_int,lis3dh_int,sgpc3_int,batt_int,speco3_int,sps30_int,sps30pre_int,mic4514_int,mic4514pre_int,mic_int,bme280_int,leds_on,code_version,receivedTimestamp,lat,lon,acc,co-ug,no2-ug,o3-ug,co-mg,bc-proxy,ldsa-proxy,newaqi,dosage-male-walking-low,dosage-male-walking-high,dosage-female-walking-low,dosage-female-walking-high,accbin
2021-11-05 12:52:00,1,1, ,0.054,0.042,3553.0,340292.0,340292.0,1636096952787.0,34.32,24.99,950.6,0.0,461.0,435.0,1719.0,1739.0,982.0,0.0,30.479,28.53,30.729,30.779,199.289,226.829,227.676,227.826,227.883,0.586,0.032,-0.032,0.032,512.0,65024.0,512.0,68.735,65.313,71.585,493.995,0.109,4229.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1636096953533.0,17.421,78.385,8.1,298.406,55.061,44.018,0.298,1.276,0.0,80.5,8.412,21.03,7.315,18.287,1.0
2021-11-05 12:53:00,1,1, ,0.127,0.051,3554.0,340293.0,340293.0,1636096983918.0,34.41,22.968,950.901,0.0,1809.0,439.0,1726.0,1721.0,988.0,0.0,30.723,28.949,30.812,30.83,202.694,230.385,231.031,231.14,231.192,0.567,-0.048,-0.048,-0.144,64768.0,64768.0,63232.0,69.85,67.714,78.098,557.068,0.149,4202.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1636096983246.0,17.419,78.388,2.0,299.599,54.464,44.022,0.3,1.274,0.0,80.7,8.48,21.199,7.373,18.434,0.0
2021-11-05 12:55:00,1,1, ,0.739,0.246,3555.0,340294.0,340294.0,1636097125172.0,33.89,20.102,950.811,0.0,3450.0,450.0,1761.0,1700.0,973.0,0.0,23.299,22.033,23.299,23.299,154.468,175.44,175.844,175.908,175.946,0.552,0.0,-0.048,0.016,0.0,64768.0,256.0,70.536,68.059,78.924,251.012,0.879,4217.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1636097126170.0,17.419,78.388,2.0,305.854,53.758,44.344,0.306,1.153,0.0,71.5,6.431,16.077,5.592,13.98,0.0
2021-11-05 12:57:00,1,1, ,0.582,0.188,3556.0,340295.0,340295.0,1636097272081.0,32.84,22.153,949.568,0.0,3088.0,447.0,1750.0,1732.0,994.0,0.0,19.044,17.953,19.093,19.103,125.72,142.882,143.274,143.34,143.372,0.565,-0.064,0.016,0.032,64512.0,256.0,512.0,65.131,58.859,68.507,591.597,0.342,4220.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1636097272613.0,17.419,78.388,2.0,305.929,54.8,44.806,0.306,1.075,0.0,64.3,5.256,13.141,4.571,11.427,0.0
2021-11-05 13:02:00,1,1, ,0.076,0.046,3557.0,340301.0,340301.0,1636097545526.0,33.08,31.851,949.521,10.0,-202.0,393.0,1607.0,1696.0,972.0,0.0,73.002,50.599,88.781,91.936,308.802,381.179,402.557,406.855,407.508,0.734,-0.016,0.016,-0.016,65280.0,256.0,65280.0,72.773,68.564,74.905,606.847,0.632,4228.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1636097545465.0,17.419,78.388,2.0,272.024,53.754,61.812,0.272,1.633,24.565,145.0,20.149,50.372,17.521,43.801,0.0
2021-11-05 13:05:00,1,1, ,0.098,0.052,3558.0,340312.0,340312.0,1636097735954.0,32.82,22.314,949.89,0.0,3456.0,409.0,1651.0,1578.0,944.0,0.0,32.371,27.812,34.768,35.247,188.004,218.154,221.77,222.482,222.615,0.691,0.112,-0.096,-0.016,1792.0,64000.0,65280.0,68.131,64.862,71.749,141.807,0.349,4229.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1636097735840.0,17.419,78.388,2.0,275.669,49.874,44.812,0.276,1.218,0.0,82.4,8.934,22.336,7.769,19.423,0.0
2021-11-05 13:09:00,1,1, ,0.041,0.040,3559.0,340325.0,340325.0,1636097976058.0,31.7,21.264,949.951,0.0,2264.0,428.0,1701.0,1582.0,941.0,0.0,19.793,17.866,20.521,20.667,123.136,141.259,142.53,142.774,142.831,0.654,-0.016,0.032,-0.016,65280.0,512.0,65280.0,71.492,64.777,79.13,395.003,0.632,4231.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1636097975681.0,17.419,78.388,2.0,290.372,49.986,45.382,0.29,1.027,0.0,65.7,5.463,13.657,4.75,11.876,0.0
2021-11-05 13:13:00,1,1, ,0.243,0.081,3560.0,340336.0,340336.0,1636098222882.0,30.85,22.516,951.472,0.0,1755.0,453.0,1771.0,1689.0,965.0,0.0,12.887,11.947,13.091,13.132,83.163,94.849,95.334,95.422,95.45,0.628,0.016,-0.016,-0.032,256.0,65280.0,65024.0,60.53,52.395,67.042,523.569,0.257,4231.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1636098223794.0,17.419,78.388,2.0,311.996,53.42,45.766,0.312,0.914,0.0,61.3,3.557,8.892,3.093,7.732,0.0
2021-11-05 13:17:00,1,1, ,0.136,0.078,3561.0,340344.0,340344.0,1636098420811.0,30.39,22.009,951.462,0.0,1299.0,466.0,1806.0,1614.0,950.0,0.0,13.374,12.529,13.476,13.496,87.545,99.626,99.987,100.05,100.075,0.564,-0.016,0.128,-0.096,65280.0,2048.0,64000.0,74.981,67.268,79.885,636.148,0.463,4234.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1636098420396.0,17.419,78.388,2.0,322.122,51.012,46.002,0.322,0.9,0.0,59.3,3.691,9.228,3.21,8.025,0.0
2021-11-05 13:20:00,1,1, ,0.071,0.050,3562.0,340352.0,340352.0,1636098645111.0,29.99,22.102,950.796,0.0,1578.0,474.0,1825.0,1639.0,963.0,0.0,10.636,10.058,10.636,10.636,70.513,80.086,80.27,80.3,80.317,0.559,-0.032,0.016,0.032,65024.0,256.0,512.0,71.385,63.368,78.82,522.098,0.525,4242.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1636098644759.0,17.419,78.388,2.0,328.801,51.812,46.194,0.329,0.838,0.0,60.0,2.935,7.339,2.553,6.381,0.0
