created_at, Monitor ID, Location ID, CO(ppm), PM10(ppm), PM2.5(ppm),CO_1,CO_1_original,SO2_1,CO_2,CO_2_original,SO2_2,Temperature,RH,Pressure,time,latitude,longitude,altitude
06-11-2021 14:41,1,1,19.33, , ,80,80,16,17.2,17.2,2.2,37.957,27.871,939.43,06-11-2021 09:11,17.4450933,78.35062469,520.782
06-11-2021 14:42,1,1,17.68, , ,79.2,79.158,16,16,16,3.579,36.309,29.804,939.45,06-11-2021 09:12,17.4461164,78.35045804,518.851
06-11-2021 14:43,1,1,16.41, , ,65.8,65.778,-19.556,16.7,16.667,3.556,33.833,34.131,939.034,06-11-2021 09:13,17.44747557,78.34834568,535.63
06-11-2021 14:44,1,1,15.53, , ,64,64,16,15.7,15.632,1.158,33.327,34.421,938.725,06-11-2021 09:14,17.44646911,78.34744279,530.76
06-11-2021 14:45,1,1,15.52, , ,64,64,16,14.8,14.737,3.842,34.053,33.444,938.848,06-11-2021 09:15,17.44656302,78.34749617,530.824
06-11-2021 14:46,1,1,14.96, , ,64,64,16,14.5,14.5,3,33.997,33.999,938.832,06-11-2021 09:16,17.44656452,78.34749622,531.294
06-11-2021 14:47,1,1,13.5, , ,64,64,16,13.8,13.737,2.789,34.202,33.423,938.786,06-11-2021 09:17,17.44656536,78.34749634,531.477
06-11-2021 14:48,1,1,12.21, , ,64,64,16,13,13,2.75,34.36,33.096,938.774,06-11-2021 09:18,17.44738796,78.3490675,525.916
06-11-2021 14:56,1,1,7.57, , ,61.4,61.333,16,34.2,34.167,4,33.163,35.254,939.711,06-11-2021 09:26,17.4466521,78.35089755,517.307
06-11-2021 14:57,1,1,7.87, , ,63.2,63.111,-56.889,34.1,34.056,2.778,32.512,35.668,938.555,06-11-2021 09:27,17.4481426,78.34966821,518.227
06-11-2021 14:58,1,1,7.5, , ,50.9,50.824,18.824,32.5,32.412,0.647,32.721,35.714,938.838,06-11-2021 09:28,17.44512146,78.35278531,522.681
06-11-2021 14:59,1,1,10, , ,57.3,57.263,18.526,26.2,26.105,1.632,33.138,35.159,939.449,06-11-2021 09:29,17.44193903,78.35839056,504.6
06-11-2021 15:00,1,1,10.1, , ,63.2,63.111,-19.556,22.6,22.556,2.333,32.989,35.593,940.596,06-11-2021 09:30,17.43952808,78.36257306,509.198
06-11-2021 15:01,1,1,6.71, , ,63.2,63.111,-19.556,19.3,19.278,2.667,32.827,35.509,940.767,06-11-2021 09:31,17.43419065,78.36889269,490.539
06-11-2021 15:02,1,1,11.56, , ,64,64,-16.842,16.7,16.684,3.211,33.203,35.097,943.207,06-11-2021 09:32,17.43171749,78.37172961,481.488
06-11-2021 15:03,1,1,7.91, , ,63.2,63.111,19.556,15.5,15.5,3.056,33.083,35.569,943.607,06-11-2021 09:33,17.4294534,78.37442595,489.306
06-11-2021 15:04,1,1,8.45, , ,64,64,16.842,16.9,16.895,4.368,32.221,36.925,943.019,06-11-2021 09:34,17.43279934,78.37471654,494.221
06-11-2021 15:05,1,1,7.22, , ,64,64,16,16.8,16.722,6.722,32.224,37.099,942.825,06-11-2021 09:35,17.4337948,78.37456363,497.058
06-11-2021 15:06,1,1,6.75, , ,64,64,16,16,16,7.353,32.511,36.964,942.704,06-11-2021 09:36,17.43453863,78.37452481,494.465
06-11-2021 15:07,1,1,8.76, , ,69.7,69.647,16.941,16.6,16.529,8.412,32.759,36.433,941.122,06-11-2021 09:37,17.43879805,78.37664861,507.298
06-11-2021 15:08,1,1,7.93, , ,72.5,72.471,-20.706,17.3,17.294,9.412,32.586,36.669,940.093,06-11-2021 09:38,17.44308951,78.37715092,514.67
06-11-2021 15:09,1,1,5.69, , ,72.9,72.889,-233.778,21.9,21.889,8.278,32.183,37.215,940.01,06-11-2021 09:39,17.44724682,78.37814738,508.214
06-11-2021 15:10,1,1,4.61, , ,64,64,-27.733,23.8,23.8,4.8,31.943,37.298,940.399,06-11-2021 09:40,17.45178417,78.38146776,511.727
06-11-2021 15:11,1,1,5.65, , ,64,64,16,22.8,22.733,2.2,31.3,38.605,941.049,06-11-2021 09:41,17.45778832,78.3844921,490.981
06-11-2021 15:12,1,1,5.41, , ,64,64,-19.556,19.8,19.722,4.111,31.623,38.231,942.139,06-11-2021 09:42,17.46327106,78.38527462,487.652
06-11-2021 15:13,1,1,5.38, , ,64,64,16,18.7,18.643,4.643,31.886,38.039,942.53,06-11-2021 09:43,17.46426935,78.38567754,485.936
06-11-2021 15:14,1,1,4.63, , ,64,64,17.684,18.7,18.684,1.947,31.892,37.339,942.042,06-11-2021 09:44,17.46195483,78.38535153,491.472
06-11-2021 15:15,1,1,3.49, , ,64,64,16,17,16.944,3.278,31.808,37.699,942.079,06-11-2021 09:45,17.45597558,78.38409225,494.622
06-11-2021 15:16,1,1,7.39, , ,64,64,16,15.5,15.5,4,31.988,37.776,941.411,06-11-2021 09:46,17.45421466,78.38328083,498.748
06-11-2021 15:17,1,1,5.94, , ,64,64,16,14.5,14.5,5.222,32.007,37.642,941.894,06-11-2021 09:47,17.45850506,78.38464048,488.194
06-11-2021 15:18,1,1,4.01, , ,64.9,64.889,17.778,14.2,14.111,6.833,32.244,37.394,942.079,06-11-2021 09:48,17.46396118,78.38548305,485.302
06-11-2021 15:19,1,1,3.57, , ,65,64.941,-97.882,16.8,16.706,6.765,31.776,38.108,941.316,06-11-2021 09:49,17.47163793,78.38728854,492.347
06-11-2021 15:20,1,1,11.4, , ,64,64,18.824,20.8,20.765,5.353,31.774,38.532,941.933,06-11-2021 09:50,17.4760598,78.38936536,505.685
06-11-2021 15:21,1,1,10.57, , ,64,64,16,21.5,21.421,3.474,31.509,39.555,941.264,06-11-2021 09:51,17.48072419,78.38950969,506.084
06-11-2021 18:00,1,1,10.87, , ,48,48,-83.692,9,9,2.692,27.912,44.801,942.292,06-11-2021 12:30,17.47394198,78.38815751,497.56
06-11-2021 18:01,1,1,8.28, , ,48,48,19,9.4,9.312,2.875,27.964,44.409,942.76,06-11-2021 12:31,17.46741193,78.38623933,497.107
06-11-2021 18:02,1,1,7.12, , ,46.2,46.118,-20.706,7.9,7.824,2.412,27.702,45.25,943.23,06-11-2021 12:32,17.46240868,78.38531397,488.848
06-11-2021 18:03,1,1,4.32, , ,48,48,-23,9.3,9.25,3.25,27.823,45.237,943.54,06-11-2021 12:33,17.45858982,78.38464209,487.089
06-11-2021 18:04,1,1,2.78, , ,48,48,16,10.5,10.444,4.389,27.758,45.632,943.069,06-11-2021 12:34,17.45401188,78.38328017,499.106
06-11-2021 18:05,1,1,3.69, , ,48,48,-24.533,10,9.933,3.067,27.767,45.027,941.726,06-11-2021 12:35,17.45010232,78.37951393,507.426
06-11-2021 18:06,1,1,6.43, , ,48,48,-133.647,8.7,8.647,2.882,28.034,44.46,941.802,06-11-2021 12:36,17.44682406,78.3778403,505.021
06-11-2021 18:07,1,1,5.29, , ,46.2,46.118,-100.706,8.2,8.118,2.647,28.002,44.307,941.175,06-11-2021 12:37,17.44169951,78.37727055,505.159
06-11-2021 18:08,1,1,7.51, , ,41.8,41.778,16.889,6.7,6.611,2.5,28.031,44.015,941.535,06-11-2021 12:38,17.43689686,78.37471038,503.766
06-11-2021 18:09,1,1,6.92, , ,34.3,34.286,16,5.3,5.214,1.857,28.034,44.18,943.498,06-11-2021 12:39,17.43172041,78.37511748,484.802
