Time,AQI-IN,PM25,PM10,Temp(cel),Hum,CO(ppm),SO2(ppm),NO2(ppm),O3(ppm)
01-11-2021 10:44,11,7,7,32.1,37.3,23.2,16.751,-0.187,2.247
01-11-2021 10:44,11,7,7,32,37.4,17.76,16.751,-0.193,1.977
01-11-2021 10:45,8,5,5,32,37.9,15.05,16.751,-0.193,1.788
01-11-2021 10:45,10,6,6,32,37.8,13.47,16.751,-0.196,1.605
01-11-2021 10:46,10,6,6,32,38.2,12.07,16.751,-0.202,1.447
01-11-2021 10:46,10,6,6,32,38.5,11,16.751,-0.202,1.337
01-11-2021 10:47,10,6,7,32,38.7,9.8,16.751,-0.198,1.191
01-11-2021 10:49,15,9,10,32.2,37.8,8.31,5.217,-0.204,0.919
01-11-2021 10:49,13,8,9,32.3,37.9,8.18,4.61,-0.206,0.87
01-11-2021 10:50,8,5,5,32.4,38.3,7.98,4.093,-0.211,0.831
01-11-2021 10:50,8,5,5,32.5,38,7.84,3.739,-0.214,0.785
01-11-2021 10:51,8,5,5,32.6,37.9,7.57,3.419,-0.211,0.76
01-11-2021 10:51,10,6,6,32.7,37.8,7.37,3.297,-0.213,0.719
01-11-2021 10:52,8,5,5,32.8,37.1,7.26,3.047,-0.217,0.689
01-11-2021 10:52,6,4,4,33,37.1,7.2,2.887,-0.222,0.66
01-11-2021 10:53,6,4,4,33.1,36.3,7.08,2.711,-0.226,0.639
01-11-2021 10:54,8,5,5,33.2,36.3,7.2,2.824,-0.225,0.63
01-11-2021 10:54,8,5,5,33.3,36.3,12.09,3.266,-0.229,0.62
01-11-2021 10:55,8,5,5,33.4,36.1,7.74,2.392,-0.23,0.616
01-11-2021 10:55,11,7,7,33.5,36,6.6,2.229,-0.228,0.614
01-11-2021 10:56,8,5,5,33.6,35.4,6.48,2.114,-0.237,0.605
01-11-2021 10:56,6,4,4,33.6,35.2,6.39,2.008,-0.237,0.599
01-11-2021 10:57,8,5,5,33.7,35.4,6.12,1.887,-0.233,0.594
01-11-2021 10:57,6,4,4,33.7,35.6,6,1.817,-0.231,0.584
01-11-2021 10:58,6,4,4,33.7,35.6,5.9,1.773,-0.235,0.568
01-11-2021 10:59,8,5,5,33.8,35.5,5.68,1.676,-0.232,0.56
01-11-2021 10:59,8,5,5,33.9,35.8,5.55,1.629,-0.231,0.548
01-11-2021 11:00,6,4,4,33.9,36.1,5.5,1.581,-0.232,0.535
01-11-2021 11:00,6,4,4,34,36.3,5.36,1.522,-0.235,0.529
01-11-2021 11:01,8,5,5,34,36.5,5.29,1.431,-0.235,0.518
01-11-2021 11:01,8,5,5,34.1,36,5.26,1.528,-0.236,0.507
01-11-2021 11:02,8,5,5,34.1,35.5,5.13,1.267,-0.236,0.48
01-11-2021 11:02,10,6,6,34.2,35.6,4.91,1.263,-0.238,0.479
01-11-2021 11:03,8,5,5,34.2,35.9,4.67,1.167,-0.235,0.479
01-11-2021 11:04,10,6,6,34.3,36.2,4.55,1.085,-0.233,0.482
01-11-2021 11:04,8,5,5,34.3,36.4,4.52,1.078,-0.236,0.473
01-11-2021 11:05,6,4,4,34.4,34.9,4.57,1.096,-0.238,0.453
01-11-2021 11:05,8,5,5,34.4,34.8,4.46,1.028,-0.239,0.452
01-11-2021 11:06,10,6,6,34.5,34.7,4.28,0.976,-0.24,0.45
01-11-2021 11:06,8,5,5,34.5,35.3,4.29,0.974,-0.238,0.449
01-11-2021 11:07,8,5,5,34.5,34.6,4.24,0.816,-0.238,0.448
01-11-2021 11:07,10,6,6,34.5,35.3,4.23,0.846,-0.238,0.45
01-11-2021 11:08,8,5,5,34.5,34.9,4.18,0.808,-0.239,0.441
01-11-2021 11:09,8,5,5,34.5,34.7,3.99,0.808,-0.235,0.438
01-11-2021 11:09,6,4,4,34.6,35,4.1,0.755,-0.241,0.432
01-11-2021 11:10,8,5,5,34.6,35.1,3.98,0.714,-0.238,0.44
01-11-2021 11:10,10,6,6,34.6,34.8,4.01,0.703,-0.241,0.436
01-11-2021 11:11,8,5,5,34.7,35,3.82,0.696,-0.241,0.437
