,created_at, Monitor ID, Location ID, CO(ppm),NO2,O3,CO,SO2,Temperature,RH,Pressure
0,2021-10-22 14:16:00,1,1,0.0,17.778,-0.889,8.667,22.222,29.583,47.586,943.805
1,2021-10-22 14:17:00,1,1,0.0,0.0,0.0,8.227,22.045,29.58,47.361,943.779
32,2021-10-22 14:48:00,1,1,0.0,0.0,0.0,8.556,25.111,30.374,39.396,944.097
33,2021-10-22 14:49:00,1,1,0.0,0.0,0.0,8.368,25.316,30.433,39.678,944.091
34,2021-10-22 14:50:00,1,1,0.29,0.0,0.0,8.474,26.316,30.556,40.103,944.273
35,2021-10-22 14:51:00,1,1,2.09,0.0,0.0,8.65,27.3,30.747,41.087,944.326
36,2021-10-22 14:52:00,1,1,3.24,0.0,0.0,8.889,27.556,30.979,40.784,944.282
37,2021-10-22 14:53:00,1,1,3.76,0.0,0.0,9.2,28.75,31.202,38.057,944.315
38,2021-10-22 14:54:00,1,1,1.88,0.0,0.0,9.737,29.526,31.394,36.595,943.775
39,2021-10-22 14:55:00,1,1,0.34,0.0,0.0,9.842,30.421,31.672,36.365,944.13
40,2021-10-22 14:56:00,1,1,0.18,0.0,0.0,10.389,32.722,31.93,35.467,944.264
41,2021-10-22 14:57:00,1,1,0.0,0.0,0.0,11.556,35.167,32.276,35.151,945.346
42,2021-10-22 14:58:00,1,1,0.73,0.0,0.0,13.211,42.105,32.635,34.313,945.754
43,2021-10-22 14:59:00,1,1,1.25,0.0,0.0,12.421,48.0,32.87,34.188,945.903
44,2021-10-22 15:00:00,1,1,1.49,0.0,0.0,12.056,44.722,32.827,34.037,945.902
45,2021-10-22 15:01:00,1,1,1.08,0.0,0.0,15.316,45.421,32.971,33.957,946.492
46,2021-10-22 15:02:00,1,1,1.12,0.0,0.0,14.632,40.211,33.098,33.523,947.597
47,2021-10-22 15:03:00,1,1,1.95,0.0,0.0,15.0,42.071,33.321,33.319,947.672
48,2021-10-22 15:04:00,1,1,3.81,0.0,0.0,14.833,40.444,33.291,33.475,948.427
49,2021-10-22 15:05:00,1,1,3.31,0.0,0.0,14.105,40.579,33.304,33.329,949.271
50,2021-10-22 15:06:00,1,1,3.22,0.0,0.0,13.526,40.526,33.388,33.131,949.966
51,2021-10-22 15:07:00,1,1,2.99,0.0,0.0,13.111,38.278,33.384,33.51,950.044
52,2021-10-22 15:08:00,1,1,5.99,0.0,0.0,13.632,41.368,33.174,33.965,949.42
53,2021-10-22 15:09:00,1,1,6.02,0.0,0.0,15.947,47.211,33.017,34.163,949.602
54,2021-10-22 15:10:00,1,1,3.92,0.0,0.0,15.556,43.389,32.745,34.119,950.203
55,2021-10-22 15:11:00,1,1,0.44,0.0,0.0,15.056,43.222,32.648,34.06,950.578
