,created_at, Monitor ID, Location ID, CO(ppm),NO2,O3,CO,SO2,Temperature,RH,Pressure
0,2021-10-22 14:16:00,1,1,0.0,16.842,-0.842,8.632,22.211,29.583,47.574,943.804
1,2021-10-22 14:17:00,1,1,0.0,0.0,0.0,8.238,22.048,29.58,47.361,943.778
32,2021-10-22 14:48:00,1,1,0.0,0.0,0.0,8.526,25.158,30.376,39.399,944.095
33,2021-10-22 14:49:00,1,1,0.0,0.0,0.0,8.389,25.278,30.435,39.692,944.092
34,2021-10-22 14:50:00,1,1,0.29,0.0,0.0,8.474,26.316,30.556,40.103,944.273
35,2021-10-22 14:51:00,1,1,2.09,0.0,0.0,8.65,27.3,30.747,41.087,944.326
36,2021-10-22 14:52:00,1,1,3.24,0.0,0.0,8.895,27.579,30.984,40.653,944.282
37,2021-10-22 14:53:00,1,1,3.76,0.0,0.0,9.211,28.789,31.209,38.044,944.318
38,2021-10-22 14:54:00,1,1,1.88,0.0,0.0,9.737,29.526,31.394,36.595,943.775
39,2021-10-22 14:55:00,1,1,0.34,0.0,0.0,9.842,30.421,31.672,36.365,944.13
40,2021-10-22 14:56:00,1,1,0.18,0.0,0.0,10.389,32.722,31.93,35.467,944.264
41,2021-10-22 14:57:00,1,1,0.0,0.0,0.0,11.556,35.167,32.276,35.151,945.346
42,2021-10-22 14:58:00,1,1,0.73,0.0,0.0,13.211,42.105,32.635,34.313,945.754
43,2021-10-22 14:59:00,1,1,1.25,0.0,0.0,12.4,47.9,32.869,34.168,945.903
44,2021-10-22 15:00:00,1,1,1.49,0.0,0.0,12.167,45.056,32.832,34.05,945.915
45,2021-10-22 15:01:00,1,1,1.08,0.0,0.0,15.368,44.895,32.976,33.945,946.543
46,2021-10-22 15:02:00,1,1,1.12,0.0,0.0,14.611,40.111,33.102,33.507,947.626
47,2021-10-22 15:03:00,1,1,1.95,0.0,0.0,15.0,42.071,33.321,33.319,947.672
48,2021-10-22 15:04:00,1,1,3.81,0.0,0.0,14.789,40.526,33.292,33.47,948.448
49,2021-10-22 15:05:00,1,1,3.31,0.0,0.0,14.111,40.5,33.303,33.326,949.296
50,2021-10-22 15:06:00,1,1,3.22,0.0,0.0,13.526,40.526,33.388,33.131,949.966
51,2021-10-22 15:07:00,1,1,2.99,0.0,0.0,13.105,38.368,33.379,33.514,950.033
52,2021-10-22 15:08:00,1,1,5.99,0.0,0.0,13.667,41.444,33.167,33.987,949.397
53,2021-10-22 15:09:00,1,1,6.02,0.0,0.0,15.947,47.211,33.017,34.163,949.602
54,2021-10-22 15:10:00,1,1,3.92,0.0,0.0,15.556,43.389,32.745,34.119,950.203
55,2021-10-22 15:11:00,1,1,0.44,0.0,0.0,15.056,43.222,32.648,34.06,950.578
56,2021-10-22 15:12:00,1,1,3.62,0.0,0.0,15.579,46.579,32.613,35.393,951.423
57,2021-10-22 15:13:00,1,1,3.71,0.0,0.0,20.105,58.053,32.874,34.802,951.823
58,2021-10-22 15:14:00,1,1,3.79,0.0,0.0,22.105,57.474,33.387,33.62,951.702
59,2021-10-22 15:15:00,1,1,5.03,0.0,0.0,20.111,52.611,33.638,32.656,951.254
60,2021-10-22 15:16:00,1,1,4.69,0.0,0.0,16.947,46.316,33.894,32.142,951.733
61,2021-10-22 15:17:00,1,1,1.75,0.0,0.0,20.444,55.5,34.228,32.558,950.901
62,2021-10-22 15:18:00,1,1,3.61,0.0,0.0,21.222,58.833,34.436,34.308,951.631
63,2021-10-22 15:19:00,1,1,5.74,0.0,0.0,21.579,60.316,34.619,35.943,952.048
64,2021-10-22 15:20:00,1,1,2.57,0.0,0.0,22.85,62.05,34.343,35.129,951.877
65,2021-10-22 15:21:00,1,1,2.76,0.0,0.0,22.789,57.368,34.18,34.737,951.755
66,2021-10-22 15:22:00,1,1,1.76,0.0,0.0,20.727,55.364,34.062,34.069,951.581
67,2021-10-22 15:23:00,1,1,4.7,0.0,0.0,22.0,63.5,34.006,34.596,951.454
68,2021-10-22 15:24:00,1,1,3.55,0.0,0.0,23.938,66.125,33.882,34.758,951.471
69,2021-10-22 15:25:00,1,1,3.8,0.0,0.0,21.421,55.0,33.781,34.524,951.97
70,2021-10-22 15:26:00,1,1,7.38,0.0,0.0,20.105,56.211,34.074,33.232,951.925
71,2021-10-22 15:27:00,1,1,5.35,0.0,0.0,20.647,61.353,34.604,32.433,952.008
72,2021-10-22 15:28:00,1,1,2.61,0.0,0.0,22.944,62.389,34.893,32.108,951.796
73,2021-10-22 15:29:00,1,1,0.0,0.0,0.0,21.158,54.316,34.791,31.718,951.598
74,2021-10-22 15:30:00,1,1,0.0,0.0,0.0,21.389,56.722,34.729,31.762,952.263
75,2021-10-22 15:31:00,1,1,1.72,0.0,0.0,23.722,61.722,34.994,31.559,952.471
76,2021-10-22 15:32:00,1,1,0.24,0.0,0.0,20.789,56.526,35.459,31.087,952.505
77,2021-10-22 15:33:00,1,1,1.67,0.0,0.0,19.278,54.0,35.843,30.43,952.534
78,2021-10-22 15:34:00,1,1,6.03,0.0,0.0,19.0,55.316,36.334,29.793,952.524
79,2021-10-22 15:35:00,1,1,8.77,0.0,0.0,19.895,55.105,36.104,30.243,952.322
80,2021-10-22 15:36:00,1,1,6.63,0.0,0.0,21.667,57.278,35.605,30.753,951.99
81,2021-10-22 15:37:00,1,1,4.05,0.0,0.0,19.882,52.176,35.154,31.601,952.887
82,2021-10-22 15:38:00,1,1,6.98,0.0,0.0,20.632,54.211,34.887,32.009,952.947
83,2021-10-22 15:39:00,1,1,2.13,0.0,0.0,23.944,63.833,34.76,32.728,953.191
84,2021-10-22 15:40:00,1,1,4.3,0.0,0.0,27.556,66.167,34.534,32.877,953.287
85,2021-10-22 15:41:00,1,1,11.13,0.0,0.0,26.211,60.263,34.212,33.237,952.986
86,2021-10-22 15:42:00,1,1,5.48,0.0,0.0,23.333,61.111,34.087,33.789,952.817
87,2021-10-22 15:43:00,1,1,4.34,0.0,0.0,21.556,55.167,34.246,34.194,953.223
88,2021-10-22 15:44:00,1,1,7.25,0.0,0.0,17.625,54.125,34.688,33.637,953.221
89,2021-10-22 15:45:00,1,1,9.92,0.0,0.0,24.333,72.389,35.047,33.239,953.073
90,2021-10-22 15:46:00,1,1,12.96,0.0,0.0,29.947,71.789,35.055,34.533,952.955
91,2021-10-22 15:47:00,1,1,9.63,0.0,0.0,22.812,53.938,34.518,34.951,952.881
92,2021-10-22 15:48:00,1,1,6.19,0.0,0.0,17.789,48.105,34.028,36.317,953.024
93,2021-10-22 15:49:00,1,1,6.87,0.0,0.0,16.333,47.389,33.661,34.827,953.127
94,2021-10-22 15:50:00,1,1,7.45,0.0,0.0,19.368,57.526,33.658,34.52,953.082
95,2021-10-22 15:51:00,1,1,7.59,0.0,0.0,21.611,61.333,33.846,33.734,953.24
96,2021-10-22 15:52:00,1,1,1.98,0.0,0.0,21.389,60.667,33.791,33.065,953.257
97,2021-10-22 15:53:00,1,1,2.69,0.0,0.0,21.789,65.947,33.784,33.118,953.114
98,2021-10-22 15:54:00,1,1,2.49,0.0,0.0,22.688,66.062,33.853,33.056,952.781
99,2021-10-22 15:55:00,1,1,1.09,0.0,0.0,23.789,67.158,33.837,33.067,952.809
100,2021-10-22 15:56:00,1,1,6.1,0.0,0.0,22.556,60.167,33.777,33.059,953.138
101,2021-10-22 15:57:00,1,1,9.87,0.0,0.0,19.0,54.632,33.778,33.087,953.157
102,2021-10-22 15:58:00,1,1,2.7,0.0,0.0,19.056,57.611,33.794,33.354,953.09
103,2021-10-22 15:59:00,1,1,7.22,0.0,0.0,19.105,57.158,33.954,33.314,953.082
104,2021-10-22 16:00:00,1,1,8.21,0.0,0.0,18.833,62.0,34.114,33.168,953.013
105,2021-10-22 16:01:00,1,1,6.26,0.0,0.0,26.474,73.842,34.097,33.186,952.561
106,2021-10-22 16:02:00,1,1,11.17,0.0,0.0,28.526,75.474,34.242,33.34,952.594
107,2021-10-22 16:03:00,1,1,3.98,0.0,0.0,24.278,64.333,34.512,32.698,952.499
