data,receivedTimestamp,key
"{'temp_c': 28.610000610351562, 'hum_prcnt': 39.58700180053711, 'press_hpa': 935.927490234375, 'eq_db': 56.35224914550781, 'onesmin_db': 46.25407791137695, 'onesmax_db': 66.10639953613281, 'co_ppm': 471, 'no2_ppb': 2557, 'co_mv': 1820, 'no2_mv': 1218, 'x_g': 0.0160130113363266, 'y_g': 0.0160130113363266, 'z_g': 0, 'x_raw': 256, 'y_raw': 256, 'z_raw': 0, 'lux_lx': 184.909912109375, 'uv_mwpm2': 0.031494140625, 'nc0p5_npcm3': 10.291573524475098, 'nc1p0_npcm3': 11.71351432800293, 'nc2p5_npcm3': 11.741679191589355, 'nc4p0_npcm3': 11.74652099609375, 'nc10p0_npcm3': 11.749669075012207, 'mc1p0_ugpm3': 1.4712326526641846, 'mc2p5_ugpm3': 1.5557737350463867, 'mc4p0_ugpm3': 1.5557727813720703, 'mc10p0_ugpm3': 1.5557748079299927, 'typ_pm_um': 0.5516682863235474, 'ozone_ppm': 30, 'ozone_volt_mv': -605, 'tvoc_ppb': 0, 'batt_prcnt': 88, 'batt_volt': 4004, 'bme280_int': 30, 'speco3_int': 30, 'mic_int': 30, 'mic4514_int': 30, 'mic4514pre_int': 120, 'sgpc3_int': 30, 'sps30_int': 30, 'sps30pre_int': 30, 'lis3dh_int': 30, 'si1133_int': 30, 'batt_int': 30, 'leds_on': 1, 'code_version': 1, 'gps_avg_snr': '25.35', 'cell_strength_dbm': '-51', 'wifi_strength_dbm': '-29', 'wifi_strength_asl': '4', 'location': {'lat': 17.445425, 'lon': 78.34982, 'acc': 4.800000190734863}, 'timestamp': 1623924154293}",1623924155145,EB-F0-9E-16-C4-61
"{'temp_c': 28.719999313354492, 'hum_prcnt': 39.75299835205078, 'press_hpa': 935.9545288085938, 'eq_db': 60.509830474853516, 'onesmin_db': 46.38587188720703, 'onesmax_db': 71.0319595336914, 'co_ppm': 472, 'no2_ppb': 2567, 'co_mv': 1818, 'no2_mv': 1214, 'x_g': 0.0160130113363266, 'y_g': 0.0160130113363266, 'z_g': -0.1441171020269394, 'x_raw': 256, 'y_raw': 256, 'z_raw': 63232, 'lux_lx': 66.326171875, 'uv_mwpm2': 0.205322265625, 'nc0p5_npcm3': 12.685322761535645, 'nc1p0_npcm3': 14.443934440612793, 'nc2p5_npcm3': 14.48270320892334, 'nc4p0_npcm3': 14.489501953125, 'nc10p0_npcm3': 14.493502616882324, 'mc1p0_ugpm3': 1.8147140741348267, 'mc2p5_ugpm3': 1.9228557348251343, 'mc4p0_ugpm3': 1.9259828329086304, 'mc10p0_ugpm3': 1.9266107082366943, 'typ_pm_um': 0.5593633651733398, 'ozone_ppm': 32, 'ozone_volt_mv': -639, 'tvoc_ppb': 0, 'batt_prcnt': 88, 'batt_volt': 4020, 'bme280_int': 30, 'speco3_int': 30, 'mic_int': 30, 'mic4514_int': 30, 'mic4514pre_int': 120, 'sgpc3_int': 30, 'sps30_int': 30, 'sps30pre_int': 30, 'lis3dh_int': 30, 'si1133_int': 30, 'batt_int': 30, 'leds_on': 1, 'code_version': 1, 'gps_avg_snr': '23.049997', 'cell_strength_dbm': '-55', 'wifi_strength_dbm': '-40', 'wifi_strength_asl': '4', 'location': {'lat': 17.445425, 'lon': 78.34982, 'acc': 5.699999809265137}, 'timestamp': 1623924185109}",1623924185264,EB-F0-9E-16-C4-61
"{'temp_c': 28.8799991607666, 'hum_prcnt': 39.27399826049805, 'press_hpa': 935.9478149414062, 'eq_db': 63.02347183227539, 'onesmin_db': 46.90525817871094, 'onesmax_db': 72.97217559814453, 'co_ppm': 470, 'no2_ppb': 2553, 'co_mv': 1816, 'no2_mv': 1213, 'x_g': 0, 'y_g': 0, 'z_g': 0.1120910719037056, 'x_raw': 0, 'y_raw': 0, 'z_raw': 1792, 'lux_lx': 162.9765625, 'uv_mwpm2': 0.015869140625, 'nc0p5_npcm3': 11.974583625793457, 'nc1p0_npcm3': 13.632740020751953, 'nc2p5_npcm3': 13.668023109436035, 'nc4p0_npcm3': 13.674171447753906, 'nc10p0_npcm3': 13.677908897399902, 'mc1p0_ugpm3': 1.7126227617263794, 'mc2p5_ugpm3': 1.8134294748306274, 'mc4p0_ugpm3': 1.8153691291809082, 'mc10p0_ugpm3': 1.8157596588134766, 'typ_pm_um': 0.5541619062423706, 'ozone_ppm': 26, 'ozone_volt_mv': -527, 'tvoc_ppb': 0, 'batt_prcnt': 88, 'batt_volt': 4004, 'bme280_int': 30, 'speco3_int': 30, 'mic_int': 30, 'mic4514_int': 30, 'mic4514pre_int': 120, 'sgpc3_int': 30, 'sps30_int': 30, 'sps30pre_int': 30, 'lis3dh_int': 30, 'si1133_int': 30, 'batt_int': 30, 'leds_on': 1, 'code_version': 1, 'gps_avg_snr': '24.719997', 'cell_strength_dbm': '-61', 'wifi_strength_dbm': '-42', 'wifi_strength_asl': '4', 'location': {'lat': 17.445416666666667, 'lon': 78.34982666666666, 'acc': 7.300000190734863}, 'timestamp': 1623924216118}",1623924216255,EB-F0-9E-16-C4-61
"{'temp_c': 28.959999084472656, 'hum_prcnt': 38.83599853515625, 'press_hpa': 935.9561767578125, 'eq_db': 64.29505920410156, 'onesmin_db': 47.092308044433594, 'onesmax_db': 75.89237976074219, 'co_ppm': 472, 'no2_ppb': 2557, 'co_mv': 1821, 'no2_mv': 1215, 'x_g': 0, 'y_g': -0.0160130113363266, 'z_g': -0.1120910719037056, 'x_raw': 0, 'y_raw': 65280, 'z_raw': 63744, 'lux_lx': 186.0654296875, 'uv_mwpm2': 0.0546875, 'nc0p5_npcm3': 15.0914306640625, 'nc1p0_npcm3': 17.17690086364746, 'nc2p5_npcm3': 17.218442916870117, 'nc4p0_npcm3': 17.2255916595459, 'nc10p0_npcm3': 17.230213165283203, 'mc1p0_ugpm3': 2.157472610473633, 'mc2p5_ugpm3': 2.281676769256592, 'mc4p0_ugpm3': 2.28186297416687, 'mc10p0_ugpm3': 2.2819039821624756, 'typ_pm_um': 0.5529907941818237, 'ozone_ppm': 33, 'ozone_volt_mv': -659, 'tvoc_ppb': 0, 'batt_prcnt': 88, 'batt_volt': 4016, 'bme280_int': 30, 'speco3_int': 30, 'mic_int': 30, 'mic4514_int': 30, 'mic4514pre_int': 120, 'sgpc3_int': 30, 'sps30_int': 30, 'sps30pre_int': 30, 'lis3dh_int': 30, 'si1133_int': 30, 'batt_int': 30, 'leds_on': 1, 'code_version': 1, 'gps_avg_snr': '23.3', 'wifi_strength_dbm': '-48', 'wifi_strength_asl': '4', 'location': {'lat': 17.445718333333332, 'lon': 78.35012666666667, 'acc': 7}, 'timestamp': 1623924247114}",1623924250917,EB-F0-9E-16-C4-61
"{'temp_c': 29.010000228881836, 'hum_prcnt': 38.38399887084961, 'press_hpa': 935.9118041992188, 'eq_db': 61.675716400146484, 'onesmin_db': 46.99182891845703, 'onesmax_db': 74.42928314208984, 'co_ppm': 476, 'no2_ppb': 2603, 'co_mv': 1831, 'no2_mv': 1224, 'x_g': 0.0480390302836895, 'y_g': -0.0320260226726532, 'z_g': 0.0320260226726532, 'x_raw': 768, 'y_raw': 65024, 'z_raw': 512, 'lux_lx': 186.942626953125, 'uv_mwpm2': 0.2490234375, 'nc0p5_npcm3': 10.634736061096191, 'nc1p0_npcm3': 12.104090690612793, 'nc2p5_npcm3': 12.133193969726562, 'nc4p0_npcm3': 12.138197898864746, 'nc10p0_npcm3': 12.141450881958008, 'mc1p0_ugpm3': 1.520289421081543, 'mc2p5_ugpm3': 1.607649564743042, 'mc4p0_ugpm3': 1.607648491859436, 'mc10p0_ugpm3': 1.607650637626648, 'typ_pm_um': 0.5515838861465454, 'ozone_ppm': 28, 'ozone_volt_mv': -552, 'tvoc_ppb': 0, 'batt_prcnt': 87, 'batt_volt': 4014, 'bme280_int': 30, 'speco3_int': 30, 'mic_int': 30, 'mic4514_int': 30, 'mic4514pre_int': 120, 'sgpc3_int': 30, 'sps30_int': 30, 'sps30pre_int': 30, 'lis3dh_int': 30, 'si1133_int': 30, 'batt_int': 30, 'leds_on': 1, 'code_version': 1, 'gps_avg_snr': '23.3', 'wifi_strength_dbm': '-53', 'wifi_strength_asl': '4', 'location': {'lat': 17.445718333333332, 'lon': 78.35012666666667, 'acc': 7}, 'timestamp': 1623924316537}",1623924318912,EB-F0-9E-16-C4-61
"{'temp_c': 29.020000457763672, 'hum_prcnt': 38.3489990234375, 'press_hpa': 935.9453125, 'eq_db': 60.61455154418945, 'onesmin_db': 47.1056022644043, 'onesmax_db': 72.83138275146484, 'co_ppm': 478, 'no2_ppb': 2603, 'co_mv': 1839, 'no2_mv': 1230, 'x_g': -0.0320260226726532, 'y_g': -0.0320260226726532, 'z_g': 0.1120910719037056, 'x_raw': 65024, 'y_raw': 65024, 'z_raw': 1792, 'lux_lx': 187.216796875, 'uv_mwpm2': 0.341552734375, 'nc0p5_npcm3': 12.040874481201172, 'nc1p0_npcm3': 13.73641300201416, 'nc2p5_npcm3': 13.791130065917969, 'nc4p0_npcm3': 13.801267623901367, 'nc10p0_npcm3': 13.805594444274902, 'mc1p0_ugpm3': 1.728197455406189, 'mc2p5_ugpm3': 1.8482577800750732, 'mc4p0_ugpm3': 1.865053653717041, 'mc10p0_ugpm3': 1.8684172630310059, 'typ_pm_um': 0.5570157766342163, 'ozone_ppm': 31, 'ozone_volt_mv': -626, 'tvoc_ppb': 0, 'batt_prcnt': 87, 'batt_volt': 4002, 'bme280_int': 30, 'speco3_int': 30, 'mic_int': 30, 'mic4514_int': 30, 'mic4514pre_int': 120, 'sgpc3_int': 30, 'sps30_int': 30, 'sps30pre_int': 30, 'lis3dh_int': 30, 'si1133_int': 30, 'batt_int': 30, 'leds_on': 1, 'code_version': 1, 'gps_avg_snr': '28.35', 'cell_strength_dbm': '2147483647', 'wifi_strength_dbm': '-56', 'wifi_strength_asl': '4', 'location': {'lat': 17.445415, 'lon': 78.34982666666666, 'acc': 7.699999809265137}, 'timestamp': 1623924376807}",1623924376934,EB-F0-9E-16-C4-61
"{'temp_c': 29.040000915527344, 'hum_prcnt': 38.19499969482422, 'press_hpa': 935.9255981445312, 'eq_db': 64.47187042236328, 'onesmin_db': 47.50994110107422, 'onesmax_db': 74.23641204833984, 'co_ppm': 474, 'no2_ppb': 2610, 'co_mv': 1825, 'no2_mv': 1229, 'x_g': -0.0640520453453064, 'y_g': 0.0160130113363266, 'z_g': -0.0160130113363266, 'x_raw': 64512, 'y_raw': 256, 'z_raw': 65280, 'lux_lx': 186.918212890625, 'uv_mwpm2': 0.44140625, 'nc0p5_npcm3': 10.407621383666992, 'nc1p0_npcm3': 11.875131607055664, 'nc2p5_npcm3': 11.923763275146484, 'nc4p0_npcm3': 11.93280029296875, 'nc10p0_npcm3': 11.936578750610352, 'mc1p0_ugpm3': 1.494203805923462, 'mc2p5_ugpm3': 1.5992780923843384, 'mc4p0_ugpm3': 1.6148282289505005, 'mc10p0_ugpm3': 1.6179395914077759, 'typ_pm_um': 0.5636663436889648, 'ozone_ppm': 27, 'ozone_volt_mv': -539, 'tvoc_ppb': 0, 'batt_prcnt': 87, 'batt_volt': 4011, 'bme280_int': 30, 'speco3_int': 30, 'mic_int': 30, 'mic4514_int': 30, 'mic4514pre_int': 120, 'sgpc3_int': 30, 'sps30_int': 30, 'sps30pre_int': 30, 'lis3dh_int': 30, 'si1133_int': 30, 'batt_int': 30, 'leds_on': 1, 'code_version': 1, 'gps_avg_snr': '26.9375', 'cell_strength_dbm': '-53', 'wifi_strength_dbm': '-49', 'wifi_strength_asl': '4', 'location': {'lat': 17.445415, 'lon': 78.34982666666666, 'acc': 4.900000095367432}, 'timestamp': 1623924407614}",1623924407716,EB-F0-9E-16-C4-61
"{'temp_c': 29.06999969482422, 'hum_prcnt': 37.895999908447266, 'press_hpa': 935.8239135742188, 'eq_db': 63.287391662597656, 'onesmin_db': 47.35702896118164, 'onesmax_db': 74.26435852050781, 'co_ppm': 475, 'no2_ppb': 2603, 'co_mv': 1833, 'no2_mv': 1233, 'x_g': 0.0160130113363266, 'y_g': 0, 'z_g': -0.0320260226726532, 'x_raw': 256, 'y_raw': 0, 'z_raw': 65024, 'lux_lx': 185.86474609375, 'uv_mwpm2': 0.047119140625, 'nc0p5_npcm3': 11.072541236877441, 'nc1p0_npcm3': 12.633245468139648, 'nc2p5_npcm3': 12.684599876403809, 'nc4p0_npcm3': 12.694136619567871, 'nc10p0_npcm3': 12.698145866394043, 'mc1p0_ugpm3': 1.5895437002182007, 'mc2p5_ugpm3': 1.7009578943252563, 'mc4p0_ugpm3': 1.7172048091888428, 'mc10p0_ugpm3': 1.7204570770263672, 'typ_pm_um': 0.566663384437561, 'ozone_ppm': 16, 'ozone_volt_mv': -320, 'tvoc_ppb': 0, 'batt_prcnt': 87, 'batt_volt': 4006, 'bme280_int': 30, 'speco3_int': 30, 'mic_int': 30, 'mic4514_int': 30, 'mic4514pre_int': 120, 'sgpc3_int': 30, 'sps30_int': 30, 'sps30pre_int': 30, 'lis3dh_int': 30, 'si1133_int': 30, 'batt_int': 30, 'leds_on': 1, 'code_version': 1, 'gps_avg_snr': '24.016668', 'cell_strength_dbm': '-53', 'wifi_strength_dbm': '-52', 'wifi_strength_asl': '4', 'location': {'lat': 17.44539166666667, 'lon': 78.34984166666666, 'acc': 5.699999809265137}, 'timestamp': 1623924438820}",1623924438924,EB-F0-9E-16-C4-61
"{'temp_c': 29.06999969482422, 'hum_prcnt': 36.99399948120117, 'press_hpa': 935.828125, 'eq_db': 63.0201301574707, 'onesmin_db': 47.817684173583984, 'onesmax_db': 73.36033630371094, 'co_ppm': 471, 'no2_ppb': 2542, 'co_mv': 1817, 'no2_mv': 1209, 'x_g': -0.0160130113363266, 'y_g': 0, 'z_g': -0.0160130113363266, 'x_raw': 65280, 'y_raw': 0, 'z_raw': 65280, 'lux_lx': 89.178466796875, 'uv_mwpm2': 0.2646484375, 'nc0p5_npcm3': 13.371553421020508, 'nc1p0_npcm3': 15.250899314880371, 'nc2p5_npcm3': 15.309226989746094, 'nc4p0_npcm3': 15.319984436035156, 'nc10p0_npcm3': 15.324715614318848, 'mc1p0_ugpm3': 1.91841459274292, 'mc2p5_ugpm3': 2.0493764877319336, 'mc4p0_ugpm3': 2.066147565841675, 'mc10p0_ugpm3': 2.0695064067840576, 'typ_pm_um': 0.5657964944839478, 'ozone_ppm': 7, 'ozone_volt_mv': -133, 'tvoc_ppb': 0, 'batt_prcnt': 87, 'batt_volt': 4003, 'bme280_int': 30, 'speco3_int': 30, 'mic_int': 30, 'mic4514_int': 30, 'mic4514pre_int': 120, 'sgpc3_int': 30, 'sps30_int': 30, 'sps30pre_int': 30, 'lis3dh_int': 30, 'si1133_int': 30, 'batt_int': 30, 'leds_on': 1, 'code_version': 1, 'gps_avg_snr': '26.666664', 'cell_strength_dbm': '-59', 'wifi_strength_dbm': '-57', 'wifi_strength_asl': '4', 'location': {'lat': 17.445531666666668, 'lon': 78.34996500000001, 'acc': 2.4000000953674316}, 'timestamp': 1623924469631}",1623924469738,EB-F0-9E-16-C4-61
"{'temp_c': 29.06999969482422, 'hum_prcnt': 39.097999572753906, 'press_hpa': 935.8748779296875, 'eq_db': 60.04701232910156, 'onesmin_db': 47.65815734863281, 'onesmax_db': 71.21195983886719, 'co_ppm': 482, 'no2_ppb': 2664, 'co_mv': 1851, 'no2_mv': 1245, 'x_g': 0.0480390302836895, 'y_g': -0.0320260226726532, 'z_g': -0.0800650492310524, 'x_raw': 768, 'y_raw': 65024, 'z_raw': 64256, 'lux_lx': 586.8583984375, 'uv_mwpm2': 0.163818359375, 'nc0p5_npcm3': 17.459962844848633, 'nc1p0_npcm3': 19.922805786132812, 'nc2p5_npcm3': 20.00502586364746, 'nc4p0_npcm3': 20.020320892333984, 'nc10p0_npcm3': 20.026676177978516, 'mc1p0_ugpm3': 2.506896734237671, 'mc2p5_ugpm3': 2.6837871074676514, 'mc4p0_ugpm3': 2.710362434387207, 'mc10p0_ugpm3': 2.715683937072754, 'typ_pm_um': 0.5649951696395874, 'ozone_ppm': 59, 'ozone_volt_mv': -1173, 'tvoc_ppb': 0, 'batt_prcnt': 87, 'batt_volt': 4011, 'bme280_int': 30, 'speco3_int': 30, 'mic_int': 30, 'mic4514_int': 30, 'mic4514pre_int': 120, 'sgpc3_int': 30, 'sps30_int': 30, 'sps30pre_int': 30, 'lis3dh_int': 30, 'si1133_int': 30, 'batt_int': 30, 'leds_on': 1, 'code_version': 1, 'gps_avg_snr': '30.41111', 'cell_strength_dbm': '2147483647', 'wifi_strength_dbm': '-63', 'wifi_strength_asl': '4', 'location': {'lat': 17.445506666666667, 'lon': 78.34996333333333, 'acc': 2.5}, 'timestamp': 1623924500631}",1623924500730,EB-F0-9E-16-C4-61
