created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2021-10-29 00:00:30 +0530,1506316,109.0,47.3,39.28,30.06,,,,82251014
2021-10-29 00:01:00 +0530,1506317,99.9,46.4,39.28,30.05,,,,83430662
2021-10-29 00:01:30 +0530,1506318,80.8,43.9,39.21,30.05,,,,67833094
2021-10-29 00:02:00 +0530,1506319,86.8,45.6,39.28,30.05,,,,69076230
2021-10-29 00:02:30 +0530,1506320,84.5,42.8,39.28,30.04,,,,70061318
2021-10-29 00:03:00 +0530,1506321,79.9,42.8,39.38,30.04,,,,70977798
2021-10-29 00:03:30 +0530,1506322,90.2,44.2,39.35,30.05,,,,71696646
2021-10-29 00:04:00 +0530,1506323,70.4,42.6,39.25,30.04,,,,72681734
2021-10-29 00:04:30 +0530,1506324,74.0,41.0,39.28,30.03,,,,73338118
2021-10-29 00:05:00 +0530,1506325,85.1,42.8,39.42,30.02,,,,74254598
2021-10-29 00:05:30 +0530,1506326,73.3,41.0,39.38,30.02,,,,75304198
2021-10-29 00:06:00 +0530,1506327,98.9,44.1,39.45,30.02,,,,76416262
2021-10-29 00:06:30 +0530,1506328,102.2,44.9,39.48,30.02,,,,77595910
2021-10-29 00:07:00 +0530,1506329,83.7,43.6,39.52,30.01,,,,78775558
2021-10-29 00:07:30 +0530,1506330,154.1,49.4,39.62,30.01,,,,79955206
2021-10-29 00:08:00 +0530,1506331,82.6,42.8,39.68,30.01,,,,81133830
2021-10-29 00:08:30 +0530,1506332,76.0,40.6,39.72,30.01,,,,82313478
2021-10-29 00:09:00 +0530,1506333,71.6,40.1,39.62,30.01,,,,83430662
2021-10-29 00:09:30 +0530,1506334,85.5,41.2,39.65,30.0,,,,67699974
2021-10-29 00:10:00 +0530,1506335,78.4,41.9,39.63,30.0,,,,68748550
2021-10-29 00:10:30 +0530,1506336,109.3,44.6,39.72,30.0,,,,69929222
2021-10-29 00:11:00 +0530,1506337,101.8,44.1,39.72,30.0,,,,70847750
2021-10-29 00:11:30 +0530,1506338,95.6,43.1,39.68,30.01,,,,71765254
2021-10-29 00:12:00 +0530,1506339,83.1,42.1,39.65,30.01,,,,72485126
2021-10-29 00:12:30 +0530,1506340,116.4,44.6,39.68,30.01,,,,73468166
2021-10-29 00:13:00 +0530,1506341,126.1,46.8,39.68,30.0,,,,74254598
2021-10-29 00:13:30 +0530,1506342,105.7,44.6,39.85,30.0,,,,75435270
2021-10-29 00:14:00 +0530,1506343,144.3,47.9,39.78,30.0,,,,76680454
2021-10-29 00:14:30 +0530,1506344,80.3,42.6,39.63,29.98,,,,77729030
2021-10-29 00:15:00 +0530,1506345,77.9,41.2,39.49,29.96,,,,78908678
2021-10-29 00:15:30 +0530,1506346,78.8,41.0,39.56,29.95,,,,79955206
2021-10-29 00:16:00 +0530,1506347,100.9,43.4,39.66,29.95,,,,81136902
2021-10-29 00:16:30 +0530,1506348,99.5,42.3,39.73,29.94,,,,82382086
2021-10-29 00:17:00 +0530,1506349,80.4,40.0,39.66,29.94,,,,83427590
2021-10-29 00:17:30 +0530,1506350,66.3,40.1,39.59,29.94,,,,67833094
2021-10-29 00:18:00 +0530,1506351,68.4,40.2,39.63,29.93,,,,68947206
2021-10-29 00:18:30 +0530,1506352,109.2,43.0,39.76,29.92,,,,69930246
