created_at,entry_id,field1,field2,field3,field4,field5,field6,field7
2021-10-29 00:00:30 +0530,440527,34.5,30.7,34.15,34.93,,,
2021-10-29 00:01:00 +0530,440528,35.9,30.9,34.15,34.93,,,
2021-10-29 00:01:30 +0530,440529,35.8,30.9,34.15,34.93,,,
2021-10-29 00:02:00 +0530,440530,38.0,31.7,34.18,34.93,,,
2021-10-29 00:02:30 +0530,440531,39.7,31.7,34.18,34.93,,,
2021-10-29 00:03:00 +0530,440532,37.7,31.1,34.18,34.93,,,
2021-10-29 00:03:30 +0530,440533,36.2,30.2,34.18,34.93,,,
2021-10-29 00:04:00 +0530,440534,36.8,31.3,34.18,34.93,,,
2021-10-29 00:04:30 +0530,440535,35.4,30.3,34.18,34.93,,,
2021-10-29 00:05:00 +0530,440536,38.8,30.8,34.18,34.93,,,
2021-10-29 00:05:30 +0530,440537,37.7,30.6,34.18,34.93,,,
2021-10-29 00:06:00 +0530,440538,36.6,29.5,34.18,34.93,,,
2021-10-29 00:06:30 +0530,440539,34.7,31.0,34.23,34.93,,,
2021-10-29 00:07:00 +0530,440540,38.0,30.7,34.23,34.93,,,
2021-10-29 00:07:30 +0530,440541,38.0,31.2,34.23,34.93,,,
2021-10-29 00:08:00 +0530,440542,38.0,31.4,34.23,34.93,,,
2021-10-29 00:08:30 +0530,440543,36.2,30.4,34.23,34.93,,,
2021-10-29 00:09:00 +0530,440544,35.1,30.2,34.23,34.93,,,
2021-10-29 00:09:30 +0530,440545,35.1,31.3,34.27,34.93,,,
2021-10-29 00:10:00 +0530,440546,36.5,30.2,34.27,34.93,,,
2021-10-29 00:10:30 +0530,440547,35.6,29.8,34.27,34.93,,,
2021-10-29 00:11:00 +0530,440548,35.8,30.1,34.27,34.93,,,
2021-10-29 00:11:30 +0530,440549,36.2,30.6,34.31,34.93,,,
2021-10-29 00:12:00 +0530,440550,36.5,30.4,34.31,34.93,,,
2021-10-29 00:12:30 +0530,440551,35.3,30.3,34.31,34.93,,,
2021-10-29 00:13:00 +0530,440552,35.8,30.2,34.31,34.93,,,
2021-10-29 00:13:30 +0530,440553,36.5,30.8,34.31,34.93,,,
2021-10-29 00:14:00 +0530,440554,39.3,30.7,34.35,34.93,,,
2021-10-29 00:14:30 +0530,440555,34.7,29.3,34.35,34.93,,,
2021-10-29 00:15:00 +0530,440556,34.5,29.6,34.31,34.93,,,
2021-10-29 00:15:30 +0530,440557,34.6,29.8,34.31,34.93,,,
2021-10-29 00:16:00 +0530,440558,34.7,30.1,34.31,34.93,,,
2021-10-29 00:16:30 +0530,440559,34.0,29.3,34.31,34.93,,,
2021-10-29 00:17:00 +0530,440560,36.4,29.9,34.31,34.93,,,
2021-10-29 00:17:30 +0530,440561,36.4,30.4,34.31,34.93,,,
2021-10-29 00:18:00 +0530,440562,39.1,30.8,34.35,34.93,,,
2021-10-29 00:18:30 +0530,440563,33.8,29.4,34.35,34.93,,,
2021-10-29 00:19:00 +0530,440564,34.6,29.6,34.31,34.93,,,
2021-10-29 00:19:30 +0530,440565,35.9,30.4,34.31,34.93,,,
2021-10-29 00:20:00 +0530,440566,34.8,30.2,34.31,34.93,,,
2021-10-29 00:20:30 +0530,440567,35.7,29.1,34.31,34.93,,,
2021-10-29 00:21:00 +0530,440568,34.9,30.1,34.31,34.93,,,
2021-10-29 00:21:30 +0530,440569,35.4,30.7,34.31,34.93,,,
2021-10-29 00:22:00 +0530,440570,35.0,29.3,34.31,34.93,,,
2021-10-29 00:22:30 +0530,440571,37.1,30.1,34.31,34.93,,,
2021-10-29 00:23:00 +0530,440572,34.6,30.0,34.31,34.93,,,
2021-10-29 00:23:30 +0530,440573,36.1,30.1,34.31,34.93,,,
2021-10-29 00:24:00 +0530,440574,35.6,29.9,34.31,34.93,,,
2021-10-29 00:24:30 +0530,440575,38.0,29.5,34.31,34.93,,,
2021-10-29 00:25:00 +0530,440576,35.4,29.9,34.31,34.93,,,
2021-10-29 00:25:30 +0530,440577,34.1,29.2,34.31,34.93,,,
2021-10-29 00:26:00 +0530,440578,36.0,29.6,34.31,34.93,,,
2021-10-29 00:26:30 +0530,440579,36.5,29.3,34.31,34.93,,,
2021-10-29 00:27:00 +0530,440580,33.9,29.4,34.31,34.93,,,
2021-10-29 00:27:30 +0530,440581,36.4,29.5,34.31,34.93,,,
2021-10-29 00:28:00 +0530,440582,34.2,28.8,34.31,34.93,,,
2021-10-29 00:28:30 +0530,440583,33.6,29.9,34.31,34.93,,,
2021-10-29 00:29:00 +0530,440584,35.5,29.9,34.27,34.93,,,
2021-10-29 00:29:30 +0530,440585,37.7,29.0,34.27,34.93,,,
2021-10-29 00:30:00 +0530,440586,37.6,29.4,34.27,34.93,,,
2021-10-29 00:30:30 +0530,440587,34.7,29.4,34.25,34.93,,,
2021-10-29 00:31:00 +0530,440588,35.4,29.4,34.25,34.92,,,
2021-10-29 00:31:30 +0530,440589,31.8,28.4,34.27,34.91,,,
2021-10-29 00:32:00 +0530,440590,33.8,29.0,34.25,34.92,,,
2021-10-29 00:32:30 +0530,440591,32.5,28.4,34.27,34.9,,,
2021-10-29 00:33:00 +0530,440592,33.9,29.2,34.29,34.91,,,
