created_at,entry_id,field1,field2,field3,field4
2021-10-29 00:00:30 +0530,699609,27.1,23.7,41.65,29.35
2021-10-29 00:01:00 +0530,699610,22.9,20.7,41.73,29.32
2021-10-29 00:01:30 +0530,699611,44.0,25.9,41.7,29.31
2021-10-29 00:02:00 +0530,699612,61.6,31.3,41.73,29.32
2021-10-29 00:02:30 +0530,699613,38.6,26.7,41.8,29.3
2021-10-29 00:03:00 +0530,699614,40.7,26.9,41.9,29.29
2021-10-29 00:03:30 +0530,699615,34.0,26.4,41.83,29.31
2021-10-29 00:04:00 +0530,699616,26.3,23.3,41.73,29.3
2021-10-29 00:04:30 +0530,699617,26.1,23.3,41.76,29.3
2021-10-29 00:05:00 +0530,699618,28.4,23.2,41.83,29.3
2021-10-29 00:05:30 +0530,699619,25.7,22.8,41.8,29.29
2021-10-29 00:06:00 +0530,699620,29.4,23.3,41.83,29.27
2021-10-29 00:06:30 +0530,699621,26.7,22.7,41.9,29.28
2021-10-29 00:07:00 +0530,699622,25.3,22.7,41.9,29.27
2021-10-29 00:07:30 +0530,699623,25.0,22.4,41.9,29.27
2021-10-29 00:08:00 +0530,699624,28.8,26.0,41.9,29.26
2021-10-29 00:08:30 +0530,699625,25.4,22.8,41.87,29.26
2021-10-29 00:09:00 +0530,699626,25.1,22.5,41.83,29.26
2021-10-29 00:09:30 +0530,699627,26.6,23.7,41.97,29.24
2021-10-29 00:10:00 +0530,699628,27.8,22.9,41.94,29.24
2021-10-29 00:10:30 +0530,699629,26.7,23.3,41.94,29.24
2021-10-29 00:11:00 +0530,699630,25.4,22.9,41.94,29.23
2021-10-29 00:11:30 +0530,699631,24.7,22.1,41.87,29.26
2021-10-29 00:12:00 +0530,699632,35.8,24.4,41.9,29.27
2021-10-29 00:12:30 +0530,699633,33.5,24.2,41.9,29.27
2021-10-29 00:13:00 +0530,699634,26.5,23.3,41.94,29.27
2021-10-29 00:13:30 +0530,699635,27.7,23.2,41.94,29.27
2021-10-29 00:14:00 +0530,699636,31.5,23.6,41.94,29.27
2021-10-29 00:14:30 +0530,699637,35.8,25.1,41.97,29.28
2021-10-29 00:15:00 +0530,699638,35.0,24.7,41.9,29.28
2021-10-29 00:15:30 +0530,699639,30.0,24.1,41.83,29.27
2021-10-29 00:16:00 +0530,699640,32.9,24.7,41.9,29.24
2021-10-29 00:16:30 +0530,699641,35.8,31.9,41.94,29.26
2021-10-29 00:17:00 +0530,699642,28.1,23.1,41.94,29.27
2021-10-29 00:17:30 +0530,699643,28.4,22.8,41.94,29.28
2021-10-29 00:18:00 +0530,699644,24.5,22.0,41.9,29.29
2021-10-29 00:18:30 +0530,699645,26.9,22.4,41.87,29.29
2021-10-29 00:19:00 +0530,699646,27.5,22.5,41.87,29.3
2021-10-29 00:19:30 +0530,699647,24.4,21.8,41.8,29.3
2021-10-29 00:20:00 +0530,699648,35.7,23.4,41.83,29.31
2021-10-29 00:20:30 +0530,699649,26.4,22.2,41.83,29.3
2021-10-29 00:21:00 +0530,699650,29.1,23.1,41.83,29.32
2021-10-29 00:21:30 +0530,699651,24.1,21.5,41.83,29.32
2021-10-29 00:22:00 +0530,699652,28.9,23.9,41.87,29.31
2021-10-29 00:22:30 +0530,699653,36.3,25.6,41.94,29.29
2021-10-29 00:23:00 +0530,699654,44.6,27.3,42.0,29.28
2021-10-29 00:23:30 +0530,699655,49.4,27.0,41.97,29.29
2021-10-29 00:24:00 +0530,699656,23.4,20.9,41.9,29.29
2021-10-29 00:24:30 +0530,699657,25.3,21.9,41.9,29.29
2021-10-29 00:25:00 +0530,699658,25.7,21.6,41.94,29.29
2021-10-29 00:25:30 +0530,699659,24.9,22.2,42.0,29.24
2021-10-29 00:26:00 +0530,699660,24.8,22.1,42.07,29.23
2021-10-29 00:26:30 +0530,699661,30.5,24.2,42.13,29.21
2021-10-29 00:27:00 +0530,699662,38.6,24.7,42.23,29.22
2021-10-29 00:27:30 +0530,699663,24.5,21.8,42.16,29.22
2021-10-29 00:28:00 +0530,699664,45.2,28.7,42.2,29.22
2021-10-29 00:28:30 +0530,699665,33.3,25.3,42.16,29.21
2021-10-29 00:29:00 +0530,699666,25.6,23.1,42.2,29.19
2021-10-29 00:29:30 +0530,699667,24.8,22.3,42.23,29.19
2021-10-29 00:30:00 +0530,699668,25.6,22.8,42.24,29.19
2021-10-29 00:30:30 +0530,699669,42.7,25.8,42.24,29.18
2021-10-29 00:31:00 +0530,699670,38.2,25.3,42.3,29.19
2021-10-29 00:31:30 +0530,699671,24.8,22.2,42.26,29.21
2021-10-29 00:32:00 +0530,699672,24.6,22.0,42.23,29.2
2021-10-29 00:32:30 +0530,699673,84.8,36.1,42.3,29.2
2021-10-29 00:33:00 +0530,699674,56.5,33.6,42.33,29.2
2021-10-29 00:33:30 +0530,699675,26.0,23.4,42.23,29.22
2021-10-29 00:34:00 +0530,699676,24.3,21.8,42.23,29.22
2021-10-29 00:34:30 +0530,699677,26.5,22.4,42.23,29.22
2021-10-29 00:35:00 +0530,699678,26.4,22.7,42.26,29.23
2021-10-29 00:35:30 +0530,699679,31.5,23.4,42.23,29.24
2021-10-29 00:36:00 +0530,699680,28.1,23.4,42.2,29.24
2021-10-29 00:36:30 +0530,699681,28.9,23.4,42.16,29.24
2021-10-29 00:37:00 +0530,699682,29.2,22.7,42.26,29.26
2021-10-29 00:37:30 +0530,699683,65.6,28.2,42.21,29.21
2021-10-29 00:38:00 +0530,699684,27.9,23.8,42.26,29.22
2021-10-29 00:38:30 +0530,699685,27.7,22.1,42.2,29.24
2021-10-29 00:39:00 +0530,699686,45.6,26.3,42.3,29.19
2021-10-29 00:39:30 +0530,699687,47.1,42.4,42.3,29.21
2021-10-29 00:40:00 +0530,699688,42.5,26.8,42.3,29.21
2021-10-29 00:40:30 +0530,699689,26.4,21.7,42.16,29.23
2021-10-29 00:41:00 +0530,699690,28.4,22.3,42.16,29.22
2021-10-29 00:41:30 +0530,699691,43.0,23.8,42.23,29.22
2021-10-29 00:42:00 +0530,699692,31.1,23.0,42.26,29.21
2021-10-29 00:42:30 +0530,699693,28.4,24.0,42.23,29.21
2021-10-29 00:43:00 +0530,699694,26.5,23.8,42.16,29.24
2021-10-29 00:43:30 +0530,699695,33.2,24.1,42.16,29.23
2021-10-29 00:44:00 +0530,699696,31.7,23.4,42.2,29.21
2021-10-29 00:44:30 +0530,699697,28.7,23.9,42.26,29.18
2021-10-29 00:45:00 +0530,699698,25.3,22.6,42.31,29.16
2021-10-29 00:45:30 +0530,699699,34.6,24.3,42.35,29.18
2021-10-29 00:46:00 +0530,699700,36.0,23.8,42.38,29.16
2021-10-29 00:46:30 +0530,699701,23.1,20.2,42.41,29.13
2021-10-29 00:47:00 +0530,699702,38.6,34.1,42.41,29.15
2021-10-29 00:47:30 +0530,699703,26.4,23.6,42.35,29.16
2021-10-29 00:48:00 +0530,699704,30.8,25.1,42.28,29.18
2021-10-29 00:48:30 +0530,699705,51.7,37.3,42.4,29.19
2021-10-29 00:49:00 +0530,699706,25.0,22.2,42.23,29.2
2021-10-29 00:49:30 +0530,699707,23.9,21.5,42.35,29.14
2021-10-29 00:50:00 +0530,699708,24.1,21.5,42.24,29.15
2021-10-29 00:50:30 +0530,699709,32.6,23.4,42.24,29.18
2021-10-29 00:51:00 +0530,699710,24.4,21.8,42.21,29.18
2021-10-29 00:51:30 +0530,699711,24.4,21.8,42.24,29.16
2021-10-29 00:52:00 +0530,699712,30.4,23.4,42.31,29.16
2021-10-29 00:52:30 +0530,699713,29.9,22.2,42.21,29.16
2021-10-29 00:53:00 +0530,699714,24.9,21.9,42.18,29.18
2021-10-29 00:53:30 +0530,699715,26.4,22.0,42.21,29.16
2021-10-29 00:54:00 +0530,699716,23.3,20.9,42.21,29.15
2021-10-29 00:54:30 +0530,699717,25.8,22.8,42.18,29.15
2021-10-29 00:55:00 +0530,699718,25.9,23.1,42.18,29.14
2021-10-29 00:55:30 +0530,699719,23.6,21.2,42.18,29.13
2021-10-29 00:56:00 +0530,699720,24.4,21.7,42.21,29.13
2021-10-29 00:56:30 +0530,699721,36.9,26.5,42.24,29.13
2021-10-29 00:57:00 +0530,699722,27.1,24.3,42.18,29.14
2021-10-29 00:57:30 +0530,699723,24.5,22.1,42.11,29.15
2021-10-29 00:58:00 +0530,699724,26.0,22.7,42.14,29.15
2021-10-29 00:58:30 +0530,699725,32.4,22.3,42.01,29.16
2021-10-29 00:59:00 +0530,699726,27.2,22.1,42.04,29.15
2021-10-29 00:59:30 +0530,699727,25.5,22.2,42.07,29.13
2021-10-29 01:00:00 +0530,699728,25.4,22.3,42.11,29.13
2021-10-29 01:00:30 +0530,699729,24.7,22.1,42.11,29.13
2021-10-29 01:01:00 +0530,699730,33.5,23.9,42.11,29.13
2021-10-29 01:01:30 +0530,699731,26.6,22.1,42.04,29.15
2021-10-29 01:02:00 +0530,699732,24.9,22.3,42.04,29.18
2021-10-29 01:02:30 +0530,699733,36.0,23.7,42.03,29.18
2021-10-29 01:03:00 +0530,699734,35.1,23.9,42.07,29.19
2021-10-29 01:03:30 +0530,699735,26.9,21.8,42.0,29.2
2021-10-29 01:04:00 +0530,699736,32.0,23.3,42.0,29.21
2021-10-29 01:04:30 +0530,699737,27.6,22.9,42.0,29.22
2021-10-29 01:05:00 +0530,699738,39.7,23.8,41.9,29.24
2021-10-29 01:05:30 +0530,699739,31.4,24.3,41.87,29.26
2021-10-29 01:06:00 +0530,699740,24.4,21.8,41.73,29.26
2021-10-29 01:06:30 +0530,699741,29.8,22.8,41.73,29.24
2021-10-29 01:07:00 +0530,699742,36.1,21.9,41.83,29.2
2021-10-29 01:07:30 +0530,699743,40.1,24.2,41.76,29.22
2021-10-29 01:08:00 +0530,699744,57.9,25.6,41.66,29.2
2021-10-29 01:08:30 +0530,699745,25.8,22.2,41.6,29.22
2021-10-29 01:09:00 +0530,699746,23.7,21.2,41.56,29.22
2021-10-29 01:09:30 +0530,699747,32.0,23.1,41.6,29.23
2021-10-29 01:10:00 +0530,699748,26.5,20.9,41.76,29.2
2021-10-29 01:10:30 +0530,699749,30.9,26.6,41.66,29.21
2021-10-29 01:11:00 +0530,699750,26.3,23.6,41.6,29.21
2021-10-29 01:11:30 +0530,699751,36.0,27.4,41.66,29.23
2021-10-29 01:12:00 +0530,699752,28.6,22.9,41.56,29.24
2021-10-29 01:12:30 +0530,699753,29.9,23.6,41.53,29.24
2021-10-29 01:13:00 +0530,699754,31.4,22.4,41.53,29.26
2021-10-29 01:13:30 +0530,699755,24.1,21.2,41.42,29.26
2021-10-29 01:14:00 +0530,699756,28.8,21.7,41.42,29.24
2021-10-29 01:14:30 +0530,699757,26.7,21.9,41.42,29.24
2021-10-29 01:15:00 +0530,699758,25.3,20.4,41.44,29.19
2021-10-29 01:15:30 +0530,699759,28.0,22.4,41.49,29.2
2021-10-29 01:16:00 +0530,699760,35.2,29.7,41.56,29.21
2021-10-29 01:16:30 +0530,699761,35.2,25.4,41.56,29.22
2021-10-29 01:17:00 +0530,699762,29.7,21.2,41.29,29.24
2021-10-29 01:17:30 +0530,699763,40.5,25.5,41.29,29.23
2021-10-29 01:18:00 +0530,699764,25.6,22.8,41.26,29.23
2021-10-29 01:18:30 +0530,699765,22.4,20.2,41.13,29.23
2021-10-29 01:19:00 +0530,699766,22.9,20.5,41.13,29.24
2021-10-29 01:19:30 +0530,699767,33.5,29.9,41.2,29.23
2021-10-29 01:20:00 +0530,699768,25.0,22.3,41.06,29.23
2021-10-29 01:20:30 +0530,699769,24.4,21.9,40.96,29.24
2021-10-29 01:21:00 +0530,699770,22.5,18.8,40.99,29.2
2021-10-29 01:21:30 +0530,699771,33.7,22.8,40.79,29.2
2021-10-29 01:22:00 +0530,699772,22.9,20.7,40.79,29.2
2021-10-29 01:22:30 +0530,699773,22.4,20.3,40.82,29.19
2021-10-29 01:23:00 +0530,699774,23.4,20.9,40.89,29.18
2021-10-29 01:23:30 +0530,699775,24.3,21.4,40.94,29.16
2021-10-29 01:24:00 +0530,699776,56.8,26.1,41.0,29.15
2021-10-29 01:24:30 +0530,699777,34.7,23.3,41.0,29.16
2021-10-29 01:25:00 +0530,699778,30.5,22.4,41.0,29.15
2021-10-29 01:25:30 +0530,699779,30.7,21.7,40.8,29.18
2021-10-29 01:26:00 +0530,699780,25.2,20.4,40.74,29.18
2021-10-29 01:26:30 +0530,699781,55.0,24.2,40.77,29.15
2021-10-29 01:27:00 +0530,699782,26.0,21.2,40.77,29.14
2021-10-29 01:27:30 +0530,699783,23.2,20.7,40.6,29.15
2021-10-29 01:28:00 +0530,699784,26.3,20.2,40.6,29.15
2021-10-29 01:28:30 +0530,699785,45.7,22.7,40.67,29.14
2021-10-29 01:29:00 +0530,699786,28.2,21.3,40.74,29.13
2021-10-29 01:29:30 +0530,699787,24.6,21.3,40.77,29.12
2021-10-29 01:30:00 +0530,699788,23.7,21.1,40.77,29.09
2021-10-29 01:30:30 +0530,699789,23.8,20.3,40.74,29.12
2021-10-29 01:31:00 +0530,699790,22.7,20.4,40.63,29.13
2021-10-29 01:31:30 +0530,699791,23.0,20.7,40.67,29.12
2021-10-29 01:32:00 +0530,699792,24.2,21.2,40.63,29.13
2021-10-29 01:32:30 +0530,699793,22.1,19.9,40.53,29.14
2021-10-29 01:33:00 +0530,699794,34.3,26.3,40.7,29.09
2021-10-29 01:33:30 +0530,699795,30.6,23.9,40.8,29.09
2021-10-29 01:34:00 +0530,699796,26.4,23.6,40.67,29.12
2021-10-29 01:34:30 +0530,699797,22.4,20.2,40.5,29.09
2021-10-29 01:35:00 +0530,699798,22.3,19.9,40.53,29.09
2021-10-29 01:35:30 +0530,699799,21.9,19.9,40.53,29.08
2021-10-29 01:36:00 +0530,699800,25.9,21.4,40.57,29.08
2021-10-29 01:36:30 +0530,699801,22.1,19.9,40.57,29.07
2021-10-29 01:37:00 +0530,699802,30.5,21.2,40.74,29.03
2021-10-29 01:37:30 +0530,699803,22.4,20.2,40.7,29.03
2021-10-29 01:38:00 +0530,699804,34.8,31.2,40.81,28.99
2021-10-29 01:38:30 +0530,699805,22.2,20.1,40.77,29.01
2021-10-29 01:39:00 +0530,699806,24.9,22.3,40.77,29.01
2021-10-29 01:39:30 +0530,699807,22.8,20.6,40.78,29.0
2021-10-29 01:40:00 +0530,699808,23.3,20.9,40.81,29.0
2021-10-29 01:40:30 +0530,699809,24.6,21.8,40.87,29.0
2021-10-29 01:41:00 +0530,699810,23.4,20.8,40.81,29.0
2021-10-29 01:41:30 +0530,699811,26.7,20.9,40.84,29.0
2021-10-29 01:42:00 +0530,699812,23.0,20.6,40.84,29.02
2021-10-29 01:42:30 +0530,699813,24.9,20.6,40.84,29.03
2021-10-29 01:43:00 +0530,699814,23.9,20.7,40.8,29.04
2021-10-29 01:43:30 +0530,699815,26.4,21.1,40.77,29.07
2021-10-29 01:44:00 +0530,699816,22.5,20.1,40.77,29.07
2021-10-29 01:44:30 +0530,699817,23.0,20.8,40.74,29.08
2021-10-29 01:45:00 +0530,699818,23.9,21.4,40.74,29.08
2021-10-29 01:45:30 +0530,699819,34.8,22.9,40.74,29.08
2021-10-29 01:46:00 +0530,699820,30.9,21.8,40.7,29.08
2021-10-29 01:46:30 +0530,699821,69.6,27.3,40.77,29.08
2021-10-29 01:47:00 +0530,699822,23.9,21.4,40.74,29.08
2021-10-29 01:47:30 +0530,699823,22.5,20.2,40.7,29.11
2021-10-29 01:48:00 +0530,699824,28.5,21.9,40.6,29.12
2021-10-29 01:48:30 +0530,699825,27.0,20.9,40.6,29.12
2021-10-29 01:49:00 +0530,699826,22.7,20.4,40.63,29.09
2021-10-29 01:49:30 +0530,699827,22.2,19.9,40.7,29.09
2021-10-29 01:50:00 +0530,699828,34.0,21.4,40.78,29.02
2021-10-29 01:50:30 +0530,699829,24.0,21.4,40.84,29.03
2021-10-29 01:51:00 +0530,699830,23.2,20.7,40.8,29.03
2021-10-29 01:51:30 +0530,699831,29.7,22.8,40.91,29.03
2021-10-29 01:52:00 +0530,699832,30.0,21.8,40.94,29.03
2021-10-29 01:52:30 +0530,699833,24.3,21.8,40.94,29.03
2021-10-29 01:53:00 +0530,699834,25.7,21.6,40.91,29.03
2021-10-29 01:53:30 +0530,699835,23.2,20.9,40.91,29.02
2021-10-29 01:54:00 +0530,699836,23.2,20.8,40.97,29.02
2021-10-29 01:54:30 +0530,699837,23.9,21.3,40.91,29.0
2021-10-29 01:55:00 +0530,699838,26.8,22.0,40.98,28.99
2021-10-29 01:55:30 +0530,699839,28.2,21.3,41.01,28.98
2021-10-29 01:56:00 +0530,699840,23.6,21.4,41.05,28.95
2021-10-29 01:56:30 +0530,699841,24.2,21.1,41.05,28.97
2021-10-29 01:57:00 +0530,699842,24.1,21.7,41.08,28.95
2021-10-29 01:57:30 +0530,699843,38.7,25.2,41.05,28.98
2021-10-29 01:58:00 +0530,699844,54.9,28.6,41.08,28.99
2021-10-29 01:58:30 +0530,699845,30.4,22.6,41.08,29.0
2021-10-29 01:59:00 +0530,699846,26.9,22.3,41.07,29.0
2021-10-29 01:59:30 +0530,699847,25.5,22.3,41.08,29.0
2021-10-29 02:00:00 +0530,699848,23.8,21.4,41.04,29.01
2021-10-29 02:00:30 +0530,699849,23.6,21.3,41.0,29.03
2021-10-29 02:01:00 +0530,699850,40.3,24.3,41.07,29.04
2021-10-29 02:01:30 +0530,699851,31.3,22.8,41.0,29.05
2021-10-29 02:02:00 +0530,699852,38.6,23.7,40.91,29.08
2021-10-29 02:02:30 +0530,699853,22.0,19.7,41.04,29.05
2021-10-29 02:03:00 +0530,699854,24.4,21.9,40.94,29.07
2021-10-29 02:03:30 +0530,699855,24.2,21.7,40.94,29.07
2021-10-29 02:04:00 +0530,699856,23.7,21.4,40.84,29.07
2021-10-29 02:04:30 +0530,699857,34.2,23.8,40.91,29.06
2021-10-29 02:05:00 +0530,699858,24.6,22.1,40.94,29.04
2021-10-29 02:05:30 +0530,699859,23.2,20.0,41.08,29.0
2021-10-29 02:06:00 +0530,713009,26.2,22.4,41.11,29.0
2021-10-29 02:06:30 +0530,713010,29.8,22.4,41.13,29.01
2021-10-29 02:07:00 +0530,713011,24.7,22.2,41.13,29.03
2021-10-29 02:07:30 +0530,713012,24.4,22.1,41.07,29.04
2021-10-29 02:08:00 +0530,713013,38.4,27.8,41.07,29.06
2021-10-29 02:08:30 +0530,713014,23.1,21.1,41.0,29.07
2021-10-29 02:09:00 +0530,699861,25.3,22.6,40.94,29.08
2021-10-29 02:09:30 +0530,699862,24.1,21.6,40.97,29.08
