created_at,entry_id,field1,field2,field3,field4,field5,field6,field7
2021-10-29 00:00:30 +0530,742296,110,39.6,39.78,29.8,,,
2021-10-29 00:01:00 +0530,742297,93.8,39.2,39.78,29.8,,,
2021-10-29 00:01:30 +0530,742298,94.8,35.8,39.74,29.81,,,
2021-10-29 00:02:00 +0530,742299,79.6,32.7,39.78,29.8,,,
2021-10-29 00:02:30 +0530,742300,128.4,39.9,39.85,29.81,,,
2021-10-29 00:03:00 +0530,742301,76.1,33.7,39.8,29.81,,,
2021-10-29 00:03:30 +0530,742302,79.4,29.9,39.91,29.75,,,
2021-10-29 00:04:00 +0530,742303,86.7,34.1,39.85,29.76,,,
2021-10-29 00:04:30 +0530,742304,137.5,40.3,39.97,29.76,,,
2021-10-29 00:05:00 +0530,742305,94.4,36.6,39.97,29.77,,,
2021-10-29 00:05:30 +0530,742306,92.4,36.7,39.91,29.78,,,
2021-10-29 00:06:00 +0530,742307,85.1,34.9,39.91,29.77,,,
2021-10-29 00:06:30 +0530,742308,82.2,33.8,39.94,29.77,,,
2021-10-29 00:07:00 +0530,742309,71.2,31.8,39.94,29.77,,,
2021-10-29 00:07:30 +0530,742310,72.8,33.1,39.97,29.77,,,
2021-10-29 00:08:00 +0530,742311,76,32.3,40.01,29.76,,,
2021-10-29 00:08:30 +0530,742312,78.7,34.7,40.01,29.76,,,
2021-10-29 00:09:00 +0530,742313,102.1,36.3,40.01,29.76,,,
2021-10-29 00:09:30 +0530,742314,96.3,34.7,40.07,29.76,,,
2021-10-29 00:10:00 +0530,742315,80.6,32.9,40.04,29.77,,,
2021-10-29 00:10:30 +0530,742316,84.4,33.8,40.07,29.76,,,
2021-10-29 00:11:00 +0530,742317,71.1,33.2,40.11,29.75,,,
2021-10-29 00:11:30 +0530,742318,81.1,33.4,40.11,29.76,,,
2021-10-29 00:12:00 +0530,742319,82.5,34.9,40.07,29.76,,,
2021-10-29 00:12:30 +0530,742320,78.8,33.4,40.01,29.77,,,
2021-10-29 00:13:00 +0530,742321,78,34.9,39.97,29.76,,,
2021-10-29 00:13:30 +0530,742322,79.6,33.4,40.01,29.75,,,
2021-10-29 00:14:00 +0530,742323,73.1,32.8,40.07,29.74,,,
2021-10-29 00:14:30 +0530,742324,101.1,35.3,40.11,29.74,,,
2021-10-29 00:15:00 +0530,742325,81.3,32.9,40.11,29.73,,,
2021-10-29 00:15:30 +0530,742326,75.3,33.2,40.11,29.73,,,
2021-10-29 00:16:00 +0530,742327,97.6,34.7,40.14,29.72,,,
2021-10-29 00:16:30 +0530,742328,86.6,34.1,40.18,29.73,,,
2021-10-29 00:17:00 +0530,742329,98.8,34.2,40.11,29.72,,,
2021-10-29 00:17:30 +0530,742330,108.3,35.9,40.24,29.72,,,
2021-10-29 00:18:00 +0530,742331,111,37,40.24,29.72,,,
2021-10-29 00:18:30 +0530,742332,84.6,32.9,40.24,29.72,,,
2021-10-29 00:19:00 +0530,742333,74.4,32.8,40.24,29.72,,,
2021-10-29 00:19:30 +0530,742334,89.7,34.1,40.31,29.72,,,
2021-10-29 00:20:00 +0530,742335,77.1,32.2,40.28,29.71,,,
2021-10-29 00:20:30 +0530,742336,71.5,30.9,40.24,29.71,,,
2021-10-29 00:21:00 +0530,742337,71.2,31.1,40.35,29.65,,,
2021-10-29 00:21:30 +0530,742338,69.3,32,40.35,29.67,,,
2021-10-29 00:22:00 +0530,742339,70.9,33,40.35,29.66,,,
2021-10-29 00:22:30 +0530,742340,73.4,32.3,40.35,29.66,,,
2021-10-29 00:23:00 +0530,742341,89,34.4,40.45,29.65,,,
2021-10-29 00:23:30 +0530,742342,74.2,33.7,40.41,29.65,,,
2021-10-29 00:24:00 +0530,742343,88.6,35.6,40.39,29.65,,,
2021-10-29 00:24:30 +0530,742344,77,34.2,40.42,29.64,,,
2021-10-29 00:25:00 +0530,742345,97.6,36.8,40.45,29.65,,,
2021-10-29 00:25:30 +0530,742346,95.4,36.1,40.48,29.65,,,
2021-10-29 00:26:00 +0530,742347,93.2,34.7,40.48,29.65,,,
2021-10-29 00:26:30 +0530,742348,75,34.9,40.48,29.65,,,
2021-10-29 00:27:00 +0530,742349,75.2,32.6,40.48,29.66,,,
2021-10-29 00:27:30 +0530,742350,75.1,31.8,40.48,29.66,,,
2021-10-29 00:28:00 +0530,742351,79,32.3,40.48,29.66,,,
2021-10-29 00:28:30 +0530,742352,68.1,30.6,40.55,29.66,,,
2021-10-29 00:29:00 +0530,742353,90.8,32.8,40.48,29.65,,,
2021-10-29 00:29:30 +0530,742354,91.9,34.8,40.49,29.64,,,
2021-10-29 00:30:00 +0530,742355,82.7,34.8,40.49,29.63,,,
2021-10-29 00:30:30 +0530,742356,63.3,32.1,40.56,29.62,,,
2021-10-29 00:31:00 +0530,742357,67.1,32.1,40.59,29.61,,,
2021-10-29 00:31:30 +0530,742358,80.4,33.9,40.59,29.61,,,
2021-10-29 00:32:00 +0530,742359,82.5,32.2,40.59,29.61,,,
2021-10-29 00:32:30 +0530,742360,77.1,29.9,40.76,29.56,,,
2021-10-29 00:33:00 +0530,742361,92,35.3,40.73,29.57,,,
2021-10-29 00:33:30 +0530,742362,86,33.6,40.76,29.58,,,
2021-10-29 00:34:00 +0530,742363,82.5,35.8,40.8,29.59,,,
2021-10-29 00:34:30 +0530,742364,84.1,34.2,40.83,29.58,,,
2021-10-29 00:35:00 +0530,742365,73.9,31.9,40.76,29.58,,,
2021-10-29 00:35:30 +0530,742366,74.7,32.6,40.73,29.58,,,
2021-10-29 00:36:00 +0530,742367,122.6,35.8,40.73,29.58,,,
2021-10-29 00:36:30 +0530,742368,81.4,34.7,40.73,29.58,,,
2021-10-29 00:37:00 +0530,742369,89.6,29.6,40.83,29.54,,,
2021-10-29 00:37:30 +0530,742370,75.5,31.5,40.8,29.57,,,
2021-10-29 00:38:00 +0530,742371,71.7,34.9,40.69,29.59,,,
2021-10-29 00:38:30 +0530,742372,73.4,32.8,40.63,29.58,,,
2021-10-29 00:39:00 +0530,742373,80.6,32,40.69,29.57,,,
2021-10-29 00:39:30 +0530,742374,86.4,30.4,40.8,29.51,,,
2021-10-29 00:40:00 +0530,742375,108.5,35.3,40.83,29.51,,,
2021-10-29 00:40:30 +0530,742376,84.3,31.7,40.83,29.5,,,
2021-10-29 00:41:00 +0530,742377,68,31.8,40.83,29.5,,,
2021-10-29 00:41:30 +0530,742378,85.4,29.2,40.94,29.45,,,
2021-10-29 00:42:00 +0530,742379,86.1,32.1,40.94,29.46,,,
2021-10-29 00:42:30 +0530,742380,95.4,34.5,40.97,29.46,,,
2021-10-29 00:43:00 +0530,742381,100,34.4,40.94,29.47,,,
2021-10-29 00:43:30 +0530,742382,95.6,28.3,41,29.42,,,
2021-10-29 00:44:00 +0530,742383,90.5,33.7,41,29.46,,,
2021-10-29 00:44:30 +0530,742384,89.6,33.8,40.94,29.46,,,
2021-10-29 00:45:00 +0530,742385,127.6,44.2,40.94,29.47,,,
2021-10-29 00:45:30 +0530,742386,105.3,38.3,40.97,29.47,,,
2021-10-29 00:46:00 +0530,742387,113.7,41.2,41,29.48,,,
2021-10-29 00:46:30 +0530,742388,100.5,35.3,41.07,29.47,,,
2021-10-29 00:47:00 +0530,742389,84,34.6,41,29.48,,,
2021-10-29 00:47:30 +0530,742390,98,35.3,41,29.49,,,
2021-10-29 00:48:00 +0530,742391,123.5,37.5,41,29.49,,,
2021-10-29 00:48:30 +0530,742392,86.9,33.6,40.93,29.5,,,
2021-10-29 00:49:00 +0530,742393,75.5,32.3,40.93,29.52,,,
2021-10-29 00:49:30 +0530,742394,110.4,36.7,40.86,29.53,,,
2021-10-29 00:50:00 +0530,742395,72.1,28.7,41,29.49,,,
2021-10-29 00:50:30 +0530,742396,66,30.8,41,29.49,,,
2021-10-29 00:51:00 +0530,742397,72,30.7,41,29.49,,,
2021-10-29 00:51:30 +0530,742398,73.4,29.3,41,29.46,,,
2021-10-29 00:52:00 +0530,742399,84.4,33.7,40.97,29.48,,,
2021-10-29 00:52:30 +0530,742400,146.2,39.8,40.94,29.48,,,
2021-10-29 00:53:00 +0530,742401,98.4,34.4,40.93,29.48,,,
2021-10-29 00:53:30 +0530,742402,82.6,33.4,40.93,29.48,,,
2021-10-29 00:54:00 +0530,742403,91.9,35.2,40.93,29.48,,,
2021-10-29 00:54:30 +0530,742404,87.4,33.8,40.88,29.49,,,
2021-10-29 00:55:00 +0530,742405,116.3,35.7,40.94,29.48,,,
2021-10-29 00:55:30 +0530,742406,67,31.1,40.94,29.48,,,
2021-10-29 00:56:00 +0530,742407,80.6,33.1,40.97,29.47,,,
2021-10-29 00:56:30 +0530,742408,68.1,31.6,40.97,29.47,,,
2021-10-29 00:57:00 +0530,742409,65.2,30.3,40.97,29.47,,,
2021-10-29 00:57:30 +0530,742410,85.5,29.7,41.04,29.42,,,
2021-10-29 00:58:00 +0530,742411,87.5,33.7,41,29.43,,,
2021-10-29 00:58:30 +0530,742412,82,33.3,40.97,29.45,,,
2021-10-29 00:59:00 +0530,742413,83.5,33.4,40.97,29.45,,,
2021-10-29 00:59:30 +0530,742414,77.3,33.1,40.97,29.45,,,
2021-10-29 01:00:00 +0530,742415,101.2,34.4,40.91,29.47,,,
2021-10-29 01:01:00 +0530,742417,75.2,30.1,40.91,29.47,,,
2021-10-29 01:01:30 +0530,742418,70.3,28.7,40.86,29.49,,,
2021-10-29 01:02:00 +0530,742416,70.6,29.8,40.91,29.46,,,
2021-10-29 01:02:30 +0530,742419,90.9,38.3,40.9,29.48,,,
2021-10-29 01:03:00 +0530,742420,100.2,41.1,40.9,29.48,,,
2021-10-29 01:03:30 +0530,742421,150.1,39.4,40.9,29.48,,,
2021-10-29 01:04:00 +0530,742422,85.2,31.8,40.88,29.46,,,
2021-10-29 01:04:30 +0530,742423,83.2,33.1,40.76,29.48,,,
2021-10-29 01:05:00 +0530,742424,119.9,34.3,40.73,29.5,,,
2021-10-29 01:05:30 +0530,742425,105.3,35.2,40.76,29.49,,,
2021-10-29 01:06:00 +0530,742426,101.5,36.7,40.73,29.5,,,
2021-10-29 01:06:30 +0530,742427,88.6,35.1,40.73,29.51,,,
2021-10-29 01:07:00 +0530,742428,110.5,36.4,40.76,29.5,,,
2021-10-29 01:07:30 +0530,742429,64.3,31.1,40.66,29.51,,,
2021-10-29 01:08:00 +0530,742430,70.4,31.1,40.69,29.5,,,
2021-10-29 01:08:30 +0530,742431,83.6,38.9,40.69,29.5,,,
2021-10-29 01:09:00 +0530,742432,82.9,34.5,40.69,29.5,,,
2021-10-29 01:09:30 +0530,742433,73.8,33.2,40.69,29.5,,,
2021-10-29 01:10:00 +0530,742434,66.2,32.1,40.66,29.5,,,
2021-10-29 01:10:30 +0530,742435,71.4,32.4,40.66,29.5,,,
2021-10-29 01:11:00 +0530,742436,66.7,32.8,40.66,29.5,,,
2021-10-29 01:11:30 +0530,742437,59.8,26.8,40.71,29.45,,,
2021-10-29 01:12:00 +0530,742438,98.5,32.1,40.67,29.46,,,
2021-10-29 01:12:30 +0530,742439,74.2,32.7,40.67,29.47,,,
2021-10-29 01:13:00 +0530,742440,84.8,34.2,40.66,29.47,,,
2021-10-29 01:13:30 +0530,742441,65.1,31.2,40.57,29.47,,,
2021-10-29 01:14:00 +0530,742442,73,32.4,40.57,29.47,,,
2021-10-29 01:14:30 +0530,742443,69.9,32.2,40.57,29.47,,,
2021-10-29 01:15:00 +0530,742444,72.8,32.8,40.57,29.47,,,
2021-10-29 01:15:30 +0530,742445,99,33.7,40.54,29.47,,,
2021-10-29 01:16:00 +0530,742446,65.6,30.7,40.52,29.46,,,
2021-10-29 01:16:30 +0530,742447,77.7,31.6,40.47,29.45,,,
2021-10-29 01:17:00 +0530,742448,83.4,33.3,40.47,29.45,,,
2021-10-29 01:17:30 +0530,742449,65.8,30.4,40.47,29.45,,,
2021-10-29 01:18:00 +0530,742450,68.6,28.8,40.47,29.37,,,
2021-10-29 01:18:30 +0530,742451,62.9,30.8,40.13,29.39,,,
2021-10-29 01:19:00 +0530,742452,84.1,36.1,40.17,29.38,,,
2021-10-29 01:19:30 +0530,742453,75.5,31.7,40.2,29.37,,,
2021-10-29 01:20:00 +0530,742454,79.1,35.3,40.2,29.37,,,
2021-10-29 01:20:30 +0530,742455,71.9,31.1,40.27,29.37,,,
2021-10-29 01:21:00 +0530,742456,80.8,32.1,40.27,29.38,,,
2021-10-29 01:21:30 +0530,742457,63.7,29.9,40.23,29.37,,,
2021-10-29 01:22:00 +0530,742458,74.3,30.8,40.23,29.37,,,
2021-10-29 01:22:30 +0530,742459,86,31.9,40.2,29.37,,,
2021-10-29 01:23:00 +0530,742460,61.2,30.1,40.07,29.37,,,
2021-10-29 01:23:30 +0530,742461,71.5,31.1,39.94,29.37,,,
2021-10-29 01:24:00 +0530,742462,60.2,30.2,40.07,29.37,,,
2021-10-29 01:24:30 +0530,742463,54.9,30.6,40.07,29.63,,,
2021-10-29 01:25:00 +0530,742464,61.1,27.1,40.04,29.3,,,
2021-10-29 01:25:30 +0530,742465,62.9,28.8,40.04,29.31,,,
2021-10-29 01:26:00 +0530,742466,75.8,34.3,40.07,29.31,,,
2021-10-29 01:26:30 +0530,742467,78.6,32.4,40.07,29.31,,,
2021-10-29 01:27:00 +0530,742468,104.5,34.8,40.07,29.32,,,
2021-10-29 01:27:30 +0530,742469,64.4,29.4,39.94,29.32,,,
2021-10-29 01:28:00 +0530,742470,75.1,30,39.94,29.32,,,
2021-10-29 01:28:30 +0530,742471,82.4,31.9,39.9,29.32,,,
2021-10-29 01:29:00 +0530,742472,81.9,30.9,39.8,29.34,,,
2021-10-29 01:29:30 +0530,742473,61.8,29.4,39.87,29.35,,,
2021-10-29 01:30:00 +0530,742474,112.4,32.9,39.83,29.35,,,
2021-10-29 01:30:30 +0530,742475,64,29,39.73,29.35,,,
2021-10-29 01:31:00 +0530,742476,70.1,28.7,39.7,29.35,,,
2021-10-29 01:31:30 +0530,742477,64.9,29.2,39.66,29.34,,,
2021-10-29 01:32:00 +0530,742478,71.7,29.9,39.66,29.35,,,
2021-10-29 01:32:30 +0530,742479,68.2,29.2,39.7,29.34,,,
2021-10-29 01:33:00 +0530,742480,65.5,32.2,39.77,29.34,,,
2021-10-29 01:33:30 +0530,742481,77.2,32.6,39.8,29.34,,,
2021-10-29 01:34:00 +0530,742482,74,30.4,39.73,29.35,,,
2021-10-29 01:34:30 +0530,742483,69.1,28.7,39.7,29.36,,,
2021-10-29 01:35:00 +0530,742484,80.3,30.9,39.66,29.36,,,
2021-10-29 01:35:30 +0530,742485,66.6,30.2,39.66,29.36,,,
2021-10-29 01:36:00 +0530,742486,63.1,28.5,39.66,29.36,,,
2021-10-29 01:36:30 +0530,742487,58.5,25.3,39.77,29.34,,,
2021-10-29 01:37:00 +0530,742488,68.6,30.6,39.66,29.35,,,
2021-10-29 01:37:30 +0530,742489,63.8,30.6,39.66,29.36,,,
2021-10-29 01:38:00 +0530,742490,81.5,30.9,39.63,29.36,,,
2021-10-29 01:38:30 +0530,742491,102.4,32.9,39.6,29.36,,,
2021-10-29 01:39:00 +0530,742492,69.8,28.4,39.63,29.36,,,
2021-10-29 01:39:30 +0530,742493,55.5,27.2,39.63,29.36,,,
2021-10-29 01:40:00 +0530,742494,66.2,29.7,39.63,29.37,,,
2021-10-29 01:40:30 +0530,742495,84.3,33.7,39.66,29.37,,,
2021-10-29 01:41:00 +0530,742496,74.8,32.1,39.6,29.38,,,
2021-10-29 01:41:30 +0530,742497,67.3,29.1,39.56,29.37,,,
2021-10-29 01:42:00 +0530,742498,69,29.4,39.56,29.37,,,
2021-10-29 01:42:30 +0530,742499,111.3,32.8,39.56,29.36,,,
2021-10-29 01:43:00 +0530,742500,78.5,30.3,39.56,29.36,,,
2021-10-29 01:43:30 +0530,742501,81.1,30.9,39.63,29.36,,,
2021-10-29 01:44:00 +0530,742502,80.5,32.3,39.63,29.36,,,
2021-10-29 01:44:30 +0530,742503,61.2,28.9,39.6,29.36,,,
2021-10-29 01:45:00 +0530,742504,57.6,27.9,39.6,29.36,,,
2021-10-29 01:45:30 +0530,742505,63,29.3,39.6,29.36,,,
2021-10-29 01:46:00 +0530,742506,62.8,30,39.6,29.36,,,
2021-10-29 01:46:30 +0530,742507,57,28.8,39.6,29.33,,,
2021-10-29 01:47:00 +0530,742508,60.4,28.3,39.66,29.32,,,
2021-10-29 01:47:30 +0530,742509,79.8,31.1,39.66,29.32,,,
2021-10-29 01:48:00 +0530,742510,69.6,30.3,39.66,29.32,,,
2021-10-29 01:48:30 +0530,742511,111.1,34.2,39.72,29.29,,,
2021-10-29 01:49:00 +0530,742512,69.7,29.5,39.72,29.29,,,
2021-10-29 01:49:30 +0530,742513,65.3,28.9,39.72,29.29,,,
2021-10-29 01:50:00 +0530,742514,64.1,29.2,39.75,29.26,,,
2021-10-29 01:50:30 +0530,742515,62.2,29.1,39.75,29.26,,,
2021-10-29 01:51:00 +0530,742516,69.4,29.9,39.75,29.26,,,
2021-10-29 01:51:30 +0530,742517,69.4,29.9,39.75,29.26,,,
2021-10-29 01:52:00 +0530,742518,73.1,29.1,39.98,29.17,,,
