created_at,entry_id,field1,field2,field3,field4
2021-10-29 00:00:30 +0530,235028,66,37.2,38.56,30.7
2021-10-29 00:01:00 +0530,235029,61,37,38.53,30.71
2021-10-29 00:01:30 +0530,235030,66.2,37.5,38.53,30.71
2021-10-29 00:02:00 +0530,235031,62.9,37.1,38.53,30.71
2021-10-29 00:02:30 +0530,235032,60.1,37.9,38.53,30.71
2021-10-29 00:03:00 +0530,235033,70.2,37.2,38.56,30.71
2021-10-29 00:03:30 +0530,235034,64.1,37.3,38.59,30.7
2021-10-29 00:04:00 +0530,235035,72.8,37.9,38.56,30.7
2021-10-29 00:04:30 +0530,235036,72.3,38.3,38.59,30.69
2021-10-29 00:05:00 +0530,235037,65.5,38.8,38.53,30.67
2021-10-29 00:05:30 +0530,235038,64.7,37.7,38.6,30.65
2021-10-29 00:06:00 +0530,235039,59,37.8,38.67,30.66
2021-10-29 00:06:30 +0530,235040,58.8,37.1,38.7,30.65
2021-10-29 00:07:00 +0530,235041,76.3,38.4,38.7,30.65
2021-10-29 00:07:30 +0530,235042,65.2,37.7,38.7,30.65
2021-10-29 00:08:00 +0530,235043,65.1,36.3,38.64,30.65
2021-10-29 00:08:30 +0530,235044,66.6,38,38.64,30.65
2021-10-29 00:09:00 +0530,235045,69.4,38.6,38.67,30.65
2021-10-29 00:09:30 +0530,235046,68.7,38.9,38.7,30.66
2021-10-29 00:10:00 +0530,235047,69.9,38.2,38.7,30.65
2021-10-29 00:10:30 +0530,235048,68,37.6,38.7,30.65
2021-10-29 00:11:00 +0530,235049,71.9,38.4,38.7,30.65
2021-10-29 00:11:30 +0530,235050,64.3,37.3,38.74,30.64
2021-10-29 00:12:00 +0530,235051,71.9,38.7,38.74,30.63
2021-10-29 00:12:30 +0530,235052,73.2,37.8,38.7,30.62
2021-10-29 00:13:00 +0530,235053,70.3,36.3,38.7,30.61
2021-10-29 00:13:30 +0530,235054,63.4,37.2,38.74,30.6
2021-10-29 00:14:00 +0530,235055,67.3,37.6,38.74,30.57
2021-10-29 00:14:30 +0530,235056,70.4,37.6,38.77,30.57
2021-10-29 00:15:00 +0530,235057,63.7,37.8,38.84,30.56
2021-10-29 00:15:30 +0530,235058,65.7,37.6,38.91,30.56
