created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2021-04-09 15:30:00 +0530,153073,83.1,22.3,35.08,34.52,,,,111871238
2021-04-09 15:30:30 +0530,153074,78.6,22.8,34.76,34.65,,,,112919814
2021-04-09 15:31:00 +0530,153075,88.7,23.1,34.56,34.78,,,,80676102
2021-04-09 15:31:30 +0530,153076,67.7,22.5,34.34,34.9,,,,81855750
2021-04-09 15:32:00 +0530,153077,77.3,21.7,34.11,34.97,,,,83102982
2021-04-09 15:32:30 +0530,153078,87.6,22.8,33.75,35.08,,,,67437830
2021-04-09 15:33:00 +0530,153079,67.0,22.1,33.69,35.16,,,,68553990
2021-04-09 15:33:30 +0530,153080,58.4,22.6,33.7,35.33,,,,69733638
2021-04-09 15:34:00 +0530,153081,75.4,21.6,33.47,35.55,,,,70782214
2021-04-09 15:34:30 +0530,153082,68.1,22.7,33.21,35.74,,,,4918534
2021-04-09 15:35:00 +0530,153083,1999.9,502.5,33.11,35.87,,,,6096134
2021-04-09 15:35:30 +0530,153084,1999.9,186.1,33.04,36.02,,,,7277830
2021-04-09 15:36:00 +0530,153085,807.1,61.3,32.73,36.15,,,,8457478
2021-04-09 15:36:30 +0530,153086,474.4,35.7,32.45,36.28,,,,9702662
2021-04-09 15:37:00 +0530,153087,73.6,14.2,32.21,36.32,,,,10882310
2021-04-09 15:37:30 +0530,153088,85.9,15.6,31.99,36.38,,,,11927814
2021-04-09 15:38:00 +0530,153089,83.9,14.7,31.78,36.46,,,,13176070
2021-04-09 15:38:30 +0530,153090,51.9,15.1,31.66,36.52,,,,14157062
2021-04-09 15:39:00 +0530,153091,91.4,14.8,31.51,36.58,,,,15535366
2021-04-09 15:39:30 +0530,153092,200.5,19.3,31.44,36.63,,,,3334
2021-04-09 15:40:00 +0530,153093,123.9,16.3,31.37,36.67,,,,1182982
2021-04-09 15:40:30 +0530,153094,644.1,63.5,31.33,36.72,,,,2100486
2021-04-09 15:41:00 +0530,153095,1653.2,124.8,31.45,36.74,,,,2949382
2021-04-09 15:41:30 +0530,153096,60.5,17.5,31.53,36.76,,,,3804422
2021-04-09 15:42:00 +0530,153097,68.0,17.7,31.7,36.77,,,,4587782
2021-04-09 15:42:30 +0530,153098,1999.9,216.1,31.61,36.8,,,,5505286
2021-04-09 15:43:00 +0530,153099,636.2,35.8,31.61,36.82,,,,6229254
2021-04-09 15:43:30 +0530,153100,84.9,14.4,31.57,36.83,,,,7146758
2021-04-09 15:44:00 +0530,153101,165.7,14.6,31.57,36.84,,,,7930118
2021-04-09 15:44:30 +0530,153102,326.7,23.6,31.43,36.86,,,,8849670
2021-04-09 15:45:00 +0530,153103,252.9,18.6,31.35,36.86,,,,9767174
2021-04-09 15:45:30 +0530,153104,741.3,45.9,31.43,36.86,,,,10685702
2021-04-09 15:46:00 +0530,153105,557.6,32.1,31.43,36.88,,,,11734278
2021-04-09 15:46:30 +0530,153106,97.1,13.4,31.35,36.89,,,,12848390
2021-04-09 15:47:00 +0530,153107,43.5,12.6,31.31,36.91,,,,13962502
2021-04-09 15:47:30 +0530,153108,27.4,10.2,31.27,36.92,,,,15273222
2021-04-09 15:48:00 +0530,153109,34.8,11.8,31.22,36.92,,,,16452870
2021-04-09 15:48:30 +0530,153110,42.9,9.6,31.22,36.92,,,,855302
2021-04-09 15:49:00 +0530,153111,81.2,10.9,31.19,36.92,,,,2032902
2021-04-09 15:49:30 +0530,153112,152.7,13.8,31.22,36.93,,,,3278086
2021-04-09 15:50:00 +0530,153113,279.6,20.9,31.38,36.95,,,,4392198
2021-04-09 15:50:30 +0530,153114,323.6,23.0,31.35,36.98,,,,5571846
2021-04-09 15:51:00 +0530,153115,239.2,19.0,31.19,37.0,,,,6751494
2021-04-09 15:51:30 +0530,153116,1029.5,75.3,30.58,37.01,,,,7865606
2021-04-09 15:52:00 +0530,153117,1498.3,106.3,28.39,36.98,,,,9112838
2021-04-09 15:52:30 +0530,153118,251.9,22.0,27.12,36.83,,,,10159366
2021-04-09 15:53:00 +0530,153119,31.5,9.9,26.49,36.63,,,,11406598
2021-04-09 15:53:30 +0530,153120,28.5,9.7,26.2,36.43,,,,12651782
2021-04-09 15:54:00 +0530,153121,19.1,9.5,26.06,36.3,,,,13763846
2021-04-09 15:54:30 +0530,153122,23.4,9.6,26.06,36.11,,,,14880006
2021-04-09 15:55:00 +0530,153123,23.0,10.2,25.99,35.95,,,,16057606
2021-04-09 15:55:30 +0530,153124,20.2,8.9,26.04,35.81,,,,593158
2021-04-09 15:56:00 +0530,153125,27.5,9.6,26.06,35.68,,,,1838342
2021-04-09 15:56:30 +0530,153126,19.3,9.8,26.13,35.55,,,,2819334
2021-04-09 15:57:00 +0530,153127,23.0,9.2,26.11,35.44,,,,4064518
2021-04-09 15:57:30 +0530,153128,21.4,9.3,25.99,35.35,,,,4984070
2021-04-09 15:58:00 +0530,153129,22.8,9.3,25.9,35.26,,,,5901574
2021-04-09 15:58:30 +0530,153130,23.3,10.1,25.85,35.18,,,,6752518
2021-04-09 15:59:00 +0530,153131,22.1,9.4,25.8,35.1,,,,7602438
2021-04-09 15:59:30 +0530,153132,19.5,9.3,25.8,35.03,,,,8521990
2021-04-09 16:00:00 +0530,153133,22.7,9.3,25.75,34.94,,,,9505030
2021-04-09 16:00:30 +0530,153134,18.8,9.4,25.66,34.86,,,,10223878
2021-04-09 16:01:00 +0530,153135,20.6,9.5,25.71,34.8,,,,11013382
2021-04-09 16:01:30 +0530,153136,19.5,9.4,25.69,34.73,,,,11668742
2021-04-09 16:02:00 +0530,153137,19.1,8.9,25.69,34.66,,,,12321030
2021-04-09 16:02:30 +0530,153138,21.9,9.6,25.68,34.59,,,,13371654
2021-04-09 16:03:00 +0530,153139,18.0,9.7,25.64,34.52,,,,14615814
2021-04-09 16:03:30 +0530,153140,29.4,10.1,25.72,34.47,,,,15730950
2021-04-09 16:04:00 +0530,153141,26.5,9.8,25.82,34.4,,,,133382
2021-04-09 16:04:30 +0530,153142,17.5,9.7,25.86,34.34,,,,1117446
2021-04-09 18:11:00 +0530,153143,154.1,36.7,43.06,29.86,,,,104859910
2021-04-09 18:12:00 +0530,153144,171.9,32.4,43.47,30.31,,,,106629382
2021-04-09 18:12:31 +0530,153145,128.3,33.2,43.25,30.56,,,,107479302
2021-04-09 18:13:01 +0530,153146,138.2,37.7,43.07,30.85,,,,108464390
2021-04-09 18:13:31 +0530,153147,157.8,40.2,42.75,31.05,,,,109511942
2021-04-09 18:14:01 +0530,153148,148.6,42.3,42.42,31.3,,,,110756102
2021-04-09 18:14:31 +0530,153149,159.4,39.7,42.07,31.56,,,,78250246
2021-04-09 18:15:01 +0530,153150,139.9,42.5,41.71,31.81,,,,79234310
2021-04-09 18:15:31 +0530,153151,118.3,34.7,41.29,32.05,,,,80416006
2021-04-09 18:16:01 +0530,153152,140.4,35.9,40.93,32.29,,,,81726726
2021-04-09 18:16:31 +0530,153153,125.3,31.1,40.34,32.53,,,,82775302
2021-04-09 18:17:01 +0530,153154,105.0,31.8,39.85,32.76,,,,83823878
2021-04-09 18:17:31 +0530,153155,122.6,34.3,39.42,32.99,,,,68226310
2021-04-09 18:18:01 +0530,153156,106.9,30.4,39.0,33.21,,,,69537030
2021-04-09 18:18:31 +0530,153157,117.1,32.4,38.6,33.44,,,,70782214
