created_at,entry_id,field1,field2,field3,field4
2021-04-01 00:00:30 +0530,565857,174.7,45.2,113.63,119.95
2021-04-01 00:01:00 +0530,565858,104.3,27.6,113.63,119.95
2021-04-01 00:01:30 +0530,565859,102.5,26.7,113.63,119.95
2021-04-01 00:02:00 +0530,565860,58.5,17.0,113.63,119.95
2021-04-01 00:02:30 +0530,565861,222.0,50.1,113.63,119.95
2021-04-01 00:03:00 +0530,565862,72.6,19.6,113.63,119.95
2021-04-01 00:03:30 +0530,565863,41.7,12.4,113.63,119.95
2021-04-01 00:04:00 +0530,565864,35.7,12.1,113.63,119.95
2021-04-01 00:04:30 +0530,565865,66.1,18.5,113.63,119.95
2021-04-01 00:05:00 +0530,565866,59.8,16.4,113.63,119.95
2021-04-01 00:05:30 +0530,565867,57.1,17.8,113.63,119.95
2021-04-01 00:06:00 +0530,565868,58.7,17.0,113.63,119.95
2021-04-01 00:06:30 +0530,565869,58.8,14.4,113.63,119.95
2021-04-01 00:07:00 +0530,565870,73.5,18.6,113.63,119.95
2021-04-01 00:07:30 +0530,565871,52.7,18.6,113.63,119.95
2021-04-01 00:08:00 +0530,565872,42.7,16.0,113.63,119.95
2021-04-01 00:08:30 +0530,565873,99.3,28.6,113.63,119.95
2021-04-01 00:09:00 +0530,565874,305.5,80.7,113.63,119.95
2021-04-01 00:09:30 +0530,565875,69.2,20.1,113.63,119.95
2021-04-01 00:10:00 +0530,565876,111.7,26.8,113.63,119.95
2021-04-01 00:10:30 +0530,565877,84.7,22.1,113.63,119.95
2021-04-01 00:11:00 +0530,565878,54.7,14.2,113.63,119.95
2021-04-01 00:11:30 +0530,565879,55.9,14.4,113.63,119.95
2021-04-01 00:12:00 +0530,565880,42.8,12.7,113.63,119.95
2021-04-01 00:12:30 +0530,565881,48.4,13.1,113.63,119.95
2021-04-01 00:13:00 +0530,565882,27.7,9.7,113.63,119.95
2021-04-01 00:13:30 +0530,565883,30.5,10.7,113.63,119.95
2021-04-01 00:14:00 +0530,565884,22.2,9.0,113.63,119.95
2021-04-01 00:14:30 +0530,565885,170.2,41.1,113.63,119.95
2021-04-01 00:15:00 +0530,565886,207.7,46.8,113.63,119.95
2021-04-01 00:15:30 +0530,565887,106.0,28.5,113.63,119.95
2021-04-01 00:16:00 +0530,565888,64.1,17.6,113.63,119.95
2021-04-01 00:16:30 +0530,565889,67.0,18.8,113.63,119.95
2021-04-01 00:17:00 +0530,565890,100.0,27.1,113.63,119.95
2021-04-01 00:17:30 +0530,565891,483.2,130.8,113.63,119.95
2021-04-01 00:18:00 +0530,565892,141.0,36.1,113.63,119.95
2021-04-01 00:18:30 +0530,565893,82.4,24.0,113.63,119.95
2021-04-01 00:19:00 +0530,565894,30.9,10.4,113.63,119.95
2021-04-01 00:19:30 +0530,565895,27.0,9.9,113.63,119.95
2021-04-01 00:20:00 +0530,565896,58.8,17.1,113.63,119.95
2021-04-01 00:20:30 +0530,565897,71.7,20.3,113.63,119.95
2021-04-01 00:21:00 +0530,565898,178.9,43.9,113.63,119.95
2021-04-01 00:21:30 +0530,565899,113.7,29.6,113.63,119.95
2021-04-01 00:22:00 +0530,565900,77.3,23.8,113.63,119.95
2021-04-01 00:22:30 +0530,565901,74.9,20.5,113.63,119.95
2021-04-01 00:23:00 +0530,565902,30.3,10.5,113.63,119.95
2021-04-01 00:23:30 +0530,565903,136.6,31.0,113.63,119.95
2021-04-01 00:24:00 +0530,565904,38.6,11.8,113.63,119.95
2021-04-01 00:24:30 +0530,565905,71.1,20.3,113.63,119.95
2021-04-01 00:25:00 +0530,565906,40.5,13.9,113.63,119.95
2021-04-01 00:25:30 +0530,565907,45.1,14.8,113.63,119.95
2021-04-01 00:26:00 +0530,565908,96.3,23.9,113.63,119.95
2021-04-01 00:26:30 +0530,565909,43.3,14.3,113.63,119.95
2021-04-01 00:27:00 +0530,565910,73.5,19.8,113.63,119.95
2021-04-01 00:27:30 +0530,565911,55.8,15.6,113.63,119.95
2021-04-01 00:28:00 +0530,565912,70.8,20.3,113.63,119.95
2021-04-01 00:28:30 +0530,565913,65.1,18.9,113.63,119.95
2021-04-01 00:29:00 +0530,565914,41.4,14.2,113.63,119.95
2021-04-01 00:29:30 +0530,565915,89.7,23.9,113.63,119.95
2021-04-01 00:30:00 +0530,565916,90.7,23.3,113.63,119.95
2021-04-01 00:30:30 +0530,565917,52.2,14.9,113.63,119.95
2021-04-01 00:31:00 +0530,565918,68.2,19.1,113.63,119.95
2021-04-01 00:31:30 +0530,565919,35.9,12.6,113.63,119.95
2021-04-01 00:32:00 +0530,565920,69.2,20.5,113.63,119.95
2021-04-01 00:32:30 +0530,565921,91.4,25.4,113.63,119.95
2021-04-01 00:33:00 +0530,565922,79.5,23.1,113.63,119.95
2021-04-01 00:33:30 +0530,565923,54.6,16.9,113.63,119.95
