created_at,entry_id,field1,field2,field3,field4
2021-08-22 21:24:00 +0530,256547,13.8,6.1,62.13,25.17
2021-08-22 21:24:30 +0530,256548,12.6,6.3,61.51,25.37
2021-08-22 21:25:00 +0530,256549,14.9,6.0,60.84,25.57
2021-08-22 21:25:30 +0530,256550,11.2,6.1,60.06,25.78
2021-08-22 21:26:00 +0530,256551,13.6,5.7,59.41,25.93
2021-08-22 21:26:30 +0530,256552,12.5,5.9,58.61,26.11
2021-08-22 21:27:00 +0530,256553,13.9,6.2,58.06,26.28
2021-08-22 21:27:30 +0530,256554,18.5,6.1,57.32,26.47
2021-08-22 21:28:00 +0530,256555,10.5,6.0,56.64,26.63
2021-08-22 21:28:30 +0530,256556,12.3,5.9,56.11,26.8
2021-08-22 21:29:00 +0530,256557,11.3,5.7,55.58,26.95
2021-08-22 21:29:30 +0530,256558,10.0,5.8,55.0,27.12
2021-08-22 21:30:00 +0530,256559,10.2,5.5,54.43,27.27
2021-08-22 21:30:30 +0530,256560,9.8,5.8,53.9,27.41
2021-08-22 21:31:00 +0530,256561,10.3,5.3,53.36,27.55
2021-08-22 21:31:30 +0530,256562,9.9,5.7,53.1,27.69
2021-08-22 21:32:00 +0530,256563,10.2,5.4,52.75,27.83
2021-08-22 21:32:30 +0530,256564,9.1,5.6,52.65,27.97
2021-08-22 21:33:00 +0530,256565,9.5,5.7,52.85,28.11
2021-08-22 21:33:30 +0530,256566,8.6,5.7,52.83,28.2
2021-08-22 21:34:00 +0530,256567,8.7,5.2,52.68,28.32
2021-08-22 21:34:30 +0530,256568,9.5,5.6,52.44,28.45
2021-08-22 21:35:00 +0530,256569,8.6,5.4,52.08,28.57
2021-08-22 21:35:30 +0530,256570,8.1,5.4,51.79,28.68
2021-08-22 21:36:00 +0530,256571,10.4,5.6,51.69,28.78
2021-08-22 21:36:30 +0530,256572,9.0,5.6,51.84,28.9
2021-08-22 21:37:00 +0530,256573,9.6,5.5,51.6,29.0
2021-08-22 21:37:30 +0530,256574,7.9,5.3,51.18,29.09
2021-08-22 21:38:00 +0530,256575,11.7,5.7,50.88,29.2
2021-08-22 21:38:30 +0530,256576,8.1,5.2,50.78,29.31
2021-08-22 21:39:00 +0530,256577,8.7,5.3,50.67,29.39
2021-08-22 21:39:30 +0530,256578,11.9,5.1,50.29,29.49
2021-08-22 21:40:00 +0530,256579,8.3,5.6,50.32,29.57
2021-08-22 21:40:30 +0530,256580,8.9,5.3,50.32,29.64
2021-08-22 21:41:00 +0530,256581,8.1,5.5,50.38,29.72
2021-08-22 21:41:30 +0530,256582,7.8,5.2,50.35,29.8
2021-08-22 21:42:00 +0530,256583,7.8,5.4,50.27,29.89
2021-08-22 21:42:30 +0530,256584,8.9,5.3,50.11,29.97
2021-08-22 21:43:00 +0530,256585,7.6,5.1,49.93,30.06
2021-08-22 21:43:30 +0530,256586,8.4,5.4,49.5,30.15
2021-08-22 21:44:00 +0530,256587,8.3,5.1,48.86,30.18
2021-08-22 21:44:30 +0530,256588,6.9,4.7,48.13,30.24
