created_at,entry_id,field1,field2,field3,field4,field5,field6,field7
2021-02-01 00:00:30 +0530,109830,134.2,89.8,49.34,27.87,,,
2021-02-01 00:01:00 +0530,109831,140.6,89.1,49.44,27.86,,,
2021-02-01 00:01:30 +0530,109832,133.3,90.4,49.47,27.85,,,
2021-02-01 00:02:00 +0530,109833,129.9,87.5,49.5,27.83,,,
2021-02-01 00:02:30 +0530,109834,131.4,87.8,49.5,27.82,,,
2021-02-01 00:03:00 +0530,109835,128.4,88.7,49.54,27.82,,,
2021-02-01 00:03:30 +0530,109836,131.3,87.9,49.57,27.82,,,
2021-02-01 00:04:00 +0530,109837,129.4,86.7,49.64,27.82,,,
2021-02-01 00:04:30 +0530,109838,131.5,88.8,49.6,27.82,,,
2021-02-01 00:05:00 +0530,109839,140.6,89.1,49.64,27.81,,,
2021-02-01 00:05:30 +0530,109840,127.3,89.0,49.64,27.82,,,
2021-02-01 00:06:00 +0530,109841,127.9,87.5,49.64,27.81,,,
2021-02-01 00:06:30 +0530,109842,151.5,91.0,49.67,27.81,,,
2021-02-01 00:07:00 +0530,109843,149.6,90.4,49.77,27.79,,,
2021-02-01 00:07:30 +0530,109844,138.2,89.6,49.77,27.78,,,
2021-02-01 00:08:00 +0530,109845,129.0,89.4,49.81,27.76,,,
2021-02-01 00:08:30 +0530,109846,133.6,89.0,49.82,27.75,,,
2021-02-01 00:09:00 +0530,109847,140.6,91.1,49.89,27.74,,,
2021-02-01 00:09:30 +0530,109848,139.1,90.4,49.95,27.74,,,
2021-02-01 00:10:00 +0530,109849,134.0,90.4,49.95,27.74,,,
2021-02-01 00:10:30 +0530,109850,141.4,89.6,50.02,27.73,,,
2021-02-01 00:11:00 +0530,109851,145.9,90.1,50.02,27.72,,,
2021-02-01 00:11:30 +0530,109852,145.2,89.3,50.05,27.71,,,
2021-02-01 00:12:00 +0530,109853,132.7,87.8,50.18,27.69,,,
2021-02-01 00:12:30 +0530,109854,128.8,88.8,50.15,27.69,,,
2021-02-01 00:13:00 +0530,109855,140.6,90.3,50.21,27.69,,,
2021-02-01 00:13:30 +0530,109856,144.9,90.3,50.21,27.68,,,
2021-02-01 00:14:00 +0530,109857,132.4,91.4,50.25,27.69,,,
2021-02-01 00:14:30 +0530,109858,140.3,90.8,50.31,27.7,,,
2021-02-01 00:15:00 +0530,109859,144.4,95.1,50.31,27.69,,,
2021-02-01 00:15:30 +0530,109860,132.8,90.2,50.35,27.68,,,
2021-02-01 00:16:00 +0530,109861,137.9,91.2,50.38,27.68,,,
2021-02-01 00:16:30 +0530,109862,134.7,90.3,50.35,27.68,,,
2021-02-01 00:17:00 +0530,109863,132.8,90.5,50.31,27.69,,,
2021-02-01 00:17:30 +0530,109864,134.7,91.0,50.31,27.7,,,
2021-02-01 00:18:00 +0530,109865,138.6,92.5,50.25,27.7,,,
2021-02-01 00:18:30 +0530,109866,150.8,91.0,50.38,27.7,,,
2021-02-01 00:19:00 +0530,109867,148.6,92.6,50.42,27.7,,,
2021-02-01 00:19:30 +0530,109868,137.8,90.3,50.38,27.71,,,
2021-02-01 00:20:00 +0530,109869,140.2,91.3,50.38,27.7,,,
2021-02-01 00:20:30 +0530,109870,150.7,91.4,50.45,27.7,,,
2021-02-01 00:21:00 +0530,109871,141.5,90.4,50.45,27.69,,,
2021-02-01 00:21:30 +0530,109872,152.8,91.8,50.55,27.68,,,
2021-02-01 00:22:00 +0530,109873,153.5,93.3,50.55,27.69,,,
2021-02-01 00:22:30 +0530,109874,143.4,91.7,50.55,27.7,,,
2021-02-01 00:23:00 +0530,109875,142.3,92.9,50.55,27.7,,,
2021-02-01 00:23:30 +0530,109876,136.0,92.0,50.55,27.7,,,
2021-02-01 00:24:00 +0530,109877,147.7,96.3,50.52,27.71,,,
2021-02-01 00:24:30 +0530,109878,165.1,102.5,50.55,27.71,,,
2021-02-01 00:25:00 +0530,109879,148.6,98.2,50.52,27.71,,,
2021-02-01 00:25:30 +0530,109880,152.3,95.2,50.52,27.71,,,
2021-02-01 00:26:00 +0530,109881,144.8,93.9,50.52,27.71,,,
2021-02-01 00:26:30 +0530,109882,146.7,93.5,50.55,27.72,,,
2021-02-01 00:27:00 +0530,109883,138.0,93.6,50.58,27.71,,,
2021-02-01 00:27:30 +0530,109884,157.8,95.3,50.58,27.72,,,
2021-02-01 00:28:00 +0530,109885,138.4,93.0,50.58,27.72,,,
2021-02-01 00:28:30 +0530,109886,148.1,94.9,50.65,27.71,,,
2021-02-01 00:29:00 +0530,109887,149.8,94.2,50.65,27.72,,,
2021-02-01 00:29:30 +0530,109888,151.9,94.3,50.62,27.73,,,
2021-02-01 00:30:00 +0530,109889,159.7,94.2,50.62,27.73,,,
2021-02-01 00:30:30 +0530,109890,158.7,94.5,50.62,27.72,,,
2021-02-01 00:31:00 +0530,109891,151.1,93.8,50.65,27.72,,,
2021-02-01 00:31:30 +0530,109892,160.5,95.3,50.65,27.72,,,
2021-02-01 00:32:00 +0530,109893,162.6,97.7,50.62,27.73,,,
2021-02-01 00:32:30 +0530,109894,168.5,97.0,50.69,27.72,,,
2021-02-01 00:33:00 +0530,109895,151.8,97.0,50.75,27.7,,,
2021-02-01 00:33:30 +0530,109896,159.7,96.1,50.79,27.69,,,
2021-02-01 00:34:00 +0530,109897,162.7,96.4,50.82,27.7,,,
2021-02-01 00:34:30 +0530,109898,157.0,92.7,50.79,27.68,,,
2021-02-01 00:35:00 +0530,109899,169.0,99.8,50.88,27.68,,,
2021-02-01 00:35:30 +0530,109900,156.3,97.2,50.88,27.68,,,
2021-02-01 00:36:00 +0530,109901,157.2,94.0,50.92,27.67,,,
2021-02-01 00:36:30 +0530,109902,154.4,93.1,50.95,27.66,,,
2021-02-01 00:37:00 +0530,109903,194.6,99.2,51.01,27.67,,,
2021-02-01 00:37:30 +0530,109904,166.7,100.9,51.08,27.66,,,
2021-02-01 00:38:00 +0530,109905,166.5,97.1,51.01,27.66,,,
2021-02-01 00:38:30 +0530,109906,180.8,100.4,51.08,27.67,,,
2021-02-01 00:39:00 +0530,109907,172.6,100.4,51.11,27.68,,,
2021-02-01 00:39:30 +0530,109908,184.0,101.7,51.08,27.69,,,
2021-02-01 00:40:00 +0530,109909,185.7,100.4,51.01,27.7,,,
2021-02-01 00:40:30 +0530,109910,188.2,98.8,51.11,27.7,,,
2021-02-01 00:41:00 +0530,109911,175.2,100.2,51.11,27.69,,,
2021-02-01 00:41:30 +0530,109912,179.3,99.7,51.11,27.7,,,
2021-02-01 00:42:00 +0530,109913,177.6,103.1,51.15,27.71,,,
2021-02-01 00:42:30 +0530,109914,166.9,101.7,51.08,27.72,,,
2021-02-01 00:43:00 +0530,109915,221.3,106.2,51.08,27.73,,,
2021-02-01 00:43:30 +0530,109916,176.7,103.1,51.01,27.74,,,
2021-02-01 00:44:00 +0530,109917,164.8,100.8,50.95,27.74,,,
2021-02-01 00:44:30 +0530,109918,171.2,102.2,51.01,27.74,,,
2021-02-01 00:45:00 +0530,109919,203.6,104.8,51.11,27.75,,,
2021-02-01 00:45:30 +0530,109920,224.2,107.2,51.15,27.74,,,
2021-02-01 00:46:00 +0530,109921,203.1,104.3,51.18,27.74,,,
2021-02-01 00:46:30 +0530,109922,187.5,105.5,51.22,27.74,,,
2021-02-01 00:47:00 +0530,109923,172.6,103.5,51.22,27.74,,,
2021-02-01 00:47:30 +0530,109924,177.3,102.3,51.25,27.74,,,
2021-02-01 00:48:00 +0530,109925,158.1,101.6,51.31,27.75,,,
2021-02-01 00:48:30 +0530,109926,169.5,102.8,51.28,27.75,,,
2021-02-01 00:49:00 +0530,109927,166.7,101.5,51.31,27.75,,,
2021-02-01 00:49:30 +0530,109928,163.5,103.6,51.37,27.75,,,
2021-02-01 00:50:00 +0530,109929,163.9,102.6,51.37,27.76,,,
