created_at,entry_id,field1,field2,field3,field4
2021-02-13 19:42:30 +0530,2,52.5,41.0,41.87,29.04
2021-02-13 19:44:00 +0530,3,59.7,41.4,41.83,29.03
2021-02-13 19:45:00 +0530,1,56.1,40.8,42.27,29.07
2021-02-13 19:45:30 +0530,4,52.8,39.3,42.0,29.06
2021-02-13 19:46:00 +0530,5,51.1,38.7,41.87,29.07
2021-02-13 19:46:30 +0530,6,58.4,41.8,41.68,29.12
2021-02-13 19:47:00 +0530,7,53.2,40.4,42.32,29.12
2021-02-13 19:47:30 +0530,8,68.6,43.4,42.8,29.19
2021-02-13 19:48:00 +0530,9,64.0,42.5,42.39,29.29
2021-02-13 19:48:30 +0530,10,62.2,42.1,42.08,29.36
2021-02-13 19:49:00 +0530,11,61.6,41.8,42.38,29.45
2021-02-13 19:49:30 +0530,12,51.2,39.6,41.8,29.49
2021-02-13 19:50:00 +0530,13,60.7,42.3,41.39,29.54
2021-02-13 19:50:30 +0530,14,54.0,40.2,41.26,29.59
2021-02-13 19:51:00 +0530,15,53.4,39.1,41.29,29.61
2021-02-13 19:51:30 +0530,16,58.6,41.7,41.21,29.65
2021-02-13 19:52:00 +0530,17,57.5,41.1,41.38,29.7
2021-02-13 19:52:30 +0530,18,66.8,42.4,41.99,29.74
2021-02-13 19:53:00 +0530,19,58.6,43.0,41.45,29.76
2021-02-13 19:53:30 +0530,20,60.8,41.8,41.31,29.8
2021-02-13 19:54:00 +0530,21,59.0,42.8,41.3,29.83
2021-02-13 19:54:30 +0530,22,59.6,43.2,41.3,29.87
2021-02-13 19:55:00 +0530,23,61.2,44.2,41.23,29.9
2021-02-13 19:55:30 +0530,24,58.8,42.2,41.13,29.92
2021-02-13 19:56:00 +0530,25,59.2,42.6,41.23,29.95
2021-02-13 19:56:30 +0530,26,59.4,42.4,41.23,29.97
2021-02-13 19:57:00 +0530,27,65.9,42.7,41.26,30.0
2021-02-13 19:57:30 +0530,28,62.9,42.7,41.09,30.02
2021-02-13 19:58:00 +0530,29,65.7,43.8,41.56,30.04
2021-02-13 19:58:30 +0530,30,65.8,43.8,46.93,30.06
2021-02-13 19:59:00 +0530,31,73.7,44.6,43.55,30.12
2021-02-13 19:59:30 +0530,32,61.9,42.7,42.02,30.16
2021-02-13 20:00:00 +0530,33,68.6,44.9,41.31,30.21
