created_at,entry_id,field1,field2,field3,field4,field5,field6,field7
2021-01-10 00:00:30 +0530,48254,90.1,58.9,58.45,25.63,,,
2021-01-10 00:01:00 +0530,48255,92.0,58.1,58.6,25.6,,,
2021-01-10 00:01:30 +0530,48256,79.2,59.0,58.71,25.57,,,
2021-01-10 00:02:00 +0530,48257,151.2,62.5,58.83,25.56,,,
2021-01-10 00:02:30 +0530,48258,215.3,66.6,58.89,25.54,,,
2021-01-10 00:03:00 +0530,48259,182.0,63.1,58.98,25.53,,,
2021-01-10 00:03:30 +0530,48260,102.4,61.8,58.92,25.56,,,
2021-01-10 00:04:00 +0530,48261,161.2,71.3,58.98,25.56,,,
2021-01-10 00:04:30 +0530,48262,123.3,64.7,58.92,25.58,,,
2021-01-10 00:05:00 +0530,48263,100.0,61.3,58.89,25.58,,,
2021-01-10 00:05:30 +0530,48264,104.9,55.9,58.98,25.54,,,
2021-01-10 00:06:00 +0530,48265,120.1,59.1,59.0,25.53,,,
2021-01-10 00:06:30 +0530,48266,94.8,57.5,59.0,25.51,,,
2021-01-10 00:07:00 +0530,48267,83.6,58.5,59.06,25.5,,,
2021-01-10 00:07:30 +0530,48268,133.2,78.1,59.21,25.51,,,
2021-01-10 00:08:00 +0530,48269,97.7,63.0,59.03,25.56,,,
2021-01-10 00:08:30 +0530,48270,90.9,59.6,59.0,25.56,,,
2021-01-10 00:09:00 +0530,48271,94.0,61.8,59.03,25.54,,,
2021-01-10 00:09:30 +0530,48272,89.1,63.5,59.06,25.53,,,
2021-01-10 00:10:00 +0530,48273,94.8,68.0,59.12,25.52,,,
2021-01-10 00:11:30 +0530,48275,88.0,62.4,59.03,25.56,,,
2021-01-10 00:12:30 +0530,48274,78.3,60.0,59.12,25.52,,,
2021-01-10 00:13:00 +0530,48276,123.5,63.6,59.32,25.52,,,
2021-01-10 00:13:30 +0530,48277,130.8,63.2,59.27,25.51,,,
2021-01-10 00:14:00 +0530,48278,89.2,60.3,59.24,25.5,,,
2021-01-10 00:14:30 +0530,48279,96.0,59.8,59.32,25.49,,,
2021-01-10 00:15:00 +0530,48280,91.5,60.0,59.38,25.48,,,
2021-01-10 00:15:30 +0530,48281,103.9,60.3,59.35,25.5,,,
2021-01-10 00:16:00 +0530,48282,90.2,61.0,59.32,25.5,,,
2021-01-10 00:16:30 +0530,48283,88.9,61.1,59.27,25.52,,,
2021-01-10 00:17:00 +0530,48284,79.6,60.5,59.27,25.53,,,
2021-01-10 00:17:30 +0530,48285,80.5,56.4,59.27,25.53,,,
2021-01-10 00:18:00 +0530,48286,102.8,61.0,59.27,25.53,,,
2021-01-10 00:18:30 +0530,48287,104.5,61.5,59.29,25.54,,,
2021-01-10 00:19:00 +0530,48288,207.5,66.7,59.38,25.53,,,
2021-01-10 00:19:30 +0530,48289,123.7,62.5,59.35,25.56,,,
2021-01-10 00:20:00 +0530,48290,88.9,61.0,59.27,25.58,,,
2021-01-10 00:20:30 +0530,48291,90.9,61.7,59.21,25.57,,,
2021-01-10 00:21:00 +0530,48292,92.5,61.2,59.27,25.54,,,
2021-01-10 00:21:30 +0530,48293,90.2,59.9,59.35,25.51,,,
2021-01-10 00:22:00 +0530,48294,110.0,66.7,59.5,25.48,,,
2021-01-10 00:22:30 +0530,48295,103.3,65.8,59.5,25.48,,,
2021-01-10 00:23:00 +0530,48296,107.7,64.1,59.52,25.46,,,
2021-01-10 00:23:30 +0530,48297,119.5,65.5,59.7,25.43,,,
2021-01-10 00:24:00 +0530,48298,101.1,62.0,59.79,25.39,,,
2021-01-10 00:24:30 +0530,48299,90.0,60.9,59.9,25.38,,,
2021-01-10 00:25:00 +0530,48300,94.8,62.8,59.9,25.39,,,
2021-01-10 00:25:30 +0530,48301,112.4,63.4,59.93,25.38,,,
2021-01-10 00:26:00 +0530,48302,109.0,75.2,60.08,25.37,,,
2021-01-10 00:26:30 +0530,48303,111.9,67.4,60.05,25.35,,,
