created_at,entry_id,field1,field2,field3,field4
2021-01-30 18:18:00 +0530,13,89.2,62.0,49.12,27.27
2021-01-30 18:18:30 +0530,14,86.8,62.1,48.79,27.39
2021-01-30 18:19:00 +0530,15,86.6,60.1,48.68,27.47
2021-01-30 18:19:30 +0530,16,84.6,60.2,48.58,27.56
2021-01-30 18:20:00 +0530,17,76.8,59.2,48.57,27.6
2021-01-30 18:20:30 +0530,18,78.5,58.9,48.4,27.67
2021-01-30 18:21:00 +0530,19,86.2,60.9,48.1,27.66
2021-01-30 18:21:30 +0530,20,77.8,59.5,48.44,27.71
2021-01-30 18:22:00 +0530,21,80.6,60.1,48.44,27.73
2021-01-30 18:22:30 +0530,22,76.3,58.1,48.3,27.74
2021-01-30 18:23:00 +0530,23,76.9,57.5,48.39,27.79
2021-01-30 18:23:30 +0530,24,77.8,57.4,48.29,27.79
2021-01-30 18:24:00 +0530,25,73.5,57.7,48.09,27.81
2021-01-30 18:24:30 +0530,26,74.2,59.2,48.29,27.83
2021-01-30 18:25:00 +0530,27,79.0,58.6,48.02,27.84
2021-01-30 18:25:30 +0530,28,79.6,58.1,48.12,27.86
2021-01-30 18:26:00 +0530,29,76.0,57.1,47.69,27.84
2021-01-30 18:26:30 +0530,30,78.8,56.9,48.16,27.86
2021-01-30 18:27:00 +0530,31,76.4,57.7,48.29,27.89
2021-01-30 18:27:30 +0530,32,78.0,58.4,47.96,27.9
2021-01-30 18:28:00 +0530,33,73.5,55.2,47.99,27.91
2021-01-30 18:28:30 +0530,34,76.0,59.2,46.38,27.84
2021-01-30 18:29:00 +0530,35,77.5,57.5,47.92,27.85
2021-01-30 18:29:30 +0530,36,70.5,57.3,48.12,27.89
2021-01-30 18:30:00 +0530,37,74.8,56.9,47.99,27.9
2021-01-30 18:30:30 +0530,38,75.9,58.4,48.26,27.89
2021-01-30 18:31:00 +0530,39,71.2,56.7,47.96,27.89
2021-01-30 18:31:30 +0530,40,77.0,56.8,47.89,27.9
2021-01-30 18:32:00 +0530,41,71.7,55.6,48.39,27.94
2021-01-30 18:32:30 +0530,42,72.6,55.6,48.32,27.95
2021-01-30 18:33:00 +0530,43,71.3,57.4,48.35,27.98
2021-01-30 18:33:30 +0530,44,73.0,56.9,48.38,27.99
2021-01-30 18:34:00 +0530,45,74.0,56.2,48.42,28.0
2021-01-30 18:34:30 +0530,46,71.4,56.7,47.85,28.0
2021-01-30 18:35:00 +0530,47,75.2,57.1,48.48,27.97
2021-01-30 18:54:00 +0530,49,75.2,57.2,48.08,27.29
2021-01-30 18:55:30 +0530,48,67.0,55.6,48.99,27.2
2021-01-30 18:56:00 +0530,50,73.1,56.3,49.93,27.19
2021-01-30 18:56:30 +0530,51,72.1,55.9,49.16,27.16
2021-01-30 18:57:00 +0530,52,73.3,57.3,49.8,27.16
2021-01-30 18:57:30 +0530,53,77.8,59.3,50.17,27.17
2021-01-30 18:58:00 +0530,54,76.6,61.3,49.69,27.16
2021-01-30 18:58:30 +0530,55,76.6,59.0,50.1,27.24
