created_at,entry_id,field1,field2,field3,field4
2021-07-01 00:00:30 +0530,183603,21.3,8.6,42.32,35.08
2021-07-01 00:01:00 +0530,183604,43.5,10.6,42.73,34.93
2021-07-01 00:01:30 +0530,183605,16.3,7.3,42.62,34.97
2021-07-01 00:02:00 +0530,183606,9.3,5.1,42.66,34.94
2021-07-01 00:02:30 +0530,183607,22.8,13.1,42.59,34.97
2021-07-01 00:03:00 +0530,183608,49.6,15.1,42.73,34.99
2021-07-01 00:03:30 +0530,183609,28.2,12.3,42.73,34.99
2021-07-01 00:04:00 +0530,183610,19.0,9.4,42.66,35.01
2021-07-01 00:04:30 +0530,183611,16.0,7.3,42.59,35.04
2021-07-01 00:05:00 +0530,183612,14.0,8.0,42.45,35.05
2021-07-01 00:05:30 +0530,183613,39.4,20.5,42.48,35.06
2021-07-01 00:06:00 +0530,183614,46.9,14.9,42.59,35.08
2021-07-01 00:06:30 +0530,183615,15.6,7.3,42.42,35.09
2021-07-01 00:07:00 +0530,183616,14.2,5.0,42.59,35.04
2021-07-01 00:07:30 +0530,183617,20.5,8.0,42.52,35.07
2021-07-01 00:08:00 +0530,183618,32.0,16.1,42.39,35.08
2021-07-01 00:08:30 +0530,183619,104.1,18.6,42.29,35.09
2021-07-01 00:09:00 +0530,183620,17.0,9.7,42.18,35.1
2021-07-01 00:09:30 +0530,183621,18.9,7.9,42.18,35.09
2021-07-01 00:10:00 +0530,183622,43.2,16.0,42.32,35.08
2021-07-01 00:10:30 +0530,183623,17.9,9.1,42.29,35.08
2021-07-01 00:11:00 +0530,183624,17.1,7.3,42.52,35.03
2021-07-01 00:11:30 +0530,183625,35.3,14.4,42.69,34.97
2021-07-01 00:12:00 +0530,183626,22.1,12.5,42.52,35.01
2021-07-01 00:12:30 +0530,183627,14.5,8.0,42.39,35.04
2021-07-01 00:13:00 +0530,183628,16.6,7.6,42.25,35.05
2021-07-01 00:13:30 +0530,183629,43.8,14.2,42.29,35.06
2021-07-01 00:14:00 +0530,183630,32.7,17.0,42.39,35.08
2021-07-01 00:14:30 +0530,183631,23.0,8.5,42.29,35.1
2021-07-01 00:15:00 +0530,183632,26.1,8.9,42.24,35.1
2021-07-01 00:15:30 +0530,183633,43.2,9.3,42.35,35.06
2021-07-01 00:16:00 +0530,183634,94.1,15.6,42.11,35.1
2021-07-01 00:16:30 +0530,183635,40.5,10.4,42.03,35.11
2021-07-01 00:17:00 +0530,183636,24.4,8.2,42.0,35.11
2021-07-01 00:17:30 +0530,183637,20.3,7.9,41.97,35.1
2021-07-01 00:18:00 +0530,183638,22.2,9.6,42.08,35.1
2021-07-01 00:18:30 +0530,183639,18.8,8.3,42.15,35.09
2021-07-01 00:19:00 +0530,183640,15.5,7.4,42.18,35.08
2021-07-01 00:19:30 +0530,183641,13.1,6.4,42.25,35.08
2021-07-01 00:20:00 +0530,183642,21.7,9.9,42.25,35.08
2021-07-01 00:20:30 +0530,183643,17.0,7.2,42.08,35.08
2021-07-01 00:21:00 +0530,183644,15.3,9.9,42.01,35.08
2021-07-01 00:21:30 +0530,183645,26.1,12.2,41.97,35.08
2021-07-01 00:22:00 +0530,183646,32.8,11.6,42.11,35.04
2021-07-01 00:22:30 +0530,183647,26.6,12.0,42.11,35.07
2021-07-01 00:23:00 +0530,183648,15.9,6.1,42.25,35.03
2021-07-01 00:23:30 +0530,183649,14.5,6.9,42.11,35.08
2021-07-01 00:24:00 +0530,183650,21.0,7.6,42.1,35.1
2021-07-01 00:24:30 +0530,183651,17.0,7.0,42.07,35.1
2021-07-01 00:25:00 +0530,183652,16.1,7.3,42.1,35.12
2021-07-01 00:25:30 +0530,183653,16.6,7.3,42.1,35.12
2021-07-01 00:26:00 +0530,183654,18.0,7.3,42.1,35.12
2021-07-01 00:26:30 +0530,183655,9.1,4.8,42.01,35.07
2021-07-01 00:27:00 +0530,183656,10.3,5.6,41.94,35.08
2021-07-01 00:27:30 +0530,183657,13.7,6.3,42.04,35.07
2021-07-01 00:28:00 +0530,183658,14.4,6.4,42.08,35.06
2021-07-01 00:28:30 +0530,183659,15.7,6.7,42.04,35.07
2021-07-01 00:29:00 +0530,183660,12.6,6.6,41.97,35.05
2021-07-01 00:29:30 +0530,183661,10.7,6.3,41.97,35.04
2021-07-01 00:30:00 +0530,183662,38.6,32.1,42.15,34.96
2021-07-01 00:30:30 +0530,183663,44.2,21.0,42.11,34.97
2021-07-01 00:31:00 +0530,183664,37.9,14.7,42.15,34.97
2021-07-01 00:31:30 +0530,183665,52.1,15.7,42.15,34.98
2021-07-01 00:32:00 +0530,183666,34.2,10.9,42.22,34.97
2021-07-01 00:32:30 +0530,183667,47.2,10.6,42.32,34.92
2021-07-01 00:33:00 +0530,183668,38.6,10.2,42.18,34.94
2021-07-01 00:33:30 +0530,183669,20.0,10.3,42.15,34.95
2021-07-01 00:34:00 +0530,183670,17.1,8.2,42.11,34.96
2021-07-01 00:34:30 +0530,183671,15.8,7.3,42.11,34.97
2021-07-01 00:35:00 +0530,183672,21.9,7.8,42.11,34.97
2021-07-01 00:35:30 +0530,183673,14.7,5.3,42.25,34.92
2021-07-01 00:36:00 +0530,183674,14.8,6.6,42.15,34.92
2021-07-01 00:36:30 +0530,183675,15.6,6.6,42.15,34.94
2021-07-01 00:37:00 +0530,183676,21.7,11.3,42.35,34.94
2021-07-01 00:37:30 +0530,183677,32.8,14.7,42.35,34.95
2021-07-01 00:38:00 +0530,183678,57.7,31.3,42.29,34.95
2021-07-01 00:38:30 +0530,183679,40.1,16.9,42.32,34.97
2021-07-01 00:39:00 +0530,183680,36.8,13.3,42.22,34.98
2021-07-01 00:39:30 +0530,183681,55.5,13.5,42.18,34.99
2021-07-01 00:40:00 +0530,183682,46.6,11.8,42.11,35.01
2021-07-01 00:40:30 +0530,183683,29.3,9.4,42.08,35.04
2021-07-01 00:41:00 +0530,183684,32.1,10.3,42.04,35.07
2021-07-01 00:41:30 +0530,183685,25.1,8.4,41.94,35.08
2021-07-01 00:42:00 +0530,183686,16.1,7.2,41.94,35.09
2021-07-01 00:42:30 +0530,183687,50.5,16.4,42.01,35.07
2021-07-01 00:43:00 +0530,183688,14.0,7.8,42.11,35.01
2021-07-01 00:43:30 +0530,183689,13.1,7.3,42.04,35.03
2021-07-01 00:44:00 +0530,183690,17.4,7.4,42.04,35.04
2021-07-01 00:44:30 +0530,183691,17.8,8.3,42.18,35.05
2021-07-01 00:45:00 +0530,183692,26.1,7.8,42.15,35.05
2021-07-01 00:45:30 +0530,183693,17.6,7.6,42.15,35.06
2021-07-01 00:46:00 +0530,183694,10.7,6.2,42.08,35.04
2021-07-01 00:46:30 +0530,183695,11.7,5.9,42.08,35.03
2021-07-01 00:47:00 +0530,183696,13.2,6.8,42.15,34.99
2021-07-01 00:47:30 +0530,183697,9.5,4.4,42.29,34.92
2021-07-01 00:48:00 +0530,183698,46.7,11.2,42.22,34.93
2021-07-01 00:48:30 +0530,183699,47.8,13.0,42.25,34.94
2021-07-01 00:49:00 +0530,183700,28.3,9.9,42.22,34.95
2021-07-01 00:49:30 +0530,183701,36.9,9.9,42.18,34.95
2021-07-01 00:50:00 +0530,183702,30.1,8.2,42.18,34.97
2021-07-01 00:50:30 +0530,183703,15.9,6.8,42.18,34.97
2021-07-01 00:51:00 +0530,183704,20.8,7.4,42.15,34.97
2021-07-01 00:51:31 +0530,183705,20.2,7.2,42.25,34.98
2021-07-01 00:52:00 +0530,183706,17.5,7.1,42.22,34.98
2021-07-01 00:52:30 +0530,183707,20.5,8.4,42.15,34.98
2021-07-01 00:53:00 +0530,183708,34.9,15.2,42.15,34.98
2021-07-01 00:53:30 +0530,183709,30.7,13.2,42.19,34.92
2021-07-01 00:54:00 +0530,183710,19.2,7.5,42.42,34.92
2021-07-01 00:54:30 +0530,183711,17.2,5.6,42.47,34.92
2021-07-01 00:55:00 +0530,183712,17.1,6.3,42.45,34.93
2021-07-01 00:55:30 +0530,183713,28.5,9.0,42.32,34.95
