created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2021-06-01 00:00:30 +0530,274106,0.2,0.2,42.47,35.47,,,,81530118
2021-06-01 00:01:00 +0530,274107,0.2,0.2,42.42,35.49,,,,82513158
2021-06-01 00:01:30 +0530,274108,0.2,0.2,42.36,35.5,,,,83496198
2021-06-01 00:02:00 +0530,274109,0.2,0.2,42.29,35.52,,,,67702022
2021-06-01 00:02:30 +0530,274110,0.2,0.2,42.25,35.54,,,,68685062
2021-06-01 00:03:00 +0530,274111,0.2,0.2,42.22,35.56,,,,69668102
2021-06-01 00:03:30 +0530,274112,0.2,0.2,42.22,35.56,,,,70847750
2021-06-01 00:04:00 +0530,274113,0.3,0.3,42.22,35.56,,,,72158470
2021-06-01 00:04:30 +0530,274114,0.3,0.3,42.15,35.56,,,,73469190
2021-06-01 00:05:00 +0530,274115,0.3,0.3,42.15,35.56,,,,74779910
2021-06-01 00:05:30 +0530,274116,0.3,0.3,42.15,35.57,,,,76023046
2021-06-01 00:06:00 +0530,274117,0.2,0.2,42.08,35.56,,,,77333766
2021-06-01 00:06:30 +0530,274118,0.3,0.3,42.15,35.56,,,,78643462
2021-06-01 00:07:00 +0530,274119,0.2,0.2,42.22,35.56,,,,79954182
2021-06-01 00:07:30 +0530,274120,0.3,0.3,42.18,35.57,,,,81264902
2021-06-01 00:08:00 +0530,274121,0.3,0.3,42.12,35.57,,,,82575622
2021-06-01 00:08:30 +0530,274122,0.3,0.3,42.08,35.56,,,,67109126
2021-06-01 00:09:00 +0530,274123,0.3,0.3,42.08,35.57,,,,68419846
2021-06-01 00:09:30 +0530,274124,0.2,0.2,42.01,35.56,,,,69665030
2021-06-01 00:10:00 +0530,274125,0.3,0.3,42.05,35.56,,,,70648070
2021-06-01 00:10:30 +0530,274126,0.2,0.2,42.08,35.54,,,,71631110
2021-06-01 00:11:00 +0530,274127,0.2,0.2,42.12,35.54,,,,72614150
2021-06-01 00:11:30 +0530,274128,0.3,0.3,42.08,35.54,,,,73597190
2021-06-01 00:12:00 +0530,274129,0.3,0.3,42.05,35.55,,,,74580230
2021-06-01 00:12:30 +0530,274130,0.3,0.3,42.05,35.55,,,,75563270
2021-06-01 00:13:00 +0530,274131,0.3,0.3,42.05,35.56,,,,76873990
2021-06-01 00:13:30 +0530,274132,0.3,0.3,42.01,35.57,,,,78122246
2021-06-01 00:14:00 +0530,274133,0.2,0.2,41.91,35.58,,,,79432966
2021-06-01 00:14:30 +0530,274134,0.3,0.3,41.84,35.58,,,,80743686
