created_at,entry_id,field1,field2,field3,field4
2021-06-01 00:00:30 +0530,221500,20.7,16.8,50.21,34.36
2021-06-01 00:01:00 +0530,221501,24.3,17.3,50.21,34.38
2021-06-01 00:01:30 +0530,221502,22.6,17.8,50.25,34.38
2021-06-01 00:02:00 +0530,221503,22.3,17.1,50.25,34.38
2021-06-01 00:02:30 +0530,221504,23.4,17.6,50.25,34.38
2021-06-01 00:03:00 +0530,221505,23.1,17.8,50.18,34.39
2021-06-01 00:03:30 +0530,221506,23.0,17.8,50.18,34.39
2021-06-01 00:04:00 +0530,221507,22.4,17.4,50.18,34.39
2021-06-01 00:04:30 +0530,221508,23.3,16.7,50.18,34.37
2021-06-01 00:05:00 +0530,221509,21.2,17.3,50.14,34.38
2021-06-01 00:05:30 +0530,221510,25.6,18.2,50.25,34.4
2021-06-01 00:06:00 +0530,221511,22.4,18.2,50.11,34.4
2021-06-01 00:06:30 +0530,221512,27.5,17.9,50.25,34.36
2021-06-01 00:07:00 +0530,221513,19.2,17.1,50.32,34.39
2021-06-01 00:07:30 +0530,221514,20.8,17.7,50.39,34.41
2021-06-01 00:08:00 +0530,221515,24.9,17.3,50.42,34.42
2021-06-01 00:08:30 +0530,221516,25.6,18.2,50.45,34.42
2021-06-01 00:09:00 +0530,221517,22.9,17.9,50.45,34.42
2021-06-01 00:09:30 +0530,221518,23.2,17.3,50.11,34.45
2021-06-01 00:10:00 +0530,221519,20.7,16.1,50.14,34.46
2021-06-01 00:10:30 +0530,221520,25.0,17.7,50.11,34.46
2021-06-01 00:11:00 +0530,221521,24.6,16.9,50.18,34.47
2021-06-01 00:11:30 +0530,221522,24.8,16.8,50.18,34.47
2021-06-01 00:12:00 +0530,221523,22.0,17.3,50.18,34.47
2021-06-01 00:12:30 +0530,221524,27.0,16.9,50.01,34.48
2021-06-01 00:13:00 +0530,221525,22.8,17.0,50.04,34.48
2021-06-01 00:13:30 +0530,221526,21.9,16.2,50.04,34.49
2021-06-01 00:14:00 +0530,221527,21.0,15.8,50.08,34.49
2021-06-01 00:14:30 +0530,221528,22.2,15.3,49.97,34.49
2021-06-01 00:15:00 +0530,221529,26.3,16.2,50.18,34.5
2021-06-01 00:15:30 +0530,221530,21.6,15.0,50.01,34.49
2021-06-01 00:16:00 +0530,221531,22.7,15.4,50.04,34.49
2021-06-01 00:16:30 +0530,221532,19.2,14.5,50.04,34.48
2021-06-01 00:17:00 +0530,221533,19.4,15.9,49.9,34.47
2021-06-01 00:17:30 +0530,221534,16.9,13.9,50.08,34.42
