created_at,entry_id,field1,field2,field3,field4,field5,field6,field7
2021-03-18 00:00:30 +0530,225046,50.8,26.1,36.95,32.49,,,
2021-03-18 00:01:00 +0530,225047,41.7,23.8,37.02,32.48,,,
2021-03-18 00:01:30 +0530,225048,47.2,25.8,37.05,32.48,,,
2021-03-18 00:02:00 +0530,225049,32.5,23.6,37.05,32.46,,,
2021-03-18 00:02:30 +0530,225050,38.9,22.6,37.05,32.45,,,
2021-03-18 00:03:00 +0530,225051,36.1,23.6,37.12,32.43,,,
2021-03-18 00:03:30 +0530,225052,53.4,26.7,37.19,32.43,,,
2021-03-18 00:04:00 +0530,225053,67.7,28.0,37.26,32.41,,,
2021-03-18 00:04:30 +0530,225054,70.3,27.7,37.36,32.39,,,
2021-03-18 00:05:00 +0530,225055,91.8,30.6,37.36,32.39,,,
2021-03-18 00:05:30 +0530,225056,79.6,29.2,37.36,32.39,,,
2021-03-18 00:06:00 +0530,225057,59.2,27.1,37.36,32.39,,,
2021-03-18 00:06:30 +0530,225058,74.3,28.2,37.43,32.39,,,
2021-03-18 00:07:00 +0530,225059,52.9,27.0,37.46,32.37,,,
2021-03-18 00:07:30 +0530,225060,51.7,26.7,37.47,32.35,,,
2021-03-18 00:08:00 +0530,225061,161.0,42.3,37.54,32.34,,,
2021-03-18 00:08:30 +0530,225062,72.8,27.4,37.58,32.33,,,
2021-03-18 00:09:00 +0530,225063,70.4,26.9,37.58,32.32,,,
2021-03-18 00:09:30 +0530,225064,44.4,25.1,37.61,32.3,,,
2021-03-18 00:10:00 +0530,225065,34.0,22.6,37.61,32.3,,,
2021-03-18 00:10:30 +0530,225066,73.7,28.2,37.71,32.29,,,
2021-03-18 00:11:00 +0530,225067,35.7,24.9,37.68,32.29,,,
2021-03-18 00:11:30 +0530,225068,29.5,22.4,37.71,32.26,,,
2021-03-18 00:12:00 +0530,225069,38.2,23.6,37.75,32.24,,,
2021-03-18 00:12:30 +0530,225070,32.0,22.7,37.82,32.23,,,
