created_at,entry_id,field1,field2,field3,field4
2021-03-01 15:54:00 +0530,18820,28.7,23.6,32.72,31.43
2021-03-01 15:54:30 +0530,18821,32.1,24.1,33.21,31.46
2021-03-01 15:55:00 +0530,18822,27.0,24.1,30.17,31.46
2021-03-01 16:06:00 +0530,18824,36.0,26.7,32.96,31.45
2021-03-01 16:06:30 +0530,18825,39.0,27.2,31.13,31.53
2021-03-01 16:08:00 +0530,18823,39.9,28.3,29.99,31.73
2021-03-01 16:08:30 +0530,18826,33.4,27.0,29.78,31.78
2021-03-01 16:09:00 +0530,18827,37.9,26.1,29.8,31.83
2021-03-01 16:09:30 +0530,18828,34.6,27.2,29.72,31.86
2021-03-01 16:10:00 +0530,18829,32.2,26.8,29.72,31.89
2021-03-01 16:10:30 +0530,18830,39.3,28.2,29.68,31.93
2021-03-01 16:11:00 +0530,18831,35.9,29.3,29.68,31.95
2021-03-01 16:11:30 +0530,18832,41.1,31.1,29.64,31.97
2021-03-01 16:12:00 +0530,18833,44.8,30.7,29.64,31.98
2021-03-01 16:12:30 +0530,18834,45.4,29.7,29.68,32.0
2021-03-01 16:13:00 +0530,18835,38.7,29.7,29.77,32.01
2021-03-01 16:13:30 +0530,18836,42.0,29.2,29.66,32.02
2021-03-01 16:14:00 +0530,18837,40.5,30.3,29.61,32.02
2021-03-01 16:14:30 +0530,18838,36.0,29.1,29.82,32.03
2021-03-01 16:15:00 +0530,18839,41.3,30.1,29.61,32.03
2021-03-01 16:15:30 +0530,18840,39.2,29.2,29.54,32.03
2021-03-01 16:16:00 +0530,18841,36.1,28.8,29.5,32.04
2021-03-01 16:16:30 +0530,18842,33.6,27.7,29.45,32.05
2021-03-01 16:17:00 +0530,18843,36.9,28.9,29.5,32.07
2021-03-01 16:17:30 +0530,18844,35.4,28.1,29.66,32.08
2021-03-01 16:18:00 +0530,18845,37.4,28.4,29.58,32.08
2021-03-01 16:18:30 +0530,18846,39.2,29.9,29.61,32.09
2021-03-01 16:19:00 +0530,18847,36.6,28.2,29.58,32.1
2021-03-01 16:19:30 +0530,18848,36.8,28.6,29.58,32.11
2021-03-01 16:20:00 +0530,18849,36.9,28.9,29.54,32.12
2021-03-01 16:20:30 +0530,18850,36.8,28.1,29.54,32.12
2021-03-01 16:21:00 +0530,18851,42.1,28.3,29.54,32.13
2021-03-01 16:21:30 +0530,18852,39.7,27.2,29.54,32.13
2021-03-01 16:22:00 +0530,18853,37.0,27.7,29.54,32.13
2021-03-01 16:22:30 +0530,18854,41.4,28.8,29.5,32.14
2021-03-01 16:23:00 +0530,18855,39.1,28.4,29.5,32.14
2021-03-01 16:23:30 +0530,18856,32.6,26.7,29.45,32.15
2021-03-01 16:24:00 +0530,18857,35.8,27.8,29.45,32.15
2021-03-01 16:24:30 +0530,18858,35.0,28.6,29.42,32.16
2021-03-01 16:25:00 +0530,18859,37.0,27.9,29.43,32.16
2021-03-01 16:25:30 +0530,18860,41.2,27.3,29.43,32.16
2021-03-01 16:26:00 +0530,18861,36.0,27.3,29.43,32.16
2021-03-01 16:26:30 +0530,18862,35.0,26.9,29.48,32.16
2021-03-01 16:27:00 +0530,18863,32.9,26.9,29.48,32.16
2021-03-01 16:27:30 +0530,18864,39.8,27.1,29.48,32.16
2021-03-01 16:28:00 +0530,18865,38.3,27.2,29.51,32.17
2021-03-01 16:28:30 +0530,18866,32.6,26.9,29.48,32.17
2021-03-01 16:29:00 +0530,18867,33.0,26.3,29.43,32.18
2021-03-01 16:29:30 +0530,18868,30.8,25.7,29.43,32.18
2021-03-01 16:30:00 +0530,18869,36.4,27.9,29.48,32.18
2021-03-01 16:30:30 +0530,18870,38.3,26.8,29.43,32.18
2021-03-01 16:31:00 +0530,18871,33.4,25.9,29.43,32.18
2021-03-01 16:31:30 +0530,18872,37.2,27.4,29.55,32.19
2021-03-01 16:32:00 +0530,18873,33.9,26.7,29.43,32.2
2021-03-01 16:32:30 +0530,18874,31.4,26.8,29.51,32.2
2021-03-01 16:33:00 +0530,18875,30.2,25.1,29.55,32.22
2021-03-01 16:33:30 +0530,18876,33.9,26.2,29.51,32.23
2021-03-01 16:34:00 +0530,18877,33.4,26.4,29.51,32.24
2021-03-01 16:34:30 +0530,18878,34.8,26.1,29.51,32.24
2021-03-01 16:35:00 +0530,18879,33.2,25.8,29.55,32.25
2021-03-01 16:35:30 +0530,18880,36.7,26.8,29.59,32.26
2021-03-01 16:36:00 +0530,18881,33.9,26.7,29.51,32.26
2021-03-01 16:36:30 +0530,18882,34.0,26.1,29.51,32.27
2021-03-01 16:37:00 +0530,18883,34.4,25.7,29.55,32.28
2021-03-01 16:37:30 +0530,18884,31.2,26.4,29.59,32.28
2021-03-01 16:38:00 +0530,18885,30.7,25.8,29.51,32.29
2021-03-01 16:38:30 +0530,18886,37.0,26.0,29.55,32.29
2021-03-01 16:39:00 +0530,18887,32.9,26.2,29.55,32.29
2021-03-01 16:39:30 +0530,18888,30.9,26.1,29.59,32.3
2021-03-01 16:40:00 +0530,18889,31.8,25.9,29.55,32.31
2021-03-01 16:40:30 +0530,18890,30.3,26.0,29.55,32.31
2021-03-01 16:41:00 +0530,18891,31.8,25.7,29.55,32.31
2021-03-01 16:41:30 +0530,18892,33.7,26.8,29.59,32.33
2021-03-01 16:42:00 +0530,18893,29.2,25.9,29.59,32.33
2021-03-01 16:42:30 +0530,18894,34.2,26.3,29.69,32.33
2021-03-01 16:43:00 +0530,18895,35.2,26.1,29.69,32.34
2021-03-01 16:43:30 +0530,18896,30.9,26.1,29.69,32.34
2021-03-01 16:44:00 +0530,18897,29.7,26.2,29.73,32.34
2021-03-01 16:44:30 +0530,18898,35.2,26.3,29.69,32.35
2021-03-01 16:45:00 +0530,18899,34.8,26.1,29.69,32.35
2021-03-01 16:45:30 +0530,18900,31.8,27.1,29.69,32.35
2021-03-01 16:46:00 +0530,18901,32.8,26.1,29.73,32.37
2021-03-01 16:46:30 +0530,18902,32.1,25.0,29.69,32.38
2021-03-01 16:47:00 +0530,18903,32.1,26.7,29.77,32.38
2021-03-01 16:47:30 +0530,18904,33.0,26.0,29.69,32.38
2021-03-01 16:48:00 +0530,18905,31.0,25.7,29.65,32.38
2021-03-01 16:48:30 +0530,18906,30.9,26.3,29.69,32.39
2021-03-01 16:49:00 +0530,18907,33.8,26.3,29.69,32.39
2021-03-01 16:49:30 +0530,18908,31.2,26.6,29.69,32.39
2021-03-01 16:50:00 +0530,18909,31.9,26.2,29.77,32.4
2021-03-01 16:50:30 +0530,18910,32.1,26.4,29.81,32.39
2021-03-01 16:51:00 +0530,18911,31.2,26.3,29.77,32.4
2021-03-01 16:51:30 +0530,18912,31.4,26.7,29.73,32.41
2021-03-01 16:52:00 +0530,18913,30.5,26.3,29.73,32.41
2021-03-01 16:52:30 +0530,18914,32.0,25.7,29.69,32.41
2021-03-01 16:53:00 +0530,18915,31.6,26.4,29.73,32.41
2021-03-01 16:53:30 +0530,18916,34.1,27.1,29.73,32.41
2021-03-01 16:54:00 +0530,18917,30.4,26.1,29.73,32.42
2021-03-01 16:54:30 +0530,18918,34.1,26.4,29.77,32.42
2021-03-01 16:55:00 +0530,18919,32.8,26.7,29.69,32.43
2021-03-01 16:55:30 +0530,18920,32.7,26.6,29.69,32.43
2021-03-01 16:56:00 +0530,18921,33.6,26.3,29.69,32.43
2021-03-01 16:56:30 +0530,18922,28.8,25.7,29.73,32.43
2021-03-01 16:57:00 +0530,18923,32.2,25.7,29.85,32.44
2021-03-01 16:57:30 +0530,18924,32.1,26.4,29.77,32.44
2021-03-01 16:58:00 +0530,18925,30.5,27.3,29.89,32.44
2021-03-01 16:58:30 +0530,18926,34.8,27.4,29.85,32.44
2021-03-01 16:59:00 +0530,18927,32.0,26.3,29.85,32.45
2021-03-01 16:59:30 +0530,18928,35.7,26.5,30.29,32.45
2021-03-01 17:00:00 +0530,18929,30.0,26.0,29.97,32.45
2021-03-01 17:00:30 +0530,18930,35.0,26.1,29.85,32.45
2021-03-01 17:01:00 +0530,18931,34.1,26.8,29.85,32.45
2021-03-01 17:01:30 +0530,18932,30.3,26.9,29.85,32.45
2021-03-01 17:02:00 +0530,18933,31.4,25.9,29.89,32.45
2021-03-01 17:02:30 +0530,18934,32.9,26.8,29.89,32.45
2021-03-01 17:03:00 +0530,18935,31.9,25.3,29.77,32.45
2021-03-01 17:03:30 +0530,18936,32.0,26.5,29.81,32.45
