created_at,entry_id,field1,field2,field3,field4,field5,field6,field7
2021-05-11 19:04:00 +0530,337022,29.5,14.3,44.83,33.9,,,
2021-05-11 19:04:30 +0530,337023,25.0,14.1,44.76,33.9,,,
2021-05-11 19:05:00 +0530,337024,31.0,15.3,44.66,33.91,,,
2021-05-11 19:05:30 +0530,337025,96.7,23.2,44.35,33.93,,,
2021-05-11 19:06:00 +0530,337026,28.5,12.8,44.1,33.97,,,
2021-05-11 19:06:30 +0530,337027,23.2,13.2,43.84,34.02,,,
2021-05-11 19:07:00 +0530,337028,37.9,15.4,43.7,34.07,,,
2021-05-11 19:07:30 +0530,337029,22.8,11.8,43.49,34.11,,,
2021-05-11 19:08:00 +0530,337030,27.2,14.4,43.45,34.18,,,
2021-05-11 19:08:30 +0530,337031,60.9,24.9,43.82,34.23,,,
2021-05-11 19:09:00 +0530,337032,42.4,19.6,43.82,34.27,,,
2021-05-11 19:09:30 +0530,337033,29.7,14.4,43.8,34.33,,,
2021-05-11 19:10:00 +0530,337034,22.2,11.9,44.01,34.37,,,
2021-05-11 19:10:30 +0530,337035,25.1,12.1,43.94,34.42,,,
2021-05-11 19:11:00 +0530,337036,30.2,12.9,43.8,34.47,,,
2021-05-11 19:11:30 +0530,337037,24.9,12.3,43.39,34.5,,,
2021-05-11 19:12:00 +0530,337038,30.2,12.3,42.95,34.5,,,
2021-05-11 19:12:30 +0530,337039,24.3,11.9,43.09,34.55,,,
2021-05-11 19:13:00 +0530,337040,34.0,16.4,42.84,34.61,,,
2021-05-11 19:13:30 +0530,337041,30.7,14.2,42.77,34.62,,,
2021-05-11 19:14:00 +0530,337042,23.0,12.6,42.57,34.65,,,
2021-05-11 19:14:30 +0530,337043,29.0,13.0,42.52,34.68,,,
2021-05-11 19:15:00 +0530,337044,29.7,12.5,42.45,34.71,,,
2021-05-11 19:15:30 +0530,337045,27.5,16.0,42.39,34.75,,,
2021-05-11 19:16:00 +0530,337046,28.6,14.5,42.05,34.77,,,
2021-05-11 19:16:30 +0530,337047,31.4,13.8,42.22,34.79,,,
2021-05-11 19:17:00 +0530,337048,43.1,15.9,42.32,34.81,,,
2021-05-11 19:17:30 +0530,337049,39.5,14.8,42.28,34.83,,,
2021-05-11 19:18:00 +0530,337050,40.9,13.7,42.28,34.85,,,
2021-05-11 19:18:30 +0530,337051,40.7,14.8,42.38,34.88,,,
2021-05-11 19:19:00 +0530,337052,26.6,12.2,42.24,34.9,,,
2021-05-11 19:19:30 +0530,337053,31.7,12.8,42.45,34.92,,,
2021-05-11 19:20:00 +0530,337054,30.9,13.4,42.34,34.95,,,
2021-05-11 19:20:30 +0530,337055,27.0,13.1,41.97,34.96,,,
2021-05-11 19:21:00 +0530,337056,22.8,12.1,41.77,34.98,,,
2021-05-11 19:21:30 +0530,337057,24.5,12.1,41.73,34.99,,,
2021-05-11 19:22:00 +0530,337058,25.5,11.9,41.75,35.0,,,
2021-05-11 19:22:30 +0530,337059,23.6,11.7,41.78,35.03,,,
2021-05-11 19:23:00 +0530,337060,25.5,11.3,41.75,35.04,,,
2021-05-11 19:23:30 +0530,337061,19.6,10.9,41.78,35.04,,,
2021-05-11 19:24:00 +0530,337062,31.1,12.4,41.78,35.05,,,
2021-05-11 19:24:30 +0530,337063,23.4,11.7,42.23,35.05,,,
2021-05-11 19:25:00 +0530,337064,36.6,14.2,42.36,35.05,,,
2021-05-11 19:25:30 +0530,337065,42.0,15.4,42.19,35.07,,,
2021-05-11 19:26:00 +0530,337066,43.4,15.8,41.55,35.07,,,
2021-05-11 19:26:30 +0530,337067,46.6,18.3,41.48,35.07,,,
2021-05-11 19:27:00 +0530,337068,33.6,14.2,41.17,35.07,,,
2021-05-11 19:27:30 +0530,337069,24.2,11.7,40.97,35.06,,,
2021-05-11 19:28:00 +0530,337070,29.1,13.8,40.94,35.05,,,
2021-05-11 19:28:30 +0530,337071,38.1,14.4,41.04,35.05,,,
2021-05-11 19:29:00 +0530,337072,36.6,14.7,41.04,35.05,,,
2021-05-11 19:29:30 +0530,337073,23.5,12.1,40.8,35.04,,,
