created_at,entry_id,field1,field2,field3,field4
2021-05-28 21:40:00 +0530,2,5.8,5.2,42.15,27.36
2021-05-28 21:41:00 +0530,1,5.9,5.1,41.88,27.38
2021-05-28 21:41:30 +0530,3,6.5,5.1,41.57,27.49
2021-05-28 21:42:00 +0530,4,5.7,5.1,41.77,27.49
2021-05-28 21:42:30 +0530,5,5.8,4.9,41.42,27.55
2021-05-28 21:43:00 +0530,6,5.6,5.1,41.47,27.54
2021-05-28 21:43:30 +0530,7,5.2,4.7,41.33,27.59
2021-05-28 21:48:00 +0530,8,6.2,5.2,41.78,27.17
2021-05-28 21:49:00 +0530,9,5.7,5.1,41.88,26.8
2021-05-28 21:49:30 +0530,10,6.8,5.1,42.46,26.57
2021-05-28 21:50:00 +0530,11,6.1,5.0,42.74,26.39
2021-05-28 21:50:30 +0530,12,5.5,4.6,42.71,26.37
2021-05-28 21:51:00 +0530,13,5.6,5.0,43.45,26.56
2021-05-28 21:51:30 +0530,14,5.5,4.9,44.69,26.61
2021-05-28 21:52:00 +0530,15,6.4,5.1,46.05,26.71
2021-05-28 21:52:30 +0530,16,6.2,5.3,46.92,26.8
2021-05-28 21:53:00 +0530,17,6.7,5.3,47.41,26.89
2021-05-28 21:53:30 +0530,18,7.0,5.6,48.01,27.02
2021-05-28 21:54:00 +0530,19,6.1,5.5,48.6,27.11
2021-05-28 21:54:30 +0530,20,6.1,5.4,49.37,27.13
2021-05-28 21:55:00 +0530,21,6.1,5.5,49.53,27.27
2021-05-28 21:55:30 +0530,22,6.8,5.2,49.82,27.39
2021-05-28 21:56:00 +0530,23,5.9,5.3,49.82,27.51
2021-05-28 21:56:30 +0530,24,6.6,5.6,50.48,27.52
2021-05-28 21:57:00 +0530,25,7.1,5.4,50.95,27.52
2021-05-28 21:57:30 +0530,26,6.5,5.4,51.37,27.53
2021-05-28 21:58:00 +0530,27,6.0,5.3,51.81,27.53
2021-05-28 21:58:30 +0530,28,6.6,5.3,52.01,27.6
2021-05-28 21:59:00 +0530,29,6.3,5.4,52.39,27.58
2021-05-28 21:59:30 +0530,30,6.0,5.3,52.3,27.6
2021-05-28 22:00:00 +0530,31,6.0,5.1,52.47,27.67
2021-05-28 22:00:30 +0530,32,6.4,5.4,52.45,27.7
2021-05-28 22:01:00 +0530,33,6.0,5.3,52.53,27.67
2021-05-28 22:01:30 +0530,34,6.0,5.4,52.91,27.57
2021-05-28 22:02:00 +0530,35,6.0,5.4,52.53,27.66
2021-05-28 22:02:30 +0530,36,6.1,5.4,51.92,27.65
2021-05-28 22:03:00 +0530,37,5.4,4.9,51.45,27.75
2021-05-28 22:03:30 +0530,38,8.3,5.8,51.3,27.76
2021-05-28 22:04:00 +0530,39,5.9,5.3,51.28,27.7
2021-05-28 22:04:30 +0530,40,6.3,5.4,51.66,27.76
2021-05-28 22:05:00 +0530,41,6.4,5.3,52.01,27.82
2021-05-28 22:05:30 +0530,42,5.9,5.3,50.74,27.76
