created_at,entry_id,field1,field2,field3,field4,field5,field6,field7
2021-11-01 07:18:00 +0530,229454,233.0,88.6,47,25,-2.31,-1.0,-1.0
2021-11-01 07:18:30 +0530,229455,238.1,86.5,47,25,-2.33,-1.0,-1.0
2021-11-01 07:19:00 +0530,229456,223.7,85.3,46,25,-2.36,-1.0,-1.0
2021-11-01 07:19:30 +0530,229457,197.7,82.8,46,25,-2.39,-1.0,-1.0
2021-11-01 07:20:30 +0530,229458,148.1,71.0,45,25,-2.46,-1.0,-1.0
2021-11-01 07:21:00 +0530,229459,151.1,66.0,45,26,-2.49,-1.0,-1.0
2021-11-01 07:21:30 +0530,229460,166.4,68.3,45,26,-2.52,-1.0,-1.0
2021-11-01 07:22:00 +0530,229461,146.0,66.0,45,26,-2.58,-1.0,-1.0
2021-11-01 07:22:30 +0530,229462,129.4,63.2,44,26,-2.63,-1.0,-1.0
2021-11-01 07:23:00 +0530,229463,117.6,61.8,44,26,-2.68,-1.0,-1.0
2021-11-01 07:23:30 +0530,229464,112.5,64.4,44,26,-2.74,-1.0,-1.0
2021-11-01 07:24:00 +0530,229465,108.3,64.7,44,26,-2.79,-1.0,-1.0
2021-11-01 07:24:30 +0530,229466,96.2,57.7,45,27,-3.02,-1.0,-1.0
2021-11-01 07:25:00 +0530,229467,171.7,66.3,45,27,-3.04,-1.0,-1.0
2021-11-01 07:25:30 +0530,229468,133.7,68.1,46,27,-3.07,-1.0,-1.0
2021-11-01 07:26:30 +0530,229469,110.4,72.3,45,28,-3.11,-1.0,-1.0
2021-11-01 07:27:00 +0530,229470,104.6,72.1,45,28,-3.18,-1.0,-1.0
2021-11-01 07:27:30 +0530,229471,89.1,67.6,45,28,-3.21,-1.0,-1.0
2021-11-01 07:28:00 +0530,229472,118.1,69.2,45,28,-3.24,-1.0,-1.0
2021-11-01 07:28:30 +0530,229473,152.2,78.1,45,28,-3.25,-1.0,-1.0
2021-11-01 07:29:00 +0530,229474,215.6,85.5,45,28,-3.27,-1.0,-1.0
2021-11-01 07:29:30 +0530,229475,143.3,75.8,44,28,-3.29,-1.0,-1.0
2021-11-01 07:30:00 +0530,229476,115.7,79.6,44,28,-3.38,-1.0,-1.0
2021-11-01 07:30:30 +0530,229477,139.4,88.1,44,28,-3.4,-1.0,-1.0
2021-11-01 07:31:00 +0530,229478,138.3,82.5,43,28,-3.42,-1.0,-1.0
2021-11-01 07:31:30 +0530,229479,108.0,75.9,43,29,-3.44,-1.0,-1.0
2021-11-01 07:32:00 +0530,229480,117.0,73.8,43,29,-3.45,-1.0,-1.0
2021-11-01 07:32:30 +0530,229481,201.4,83.1,43,29,-3.47,-1.0,-1.0
2021-11-01 07:33:00 +0530,229482,218.1,81.5,43,29,-3.49,-1.0,-1.0
2021-11-01 07:33:30 +0530,229483,162.5,74.7,42,29,-3.51,-1.0,-1.0
2021-11-01 07:34:00 +0530,229484,220.3,79.3,42,29,-3.66,-1.0,-1.0
2021-11-01 07:34:30 +0530,229485,317.3,89.2,41,29,-3.68,-1.0,-1.0
2021-11-01 07:35:00 +0530,229486,200.2,78.3,40,29,-3.7,-1.0,-1.0
2021-11-01 07:35:30 +0530,229487,115.9,62.8,39,30,-3.79,-1.0,-1.0
2021-11-01 07:36:00 +0530,229488,118.3,65.3,38,30,-3.81,-1.0,-1.0
2021-11-01 07:36:30 +0530,229489,106.5,64.0,38,30,-3.83,-1.0,-1.0
2021-11-01 07:37:00 +0530,229490,102.3,60.7,37,30,-3.85,-1.0,-1.0
2021-11-01 07:37:30 +0530,229491,103.3,62.7,37,30,-3.88,-1.0,-1.0
2021-11-01 07:38:00 +0530,229492,125.9,69.9,37,30,-3.9,-1.0,-1.0
2021-11-01 07:38:30 +0530,229493,150.4,75.2,36,31,-4.03,-1.0,-1.0
2021-11-01 07:39:00 +0530,229494,137.8,78.7,36,31,-4.06,-1.0,-1.0
2021-11-01 07:39:30 +0530,229495,118.4,73.6,36,31,-4.08,-1.0,-1.0
2021-11-01 07:40:00 +0530,229496,102.2,70.2,36,31,-4.1,-1.0,-1.0
2021-11-01 07:40:30 +0530,229497,104.8,72.0,36,31,-4.12,-1.0,-1.0
2021-11-01 07:41:00 +0530,229498,107.0,69.3,35,31,-4.14,-1.0,-1.0
2021-11-01 07:41:30 +0530,229499,121.6,67.3,35,31,-4.16,-1.0,-1.0
2021-11-01 07:42:00 +0530,229500,117.0,67.3,35,31,-4.18,-1.0,-1.0
2021-11-01 07:42:30 +0530,229501,109.9,62.8,34,31,-4.21,-1.0,-1.0
2021-11-01 07:43:00 +0530,229502,93.3,61.9,34,31,-4.24,-1.0,-1.0
2021-11-01 07:43:30 +0530,229503,103.5,68.0,34,31,-4.28,-1.0,-1.0
2021-11-01 07:44:00 +0530,229504,118.2,66.6,33,31,-4.32,-1.0,-1.0
2021-11-01 07:44:30 +0530,229505,109.5,64.1,33,32,-4.36,-1.0,-1.0
2021-11-01 07:45:00 +0530,229506,111.7,64.5,34,32,-4.4,-1.0,-1.0
2021-11-01 07:45:30 +0530,229507,158.4,67.8,34,32,-4.45,-1.0,-1.0
2021-11-01 07:46:00 +0530,229508,137.4,68.3,33,32,-4.49,-1.0,-1.0
2021-11-01 07:46:30 +0530,229509,110.3,67.6,33,32,-4.53,-1.0,-1.0
2021-11-01 07:47:00 +0530,229510,132.7,72.6,33,32,-4.57,-1.0,-1.0
2021-11-01 07:47:30 +0530,229511,154.4,83.8,33,32,-4.61,-1.0,-1.0
2021-11-01 07:48:00 +0530,229512,172.3,86.2,32,33,-4.81,-1.0,-1.0
2021-11-01 07:48:30 +0530,229513,199.8,97.5,32,33,-4.82,-1.0,-1.0
2021-11-01 07:49:00 +0530,229514,162.6,88.3,32,33,-4.84,-1.0,-1.0
2021-11-01 07:49:30 +0530,229515,140.1,81.2,31,33,-4.86,-1.0,-1.0
2021-11-01 07:50:00 +0530,229516,144.5,77.2,31,34,-4.94,-1.0,-1.0
2021-11-01 07:50:30 +0530,229517,133.0,76.9,31,34,-4.96,-1.0,-1.0
2021-11-01 07:51:00 +0530,229518,132.1,77.7,30,34,-4.97,-1.0,-1.0
2021-11-01 07:51:30 +0530,229519,128.4,77.7,30,34,-4.99,-1.0,-1.0
2021-11-01 07:52:00 +0530,229520,161.7,85.1,30,34,-5.01,-1.0,-1.0
2021-11-01 07:52:30 +0530,229521,149.6,82.3,30,34,-5.02,-1.0,-1.0
2021-11-01 07:53:00 +0530,229522,153.4,77.0,29,34,-5.04,-1.0,-1.0
2021-11-01 07:53:30 +0530,229523,141.4,71.0,29,34,-5.05,-1.0,-1.0
2021-11-01 07:54:00 +0530,229524,136.6,69.0,29,34,-5.07,-1.0,-1.0
2021-11-01 07:54:30 +0530,229525,146.8,80.3,29,34,-5.22,-1.0,-1.0
2021-11-01 07:55:00 +0530,229526,130.5,89.9,29,35,-5.25,-1.0,-1.0
2021-11-01 07:55:30 +0530,229527,182.2,103.1,29,35,-5.26,-1.0,-1.0
2021-11-01 07:56:00 +0530,229528,182.1,107.1,29,35,-5.27,-1.0,-1.0
2021-11-01 07:56:30 +0530,229529,187.7,121.6,28,35,-5.29,-1.0,-1.0
2021-11-01 07:57:00 +0530,229530,191.1,112.2,28,35,-5.3,-1.0,-1.0
2021-11-01 07:57:30 +0530,229531,206.7,93.8,28,35,-5.32,-1.0,-1.0
2021-11-01 07:58:00 +0530,229532,157.6,81.9,28,35,-5.33,-1.0,-1.0
2021-11-01 07:58:30 +0530,229533,147.8,78.2,27,35,-5.35,-1.0,-1.0
2021-11-01 07:59:00 +0530,229534,150.7,79.4,27,35,-5.36,-1.0,-1.0
2021-11-01 07:59:30 +0530,229535,148.0,82.4,27,35,-5.38,-1.0,-1.0
2021-11-01 08:00:00 +0530,229536,152.6,80.2,27,35,-5.41,-1.0,-1.0
2021-11-01 08:00:30 +0530,229537,164.8,78.3,27,36,-5.55,-1.0,-1.0
2021-11-01 08:01:00 +0530,229538,181.7,83.2,27,36,-5.55,-1.0,-1.0
2021-11-01 08:01:30 +0530,229539,164.7,82.0,27,36,-5.57,-1.0,-1.0
2021-11-01 08:02:00 +0530,229540,173.6,84.9,26,36,-5.58,-1.0,-1.0
2021-11-01 08:02:30 +0530,229541,175.4,85.2,26,36,-5.59,-1.0,-1.0
2021-11-01 08:03:00 +0530,229542,178.2,80.2,26,36,-5.61,-1.0,-1.0
2021-11-01 08:03:30 +0530,229543,177.6,78.0,26,36,-5.62,-1.0,-1.0
2021-11-01 08:04:00 +0530,229544,182.5,76.3,26,36,-5.63,-1.0,-1.0
2021-11-01 08:04:30 +0530,229545,346.6,93.7,26,36,-5.64,-1.0,-1.0
2021-11-01 08:05:00 +0530,229546,392.2,98.4,26,36,-5.66,-1.0,-1.0
2021-11-01 08:05:30 +0530,229547,193.5,69.7,25,36,-5.78,-1.0,-1.0
2021-11-01 08:06:00 +0530,229548,176.6,65.1,25,36,-5.8,-1.0,-1.0
2021-11-01 08:06:30 +0530,229549,155.2,69.3,25,36,-5.8,-1.0,-1.0
2021-11-01 08:07:00 +0530,229550,122.5,64.0,25,36,-5.82,-1.0,-1.0
2021-11-01 08:07:30 +0530,229551,140.1,67.8,25,37,-5.85,-1.0,-1.0
2021-11-01 08:08:00 +0530,229552,123.6,71.2,25,37,-5.86,-1.0,-1.0
2021-11-01 08:08:30 +0530,229553,133.1,67.1,25,37,-5.87,-1.0,-1.0
2021-11-01 08:09:00 +0530,229554,139.4,69.7,25,37,-5.88,-1.0,-1.0
2021-11-01 08:09:30 +0530,229555,133.6,68.3,25,37,-5.89,-1.0,-1.0
2021-11-01 08:10:00 +0530,229556,226.4,77.0,25,37,-5.9,-1.0,-1.0
2021-11-01 08:10:30 +0530,229557,444.8,103.1,24,37,-5.91,-1.0,-1.0
2021-11-01 08:11:00 +0530,229558,285.0,87.3,24,37,-5.92,-1.0,-1.0
2021-11-01 08:11:30 +0530,229559,195.8,79.7,24,37,-5.93,-1.0,-1.0
2021-11-01 08:12:00 +0530,229560,192.5,72.5,24,37,-5.94,-1.0,-1.0
2021-11-01 08:12:30 +0530,229561,200.1,73.6,24,37,-5.96,-1.0,-1.0
2021-11-01 08:13:00 +0530,229562,167.1,66.8,24,37,-6.04,-1.0,-1.0
2021-11-01 08:13:30 +0530,229563,387.3,95.9,24,37,-6.05,-1.0,-1.0
2021-11-01 08:14:00 +0530,229564,465.9,100.6,24,37,-6.06,-1.0,-1.0
2021-11-01 08:14:30 +0530,229565,731.4,129.0,24,37,-6.07,-1.0,-1.0
2021-11-01 08:15:00 +0530,229566,607.6,112.9,24,37,-6.09,-1.0,-1.0
2021-11-01 08:15:30 +0530,229567,498.4,101.3,24,37,-6.09,-1.0,-1.0
2021-11-01 08:16:00 +0530,229568,578.9,109.2,24,37,-6.1,-1.0,-1.0
2021-11-01 08:16:30 +0530,229569,695.4,118.6,24,37,-6.11,-1.0,-1.0
2021-11-01 08:17:00 +0530,229570,405.8,85.4,24,37,-6.11,-1.0,-1.0
2021-11-01 08:17:30 +0530,229571,290.8,76.0,24,38,-6.12,-1.0,-1.0
2021-11-01 08:18:00 +0530,229572,136.5,63.2,24,38,-6.15,-1.0,-1.0
2021-11-01 08:18:30 +0530,229573,130.1,61.8,24,38,-6.16,-1.0,-1.0
2021-11-01 08:19:00 +0530,229574,130.9,63.5,24,38,-6.16,-1.0,-1.0
2021-11-01 08:19:30 +0530,229575,117.1,63.8,24,38,-6.16,-1.0,-1.0
2021-11-01 08:20:00 +0530,229576,128.9,66.6,23,38,-6.17,-1.0,-1.0
2021-11-01 08:20:30 +0530,229577,129.3,67.5,23,38,-6.18,-1.0,-1.0
2021-11-01 08:21:00 +0530,229578,144.1,71.9,23,38,-6.18,-1.0,-1.0
2021-11-01 08:21:30 +0530,229579,137.4,67.0,23,38,-6.22,-1.0,-1.0
2021-11-01 08:22:00 +0530,229580,163.1,80.9,24,38,-6.22,-1.0,-1.0
2021-11-01 08:22:30 +0530,229581,203.6,81.7,24,38,-6.23,-1.0,-1.0
2021-11-01 08:23:00 +0530,229582,147.5,65.2,24,38,-6.24,-1.0,-1.0
2021-11-01 08:23:30 +0530,229583,164.3,66.6,23,38,-6.24,-1.0,-1.0
2021-11-01 08:24:00 +0530,229584,176.9,71.2,23,38,-6.25,-1.0,-1.0
2021-11-01 08:24:30 +0530,229585,99.4,48.4,23,38,-6.29,-1.0,-1.0
2021-11-01 08:25:00 +0530,229586,117.5,58.1,23,38,-6.29,-1.0,-1.0
2021-11-01 08:25:30 +0530,229587,122.6,67.9,23,38,-6.3,-1.0,-1.0
2021-11-01 08:26:00 +0530,229588,157.7,66.1,23,38,-6.3,-1.0,-1.0
