created_at,entry_id,field1,field2,field3,field4,field5,field6,field7
2021-10-01 00:00:30 +0530,409672,7.7,5.4,54.52,33.76,,,
2021-10-01 00:01:00 +0530,409673,7.4,5.5,54.52,33.77,,,
2021-10-01 00:01:30 +0530,409674,6.8,5.6,54.52,33.76,,,
2021-10-01 00:02:00 +0530,409675,8.2,5.6,54.49,33.76,,,
2021-10-01 00:02:30 +0530,409676,7.0,5.8,54.52,33.76,,,
2021-10-01 00:03:00 +0530,409678,7.9,5.6,54.55,33.76,,,
2021-10-01 00:03:30 +0530,409679,7.8,5.5,54.52,33.76,,,
2021-10-01 00:04:00 +0530,409680,6.9,5.4,54.52,33.75,,,
2021-10-01 00:04:30 +0530,409681,8.8,5.7,54.52,33.76,,,
2021-10-01 00:05:00 +0530,409682,7.0,5.6,54.55,33.75,,,
2021-10-01 00:05:30 +0530,409683,7.8,5.6,54.52,33.76,,,
2021-10-01 00:06:00 +0530,409685,6.4,5.1,54.55,33.76,,,
2021-10-01 00:06:30 +0530,409686,7.1,5.6,54.52,33.76,,,
2021-10-01 00:07:00 +0530,409687,8.3,5.4,54.55,33.76,,,
2021-10-01 00:07:30 +0530,409688,7.6,5.6,54.55,33.75,,,
2021-10-01 00:08:00 +0530,409689,7.6,5.4,54.55,33.75,,,
2021-10-01 00:08:30 +0530,409690,7.0,5.1,54.55,33.75,,,
2021-10-01 00:09:00 +0530,409692,7.0,5.6,54.55,33.75,,,
2021-10-01 00:09:30 +0530,409693,6.3,5.2,54.55,33.75,,,
2021-10-01 00:10:00 +0530,409694,7.0,5.7,54.49,33.77,,,
2021-10-01 00:10:30 +0530,409695,7.7,5.2,54.52,33.76,,,
2021-10-01 00:11:00 +0530,409696,7.5,5.3,54.52,33.76,,,
2021-10-01 00:11:30 +0530,409697,7.9,5.2,54.52,33.76,,,
2021-10-01 00:12:00 +0530,409699,6.4,5.4,54.52,33.76,,,
2021-10-01 00:12:30 +0530,409700,8.1,5.4,54.55,33.75,,,
2021-10-01 00:13:00 +0530,409701,8.0,6.0,54.52,33.76,,,
2021-10-01 00:13:30 +0530,409702,6.4,5.5,54.52,33.76,,,
2021-10-01 00:14:00 +0530,409703,7.3,5.7,54.52,33.76,,,
2021-10-01 00:14:30 +0530,409704,9.5,6.1,54.52,33.76,,,
2021-10-01 00:15:00 +0530,409706,6.3,5.4,54.52,33.75,,,
2021-10-01 00:15:30 +0530,409707,7.5,5.4,54.55,33.75,,,
2021-10-01 00:16:00 +0530,409708,7.8,5.7,54.52,33.75,,,
2021-10-01 00:16:30 +0530,409709,7.2,5.8,54.55,33.75,,,
2021-10-01 00:17:00 +0530,409710,7.8,5.4,54.55,33.75,,,
2021-10-01 00:17:30 +0530,409711,7.2,5.6,54.55,33.75,,,
2021-10-01 00:18:00 +0530,409713,7.5,5.8,54.52,33.75,,,
2021-10-01 00:18:30 +0530,409714,7.6,5.8,54.52,33.76,,,
2021-10-01 00:19:00 +0530,409715,8.6,5.6,54.55,33.76,,,
2021-10-01 00:19:30 +0530,409716,7.1,5.3,54.52,33.76,,,
2021-10-01 00:21:00 +0530,409718,6.8,5.3,54.52,33.75,,,
2021-10-01 00:21:30 +0530,409719,6.9,5.8,54.52,33.76,,,
2021-10-01 00:22:00 +0530,409720,7.8,5.7,54.55,33.75,,,
2021-10-01 00:22:30 +0530,409721,6.2,5.2,54.55,33.75,,,
2021-10-01 00:23:00 +0530,409722,7.8,5.5,54.52,33.75,,,
2021-10-01 00:23:30 +0530,409723,7.4,5.6,54.55,33.75,,,
2021-10-01 00:24:00 +0530,409725,6.8,5.4,54.55,33.74,,,
2021-10-01 00:24:30 +0530,409726,7.0,5.4,54.52,33.75,,,
2021-10-01 00:25:00 +0530,409727,7.0,5.3,54.55,33.74,,,
2021-10-01 00:25:30 +0530,409728,7.0,5.4,54.52,33.74,,,
2021-10-01 00:26:00 +0530,409729,7.4,5.4,54.55,33.74,,,
2021-10-01 00:26:30 +0530,409730,6.5,5.1,54.55,33.74,,,
2021-10-01 00:27:00 +0530,409732,7.9,5.8,54.55,33.73,,,
2021-10-01 00:27:30 +0530,409733,7.1,5.7,54.52,33.74,,,
2021-10-01 00:28:00 +0530,409734,7.6,5.3,54.52,33.73,,,
2021-10-01 00:28:30 +0530,409735,8.2,5.4,54.52,33.74,,,
2021-10-01 00:29:00 +0530,409736,7.7,5.5,54.55,33.73,,,
2021-10-01 00:29:30 +0530,409737,7.3,5.7,54.58,33.73,,,
2021-10-01 00:30:00 +0530,409739,6.6,5.7,54.55,33.74,,,
2021-10-01 00:30:30 +0530,409740,7.4,5.7,54.52,33.74,,,
2021-10-01 00:31:00 +0530,409741,7.2,5.6,54.55,33.74,,,
2021-10-01 00:31:30 +0530,409742,6.9,5.7,54.55,33.74,,,
2021-10-01 00:32:00 +0530,409743,7.2,5.7,54.58,33.73,,,
2021-10-01 00:32:30 +0530,409744,7.8,5.6,54.55,33.74,,,
2021-10-01 00:33:00 +0530,409746,7.9,5.6,54.58,33.74,,,
2021-10-01 00:33:30 +0530,409747,6.6,5.4,54.55,33.74,,,
2021-10-01 00:34:00 +0530,409748,7.8,5.4,54.55,33.73,,,
2021-10-01 00:34:30 +0530,409749,7.5,5.7,54.58,33.75,,,
2021-10-01 00:35:00 +0530,409750,7.3,5.7,54.55,33.74,,,
2021-10-01 00:35:30 +0530,409751,6.8,5.2,54.55,33.74,,,
2021-10-01 00:36:00 +0530,409753,7.0,5.4,54.58,33.74,,,
2021-10-01 00:37:00 +0530,409754,6.4,5.5,54.55,33.74,,,
2021-10-01 00:37:30 +0530,409755,6.8,5.6,54.55,33.74,,,
2021-10-01 00:38:00 +0530,409756,6.7,5.3,54.58,33.75,,,
2021-10-01 00:38:30 +0530,409757,7.2,5.8,54.55,33.74,,,
2021-10-01 00:39:00 +0530,409759,6.7,5.6,54.58,33.74,,,
2021-10-01 00:39:30 +0530,409760,7.3,5.6,54.55,33.74,,,
2021-10-01 00:40:00 +0530,409761,7.9,5.5,54.52,33.74,,,
2021-10-01 00:40:30 +0530,409762,7.5,5.5,54.55,33.75,,,
2021-10-01 00:41:00 +0530,409763,7.7,5.3,54.55,33.75,,,
2021-10-01 00:41:30 +0530,409764,6.6,5.2,54.55,33.74,,,
2021-10-01 00:42:00 +0530,409766,7.4,5.4,54.55,33.74,,,
2021-10-01 00:42:30 +0530,409767,6.8,5.6,54.55,33.75,,,
2021-10-01 00:43:00 +0530,409768,6.8,5.6,54.58,33.74,,,
2021-10-01 00:43:30 +0530,409769,7.3,5.6,54.52,33.73,,,
2021-10-01 00:44:00 +0530,409770,8.3,5.9,54.55,33.75,,,
2021-10-01 00:44:30 +0530,409771,7.6,5.9,54.55,33.73,,,
2021-10-01 00:45:00 +0530,409773,8.3,5.6,54.55,33.75,,,
2021-10-01 00:45:30 +0530,409774,7.5,5.7,54.55,33.75,,,
2021-10-01 00:46:00 +0530,409775,6.5,5.3,54.55,33.75,,,
2021-10-01 00:46:30 +0530,409776,8.2,5.8,54.55,33.76,,,
2021-10-01 00:47:00 +0530,409777,7.1,5.6,54.52,33.76,,,
2021-10-01 00:47:30 +0530,409778,7.5,5.7,54.55,33.75,,,
2021-10-01 00:48:00 +0530,409780,6.4,5.2,54.55,33.74,,,
2021-10-01 00:48:30 +0530,409781,7.3,5.7,54.55,33.73,,,
2021-10-01 00:49:00 +0530,409782,7.2,5.8,54.52,33.74,,,
2021-10-01 00:49:30 +0530,409783,7.3,5.6,54.55,33.75,,,
2021-10-01 00:50:00 +0530,409784,6.9,5.7,54.55,33.75,,,
2021-10-01 00:50:30 +0530,409785,8.5,5.9,54.52,33.76,,,
2021-10-01 00:51:00 +0530,409787,7.5,5.5,54.55,33.75,,,
2021-10-01 00:51:30 +0530,409788,8.3,5.8,54.52,33.76,,,
2021-10-01 00:52:00 +0530,409789,7.8,5.8,54.55,33.75,,,
2021-10-01 00:52:30 +0530,409790,6.9,5.5,54.55,33.75,,,
2021-10-01 00:53:00 +0530,409791,6.3,5.3,54.55,33.75,,,
2021-10-01 00:53:30 +0530,409792,7.0,5.7,54.55,33.75,,,
2021-10-01 00:54:00 +0530,409794,6.7,5.4,54.52,33.76,,,
2021-10-01 00:54:30 +0530,409795,7.4,5.6,54.52,33.75,,,
2021-10-01 00:55:00 +0530,409796,7.3,5.6,54.52,33.75,,,
2021-10-01 00:55:30 +0530,409797,8.2,5.9,54.52,33.76,,,
2021-10-01 00:56:00 +0530,409798,6.8,5.7,54.52,33.75,,,
2021-10-01 00:57:00 +0530,409800,7.7,6.0,54.55,33.74,,,
2021-10-01 00:57:30 +0530,409801,7.2,5.9,54.55,33.73,,,
2021-10-01 00:58:00 +0530,409802,7.4,5.6,54.52,33.75,,,
2021-10-01 00:58:30 +0530,409803,7.3,5.7,54.55,33.75,,,
2021-10-01 00:59:00 +0530,409804,7.6,5.8,54.55,33.74,,,
2021-10-01 00:59:30 +0530,409805,7.2,5.9,54.55,33.74,,,
2021-10-01 01:00:00 +0530,409807,8.3,5.9,54.55,33.74,,,
2021-10-01 01:00:30 +0530,409808,6.8,5.4,54.55,33.74,,,
2021-10-01 01:01:00 +0530,409809,9.1,6.1,54.55,33.74,,,
2021-10-01 01:01:30 +0530,409810,8.7,5.8,54.55,33.74,,,
2021-10-01 01:02:00 +0530,409811,7.0,5.7,54.55,33.75,,,
2021-10-01 01:02:30 +0530,409812,6.7,5.7,54.55,33.75,,,
2021-10-01 01:03:00 +0530,409814,7.8,5.7,54.55,33.74,,,
2021-10-01 01:03:30 +0530,409815,7.6,5.6,54.55,33.74,,,
2021-10-01 01:04:00 +0530,409816,7.3,5.3,54.52,33.74,,,
2021-10-01 01:04:30 +0530,409817,7.3,5.8,54.55,33.75,,,
2021-10-01 01:05:00 +0530,409818,7.2,6.1,54.55,33.74,,,
2021-10-01 01:05:30 +0530,409819,7.6,5.5,54.55,33.74,,,
2021-10-01 01:06:00 +0530,409821,8.4,5.8,54.55,33.74,,,
2021-10-01 01:06:30 +0530,409822,7.8,5.7,54.55,33.74,,,
2021-10-01 01:07:00 +0530,409823,8.2,5.9,54.52,33.74,,,
2021-10-01 01:07:30 +0530,409824,7.8,5.9,54.55,33.74,,,
2021-10-01 01:08:00 +0530,409825,7.5,5.6,54.58,33.74,,,
2021-10-01 01:08:30 +0530,409826,7.2,5.6,54.58,33.74,,,
2021-10-01 01:09:00 +0530,409828,8.3,5.8,54.58,33.74,,,
2021-10-01 01:09:30 +0530,409829,7.2,5.4,54.55,33.74,,,
2021-10-01 01:10:00 +0530,409830,8.7,5.9,54.55,33.74,,,
2021-10-01 01:10:30 +0530,409831,6.6,5.3,54.55,33.74,,,
2021-10-01 01:11:00 +0530,409832,8.0,5.7,54.55,33.74,,,
2021-10-01 01:11:30 +0530,409833,7.4,5.7,54.55,33.74,,,
2021-10-01 01:12:00 +0530,409835,7.5,5.9,54.55,33.74,,,
2021-10-01 01:12:30 +0530,409836,6.7,5.4,54.55,33.73,,,
2021-10-01 01:13:00 +0530,409837,7.6,5.7,54.55,33.73,,,
2021-10-01 01:13:30 +0530,409838,8.2,5.6,54.55,33.74,,,
2021-10-01 01:14:00 +0530,409839,7.0,5.5,54.55,33.74,,,
2021-10-01 01:14:30 +0530,409840,7.4,5.5,54.55,33.73,,,
2021-10-01 01:15:00 +0530,409842,8.1,5.8,54.58,33.73,,,
2021-10-01 01:15:30 +0530,409843,8.0,5.7,54.58,33.73,,,
2021-10-01 01:16:00 +0530,409844,7.0,5.8,54.58,33.74,,,
2021-10-01 01:16:30 +0530,409845,7.8,5.6,54.55,33.74,,,
2021-10-01 01:17:00 +0530,409846,7.9,5.7,54.55,33.73,,,
2021-10-01 01:17:30 +0530,409847,7.3,5.7,54.55,33.73,,,
2021-10-01 01:18:00 +0530,409849,8.8,5.7,54.58,33.72,,,
2021-10-01 01:18:30 +0530,409850,8.5,6.0,54.58,33.73,,,
2021-10-01 01:19:00 +0530,409851,7.2,5.8,54.58,33.72,,,
2021-10-01 01:19:30 +0530,409852,7.0,5.9,54.58,33.72,,,
2021-10-01 01:20:00 +0530,409853,8.0,5.9,54.64,33.71,,,
2021-10-01 01:20:30 +0530,409854,8.0,5.9,54.64,33.71,,,
2021-10-01 01:21:00 +0530,409856,7.1,5.6,54.58,33.72,,,
2021-10-01 01:21:30 +0530,409857,8.0,6.1,54.58,33.72,,,
2021-10-01 01:22:00 +0530,409858,7.5,5.8,54.58,33.72,,,
2021-10-01 01:22:30 +0530,409859,7.8,5.9,54.58,33.73,,,
2021-10-01 01:23:00 +0530,409860,8.9,6.1,54.58,33.73,,,
2021-10-01 01:23:30 +0530,409861,6.9,5.4,54.58,33.73,,,
2021-10-01 01:24:00 +0530,409863,7.7,5.8,54.58,33.72,,,
2021-10-01 01:24:30 +0530,409864,8.4,5.6,54.58,33.72,,,
2021-10-01 01:25:00 +0530,409865,7.4,5.7,54.58,33.72,,,
2021-10-01 01:25:30 +0530,409866,7.4,5.7,54.55,33.74,,,
2021-10-01 01:26:00 +0530,409867,8.5,5.8,54.58,33.72,,,
2021-10-01 01:26:30 +0530,409868,6.8,5.4,54.58,33.72,,,
2021-10-01 01:27:00 +0530,409870,7.2,6.0,54.58,33.72,,,
2021-10-01 01:27:30 +0530,409871,7.8,5.9,54.58,33.72,,,
2021-10-01 01:28:00 +0530,409872,7.7,5.6,54.58,33.72,,,
2021-10-01 01:28:30 +0530,409873,8.0,5.9,54.58,33.72,,,
2021-10-01 01:29:00 +0530,409874,8.3,6.1,54.58,33.73,,,
2021-10-01 01:29:30 +0530,409875,7.7,5.9,54.58,33.74,,,
2021-10-01 01:30:00 +0530,409877,7.1,5.6,54.58,33.73,,,
2021-10-01 01:30:30 +0530,409878,8.1,5.6,54.55,33.73,,,
2021-10-01 01:31:00 +0530,409879,7.4,5.9,54.58,33.74,,,
2021-10-01 01:31:30 +0530,409880,6.6,5.7,54.55,33.73,,,
2021-10-01 01:32:00 +0530,409881,7.5,5.7,54.55,33.74,,,
2021-10-01 01:32:30 +0530,409882,7.0,5.5,54.58,33.72,,,
2021-10-01 01:33:00 +0530,409884,7.7,6.1,54.58,33.73,,,
2021-10-01 01:33:30 +0530,409885,7.9,6.1,54.55,33.74,,,
2021-10-01 01:34:00 +0530,409886,6.8,5.5,54.58,33.73,,,
2021-10-01 01:34:30 +0530,409887,8.3,5.9,54.55,33.74,,,
2021-10-01 01:35:00 +0530,409888,7.5,5.7,54.58,33.73,,,
2021-10-01 01:35:30 +0530,409889,7.4,5.7,54.58,33.73,,,
2021-10-01 01:36:00 +0530,409891,7.3,5.8,54.58,33.72,,,
2021-10-01 01:36:30 +0530,409892,7.9,5.8,54.58,33.72,,,
2021-10-01 01:37:00 +0530,409893,6.4,5.4,54.58,33.73,,,
2021-10-01 01:37:30 +0530,409894,8.5,5.9,54.58,33.72,,,
2021-10-01 01:38:00 +0530,409895,8.1,6.3,54.58,33.72,,,
2021-10-01 01:38:30 +0530,409896,8.2,6.0,54.58,33.73,,,
2021-10-01 01:39:00 +0530,409898,8.2,5.8,54.58,33.73,,,
2021-10-01 01:39:30 +0530,409899,8.1,5.8,54.58,33.72,,,
2021-10-01 01:40:00 +0530,409900,7.6,5.9,54.58,33.74,,,
2021-10-01 01:40:30 +0530,409901,8.0,5.8,54.58,33.73,,,
2021-10-01 01:41:00 +0530,409902,8.5,5.8,54.58,33.73,,,
2021-10-01 01:41:30 +0530,409903,7.9,5.9,54.58,33.73,,,
2021-10-01 01:42:00 +0530,409905,8.2,5.8,54.58,33.73,,,
2021-10-01 01:42:30 +0530,409906,8.3,5.8,54.58,33.73,,,
2021-10-01 01:43:00 +0530,409907,7.2,5.9,54.58,33.72,,,
2021-10-01 01:43:30 +0530,409908,7.1,5.7,54.58,33.73,,,
2021-10-01 01:44:00 +0530,409909,7.4,5.7,54.55,33.74,,,
2021-10-01 01:44:30 +0530,409910,8.0,6.0,54.58,33.73,,,
2021-10-01 01:45:00 +0530,409912,7.7,5.9,54.55,33.73,,,
2021-10-01 01:45:30 +0530,409913,7.6,5.8,54.58,33.74,,,
2021-10-01 01:46:00 +0530,409914,7.6,5.7,54.58,33.73,,,
2021-10-01 01:46:30 +0530,409915,7.7,5.7,54.55,33.73,,,
2021-10-01 01:47:00 +0530,409916,7.2,5.7,54.55,33.74,,,
2021-10-01 01:47:30 +0530,409917,7.1,5.4,54.55,33.73,,,
2021-10-01 01:48:00 +0530,409919,8.8,5.9,54.58,33.73,,,
2021-10-01 01:48:30 +0530,409920,8.3,5.9,54.58,33.72,,,
2021-10-01 01:49:00 +0530,409921,8.6,5.9,54.58,33.72,,,
2021-10-01 01:49:30 +0530,409922,8.0,5.9,54.58,33.73,,,
2021-10-01 01:50:00 +0530,409923,7.9,5.9,54.58,33.72,,,
2021-10-01 01:50:30 +0530,409924,7.4,5.9,54.58,33.71,,,
2021-10-01 01:51:00 +0530,409926,7.8,6.2,54.61,33.72,,,
2021-10-01 01:51:30 +0530,409927,8.2,6.2,54.58,33.72,,,
2021-10-01 01:52:00 +0530,409928,8.6,6.0,54.55,33.74,,,
2021-10-01 01:52:30 +0530,409929,8.4,6.1,54.55,33.74,,,
2021-10-01 01:53:00 +0530,409930,8.9,6.0,54.55,33.73,,,
2021-10-01 01:53:30 +0530,409931,7.8,5.9,54.58,33.74,,,
2021-10-01 01:54:00 +0530,409933,8.8,5.9,54.55,33.73,,,
2021-10-01 01:54:30 +0530,409934,7.8,5.9,54.58,33.72,,,
2021-10-01 01:55:00 +0530,409935,7.6,6.1,54.58,33.72,,,
2021-10-01 01:55:30 +0530,409936,8.2,6.0,54.58,33.72,,,
2021-10-01 01:56:00 +0530,409937,8.6,6.0,54.58,33.72,,,
2021-10-01 01:56:30 +0530,409938,7.6,5.9,54.64,33.71,,,
2021-10-01 01:57:00 +0530,409940,6.9,5.5,54.64,33.71,,,
2021-10-01 01:57:30 +0530,409941,7.8,5.9,54.64,33.71,,,
2021-10-01 01:58:00 +0530,409942,7.8,6.0,54.64,33.71,,,
2021-10-01 01:58:30 +0530,409943,7.9,5.9,54.64,33.72,,,
2021-10-01 01:59:00 +0530,409944,7.5,5.7,54.64,33.71,,,
2021-10-01 01:59:30 +0530,409945,8.0,6.1,54.58,33.73,,,
2021-10-01 02:00:00 +0530,409947,8.2,6.3,54.58,33.72,,,
2021-10-01 02:00:30 +0530,409948,8.3,6.3,54.64,33.71,,,
2021-10-01 02:01:00 +0530,409949,8.5,6.0,54.64,33.71,,,
2021-10-01 02:01:30 +0530,409950,7.3,5.8,54.67,33.71,,,
2021-10-01 02:02:00 +0530,409951,7.0,5.7,54.67,33.71,,,
2021-10-01 02:02:30 +0530,409952,7.5,5.9,54.67,33.71,,,
2021-10-01 02:03:00 +0530,409954,8.3,6.2,54.67,33.71,,,
2021-10-01 02:03:30 +0530,409955,7.2,5.9,54.67,33.71,,,
2021-10-01 02:04:00 +0530,409956,7.0,5.7,54.67,33.71,,,
2021-10-01 02:04:30 +0530,409957,7.0,5.9,54.67,33.71,,,
2021-10-01 02:05:00 +0530,409958,7.6,5.9,54.67,33.71,,,
2021-10-01 02:05:30 +0530,409959,7.4,6.0,54.67,33.71,,,
2021-10-01 02:06:00 +0530,409961,8.6,6.2,54.64,33.71,,,
2021-10-01 02:06:30 +0530,409962,7.6,6.1,54.64,33.71,,,
2021-10-01 02:07:00 +0530,409963,9.5,6.2,54.64,33.71,,,
2021-10-01 02:07:30 +0530,409964,7.2,5.7,54.64,33.72,,,
2021-10-01 02:08:00 +0530,409965,7.6,5.9,54.58,33.73,,,
2021-10-01 02:08:30 +0530,409966,6.5,5.6,54.58,33.72,,,
2021-10-01 02:09:00 +0530,409968,8.0,5.9,54.58,33.72,,,
2021-10-01 02:09:30 +0530,409969,8.5,5.9,54.64,33.71,,,
2021-10-01 02:10:00 +0530,409970,7.4,6.1,54.67,33.71,,,
2021-10-01 02:10:30 +0530,409971,7.6,6.0,54.67,33.71,,,
2021-10-01 02:11:00 +0530,409972,7.2,5.6,54.67,33.71,,,
2021-10-01 02:11:30 +0530,409973,7.8,5.8,54.67,33.71,,,
2021-10-01 02:12:00 +0530,409975,8.2,6.1,54.67,33.71,,,
2021-10-01 02:12:30 +0530,409976,8.1,5.9,54.64,33.71,,,
2021-10-01 02:13:00 +0530,409977,7.4,6.0,54.64,33.71,,,
2021-10-01 02:13:30 +0530,409978,8.0,6.1,54.67,33.71,,,
2021-10-01 02:14:00 +0530,409979,7.6,5.9,54.64,33.72,,,
2021-10-01 02:14:30 +0530,409980,7.5,5.9,54.64,33.71,,,
2021-10-01 02:15:00 +0530,409982,8.2,5.9,54.64,33.71,,,
2021-10-01 02:15:30 +0530,409983,8.4,6.2,54.64,33.72,,,
2021-10-01 02:16:00 +0530,409984,8.2,5.9,54.67,33.71,,,
2021-10-01 02:16:30 +0530,409985,8.0,6.2,54.64,33.71,,,
2021-10-01 02:17:00 +0530,409986,7.8,5.8,54.64,33.72,,,
2021-10-01 02:17:30 +0530,409987,7.6,6.1,54.64,33.72,,,
2021-10-01 02:18:00 +0530,409989,8.1,6.1,54.64,33.72,,,
2021-10-01 02:18:30 +0530,409990,8.1,6.2,54.64,33.72,,,
2021-10-01 02:19:00 +0530,409991,8.7,6.2,54.64,33.71,,,
2021-10-01 02:19:30 +0530,409992,8.4,6.1,54.67,33.71,,,
2021-10-01 02:20:00 +0530,409993,9.3,6.3,54.64,33.71,,,
2021-10-01 02:20:30 +0530,409994,7.6,6.0,54.64,33.71,,,
2021-10-01 02:21:00 +0530,409996,8.8,6.0,54.67,33.71,,,
2021-10-01 02:21:30 +0530,409997,8.5,6.1,54.67,33.71,,,
2021-10-01 02:22:00 +0530,409998,8.8,6.5,54.67,33.71,,,
2021-10-01 02:22:30 +0530,409999,8.1,6.0,54.67,33.71,,,
2021-10-01 02:23:00 +0530,410000,9.6,6.0,54.67,33.71,,,
2021-10-01 02:23:30 +0530,410001,6.6,5.7,54.67,33.71,,,
2021-10-01 02:24:00 +0530,410003,8.5,6.1,54.7,33.71,,,
2021-10-01 02:24:30 +0530,410004,8.7,6.2,54.67,33.71,,,
2021-10-01 02:25:00 +0530,410005,7.8,5.8,54.67,33.71,,,
2021-10-01 02:25:30 +0530,410006,9.1,6.1,54.67,33.71,,,
2021-10-01 02:26:00 +0530,410007,7.7,6.0,54.67,33.72,,,
2021-10-01 02:26:30 +0530,410008,7.4,5.9,54.67,33.72,,,
2021-10-01 02:27:00 +0530,410010,8.2,5.9,54.64,33.71,,,
2021-10-01 02:27:30 +0530,410011,8.7,6.1,54.67,33.71,,,
2021-10-01 02:28:00 +0530,410012,9.1,6.4,54.67,33.72,,,
2021-10-01 02:28:30 +0530,410013,8.0,6.0,54.64,33.72,,,
2021-10-01 02:29:00 +0530,410014,7.9,6.0,54.64,33.72,,,
2021-10-01 02:29:30 +0530,410015,7.2,6.0,54.67,33.71,,,
2021-10-01 02:30:00 +0530,410017,8.2,6.3,54.67,33.71,,,
2021-10-01 02:30:30 +0530,410018,8.2,6.1,54.67,33.71,,,
2021-10-01 02:31:00 +0530,410019,8.6,6.1,54.67,33.71,,,
2021-10-01 02:31:30 +0530,410020,8.9,6.4,54.67,33.71,,,
2021-10-01 02:32:00 +0530,410021,7.9,6.1,54.67,33.72,,,
2021-10-01 02:32:30 +0530,410022,8.0,6.1,54.64,33.71,,,
2021-10-01 02:33:00 +0530,410024,9.8,6.3,54.64,33.72,,,
2021-10-01 02:33:30 +0530,410025,8.3,6.3,54.64,33.72,,,
2021-10-01 02:34:00 +0530,410026,8.0,6.3,54.67,33.71,,,
2021-10-01 02:34:30 +0530,410027,8.2,6.1,54.67,33.71,,,
2021-10-01 02:35:00 +0530,410028,9.2,6.3,54.67,33.71,,,
2021-10-01 02:35:30 +0530,410029,9.0,6.4,54.67,33.71,,,
2021-10-01 02:36:00 +0530,410031,7.8,5.9,54.67,33.71,,,
2021-10-01 02:37:00 +0530,410032,9.0,5.9,54.67,33.71,,,
2021-10-01 02:37:30 +0530,410033,7.6,6.2,54.67,33.72,,,
2021-10-01 02:39:00 +0530,410035,9.0,6.3,54.67,33.72,,,
2021-10-01 02:39:30 +0530,410036,10.8,6.5,54.64,33.72,,,
