created_at,entry_id,field1,field2,field3,field4
2021-10-01 00:00:30 +0530,449395,68.4,28.3,59.27,32.23
2021-10-01 00:01:00 +0530,449396,73.6,28.2,59.3,32.23
2021-10-01 00:01:30 +0530,449397,54.8,26.3,59.33,32.23
2021-10-01 00:02:00 +0530,449398,63.1,28.4,59.39,32.23
2021-10-01 00:02:30 +0530,449399,59.3,26.4,59.36,32.23
2021-10-01 00:03:00 +0530,449400,71.2,26.6,59.22,32.23
2021-10-01 00:03:30 +0530,449401,85.2,28.7,59.24,32.23
2021-10-01 00:04:00 +0530,449402,66.2,26.3,59.19,32.23
2021-10-01 00:04:30 +0530,449403,66.7,25.1,59.12,32.23
2021-10-01 00:05:00 +0530,449404,54.2,24.8,59.12,32.23
2021-10-01 00:05:30 +0530,449405,67.0,25.2,59.22,32.25
2021-10-01 00:06:00 +0530,449406,57.6,25.6,59.12,32.27
2021-10-01 00:06:30 +0530,449407,64.4,25.6,59.22,32.27
2021-10-01 00:07:00 +0530,449408,104.6,24.0,59.42,32.23
2021-10-01 00:07:30 +0530,449409,88.3,26.7,59.36,32.23
2021-10-01 00:08:00 +0530,449410,56.5,25.8,59.33,32.25
2021-10-01 00:08:30 +0530,449411,73.8,26.0,59.36,32.23
2021-10-01 00:09:00 +0530,449412,55.5,25.2,59.39,32.23
2021-10-01 00:09:30 +0530,449413,58.5,25.2,59.45,32.23
2021-10-01 00:10:00 +0530,449414,64.4,24.9,59.48,32.23
2021-10-01 00:10:30 +0530,449415,110.4,30.0,59.45,32.23
2021-10-01 00:11:00 +0530,449416,81.9,27.7,59.51,32.23
2021-10-01 00:11:30 +0530,449417,55.4,25.2,59.54,32.2
2021-10-01 00:12:00 +0530,449418,71.8,25.7,59.51,32.2
2021-10-01 00:12:30 +0530,449419,53.1,25.5,59.48,32.2
2021-10-01 00:13:00 +0530,449420,67.8,26.2,59.42,32.2
2021-10-01 00:13:30 +0530,449421,64.4,25.6,59.39,32.2
2021-10-01 00:14:00 +0530,449422,61.6,26.1,59.36,32.2
2021-10-01 00:14:30 +0530,449423,54.2,25.2,59.36,32.2
2021-10-01 00:15:00 +0530,449424,61.0,26.2,59.39,32.2
2021-10-01 00:15:30 +0530,449425,56.6,25.2,59.36,32.2
2021-10-01 00:16:00 +0530,449426,67.8,25.4,59.42,32.23
2021-10-01 00:16:30 +0530,449427,87.6,27.4,59.36,32.23
2021-10-01 00:17:00 +0530,449428,120.8,28.3,59.36,32.2
2021-10-01 00:17:30 +0530,449429,80.0,25.8,59.51,32.2
2021-10-01 00:18:00 +0530,449430,64.7,25.8,59.62,32.2
2021-10-01 00:18:30 +0530,449431,67.2,25.9,59.71,32.2
2021-10-01 00:19:00 +0530,449432,54.7,21.8,60.01,32.15
2021-10-01 00:19:30 +0530,449433,56.2,25.7,59.8,32.2
2021-10-01 00:20:00 +0530,449434,70.6,26.2,59.68,32.2
2021-10-01 00:20:30 +0530,449435,62.4,26.2,59.62,32.2
2021-10-01 00:21:00 +0530,449436,65.3,25.4,59.62,32.2
2021-10-01 00:21:30 +0530,449437,64.4,25.8,59.6,32.2
2021-10-01 00:22:00 +0530,449438,75.1,26.6,59.57,32.2
2021-10-01 00:22:30 +0530,449439,76.4,25.8,59.62,32.2
2021-10-01 00:23:00 +0530,449440,67.9,26.6,59.62,32.2
2021-10-01 00:23:30 +0530,449441,71.7,26.4,59.71,32.2
2021-10-01 00:24:00 +0530,449442,77.3,26.1,59.77,32.2
2021-10-01 00:24:30 +0530,449443,66.9,21.3,60.01,32.1
2021-10-01 00:25:00 +0530,449444,60.6,25.7,59.89,32.13
2021-10-01 00:25:30 +0530,449445,38.9,18.8,60.09,32.07
2021-10-01 00:26:00 +0530,449446,59.1,23.6,60.04,32.1
2021-10-01 00:26:30 +0530,449447,63.3,24.3,59.95,32.1
2021-10-01 00:27:00 +0530,449448,53.8,23.3,59.92,32.1
2021-10-01 00:27:30 +0530,449449,61.5,23.8,59.98,32.1
2021-10-01 00:28:00 +0530,449450,61.5,24.4,60.01,32.1
