created_at,entry_id,field1,field2,field3,field4
2021-09-01 00:00:30 +0530,490869,36.0,17.1,69.05,29.05
2021-09-01 00:01:00 +0530,490870,29.5,16.3,69.02,29.06
2021-09-01 00:01:30 +0530,490871,35.4,17.1,69.02,29.07
2021-09-01 00:02:00 +0530,490872,35.8,17.3,68.97,29.08
2021-09-01 00:02:30 +0530,490873,41.5,17.1,68.94,29.09
2021-09-01 00:03:00 +0530,490874,57.8,19.3,68.97,29.11
2021-09-01 00:03:30 +0530,490875,41.9,18.1,69.0,29.12
2021-09-01 00:04:00 +0530,490876,34.6,16.2,68.86,29.12
2021-09-01 00:04:30 +0530,490877,57.4,52.2,68.84,29.13
2021-09-01 00:05:00 +0530,490878,43.1,18.7,68.84,29.14
2021-09-01 00:05:30 +0530,490879,45.4,18.1,68.81,29.15
2021-09-01 00:06:00 +0530,490880,40.5,17.9,68.84,29.14
2021-09-01 00:06:30 +0530,490881,44.9,18.2,68.84,29.14
2021-09-01 00:07:00 +0530,490882,67.2,22.4,68.86,29.14
2021-09-01 00:07:30 +0530,490883,57.2,22.6,68.86,29.14
2021-09-01 00:08:00 +0530,490884,57.3,21.3,68.84,29.14
2021-09-01 00:08:30 +0530,490885,42.2,18.2,68.81,29.13
2021-09-01 00:09:00 +0530,490886,44.1,18.6,68.81,29.13
2021-09-01 00:09:30 +0530,490887,35.2,17.3,68.81,29.12
2021-09-01 00:10:00 +0530,490888,36.8,16.7,68.83,29.11
2021-09-01 00:10:30 +0530,490889,37.1,16.7,68.85,29.11
2021-09-01 00:11:00 +0530,490890,41.2,17.6,68.8,29.11
2021-09-01 00:11:30 +0530,490891,42.8,18.6,68.83,29.11
2021-09-01 00:12:00 +0530,490892,35.2,16.9,68.77,29.12
2021-09-01 00:12:30 +0530,490893,40.2,17.3,68.86,29.11
2021-09-01 00:13:00 +0530,490894,37.4,17.1,68.83,29.12
2021-09-01 00:13:30 +0530,490895,36.0,17.9,68.84,29.12
2021-09-01 00:14:00 +0530,490896,37.3,17.6,68.86,29.12
2021-09-01 00:14:30 +0530,490897,47.1,18.3,68.89,29.13
2021-09-01 00:15:00 +0530,490898,42.9,17.5,68.84,29.13
2021-09-01 00:15:30 +0530,490899,50.5,18.8,68.78,29.14
2021-09-01 00:16:00 +0530,490900,114.2,26.8,68.81,29.15
2021-09-01 00:16:30 +0530,490901,61.3,20.9,68.67,29.15
2021-09-01 00:17:00 +0530,490902,59.7,21.3,68.78,29.15
2021-09-01 00:17:30 +0530,490903,88.3,26.2,68.78,29.16
2021-09-01 00:18:00 +0530,490904,38.3,18.8,68.75,29.15
2021-09-01 00:18:30 +0530,490905,46.2,18.7,68.81,29.14
2021-09-01 00:19:00 +0530,490906,35.9,18.1,68.78,29.14
2021-09-01 00:19:30 +0530,490907,37.2,18.7,68.67,29.13
2021-09-01 00:20:00 +0530,490908,35.6,17.3,68.69,29.13
2021-09-01 00:20:30 +0530,490909,44.3,18.7,68.78,29.12
2021-09-01 00:21:00 +0530,490910,45.5,19.1,68.72,29.12
2021-09-01 00:21:30 +0530,490911,32.9,18.3,68.63,29.12
2021-09-01 00:22:00 +0530,490912,44.0,19.6,68.65,29.11
2021-09-01 00:22:30 +0530,490913,44.3,19.3,68.77,29.09
2021-09-01 00:23:00 +0530,490914,52.3,20.7,68.8,29.09
2021-09-01 00:23:30 +0530,490915,41.9,19.3,68.77,29.08
2021-09-01 00:24:00 +0530,490916,41.8,19.4,68.8,29.07
2021-09-01 00:24:30 +0530,490917,41.9,19.7,68.77,29.08
2021-09-01 00:25:00 +0530,490918,41.0,18.9,68.75,29.08
2021-09-01 00:25:30 +0530,490919,34.1,18.4,68.83,29.07
2021-09-01 00:26:00 +0530,490920,32.9,19.2,68.8,29.09
2021-09-01 00:26:30 +0530,490921,50.2,23.2,68.94,29.08
2021-09-01 00:27:00 +0530,490922,45.6,20.0,68.83,29.09
2021-09-01 00:27:30 +0530,490923,45.7,21.0,68.8,29.09
2021-09-01 00:28:00 +0530,490924,39.2,20.3,68.77,29.09
2021-09-01 00:28:30 +0530,490925,39.1,19.4,68.77,29.09
2021-09-01 00:29:00 +0530,490926,37.6,19.6,68.77,29.09
2021-09-01 00:29:30 +0530,490927,39.9,19.1,68.81,29.11
2021-09-01 00:30:00 +0530,490928,42.9,20.8,68.75,29.12
2021-09-01 00:30:30 +0530,490929,57.4,21.5,68.75,29.12
2021-09-01 00:31:00 +0530,490930,44.7,21.1,68.69,29.12
2021-09-01 00:31:30 +0530,490931,47.4,20.9,68.69,29.12
2021-09-01 00:32:00 +0530,490932,48.9,21.8,68.68,29.12
2021-09-01 00:32:30 +0530,490933,37.6,19.6,68.67,29.11
2021-09-01 00:33:00 +0530,490934,44.4,20.2,68.68,29.09
2021-09-01 00:33:30 +0530,490935,39.5,19.8,68.77,29.08
2021-09-01 00:34:00 +0530,490936,35.8,20.1,68.75,29.08
2021-09-01 00:34:30 +0530,490937,37.6,19.8,68.8,29.06
2021-09-01 00:35:00 +0530,490938,38.8,20.1,68.8,29.05
2021-09-01 00:35:30 +0530,490939,38.8,20.8,68.77,29.05
2021-09-01 00:36:00 +0530,490940,51.3,22.2,68.85,29.05
2021-09-01 00:36:30 +0530,490941,45.4,21.1,68.85,29.05
2021-09-01 00:37:00 +0530,490942,43.5,20.6,68.85,29.05
2021-09-01 00:37:30 +0530,490943,44.0,21.1,68.83,29.05
2021-09-01 00:38:00 +0530,490944,54.9,23.1,68.83,29.06
2021-09-01 00:38:30 +0530,490945,60.0,25.2,68.85,29.05
2021-09-01 00:39:00 +0530,490946,59.5,23.3,68.94,29.05
2021-09-01 00:39:30 +0530,490947,54.9,22.7,68.94,29.06
2021-09-01 00:40:00 +0530,490948,50.1,21.2,68.97,29.06
2021-09-01 00:40:30 +0530,490949,40.2,21.3,68.97,29.04
2021-09-01 00:41:00 +0530,490950,43.9,21.4,69.02,29.01
2021-09-01 00:41:30 +0530,490951,44.8,21.8,69.05,28.99
2021-09-01 00:42:00 +0530,490952,34.7,19.9,69.05,28.92
2021-09-01 00:42:30 +0530,490953,50.3,22.0,69.16,28.87
2021-09-01 00:43:00 +0530,490954,40.5,20.2,69.35,28.8
2021-09-01 00:43:30 +0530,490955,42.9,21.2,69.57,28.74
2021-09-01 00:44:00 +0530,490956,51.9,24.9,69.77,28.69
2021-09-01 00:44:30 +0530,490957,64.7,33.7,69.99,28.64
2021-09-01 00:45:00 +0530,490958,54.1,28.1,70.13,28.6
2021-09-01 00:45:30 +0530,490959,50.8,24.8,70.23,28.58
2021-09-01 00:46:00 +0530,490960,49.9,23.3,70.32,28.57
