created_at,entry_id,field1,field2,field3,field4,field5,field6,field7
2021-11-02 10:45:06 +0530,631522,305,-1,-1,-1,28.5,57.49609,946.9195599999999
2021-11-02 10:45:09 +0530,631523,297,-1,-1,-1,28.5,57.29492,946.91437
2021-11-02 10:45:12 +0530,631524,293,1,-1,-1,28.5,57.13281,946.91901
2021-11-02 10:45:15 +0530,631525,283,-1,-1,-1,28.5,57.01172,946.8923300000001
2021-11-02 10:45:18 +0530,631526,280,0,-1,-1,28.5,57.01172,946.8844
2021-11-02 10:45:20 +0530,631527,274,1,-1,-1,28.5,57.00195,946.9617900000001
2021-11-02 10:45:23 +0530,631528,267,-1,-1,-1,28.48,57.009769999999996,946.8992900000001
2021-11-02 10:45:26 +0530,631529,262,1,-1,-1,28.48,56.94922,946.8883699999999
2021-11-02 10:45:29 +0530,631530,255,0,-1,-1,28.47,56.916990000000006,946.9267
2021-11-02 10:45:32 +0530,631531,251,0,-1,-1,28.46,56.9375,946.89392
2021-11-02 10:45:35 +0530,631532,244,1,-1,-1,28.44,56.94531,946.90271
2021-11-02 10:45:38 +0530,631533,240,0,-1,-1,28.43,56.97266,946.9353
2021-11-02 10:45:41 +0530,631534,237,0,-1,-1,28.42,56.991209999999995,946.88947
2021-11-02 10:45:43 +0530,631535,234,0,-1,-1,28.41,57.0,946.89899
2021-11-02 10:45:46 +0530,631536,228,0,-1,-1,28.41,57.010740000000006,946.9514800000001
2021-11-02 10:45:49 +0530,631537,223,0,-1,-1,28.4,57.0498,946.92346
2021-11-02 10:45:52 +0530,631538,216,-1,-1,-1,28.38,57.05761999999999,946.91174
2021-11-02 10:45:55 +0530,631539,212,-2,-1,-1,28.37,57.07715,946.92847
2021-11-02 10:45:57 +0530,631540,207,-1,-1,-1,28.36,57.26563,946.9519
2021-11-02 10:46:00 +0530,631541,204,2,-1,-1,28.35,57.23535,946.9082
2021-11-02 10:46:03 +0530,631542,199,-1,-1,-1,28.34,57.334959999999995,946.92969
2021-11-02 10:46:06 +0530,631543,194,1,-1,-1,28.35,57.395509999999994,946.9631300000001
2021-11-02 10:46:09 +0530,631544,189,-3,-1,-1,28.34,57.8291,946.91016
2021-11-02 10:46:12 +0530,631545,189,2,-1,-1,28.34,57.76855,946.93835
2021-11-02 10:46:14 +0530,631546,185,2,-1,-1,28.34,57.77734,946.9386
2021-11-02 10:46:17 +0530,631547,181,-2,-1,-1,28.33,57.69531,946.9554400000001
2021-11-02 10:46:20 +0530,631548,177,-2,-1,-1,28.31,57.59375,946.89124
2021-11-02 10:46:23 +0530,631549,174,1,-1,-1,28.3,57.6123,946.94391
2021-11-02 10:46:26 +0530,631550,169,-1,-1,-1,28.29,57.53906,946.8938
