,Date Time, Monitor ID, Location ID, NO2(ppm),Unnamed: 0,data.temp_c,data.hum_prcnt,data.press_hpa,data.eq_db,data.onesmin_db,data.onesmax_db,data.co_ppm,data.no2_ppb,data.co_mv,data.no2_mv,data.x_g,data.y_g,data.z_g,data.x_raw,data.y_raw,data.z_raw,data.lux_lx,data.uv_mwpm2,data.nc0p5_npcm3,data.nc1p0_npcm3,data.nc2p5_npcm3,data.nc4p0_npcm3,data.nc10p0_npcm3,data.mc1p0_ugpm3,data.mc2p5_ugpm3,data.mc4p0_ugpm3,data.mc10p0_ugpm3,data.typ_pm_um,data.ozone_ppm,data.ozone_volt_mv,data.tvoc_ppb,data.batt_prcnt,data.batt_volt,data.bme280_int,data.speco3_int,data.mic_int,data.mic4514_int,data.mic4514pre_int,data.sgpc3_int,data.sps30_int,data.sps30pre_int,data.lis3dh_int,data.si1133_int,data.batt_int,data.leds_on,data.code_version,data.gps_avg_snr,data.cell_strength_dbm,data.wifi_strength_dbm,data.wifi_strength_asl,data.location.lat,data.location.lon,data.location.acc,data.timestamp
0,2021-08-19 11:21:00,1,1,0.011000000000000001,7984.5,35.695,39.449,938.045,58.665,41.994,70.265,519.5,2230.0,1953.0,1125.0,0.0,0.0,-0.104,0.0,0.0,63872.0,0.0,0.0,40.109,44.976,45.203,45.244,45.257,5.665,6.108,6.203,6.222,0.549,61.5,-1229.0,0.0,95.5,4023.5,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,20.039,-104.5,-51.0,4.0,17.446,78.35,5.35,1629352298756.5
1,2021-08-19 11:22:00,1,1,0.006,7986.5,34.51,41.587,937.927,56.919,41.756,72.191,512.0,2174.5,1934.5,1105.5,-0.024,0.008,-0.016,32384.0,32896.0,32512.0,0.0,0.0,39.663,45.236,45.467,45.51,45.523,5.698,6.146,6.243,6.263,0.548,79.5,-1589.5,0.0,93.5,4012.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,8.567,-99.0,-51.0,4.0,17.446,78.35,5.2,1629352360956.0
2,2021-08-19 11:23:00,1,1,0.01,7988.5,33.77,43.105,937.933,58.127,43.612,69.355,510.5,2138.5,1928.5,1100.5,0.0,-0.016,0.048,32768.0,32512.0,768.0,0.0,0.0,35.345,40.35,40.582,40.625,40.637,5.086,5.51,5.616,5.638,0.555,120.0,-2392.5,0.0,91.0,4015.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,-107.0,-51.0,4.0,17.446,78.35,5.5,1629352422772.5
11,2021-08-19 11:32:00,1,1,0.008,7990.0,31.67,49.693,938.379,63.525,56.93,76.954,507.0,2221.0,1919.0,1124.0,-0.032,-0.032,-0.08,65024.0,65024.0,64256.0,0.0,0.0,36.025,42.78,44.133,44.404,44.448,5.54,7.05,8.015,8.208,0.693,92.0,-1844.0,0.0,87.0,3994.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,17.192,-96.0,-72.0,2.0,17.445,78.35,2.4,1629352949722.0
12,2021-08-19 11:33:00,1,1,0.0,7991.5,31.75,49.538,938.376,60.851,57.067,72.991,507.5,2217.5,1925.0,1119.0,-0.032,0.016,-0.048,65024.0,256.0,64768.0,0.0,0.0,44.989,52.442,53.469,53.672,53.708,6.707,7.952,8.649,8.788,0.645,83.5,-1657.5,0.0,87.0,3998.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,18.936,-93.0,-78.0,1.5,17.445,78.35,3.4,1629352996175.0
13,2021-08-19 11:34:00,1,1,0.042,7993.5,31.76,49.667,938.392,63.936,54.871,79.37,509.0,2198.0,1922.5,1113.0,-0.064,-0.032,0.0,31744.0,65024.0,32768.0,0.0,0.0,42.803,49.425,50.085,50.214,50.24,6.28,7.159,7.579,7.663,0.606,76.5,-1530.0,0.0,87.0,3999.5,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,22.203,-92.5,-71.5,2.0,17.445,78.35,2.55,1629353058087.5
14,2021-08-19 11:35:00,1,1,0.084,7995.5,31.755,48.707,938.459,66.949,54.684,75.829,554.0,2237.5,2050.0,1126.0,0.0,-0.016,0.056,0.0,32512.0,33664.0,0.0,0.0,39.647,45.631,46.14,46.239,46.26,5.784,6.501,6.812,6.874,0.599,60.5,-1208.5,0.0,87.0,4001.5,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,22.95,-81.0,-74.5,2.0,17.445,78.35,3.2,1629353119999.5
15,2021-08-19 11:36:00,1,1,0.045,7997.5,31.745,44.822,938.396,69.592,63.803,73.18,555.5,2174.5,2054.5,1108.0,-0.032,-0.024,-0.08,65024.0,65152.0,64256.0,0.0,0.0,39.781,45.701,46.155,46.243,46.262,5.786,6.45,6.719,6.772,0.584,28.0,-557.0,0.0,87.0,4003.5,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,21.486,-78.0,-75.0,2.0,17.445,78.351,2.75,1629353182304.0
16,2021-08-19 11:37:00,1,1,0.0,7999.5,31.715,48.315,938.453,61.507,58.302,66.27,530.5,2197.5,1992.5,1115.5,-0.048,-0.016,-0.08,64768.0,32512.0,64256.0,0.0,0.0,41.682,47.662,47.988,48.049,48.065,6.015,6.565,6.731,6.765,0.566,91.0,-1814.5,0.0,87.0,3991.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,21.461,-78.5,-74.0,2.0,17.445,78.351,2.85,1629353244004.5
17,2021-08-19 11:38:00,1,1,0.005,8001.5,31.74,50.894,938.457,61.474,57.687,69.288,517.0,2226.5,1952.0,1123.0,-0.008,-0.024,0.016,32640.0,65152.0,256.0,0.0,0.0,40.604,46.375,46.656,46.708,46.723,5.847,6.349,6.482,6.509,0.559,98.5,-1961.5,0.0,87.0,3982.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,22.901,-71.0,-74.0,2.0,17.445,78.351,1.95,1629353306030.5
