created_at,entry_id,field1,field2,field3,field4,field5,field6,field7
2021-10-23 11:43:53 +0530,517673,0,0,9,21,29.84,38.07617,946.5033
2021-10-23 11:43:56 +0530,517674,0,0,8,21,29.89,38.09082,946.59094
2021-10-23 11:44:00 +0530,517675,0,0,8,22,29.9,38.1123,946.59741
2021-10-23 11:44:03 +0530,517676,0,0,8,21,29.91,38.113279999999996,946.5708
2021-10-23 11:44:06 +0530,517677,0,0,9,22,29.92,38.102540000000005,946.59546
2021-10-23 11:44:09 +0530,517678,0,0,8,21,29.93,38.13477,946.59686
2021-10-23 11:44:13 +0530,517679,0,0,9,22,29.94,38.084959999999995,946.60321
2021-10-23 11:44:16 +0530,517680,0,0,9,21,29.94,37.94238,946.55975
2021-10-23 11:44:19 +0530,517681,0,0,9,22,29.95,38.00488,946.58563
2021-10-23 11:44:23 +0530,517682,0,0,9,21,29.95,38.06543,946.57971
2021-10-23 11:44:26 +0530,517683,0,0,8,23,29.96,38.12793,946.59326
2021-10-23 11:44:29 +0530,517684,0,0,8,22,29.97,38.1582,946.61273
2021-10-23 11:44:33 +0530,517685,0,0,8,21,29.98,38.14844,946.5581099999999
2021-10-23 11:44:35 +0530,517686,0,0,9,21,29.98,38.13867,946.60907
2021-10-23 11:44:39 +0530,517687,0,0,8,22,29.98,38.16016,946.58185
2021-10-23 11:44:42 +0530,517688,0,0,8,22,29.99,38.180659999999996,946.5759300000001
2021-10-23 11:44:45 +0530,517689,0,0,9,22,30.0,38.12012,946.5636
2021-10-23 11:44:49 +0530,517690,0,0,9,21,30.01,38.08105,946.6052900000001
2021-10-23 11:44:52 +0530,517691,0,0,8,22,30.01,38.020509999999994,946.58795
2021-10-23 11:44:55 +0530,517692,0,0,9,21,30.01,38.040040000000005,946.6012599999999
2021-10-23 11:44:58 +0530,517693,0,0,9,22,30.01,38.03027,946.55664
2021-10-23 11:45:02 +0530,517694,0,0,9,22,30.02,37.93848,946.60455
2021-10-23 11:45:05 +0530,517695,0,0,9,21,30.02,37.93945,946.5459599999999
2021-10-23 11:45:08 +0530,517696,0,0,8,22,30.03,37.91895,946.55389
2021-10-23 11:45:12 +0530,517697,0,0,9,22,30.03,37.93945,946.56891
2021-10-23 11:45:15 +0530,517698,0,0,9,21,30.04,38.011720000000004,946.56561
2021-10-23 11:45:18 +0530,517699,0,0,8,22,30.04,37.91992,946.5695800000001
