Epoch date,GMT,CO_mega
1623818920,16-06-2021 04:48,406
1623818951,16-06-2021 04:49,417
1623818982,16-06-2021 04:49,413
1623819013,16-06-2021 04:50,418
1623819044,16-06-2021 04:50,410
1623819075,16-06-2021 04:51,416
1623819127,16-06-2021 04:52,413
1623819173,16-06-2021 04:52,414
1623819233,16-06-2021 04:53,416
1623819283,16-06-2021 04:54,419
1623819335,16-06-2021 04:55,418
1623819383,16-06-2021 04:56,418
1623819446,16-06-2021 04:57,421
1623819500,16-06-2021 04:58,419
1623819548,16-06-2021 04:59,420
1623819589,16-06-2021 04:59,422
1623819644,16-06-2021 05:00,425
1623819688,16-06-2021 05:01,420
1623819746,16-06-2021 05:02,423
1623819799,16-06-2021 05:03,427
1623819849,16-06-2021 05:04,432
1623819902,16-06-2021 05:05,431
1623819938,16-06-2021 05:05,427
1623819969,16-06-2021 05:06,428
1623820000,16-06-2021 05:06,425
1623820031,16-06-2021 05:07,429
1623820062,16-06-2021 05:07,430
1623820093,16-06-2021 05:08,427
1623820124,16-06-2021 05:08,432
1623820155,16-06-2021 05:09,434
1623820186,16-06-2021 05:09,439
1623820230,16-06-2021 05:10,435
1623820287,16-06-2021 05:11,417
1623820338,16-06-2021 05:12,420
1623820393,16-06-2021 05:13,426
1623820442,16-06-2021 05:14,426
1623820503,16-06-2021 05:15,425
1623820561,16-06-2021 05:16,424
1623820612,16-06-2021 05:16,421
1623820643,16-06-2021 05:17,426
1623820674,16-06-2021 05:17,426
1623820726,16-06-2021 05:18,427
1623820780,16-06-2021 05:19,442
1623820838,16-06-2021 05:20,421
1623820894,16-06-2021 05:21,423
1623820953,16-06-2021 05:22,428
1623820988,16-06-2021 05:23,430
1623821019,16-06-2021 05:23,427
1623821050,16-06-2021 05:24,425
1623821081,16-06-2021 05:24,427
1623821112,16-06-2021 05:25,426
1623821153,16-06-2021 05:25,429
1623821213,16-06-2021 05:26,429
1623821274,16-06-2021 05:27,426
1623821317,16-06-2021 05:28,423
1623821365,16-06-2021 05:29,436
1623821428,16-06-2021 05:30,427
1623821484,16-06-2021 05:31,427
1623821534,16-06-2021 05:32,430
1623821589,16-06-2021 05:33,424
1623821640,16-06-2021 05:34,434
1623821687,16-06-2021 05:34,441
1623821718,16-06-2021 05:35,431
1623821749,16-06-2021 05:35,431
1623821780,16-06-2021 05:36,444
1623821811,16-06-2021 05:36,430
1623821844,16-06-2021 05:37,432
1623821882,16-06-2021 05:38,431
1623903947,17-06-2021 04:25,495
1623903978,17-06-2021 04:26,412
1623904009,17-06-2021 04:26,416
1623904046,17-06-2021 04:27,393
1623904108,17-06-2021 04:28,392
1623904160,17-06-2021 04:29,389
1623904205,17-06-2021 04:30,397
1623904236,17-06-2021 04:30,396
1623904275,17-06-2021 04:31,397
1623904337,17-06-2021 04:32,395
1623904395,17-06-2021 04:33,403
1623904452,17-06-2021 04:34,407
1623904494,17-06-2021 04:34,406
1623904525,17-06-2021 04:35,410
1623904587,17-06-2021 04:36,410
1623904618,17-06-2021 04:36,408
1623904649,17-06-2021 04:37,413
1623904706,17-06-2021 04:38,411
1623904760,17-06-2021 04:39,417
1623904807,17-06-2021 04:40,410
1623904856,17-06-2021 04:40,414
1623904914,17-06-2021 04:41,420
1623904968,17-06-2021 04:42,418
1623905021,17-06-2021 04:43,424
1623905076,17-06-2021 04:44,422
1623905123,17-06-2021 04:45,424
1623905154,17-06-2021 04:45,428
1623905185,17-06-2021 04:46,428
1623905216,17-06-2021 04:46,429
1623905247,17-06-2021 04:47,431
1623905294,17-06-2021 04:48,429
1623905339,17-06-2021 04:48,428
1623905394,17-06-2021 04:49,435
1623905455,17-06-2021 04:50,431
1623905514,17-06-2021 04:51,429
1623905566,17-06-2021 04:52,432
1623905618,17-06-2021 04:53,432
1623905664,17-06-2021 04:54,431
1623905695,17-06-2021 04:54,433
1623905726,17-06-2021 04:55,434
1623905757,17-06-2021 04:55,432
1623905788,17-06-2021 04:56,431
1623905819,17-06-2021 04:56,433
1623905855,17-06-2021 04:57,433
1623905901,17-06-2021 04:58,433
1623905932,17-06-2021 04:58,432
1623905963,17-06-2021 04:59,433
1623905994,17-06-2021 04:59,432
1623906025,17-06-2021 05:00,432
1623906056,17-06-2021 05:00,432
1623906087,17-06-2021 05:01,431
1623906118,17-06-2021 05:01,435
1623906149,17-06-2021 05:02,434
1623906180,17-06-2021 05:03,432
1623906211,17-06-2021 05:03,437
1623906242,17-06-2021 05:04,428
1623906273,17-06-2021 05:04,433
1623906304,17-06-2021 05:05,431
1623906335,17-06-2021 05:05,437
1623906366,17-06-2021 05:06,434
1623906397,17-06-2021 05:06,437
1623906428,17-06-2021 05:07,438
1623990511,18-06-2021 04:28,492
1623990548,18-06-2021 04:29,438
1623990597,18-06-2021 04:29,421
1623990651,18-06-2021 04:30,422
1623990702,18-06-2021 04:31,426
1623990760,18-06-2021 04:32,428
1623990803,18-06-2021 04:33,429
1623990865,18-06-2021 04:34,429
1623990920,18-06-2021 04:35,431
1623990967,18-06-2021 04:36,434
1623991047,18-06-2021 04:37,433
1623991078,18-06-2021 04:37,449
1623991137,18-06-2021 04:38,443
1623991195,18-06-2021 04:39,441
1623991254,18-06-2021 04:40,438
1623991317,18-06-2021 04:41,438
1623991359,18-06-2021 04:42,439
1623991390,18-06-2021 04:43,440
1623991421,18-06-2021 04:43,438
1623991452,18-06-2021 04:44,437
1623991483,18-06-2021 04:44,440
1623991514,18-06-2021 04:45,441
1623991546,18-06-2021 04:45,440
1623991604,18-06-2021 04:46,443
1623991704,18-06-2021 04:48,443
1623991764,18-06-2021 04:49,442
1623991820,18-06-2021 04:50,442
1623991871,18-06-2021 04:51,443
1623991926,18-06-2021 04:52,443
1623991984,18-06-2021 04:53,442
1623992033,18-06-2021 04:53,440
1623992065,18-06-2021 04:54,444
1623992095,18-06-2021 04:54,442
1623992147,18-06-2021 04:55,442
1623992203,18-06-2021 04:56,443
1623992262,18-06-2021 04:57,443
1623992325,18-06-2021 04:58,442
1623992371,18-06-2021 04:59,442
1623992424,18-06-2021 05:00,442
1623992479,18-06-2021 05:01,441
1623992536,18-06-2021 05:02,441
1623992587,18-06-2021 05:03,444
1623992645,18-06-2021 05:04,444
1623992701,18-06-2021 05:05,442
1623992740,18-06-2021 05:05,444
1623992771,18-06-2021 05:06,444
1623992816,18-06-2021 05:06,443
1623992875,18-06-2021 05:07,444
1623992933,18-06-2021 05:08,445
1623992987,18-06-2021 05:09,447
1623993045,18-06-2021 05:10,447
1623993106,18-06-2021 05:11,448
1623993164,18-06-2021 05:12,446
1623993228,18-06-2021 05:13,445
1623993283,18-06-2021 05:14,446
1623993342,18-06-2021 05:15,446
1623993386,18-06-2021 05:16,448
1623993429,18-06-2021 05:17,449
1623993481,18-06-2021 05:18,449
1623993534,18-06-2021 05:18,447
1623993585,18-06-2021 05:19,447
1623993645,18-06-2021 05:20,447
1623993704,18-06-2021 05:21,446
1623993762,18-06-2021 05:22,447
1623993820,18-06-2021 05:23,448
1623993884,18-06-2021 05:24,450
1623993947,18-06-2021 05:25,448
1623994011,18-06-2021 05:26,450
1623994070,18-06-2021 05:27,449
1623994130,18-06-2021 05:28,453
1623994188,18-06-2021 05:29,454
1623994243,18-06-2021 05:30,452
1623994304,18-06-2021 05:31,452
1623994363,18-06-2021 05:32,452
1623994421,18-06-2021 05:33,451
1623994484,18-06-2021 05:34,452
1623994541,18-06-2021 05:35,448
1623994607,18-06-2021 05:36,449
1623994666,18-06-2021 05:37,447
1623994723,18-06-2021 05:38,452
1623994774,18-06-2021 05:39,447
1623994826,18-06-2021 05:40,451
1623994890,18-06-2021 05:41,459
1623994954,18-06-2021 05:42,469
1623995015,18-06-2021 05:43,459
1623995076,18-06-2021 05:44,452
1623995115,18-06-2021 05:45,452
1623995146,18-06-2021 05:45,454
1623995177,18-06-2021 05:46,450
1623995208,18-06-2021 05:46,451
1623995240,18-06-2021 05:47,450
1623995271,18-06-2021 05:47,449
1623995302,18-06-2021 05:48,451
1623995333,18-06-2021 05:48,452
1623995364,18-06-2021 05:49,453
1623995395,18-06-2021 05:49,452
1623995426,18-06-2021 05:50,453
1623995458,18-06-2021 05:50,453
1623995488,18-06-2021 05:51,452
1623995519,18-06-2021 05:51,454
1623995550,18-06-2021 05:52,453
1623995582,18-06-2021 05:53,452
1623995615,18-06-2021 05:53,455
1623995647,18-06-2021 05:54,454
1623995678,18-06-2021 05:54,453
1623995709,18-06-2021 05:55,456
1623995740,18-06-2021 05:55,474
1623995771,18-06-2021 05:56,467
1623995802,18-06-2021 05:56,480
1623995833,18-06-2021 05:57,460
1623995864,18-06-2021 05:57,456
1623995895,18-06-2021 05:58,454
1623995926,18-06-2021 05:58,453
1623995957,18-06-2021 05:59,453
1623995988,18-06-2021 05:59,453
1623996023,18-06-2021 06:00,452
1623996076,18-06-2021 06:01,451
1623996127,18-06-2021 06:02,450
1623996173,18-06-2021 06:02,452
1623996214,18-06-2021 06:03,452
1623996265,18-06-2021 06:04,452
1623996316,18-06-2021 06:05,450
1623996373,18-06-2021 06:06,454
1623996432,18-06-2021 06:07,453
1623996491,18-06-2021 06:08,457
1623996532,18-06-2021 06:08,454
1623996587,18-06-2021 06:09,456
1623996707,18-06-2021 06:11,456
1623996766,18-06-2021 06:12,457
1623996827,18-06-2021 06:13,457
1623996882,18-06-2021 06:14,457
1623996935,18-06-2021 06:15,456
1623996993,18-06-2021 06:16,458
1623997052,18-06-2021 06:17,456
1623997111,18-06-2021 06:18,457
1623997164,18-06-2021 06:19,454
1623997210,18-06-2021 06:20,456
1623997246,18-06-2021 06:20,456
1623997301,18-06-2021 06:21,455
1623997355,18-06-2021 06:22,457
1623997409,18-06-2021 06:23,478
1623997454,18-06-2021 06:24,462
1623997514,18-06-2021 06:25,459
1623997573,18-06-2021 06:26,456
1623997630,18-06-2021 06:27,457
1623997692,18-06-2021 06:28,456
1623997751,18-06-2021 06:29,457
1623997810,18-06-2021 06:30,457
1623997869,18-06-2021 06:31,455
1623997900,18-06-2021 06:31,457
1623997931,18-06-2021 06:32,458
1623997962,18-06-2021 06:32,457
1623997993,18-06-2021 06:33,457
1623998049,18-06-2021 06:34,457
1623998106,18-06-2021 06:35,457
1623998163,18-06-2021 06:36,455
1623998199,18-06-2021 06:36,458
1623998237,18-06-2021 06:37,456
1623998295,18-06-2021 06:38,457
1623998347,18-06-2021 06:39,457
1623998408,18-06-2021 06:40,459
1623998466,18-06-2021 06:41,458
1623998528,18-06-2021 06:42,455
1623998590,18-06-2021 06:43,458
1623998650,18-06-2021 06:44,455
1623998699,18-06-2021 06:44,456
1623998759,18-06-2021 06:45,454
1623998805,18-06-2021 06:46,457
1623998836,18-06-2021 06:47,454
1623998867,18-06-2021 06:47,453
1623998898,18-06-2021 06:48,455
1623998929,18-06-2021 06:48,456
1623998961,18-06-2021 06:49,455
1623998991,18-06-2021 06:49,456
1623999022,18-06-2021 06:50,456
1623999053,18-06-2021 06:50,455
1623999084,18-06-2021 06:51,458
1623999115,18-06-2021 06:51,456
1623999146,18-06-2021 06:52,457
1623999177,18-06-2021 06:52,458
1623999208,18-06-2021 06:53,457
1623999257,18-06-2021 06:54,459
1623999297,18-06-2021 06:54,460
1623999347,18-06-2021 06:55,459
1623999403,18-06-2021 06:56,457
1623999454,18-06-2021 06:57,458
1623999517,18-06-2021 06:58,460
1623999698,18-06-2021 07:01,457
1623999740,18-06-2021 07:02,459
1623999783,18-06-2021 07:03,458
1623999837,18-06-2021 07:03,458
1624000119,18-06-2021 07:08,459
1624000166,18-06-2021 07:09,458
1624278081,21-06-2021 12:21,397
1624278112,21-06-2021 12:21,398
1624278143,21-06-2021 12:22,400
1624278198,21-06-2021 12:23,404
1624278238,21-06-2021 12:23,405
1624278287,21-06-2021 12:24,406
1624278340,21-06-2021 12:25,408
1624278388,21-06-2021 12:26,409
1624278447,21-06-2021 12:27,412
1624278506,21-06-2021 12:28,409
1624278568,21-06-2021 12:29,413
1624278622,21-06-2021 12:30,414
1624278677,21-06-2021 12:31,412
1624278731,21-06-2021 12:32,417
1624278788,21-06-2021 12:33,419
1624278848,21-06-2021 12:34,425
1624278907,21-06-2021 12:35,425
1624278968,21-06-2021 12:36,421
1624279027,21-06-2021 12:37,429
1624279088,21-06-2021 12:38,426
1624279149,21-06-2021 12:39,420
1624279197,21-06-2021 12:39,434
1624279228,21-06-2021 12:40,452
1624279259,21-06-2021 12:40,438
1624279290,21-06-2021 12:41,438
1624279327,21-06-2021 12:42,444
1624279382,21-06-2021 12:43,443
1624279442,21-06-2021 12:44,445
1624279501,21-06-2021 12:45,445
1624279556,21-06-2021 12:45,446
1624279615,21-06-2021 12:46,449
1624279675,21-06-2021 12:47,447
1624279732,21-06-2021 12:48,448
1624279794,21-06-2021 12:49,449
1624279849,21-06-2021 12:50,453
1624279908,21-06-2021 12:51,452
1624279970,21-06-2021 12:52,453
1624280009,21-06-2021 12:53,452
1624280040,21-06-2021 12:54,511
1624280071,21-06-2021 12:54,497
1624280121,21-06-2021 12:55,540
1624280173,21-06-2021 12:56,521
1624280234,21-06-2021 12:57,511
1624280292,21-06-2021 12:58,521
1624280357,21-06-2021 12:59,548
1624280418,21-06-2021 13:00,506
1624280479,21-06-2021 13:01,502
1624280533,21-06-2021 13:02,493
1624280591,21-06-2021 13:03,527
1624280653,21-06-2021 13:04,579
1624280712,21-06-2021 13:05,483
1624280743,21-06-2021 13:05,857
1624280805,21-06-2021 13:06,709
1624280805,21-06-2021 13:06,709
1624280853,21-06-2021 13:07,599
1624280908,21-06-2021 13:08,616
1624280970,21-06-2021 13:09,530
1624281030,21-06-2021 13:10,523
1624281091,21-06-2021 13:11,522
1624281148,21-06-2021 13:12,511
1624281216,21-06-2021 13:13,496
1624281270,21-06-2021 13:14,509
1624281332,21-06-2021 13:15,511
1624281389,21-06-2021 13:16,512
1624281453,21-06-2021 13:17,509
1624281514,21-06-2021 13:18,549
1624281576,21-06-2021 13:19,541
1624281638,21-06-2021 13:20,508
1624281696,21-06-2021 13:21,578
1624281756,21-06-2021 13:22,511
1624281816,21-06-2021 13:23,534
1624281864,21-06-2021 13:24,541
1624281923,21-06-2021 13:25,537
1624281977,21-06-2021 13:26,545
1624282038,21-06-2021 13:27,546
1624282100,21-06-2021 13:28,545
1624282159,21-06-2021 13:29,552
1624282219,21-06-2021 13:30,655
1624282281,21-06-2021 13:31,977
1624282340,21-06-2021 13:32,927
1624282392,21-06-2021 13:33,864
