Epoch date,GMT,Battery_percentage,CO_mega
1623924154,17-06-2021 10:02,88,471
1623924185,17-06-2021 10:03,88,472
1623924216,17-06-2021 10:03,88,470
1623924247,17-06-2021 10:04,88,472
1623924316,17-06-2021 10:05,87,476
1623924376,17-06-2021 10:06,87,478
1623924407,17-06-2021 10:06,87,474
1623924438,17-06-2021 10:07,87,475
1623924469,17-06-2021 10:07,87,471
1623924500,17-06-2021 10:08,87,482
1623924531,17-06-2021 10:08,87,479
1623924562,17-06-2021 10:09,87,477
1623924593,17-06-2021 10:09,87,478
1623924624,17-06-2021 10:10,87,481
1623924689,17-06-2021 10:11,87,475
1623924720,17-06-2021 10:12,87,471
1623924839,17-06-2021 10:13,87,464
1623925195,17-06-2021 10:19,86,466
1623925534,17-06-2021 10:25,86,466
1623925824,17-06-2021 10:30,86,471
1623925896,17-06-2021 10:31,85,470
1623925927,17-06-2021 10:32,85,471
1623926179,17-06-2021 10:36,85,471
1623926950,17-06-2021 10:49,84,472
1623926983,17-06-2021 10:49,84,473
1623927014,17-06-2021 10:50,84,477
1623927045,17-06-2021 10:50,84,481
1623927076,17-06-2021 10:51,84,481
1623927139,17-06-2021 10:52,84,472
1623927170,17-06-2021 10:52,84,475
1623927201,17-06-2021 10:53,84,473
1623927232,17-06-2021 10:53,84,476
1623927263,17-06-2021 10:54,84,474
1623927294,17-06-2021 10:54,84,476
1623927325,17-06-2021 10:55,84,478
1623927356,17-06-2021 10:55,84,475
1623927387,17-06-2021 10:56,84,472
1623927576,17-06-2021 10:59,84,470
1623927608,17-06-2021 11:00,84,475
1623927811,17-06-2021 11:03,84,479
1623928255,17-06-2021 11:10,82,475
1623928611,17-06-2021 11:16,82,478
1623928780,17-06-2021 11:19,82,474
1623929337,17-06-2021 11:28,81,475
1623929816,17-06-2021 11:36,81,476
1623930247,17-06-2021 11:44,80,474
1623930666,17-06-2021 11:51,80,474
1623930889,17-06-2021 11:54,80,476
1623931326,17-06-2021 12:02,79,473
1623931843,17-06-2021 12:10,79,491
1623932611,17-06-2021 12:23,78,498
1623933010,17-06-2021 12:30,78,499
1623933406,17-06-2021 12:36,77,501
1623933826,17-06-2021 12:43,77,504
1623934178,17-06-2021 12:49,76,504
1623934955,17-06-2021 13:02,76,507
1623935160,17-06-2021 13:06,75,508
1623935318,17-06-2021 13:08,75,506
1623935502,17-06-2021 13:11,75,507
1623935909,17-06-2021 13:18,75,508
1623936340,17-06-2021 13:25,75,510
1623936763,17-06-2021 13:32,74,511
1623937171,17-06-2021 13:39,73,510
1623937659,17-06-2021 13:47,73,511
1623938319,17-06-2021 13:58,72,514
1623938744,17-06-2021 14:05,71,515
1623939183,17-06-2021 14:13,71,514
1623939599,17-06-2021 14:19,70,514
1623939999,17-06-2021 14:26,69,517
1623940423,17-06-2021 14:33,69,517
1623940821,17-06-2021 14:40,68,517
1623941397,17-06-2021 14:49,68,519
1623941598,17-06-2021 14:53,67,518
1623941844,17-06-2021 14:57,67,517
1623942178,17-06-2021 15:02,67,518
1623942658,17-06-2021 15:10,66,518
1623943156,17-06-2021 15:19,65,517
1623943393,17-06-2021 15:23,65,518
1623943825,17-06-2021 15:30,64,518
1623944386,17-06-2021 15:39,64,518
1623944934,17-06-2021 15:48,63,519
1623945537,17-06-2021 15:58,62,518
1623946229,17-06-2021 16:10,62,518
1623946630,17-06-2021 16:17,61,519
1623947053,17-06-2021 16:24,60,518
1623947482,17-06-2021 16:31,60,519
1623947853,17-06-2021 16:37,60,517
1623947884,17-06-2021 16:38,60,512
1623947957,17-06-2021 16:39,60,511
1623948085,17-06-2021 16:41,60,506
1623948274,17-06-2021 16:44,59,503
1623948512,17-06-2021 16:48,59,501
1623948693,17-06-2021 16:51,59,495
1623948861,17-06-2021 16:54,59,493
1623949115,17-06-2021 16:58,58,488
1623949377,17-06-2021 17:02,58,488
1623949517,17-06-2021 17:05,58,489
1623949752,17-06-2021 17:09,58,484
1623949935,17-06-2021 17:12,57,483
1623950185,17-06-2021 17:16,57,484
1623950371,17-06-2021 17:19,57,483
1623950574,17-06-2021 17:22,57,483
1623950755,17-06-2021 17:25,57,483
1623950975,17-06-2021 17:29,57,480
1623951155,17-06-2021 17:32,56,481
1623951328,17-06-2021 17:35,56,480
1623951551,17-06-2021 17:39,56,481
1623951763,17-06-2021 17:42,56,477
1623951948,17-06-2021 17:45,56,478
1623952216,17-06-2021 17:50,56,477
1623952303,17-06-2021 17:51,55,478
1623952452,17-06-2021 17:54,55,475
1623953009,17-06-2021 18:03,55,483
1623953215,17-06-2021 18:06,55,481
1623953470,17-06-2021 18:11,55,485
1623953656,17-06-2021 18:14,54,483
1623953861,17-06-2021 18:17,54,487
1623954112,17-06-2021 18:21,54,485
1623954297,17-06-2021 18:24,54,488
1623954523,17-06-2021 18:28,54,489
1623954740,17-06-2021 18:32,54,490
1623954934,17-06-2021 18:35,54,491
1623955164,17-06-2021 18:39,54,493
1623955354,17-06-2021 18:42,53,492
1623955550,17-06-2021 18:45,53,491
1623955581,17-06-2021 18:46,53,494
1623955614,17-06-2021 18:46,53,492
1623955648,17-06-2021 18:47,53,494
1623955886,17-06-2021 18:51,53,494
1623956133,17-06-2021 18:55,53,495
1623956427,17-06-2021 19:00,53,493
1623956614,17-06-2021 19:03,52,494
1623957095,17-06-2021 19:11,52,494
1623957354,17-06-2021 19:15,52,493
1623957600,17-06-2021 19:20,51,492
1623957813,17-06-2021 19:23,51,494
1623958001,17-06-2021 19:26,52,493
1623958216,17-06-2021 19:30,51,492
1623958431,17-06-2021 19:33,51,492
1623958637,17-06-2021 19:37,51,493
1623958839,17-06-2021 19:40,51,495
1623959073,17-06-2021 19:44,50,496
1623959248,17-06-2021 19:47,50,497
1623959436,17-06-2021 19:50,50,495
1623959634,17-06-2021 19:53,50,495
1623959840,17-06-2021 19:57,49,492
1623960008,17-06-2021 20:00,49,495
1623960227,17-06-2021 20:03,49,493
1623960441,17-06-2021 20:07,49,492
1623960641,17-06-2021 20:10,48,492
1623960698,17-06-2021 20:11,48,492
1623960732,17-06-2021 20:12,48,493
1623960819,17-06-2021 20:13,48,494
1623960908,17-06-2021 20:15,48,493
1623961053,17-06-2021 20:17,48,491
1623961389,17-06-2021 20:23,48,493
1623961827,17-06-2021 20:30,47,493
1623962199,17-06-2021 20:36,47,494
1623962456,17-06-2021 20:40,47,497
1623963243,17-06-2021 20:54,45,499
1623963688,17-06-2021 21:01,45,501
1623964287,17-06-2021 21:11,44,501
1623964665,17-06-2021 21:17,43,501
1623965073,17-06-2021 21:24,43,504
1623965254,17-06-2021 21:27,42,502
1623965496,17-06-2021 21:31,42,504
1623965916,17-06-2021 21:38,41,505
1623966278,17-06-2021 21:44,41,504
1623966812,17-06-2021 21:53,40,507
1623967265,17-06-2021 22:01,40,506
1623967628,17-06-2021 22:07,39,505
1623967902,17-06-2021 22:11,39,505
1623968257,17-06-2021 22:17,38,505
1623968479,17-06-2021 22:21,38,505
1623968674,17-06-2021 22:24,38,505
1623969058,17-06-2021 22:30,38,506
1623969408,17-06-2021 22:36,37,507
1623970044,17-06-2021 22:47,37,508
1623970459,17-06-2021 22:54,36,506
1623970867,17-06-2021 23:01,35,509
1623971257,17-06-2021 23:07,33,507
1623971666,17-06-2021 23:14,32,506
1623972112,17-06-2021 23:21,31,509
1623972749,17-06-2021 23:32,30,505
1623973269,17-06-2021 23:41,28,499
1623973928,17-06-2021 23:52,25,491
1623974644,18-06-2021 00:04,22,478
1623975214,18-06-2021 00:13,19,471
1623975634,18-06-2021 00:20,17,462
1623975679,18-06-2021 00:21,17,463
1623975775,18-06-2021 00:22,16,462
1623976035,18-06-2021 00:27,15,457
1623976434,18-06-2021 00:33,13,451
1623976850,18-06-2021 00:40,10,443
1623977269,18-06-2021 00:47,8,435
1623977651,18-06-2021 00:54,6,427
1623978258,18-06-2021 01:04,1,411
1623978697,18-06-2021 01:11,0,393
1623979068,18-06-2021 01:17,0,375
1624003043,18-06-2021 07:57,25,392
1624003091,18-06-2021 07:58,25,391
1624003153,18-06-2021 07:59,27,409
1624077887,19-06-2021 04:44,19,456
1624077918,19-06-2021 04:45,18,460
1624077949,19-06-2021 04:45,18,459
1624077981,19-06-2021 04:46,18,460
1624078036,19-06-2021 04:47,18,456
1624078107,19-06-2021 04:48,17,458
1624078198,19-06-2021 04:49,17,458
1624078489,19-06-2021 04:54,16,449
1624078841,19-06-2021 05:00,13,443
1624079242,19-06-2021 05:07,11,437
1624079858,19-06-2021 05:17,7,422
1624080151,19-06-2021 05:22,6,417
1624080151,19-06-2021 05:22,6,417
1624080182,19-06-2021 05:23,5,417
1624080251,19-06-2021 05:24,5,412
1624080495,19-06-2021 05:28,4,408
1624080894,19-06-2021 05:34,0,396
1624081145,19-06-2021 05:39,0,385
1624081527,19-06-2021 05:45,0,368
1624082089,19-06-2021 05:54,0,505
1624082120,19-06-2021 05:55,0,504
1624082490,19-06-2021 06:01,0,497
1624082777,19-06-2021 06:06,1,494
1624083114,19-06-2021 06:11,16,505
1624083437,19-06-2021 06:17,43,519
1624083738,19-06-2021 06:22,49,518
1624084352,19-06-2021 06:32,55,519
1624084805,19-06-2021 06:40,59,522
1624085168,19-06-2021 06:46,62,521
1624085621,19-06-2021 06:53,66,523
1624085977,19-06-2021 06:59,67,523
1624086363,19-06-2021 07:06,69,526
1624086773,19-06-2021 07:12,71,531
1624087383,19-06-2021 07:23,74,527
1624088219,19-06-2021 07:36,77,529
1624088634,19-06-2021 07:43,84,528
1624088732,19-06-2021 07:45,84,530
1624088809,19-06-2021 07:46,85,531
1624089140,19-06-2021 07:52,87,529
1624089487,19-06-2021 07:58,90,532
1624089846,19-06-2021 08:04,93,534
1624090146,19-06-2021 08:09,95,537
1624090490,19-06-2021 08:14,98,537
1624090956,19-06-2021 08:22,100,538
1624091338,19-06-2021 08:28,100,539
1624091746,19-06-2021 08:35,100,534
1624092134,19-06-2021 08:42,100,531
1624092347,19-06-2021 08:45,100,529
1624092496,19-06-2021 08:48,100,529
1624092726,19-06-2021 08:52,100,529
1624093251,19-06-2021 09:00,100,526
1624093362,19-06-2021 09:02,100,526
1624094103,19-06-2021 09:15,100,518
1624094567,19-06-2021 09:22,100,514
1624095029,19-06-2021 09:30,100,531
1624095729,19-06-2021 09:42,100,508
1624096241,19-06-2021 09:50,100,507
1624096501,19-06-2021 09:55,100,507
1624096671,19-06-2021 09:57,100,506
1624097034,19-06-2021 10:03,100,503
1624097994,19-06-2021 10:19,100,502
1624098311,19-06-2021 10:25,100,501
1624098417,19-06-2021 10:26,100,499
1624098874,19-06-2021 10:34,100,500
1624099478,19-06-2021 10:44,100,499
1624100181,19-06-2021 10:56,98,493
1624100750,19-06-2021 11:05,97,495
1624101530,19-06-2021 11:18,96,497
1624102349,19-06-2021 11:32,94,499
1624103302,19-06-2021 11:48,93,501
1624103559,19-06-2021 11:52,93,498
1624104487,19-06-2021 12:08,92,500
1624105089,19-06-2021 12:18,91,501
1624105787,19-06-2021 12:29,91,503
1624106386,19-06-2021 12:39,91,506
1624106764,19-06-2021 12:46,91,508
1624107322,19-06-2021 12:55,91,505
1624107998,19-06-2021 13:06,90,509
1624108677,19-06-2021 13:17,90,508
1624109069,19-06-2021 13:24,90,508
1624109468,19-06-2021 13:31,90,510
1624109863,19-06-2021 13:37,90,512
1624110268,19-06-2021 13:44,89,508
1624110660,19-06-2021 13:51,89,509
1624111096,19-06-2021 13:58,89,515
1624111504,19-06-2021 14:05,88,518
1624111872,19-06-2021 14:11,88,517
1624112304,19-06-2021 14:18,88,517
1624112657,19-06-2021 14:24,87,516
1624113356,19-06-2021 14:35,86,514
1624113765,19-06-2021 14:42,86,514
1624114128,19-06-2021 14:48,85,517
1624114529,19-06-2021 14:55,85,517
1624114952,19-06-2021 15:02,84,515
1624115270,19-06-2021 15:07,84,518
1624115703,19-06-2021 15:15,84,516
1624116098,19-06-2021 15:21,83,516
1624116518,19-06-2021 15:28,83,517
1624116897,19-06-2021 15:34,82,519
1624116932,19-06-2021 15:35,82,517
1624117217,19-06-2021 15:40,81,516
1624117601,19-06-2021 15:46,82,515
1624117970,19-06-2021 15:52,81,517
1624118598,19-06-2021 16:03,81,516
1624118911,19-06-2021 16:08,79,517
1624119819,19-06-2021 16:23,79,520
1624120204,19-06-2021 16:30,78,517
1624120613,19-06-2021 16:36,78,516
1624121035,19-06-2021 16:43,78,517
1624121139,19-06-2021 16:45,77,519
1624121365,19-06-2021 16:49,77,520
1624121614,19-06-2021 16:53,77,519
1624121801,19-06-2021 16:56,77,517
1624122011,19-06-2021 17:00,77,517
1624122177,19-06-2021 17:02,77,516
1624122471,19-06-2021 17:07,76,516
1624122813,19-06-2021 17:13,76,513
1624123426,19-06-2021 17:23,75,516
1624123880,19-06-2021 17:31,75,516
1624124363,19-06-2021 17:39,74,516
1624124849,19-06-2021 17:47,74,516
1624125078,19-06-2021 17:51,74,512
1624126073,19-06-2021 18:07,73,516
1624126488,19-06-2021 18:14,72,516
1624127436,19-06-2021 18:30,71,517
1624127828,19-06-2021 18:37,70,517
1624128343,19-06-2021 18:45,69,518
