Epoch date,GMT,NO2_ppb_megasense
1623924154,17-06-2021 10:02,2557
1623924185,17-06-2021 10:03,2567
1623924216,17-06-2021 10:03,2553
1623924247,17-06-2021 10:04,2557
1623924316,17-06-2021 10:05,2603
1623924376,17-06-2021 10:06,2603
1623924407,17-06-2021 10:06,2610
1623924438,17-06-2021 10:07,2603
1623924469,17-06-2021 10:07,2542
1623924500,17-06-2021 10:08,2664
1623924531,17-06-2021 10:08,2635
1623924562,17-06-2021 10:09,2628
1623924593,17-06-2021 10:09,2632
1623924624,17-06-2021 10:10,2646
1623924689,17-06-2021 10:11,2546
1623924720,17-06-2021 10:12,2525
1623924839,17-06-2021 10:13,2446
1623925195,17-06-2021 10:19,2446
1623925534,17-06-2021 10:25,2478
1623925824,17-06-2021 10:30,2496
1623925896,17-06-2021 10:31,2557
1623925927,17-06-2021 10:32,2507
1623926179,17-06-2021 10:36,2514
1623926950,17-06-2021 10:49,2553
1623926983,17-06-2021 10:49,2603
1623927014,17-06-2021 10:50,2664
1623927045,17-06-2021 10:50,2689
1623927076,17-06-2021 10:51,2692
1623927139,17-06-2021 10:52,2596
1623927170,17-06-2021 10:52,2610
1623927201,17-06-2021 10:53,2628
1623927232,17-06-2021 10:53,2614
1623927263,17-06-2021 10:54,2603
1623927294,17-06-2021 10:54,2603
1623927325,17-06-2021 10:55,2625
1623927356,17-06-2021 10:55,2592
1623927387,17-06-2021 10:56,2575
1623927576,17-06-2021 10:59,2550
1623927608,17-06-2021 11:00,2567
1623927811,17-06-2021 11:03,2614
1623928255,17-06-2021 11:10,2567
1623928611,17-06-2021 11:16,2600
1623928780,17-06-2021 11:19,2603
1623929337,17-06-2021 11:28,2617
1623929816,17-06-2021 11:36,2617
1623930247,17-06-2021 11:44,2610
1623930666,17-06-2021 11:51,2610
1623930889,17-06-2021 11:54,2660
1623931326,17-06-2021 12:02,2625
1623931843,17-06-2021 12:10,2803
1623932611,17-06-2021 12:23,2875
1623933010,17-06-2021 12:30,2867
1623933406,17-06-2021 12:36,2889
1623933826,17-06-2021 12:43,2907
1623934178,17-06-2021 12:49,2925
1623934955,17-06-2021 13:02,2932
1623935160,17-06-2021 13:06,2928
1623935318,17-06-2021 13:08,2925
1623935502,17-06-2021 13:11,2932
1623935909,17-06-2021 13:18,2939
1623936340,17-06-2021 13:25,2932
1623936763,17-06-2021 13:32,2921
1623937171,17-06-2021 13:39,2946
1623937659,17-06-2021 13:47,2946
1623938319,17-06-2021 13:58,2946
1623938744,17-06-2021 14:05,2953
1623939183,17-06-2021 14:13,2957
1623939599,17-06-2021 14:19,2971
1623939999,17-06-2021 14:26,2960
1623940423,17-06-2021 14:33,2967
1623940821,17-06-2021 14:40,2978
1623941397,17-06-2021 14:49,2960
1623941598,17-06-2021 14:53,2967
1623941844,17-06-2021 14:57,2971
1623942178,17-06-2021 15:02,2967
1623942658,17-06-2021 15:10,2989
1623943156,17-06-2021 15:19,2960
1623943393,17-06-2021 15:23,2950
1623943825,17-06-2021 15:30,2978
1623944386,17-06-2021 15:39,2971
1623944934,17-06-2021 15:48,2967
1623945537,17-06-2021 15:58,2960
1623946229,17-06-2021 16:10,2964
1623946630,17-06-2021 16:17,2967
1623947053,17-06-2021 16:24,2946
1623947482,17-06-2021 16:31,2967
1623947853,17-06-2021 16:37,2967
1623947884,17-06-2021 16:38,2910
1623947957,17-06-2021 16:39,2892
1623948085,17-06-2021 16:41,2878
1623948274,17-06-2021 16:44,2828
1623948512,17-06-2021 16:48,2732
1623948693,17-06-2021 16:51,2682
1623948861,17-06-2021 16:54,2621
1623949115,17-06-2021 16:58,2578
1623949377,17-06-2021 17:02,2546
1623949517,17-06-2021 17:05,2542
1623949752,17-06-2021 17:09,2525
1623949935,17-06-2021 17:12,2492
1623950185,17-06-2021 17:16,2510
1623950371,17-06-2021 17:19,2507
1623950574,17-06-2021 17:22,2525
1623950755,17-06-2021 17:25,2532
1623950975,17-06-2021 17:29,2482
1623951155,17-06-2021 17:32,2464
1623951328,17-06-2021 17:35,2467
1623951551,17-06-2021 17:39,2471
1623951763,17-06-2021 17:42,2428
1623951948,17-06-2021 17:45,2428
1623952216,17-06-2021 17:50,2414
1623952303,17-06-2021 17:51,2421
1623952452,17-06-2021 17:54,2403
1623953009,17-06-2021 18:03,2496
1623953215,17-06-2021 18:06,2482
1623953470,17-06-2021 18:11,2507
1623953656,17-06-2021 18:14,2557
1623953861,17-06-2021 18:17,2582
