Epoch date,GMT,Battery_percentage,NO2_ppb_megasense
1623924154,17-06-2021 10:02,88,2557
1623924185,17-06-2021 10:03,88,2567
1623924216,17-06-2021 10:03,88,2553
1623924247,17-06-2021 10:04,88,2557
1623924316,17-06-2021 10:05,87,2603
1623924376,17-06-2021 10:06,87,2603
1623924407,17-06-2021 10:06,87,2610
1623924438,17-06-2021 10:07,87,2603
1623924469,17-06-2021 10:07,87,2542
1623924500,17-06-2021 10:08,87,2664
1623924531,17-06-2021 10:08,87,2635
1623924562,17-06-2021 10:09,87,2628
1623924593,17-06-2021 10:09,87,2632
1623924624,17-06-2021 10:10,87,2646
1623924689,17-06-2021 10:11,87,2546
1623924720,17-06-2021 10:12,87,2525
1623924839,17-06-2021 10:13,87,2446
1623925195,17-06-2021 10:19,86,2446
1623925534,17-06-2021 10:25,86,2478
1623925824,17-06-2021 10:30,86,2496
1623925896,17-06-2021 10:31,85,2557
1623925927,17-06-2021 10:32,85,2507
1623926179,17-06-2021 10:36,85,2514
1623926950,17-06-2021 10:49,84,2553
1623926983,17-06-2021 10:49,84,2603
1623927014,17-06-2021 10:50,84,2664
1623927045,17-06-2021 10:50,84,2689
1623927076,17-06-2021 10:51,84,2692
1623927139,17-06-2021 10:52,84,2596
1623927170,17-06-2021 10:52,84,2610
1623927201,17-06-2021 10:53,84,2628
1623927232,17-06-2021 10:53,84,2614
1623927263,17-06-2021 10:54,84,2603
1623927294,17-06-2021 10:54,84,2603
1623927325,17-06-2021 10:55,84,2625
1623927356,17-06-2021 10:55,84,2592
1623927387,17-06-2021 10:56,84,2575
1623927576,17-06-2021 10:59,84,2550
1623927608,17-06-2021 11:00,84,2567
1623927811,17-06-2021 11:03,84,2614
1623928255,17-06-2021 11:10,82,2567
1623928611,17-06-2021 11:16,82,2600
1623928780,17-06-2021 11:19,82,2603
1623929337,17-06-2021 11:28,81,2617
1623929816,17-06-2021 11:36,81,2617
1623930247,17-06-2021 11:44,80,2610
1623930666,17-06-2021 11:51,80,2610
1623930889,17-06-2021 11:54,80,2660
1623931326,17-06-2021 12:02,79,2625
1623931843,17-06-2021 12:10,79,2803
1623932611,17-06-2021 12:23,78,2875
1623933010,17-06-2021 12:30,78,2867
1623933406,17-06-2021 12:36,77,2889
1623933826,17-06-2021 12:43,77,2907
1623934178,17-06-2021 12:49,76,2925
1623934955,17-06-2021 13:02,76,2932
1623935160,17-06-2021 13:06,75,2928
1623935318,17-06-2021 13:08,75,2925
1623935502,17-06-2021 13:11,75,2932
1623935909,17-06-2021 13:18,75,2939
1623936340,17-06-2021 13:25,75,2932
1623936763,17-06-2021 13:32,74,2921
1623937171,17-06-2021 13:39,73,2946
1623937659,17-06-2021 13:47,73,2946
1623938319,17-06-2021 13:58,72,2946
1623938744,17-06-2021 14:05,71,2953
1623939183,17-06-2021 14:13,71,2957
1623939599,17-06-2021 14:19,70,2971
1623939999,17-06-2021 14:26,69,2960
1623940423,17-06-2021 14:33,69,2967
1623940821,17-06-2021 14:40,68,2978
1623941397,17-06-2021 14:49,68,2960
1623941598,17-06-2021 14:53,67,2967
1623941844,17-06-2021 14:57,67,2971
1623942178,17-06-2021 15:02,67,2967
1623942658,17-06-2021 15:10,66,2989
1623943156,17-06-2021 15:19,65,2960
1623943393,17-06-2021 15:23,65,2950
1623943825,17-06-2021 15:30,64,2978
1623944386,17-06-2021 15:39,64,2971
1623944934,17-06-2021 15:48,63,2967
1623945537,17-06-2021 15:58,62,2960
1623946229,17-06-2021 16:10,62,2964
1623946630,17-06-2021 16:17,61,2967
1623947053,17-06-2021 16:24,60,2946
1623947482,17-06-2021 16:31,60,2967
1623947853,17-06-2021 16:37,60,2967
1623947884,17-06-2021 16:38,60,2910
1623947957,17-06-2021 16:39,60,2892
1623948085,17-06-2021 16:41,60,2878
1623948274,17-06-2021 16:44,59,2828
1623948512,17-06-2021 16:48,59,2732
1623948693,17-06-2021 16:51,59,2682
1623948861,17-06-2021 16:54,59,2621
1623949115,17-06-2021 16:58,58,2578
1623949377,17-06-2021 17:02,58,2546
1623949517,17-06-2021 17:05,58,2542
1623949752,17-06-2021 17:09,58,2525
1623949935,17-06-2021 17:12,57,2492
1623950185,17-06-2021 17:16,57,2510
1623950371,17-06-2021 17:19,57,2507
1623950574,17-06-2021 17:22,57,2525
1623950755,17-06-2021 17:25,57,2532
1623950975,17-06-2021 17:29,57,2482
1623951155,17-06-2021 17:32,56,2464
