,Date Time, NO2(ppm),data.temp_c,data.hum_prcnt,data.co_ppm,data.no2_ppb,data.co_mv,data.no2_mv,data.ozone_ppm,data.batt_prcnt,data.location.lat,data.location.lon,data.no2_ppb_shift
0,2021-08-19 11:21:00,0.011000000000000001,35.695,39.449,519.5,2230.0,1953.0,1125.0,61.5,95.5,17.446,78.35,
1,2021-08-19 11:22:00,0.006,34.51,41.587,512.0,2174.5,1934.5,1105.5,79.5,93.5,17.446,78.35,
2,2021-08-19 11:23:00,0.01,33.77,43.105,510.5,2138.5,1928.5,1100.5,120.0,91.0,17.446,78.35,
11,2021-08-19 11:32:00,0.008,31.67,49.693,507.0,2221.0,1919.0,1124.0,92.0,87.0,17.445,78.35,
12,2021-08-19 11:33:00,0.0,31.75,49.538,507.5,2217.5,1925.0,1119.0,83.5,87.0,17.445,78.35,
13,2021-08-19 11:34:00,0.042,31.76,49.667,509.0,2198.0,1922.5,1113.0,76.5,87.0,17.445,78.35,
14,2021-08-19 11:35:00,0.084,31.755,48.707,554.0,2237.5,2050.0,1126.0,60.5,87.0,17.445,78.35,
15,2021-08-19 11:36:00,0.045,31.745,44.822,555.5,2174.5,2054.5,1108.0,28.0,87.0,17.445,78.351,
16,2021-08-19 11:37:00,0.0,31.715,48.315,530.5,2197.5,1992.5,1115.5,91.0,87.0,17.445,78.351,
17,2021-08-19 11:38:00,0.005,31.74,50.894,517.0,2226.5,1952.0,1123.0,98.5,87.0,17.445,78.351,
18,2021-08-19 11:39:00,0.015,31.79,51.379,511.0,2196.0,1934.0,1116.5,82.0,86.5,17.446,78.351,
19,2021-08-19 11:40:00,0.013999999999999999,31.76,49.89,503.0,2162.0,1913.5,1106.0,72.0,86.0,17.446,78.351,
20,2021-08-19 11:41:00,0.024,31.755,49.556,500.0,2153.0,1901.0,1103.5,68.5,86.0,17.446,78.351,
21,2021-08-19 11:42:00,0.02,31.73,49.42,544.0,2140.5,2027.5,1100.0,55.0,86.0,17.449,78.348,
22,2021-08-19 11:43:00,0.013000000000000001,31.6,49.284,508.0,2032.0,1916.0,1062.0,51.0,86.0,17.45,78.347,
23,2021-08-19 11:44:00,0.019,31.575,49.706,503.5,2144.0,1913.0,1096.5,79.5,86.0,17.45,78.347,
24,2021-08-19 11:45:00,0.005,31.725,49.529,495.5,2115.5,1886.5,1090.0,73.0,86.0,17.45,78.347,
25,2021-08-19 11:46:00,0.006999999999999999,31.83,49.455,496.0,2110.0,1887.0,1087.0,79.0,85.0,17.45,78.347,
26,2021-08-19 11:47:00,0.016,31.91,49.622,500.0,2133.5,1899.0,1097.0,85.0,85.5,17.45,78.347,
27,2021-08-19 11:48:00,0.018000000000000002,32.045,48.806,509.0,2082.0,1930.0,1081.0,66.5,85.0,17.45,78.347,
28,2021-08-19 11:49:00,0.013999999999999999,32.07,48.389,496.5,2040.5,1893.0,1072.0,74.0,85.0,17.45,78.347,
29,2021-08-19 11:50:00,0.025,32.015,48.194,482.5,1974.5,1855.0,1053.5,64.0,85.0,17.45,78.347,
30,2021-08-19 11:51:00,0.037000000000000005,31.95,48.231,489.0,2003.0,1869.0,1061.5,61.5,85.0,17.45,78.347,
31,2021-08-19 11:52:00,0.033,31.985,48.295,514.5,2056.5,1944.5,1073.5,67.5,85.0,17.451,78.346,
32,2021-08-19 11:53:00,0.018000000000000002,31.975,48.76,524.0,2032.0,1967.0,1069.5,57.5,85.0,17.454,78.342,
33,2021-08-19 11:54:00,0.023,31.745,49.561,507.0,1985.5,1923.5,1054.0,77.0,85.0,17.459,78.338,
34,2021-08-19 11:55:00,0.019,31.47,50.628,509.0,1980.0,1924.5,1055.0,68.0,85.0,17.464,78.334,
35,2021-08-19 11:56:00,0.031,31.21,50.92,530.0,2006.5,1982.0,1064.5,82.5,85.0,17.469,78.331,
36,2021-08-19 11:57:00,0.027999999999999997,31.03,51.221,503.5,1958.5,1916.5,1047.0,87.5,85.0,17.473,78.328,
37,2021-08-19 11:58:00,0.037000000000000005,30.88,51.41,522.5,1963.5,1964.5,1052.0,79.0,85.0,17.477,78.324,
38,2021-08-19 11:59:00,0.046,30.755,52.411,556.5,2069.5,2061.5,1084.0,88.5,85.0,17.478,78.32,
39,2021-08-19 12:00:00,0.043,30.71,51.342,557.5,2139.0,2062.5,1098.0,77.5,85.0,17.478,78.32,
40,2021-08-19 12:01:00,0.031,30.805,51.08,553.5,2213.5,2049.5,1118.5,64.5,84.5,17.477,78.325,
41,2021-08-19 12:02:00,0.04,30.77,52.413,553.0,2075.0,2056.0,1082.0,91.0,84.0,17.473,78.328,
42,2021-08-19 12:03:00,0.040999999999999995,30.705,51.885,517.5,2007.0,1953.0,1060.0,86.0,84.0,17.47,78.331,
43,2021-08-19 12:04:00,0.05,30.645,52.085,540.5,2017.5,2013.5,1062.0,73.0,84.0,17.465,78.334,
44,2021-08-19 12:05:00,0.013999999999999999,30.585,51.992,530.5,1931.5,1983.0,1042.0,77.0,84.0,17.463,78.335,
45,2021-08-19 12:06:00,0.034,30.495,52.212,519.5,1981.5,1954.0,1060.5,91.0,84.0,17.468,78.331,
46,2021-08-19 12:07:00,0.031,30.51,52.256,574.5,2058.5,2108.0,1072.5,76.0,84.0,17.468,78.334,
47,2021-08-19 12:08:00,0.033,30.51,51.271,510.5,1933.5,1927.5,1040.0,70.0,84.0,17.466,78.34,
48,2021-08-19 12:09:00,0.053,30.47,51.478,519.0,1997.5,1958.5,1060.0,83.0,84.0,17.465,78.342,2230.0
49,2021-08-19 12:10:00,0.059000000000000004,30.44,51.517,502.5,1981.5,1908.5,1055.0,81.0,84.0,17.466,78.343,2174.5
50,2021-08-19 12:11:00,0.05,30.445,51.59,526.5,1992.5,1980.5,1056.5,70.5,84.0,17.464,78.346,2138.5
51,2021-08-19 12:12:00,0.055999999999999994,30.52,51.521,542.5,2135.0,2021.0,1099.0,76.5,84.0,17.463,78.347,2221.0
52,2021-08-19 12:13:00,0.038,30.74,51.333,544.0,2033.5,2026.5,1073.0,75.5,83.5,17.462,78.351,2217.5
53,2021-08-19 12:14:00,0.035,30.935,51.137,582.5,2151.0,2129.5,1107.0,77.5,83.0,17.461,78.353,2198.0
54,2021-08-19 12:15:00,0.036000000000000004,31.14,50.385,593.0,2226.5,2163.0,1122.5,65.5,83.0,17.459,78.356,2237.5
55,2021-08-19 12:16:00,0.054000000000000006,31.235,50.141,515.5,2040.5,1943.5,1071.0,74.5,83.0,17.457,78.361,2174.5
56,2021-08-19 12:17:00,0.027999999999999997,31.25,50.955,539.0,2085.0,2018.0,1088.0,81.0,83.0,17.456,78.364,2197.5
57,2021-08-19 12:18:00,0.022000000000000002,31.29,50.547,551.5,2089.0,2050.5,1087.0,70.0,83.0,17.457,78.365,2226.5
58,2021-08-19 12:19:00,0.042,31.41,50.384,607.0,2256.5,2198.5,1134.0,65.5,83.0,17.458,78.366,2196.0
